Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
03 Principado de Asturias,Hombres,2016,"23.437,86","0,81"
03 Principado de Asturias,Hombres,2015,"23.248,86","3,63"
03 Principado de Asturias,Hombres,2014,"22.433,47","0,23"
03 Principado de Asturias,Hombres,2013,"22.383,08","2,99"
03 Principado de Asturias,Hombres,2012,"21.732,37","-1,35"
03 Principado de Asturias,Hombres,2011,"22.029,51","0,91"
03 Principado de Asturias,Hombres,2010,"21.831,09","2,03"
03 Principado de Asturias,Hombres,2009,"21.397,37","1,06"
03 Principado de Asturias,Hombres,2008,"21.173,29",
04 Islas Baleares,Ambos sexos,2022,"23.134,21","11,02"
04 Islas Baleares,Ambos sexos,2021,"20.837,19","2,94"
04 Islas Baleares,Ambos sexos,2020,"20.241,15","-0,18"
04 Islas Baleares,Ambos sexos,2019,"20.276,91","0,77"
04 Islas Baleares,Ambos sexos,2018,"20.121,18","4,45"
04 Islas Baleares,Ambos sexos,2017,"19.264,02","2,21"
04 Islas Baleares,Ambos sexos,2016,"18.847,22","1,27"
04 Islas Baleares,Ambos sexos,2015,"18.610,00","-0,56"
04 Islas Baleares,Ambos sexos,2014,"18.714,35","3,79"
04 Islas Baleares,Ambos sexos,2013,"18.030,53","-0,32"
04 Islas Baleares,Ambos sexos,2012,"18.088,52","-1,71"
04 Islas Baleares,Ambos sexos,2011,"18.403,17","-0,02"
04 Islas Baleares,Ambos sexos,2010,"18.406,42","6,86"
04 Islas Baleares,Ambos sexos,2009,"17.224,24","2,44"
04 Islas Baleares,Ambos sexos,2008,"16.813,32",
04 Islas Baleares,Mujeres,2022,"22.399,92","13,4"
04 Islas Baleares,Mujeres,2021,"19.752,60","6,28"
04 Islas Baleares,Mujeres,2020,"18.585,29","-3,65"
04 Islas Baleares,Mujeres,2019,"19.288,65","2,97"
04 Islas Baleares,Mujeres,2018,"18.732,27","3,42"
04 Islas Baleares,Mujeres,2017,"18.113,66","3,02"
04 Islas Baleares,Mujeres,2016,"17.582,01","1,22"
04 Islas Baleares,Mujeres,2015,"17.370,54","1,39"
04 Islas Baleares,Mujeres,2014,"17.133,18","1,45"
04 Islas Baleares,Mujeres,2013,"16.887,80","-0,66"
04 Islas Baleares,Mujeres,2012,"16.999,82","-2,07"
04 Islas Baleares,Mujeres,2011,"17.358,36","0,68"
04 Islas Baleares,Mujeres,2010,"17.240,49","8,5"
04 Islas Baleares,Mujeres,2009,"15.889,99","3,28"
04 Islas Baleares,Mujeres,2008,"15.385,11",
04 Islas Baleares,Hombres,2022,"23.410,51","6,67"
04 Islas Baleares,Hombres,2021,"21.946,42","1,49"
04 Islas Baleares,Hombres,2020,"21.624,74","1,39"
04 Islas Baleares,Hombres,2019,"21.327,78","0,08"
04 Islas Baleares,Hombres,2018,"21.311,13","5,22"
04 Islas Baleares,Hombres,2017,"20.252,93","0,73"
04 Islas Baleares,Hombres,2016,"20.106,69","0,56"
04 Islas Baleares,Hombres,2015,"19.994,15","-1,65"
04 Islas Baleares,Hombres,2014,"20.330,19","5,37"
04 Islas Baleares,Hombres,2013,"19.295,00","-1,1"
04 Islas Baleares,Hombres,2012,"19.510,20","-2,06"
04 Islas Baleares,Hombres,2011,"19.921,20","1,59"
04 Islas Baleares,Hombres,2010,"19.609,49","3,92"
04 Islas Baleares,Hombres,2009,"18.869,73","3,68"
04 Islas Baleares,Hombres,2008,"18.199,91",
05 Canarias,Ambos sexos,2022,"19.214,15","5,69"
05 Canarias,Ambos sexos,2021,"18.179,70","2,7"
05 Canarias,Ambos sexos,2020,"17.702,02","1,86"
05 Canarias,Ambos sexos,2019,"17.379,17","-0,2"
05 Canarias,Ambos sexos,2018,"17.413,53","1,1"
05 Canarias,Ambos sexos,2017,"17.223,25","2,31"
05 Canarias,Ambos sexos,2016,"16.833,69","-1,12"
05 Canarias,Ambos sexos,2015,"17.025,12","3,12"
05 Canarias,Ambos sexos,2014,"16.509,48","0,63"
05 Canarias,Ambos sexos,2013,"16.405,41","-1,08"
05 Canarias,Ambos sexos,2012,"16.584,60","0,59"
05 Canarias,Ambos sexos,2011,"16.487,68","3,71"
05 Canarias,Ambos sexos,2010,"15.897,41","-2,05"
