Comunidades autónomas,Periodo,social_pib,empleo_pib,vivienda_pib,sanidad_pib,educacion_pib,cultura_pib,psector_pib,energía_pib,turismo_pib,altocargo_pib
14 Región de Murcia,2016,"1,10%","0,25%","0,18%","5,93%","4,42%","0,13%","0,32%","0,13%","0,01%","0,06%"
14 Región de Murcia,2013,"1,02%","0,19%","0,18%","5,73%","4,55%","0,17%","0,43%","0,08%","0,01%","0,10%"
14 Región de Murcia,2023,,,,,,,,,,
14 Región de Murcia,2022,"1,32%","0,26%","0,13%","6,16%","4,62%","0,06%","0,40%","0,22%","0,12%","0,04%"
14 Región de Murcia,2019,"1,16%","0,24%","0,14%","5,94%","4,45%","0,16%","0,39%","0,08%","0,01%","0,07%"
14 Región de Murcia,2014,"1,01%","0,19%","0,16%","6,04%","4,43%","0,16%","0,37%","0,08%","0,00%","0,08%"
14 Región de Murcia,2009,"1,05%","0,46%","0,14%","6,55%","5,02%","0,33%","1,04%","0,27%","0,12%","0,08%"
14 Región de Murcia,2021,"1,33%","0,25%","0,12%","6,69%","4,85%","0,07%","0,38%","0,30%","0,16%","0,05%"
14 Región de Murcia,2008,"0,93%","0,40%","0,12%","5,93%","4,41%","0,30%","0,96%","0,27%","0,13%","0,08%"
14 Región de Murcia,2007,"0,77%","0,33%","0,12%","5,47%","4,09%","0,26%","0,91%","0,30%","0,12%","0,09%"
14 Región de Murcia,2020,"1,32%","0,28%","0,12%","6,46%","5,07%","0,08%","0,39%","0,10%","0,05%","0,09%"
14 Región de Murcia,2006,"0,72%","0,37%","0,12%","5,22%","3,92%","0,20%","0,95%","0,27%","0,11%","0,08%"
14 Región de Murcia,2011,"1,16%","0,44%","0,11%","7,23%","5,07%","0,20%","0,89%","0,19%","0,07%","0,22%"
14 Región de Murcia,2010,"1,22%","0,41%","0,11%","6,91%","5,26%","0,25%","0,93%","0,10%","0,08%","0,09%"
14 Región de Murcia,2024,,,,,,,,,,
14 Región de Murcia,2012,"1,29%","0,39%","0,07%","6,59%","5,02%","0,18%","0,51%","0,11%","0,07%","0,18%"
15 Comunidad Foral de Navarra,2009,"1,81%","0,48%","1,59%","5,04%","3,64%","0,55%","0,76%","1,38%","0,13%","0,11%"
15 Comunidad Foral de Navarra,2008,"1,59%","0,38%","1,48%","4,73%","3,44%","0,59%","0,81%","1,29%","0,15%","0,11%"
15 Comunidad Foral de Navarra,2007,"1,13%","0,38%","1,41%","4,54%","3,14%","0,55%","0,76%","1,27%","0,12%","0,11%"
15 Comunidad Foral de Navarra,2010,"1,81%","0,44%","1,46%","5,41%","3,77%","0,63%","0,76%","1,26%","0,15%","0,12%"
15 Comunidad Foral de Navarra,2011,"1,80%","0,51%","1,37%","5,37%","3,59%","0,53%","0,74%","0,76%","0,11%","0,11%"
15 Comunidad Foral de Navarra,2006,"1,00%","0,38%","1,30%","4,39%","3,05%","0,56%","0,74%","0,94%","0,11%","0,11%"
15 Comunidad Foral de Navarra,2024,,,,,,,,,,
15 Comunidad Foral de Navarra,2023,,,,,,,,,,
15 Comunidad Foral de Navarra,2022,"1,96%","0,34%","0,45%","5,56%","3,95%","0,33%","0,50%","0,17%","0,04%","0,09%"
15 Comunidad Foral de Navarra,2012,"1,51%","0,39%","0,43%","5,27%","3,47%","0,40%","0,65%","0,34%","0,09%","0,11%"
15 Comunidad Foral de Navarra,2013,"1,35%","0,31%","0,41%","4,96%","3,25%","0,32%","0,53%","0,22%","0,05%","0,11%"
15 Comunidad Foral de Navarra,2021,"1,99%","0,29%","0,32%","6,09%","4,01%","0,32%","0,49%","0,15%","0,06%","0,09%"
15 Comunidad Foral de Navarra,2018,"1,65%","0,28%","0,31%","5,26%","3,27%","0,30%","0,52%","0,15%","0,06%","0,09%"
15 Comunidad Foral de Navarra,2014,"1,35%","0,29%","0,35%","5,09%","3,22%","0,24%","0,45%","0,15%","0,04%","0,10%"
15 Comunidad Foral de Navarra,2019,"2,16%","0,26%","0,29%","5,18%","3,31%","0,30%","0,56%","0,10%","0,06%","0,09%"
15 Comunidad Foral de Navarra,2020,"1,94%","0,30%","0,31%","6,12%","4,01%","0,32%","0,58%","0,12%","0,06%","0,10%"
15 Comunidad Foral de Navarra,2015,"1,72%","0,27%","0,31%","5,13%","3,16%","0,24%","0,48%","0,16%","0,04%","0,10%"
15 Comunidad Foral de Navarra,2017,"2,05%","0,28%","0,28%","5,30%","3,30%","0,26%","0,52%","0,11%","0,05%","0,10%"
15 Comunidad Foral de Navarra,2016,"1,89%","0,25%","0,24%","5,22%","3,21%","0,24%","0,51%","0,13%","0,04%","0,10%"
16 País Vasco,2024,,,,,,,,,,
16 País Vasco,2023,,,,,,,,,,
16 País Vasco,2009,"0,70%","0,13%","0,33%","5,39%","4,18%","0,14%","0,24%","0,04%","0,13%","0,10%"
16 País Vasco,2008,"0,55%","0,12%","0,31%","4,76%","3,73%","0,11%","0,22%","0,04%","0,11%","0,09%"
16 País Vasco,2007,"0,52%","0,12%","0,31%","4,41%","3,59%","0,12%","0,22%","0,08%","0,11%","0,09%"
16 País Vasco,2006,"0,52%","0,13%","0,31%","4,17%","3,48%","0,11%","0,23%","0,09%","0,10%","0,08%"
16 País Vasco,2022,"0,81%","0,64%","0,24%","5,54%","3,97%","0,14%","0,20%","0,08%","0,09%","0,08%"
16 País Vasco,2010,"0,77%","0,12%","0,29%","5,45%","4,31%","0,13%","0,21%","0,05%","0,14%","0,09%"
16 País Vasco,2021,"0,94%","0,68%","0,24%","5,82%","4,19%","0,13%","0,20%","0,07%","0,09%","0,09%"
16 País Vasco,2011,"0,83%","0,65%","0,27%","5,31%","4,21%","0,14%","0,22%","0,05%","0,14%","0,09%"
16 País Vasco,2020,"0,98%","0,69%","0,25%","5,98%","4,44%","0,11%","0,20%","0,04%","0,09%","0,11%"
16 País Vasco,2013,"0,74%","0,78%","0,25%","5,50%","4,35%","0,13%","0,21%","0,03%","0,12%","0,10%"
16 País Vasco,2012,"0,73%","0,77%","0,24%","5,43%","4,29%","0,13%","0,21%","0,03%","0,12%","0,09%"
16 País Vasco,2018,"0,92%","0,59%","0,19%","5,17%","3,83%","0,09%","0,17%","0,04%","0,08%","0,08%"
16 País Vasco,2017,"0,94%","0,58%","0,18%","5,14%","3,88%","0,09%","0,16%","0,03%","0,08%","0,07%"
16 País Vasco,2019,"0,90%","0,56%","0,17%","5,06%","3,75%","0,09%","0,22%","0,03%","0,07%","0,08%"
16 País Vasco,2016,"0,92%","0,59%","0,17%","5,14%","3,95%","0,10%","0,17%","0,03%","0,10%","0,07%"
16 País Vasco,2015,"0,93%","0,58%","0,17%","5,25%","4,01%","0,10%","0,17%","0,03%","0,10%","0,07%"
16 País Vasco,2014,"0,82%","0,56%","0,17%","5,38%","4,11%","0,10%","0,17%","0,03%","0,10%","0,08%"
17 La Rioja,2024,,,,,,,,,,
17 La Rioja,2023,,,,,,,,,,
17 La Rioja,2022,"1,68%","0,26%","0,20%","5,63%","3,66%","0,24%","0,72%","0,14%","0,50%","0,15%"
17 La Rioja,2021,"1,83%","0,30%","0,22%","6,20%","4,00%","0,24%","0,73%","0,12%","0,69%","0,16%"
17 La Rioja,2006,"1,01%","0,88%","0,24%","5,72%","2,77%","0,32%","0,59%","0,05%","0,21%","0,18%"
17 La Rioja,2007,"1,16%","0,87%","0,20%","5,86%","2,93%","0,34%","0,61%","0,05%","0,19%","0,18%"
17 La Rioja,2008,"1,42%","0,37%","0,19%","5,45%","3,07%","0,36%","0,68%","0,05%","0,78%","0,22%"
17 La Rioja,2009,"1,56%","0,32%","0,19%","5,66%","3,20%","0,38%","0,71%","0,05%","0,62%","0,22%"
17 La Rioja,2010,"1,71%","0,39%","0,16%","5,75%","3,20%","0,37%","0,67%","0,06%","0,59%","0,20%"
17 La Rioja,2020,"1,67%","0,26%","0,15%","5,67%","3,70%","0,21%","0,71%","0,10%","0,27%","0,14%"
17 La Rioja,2018,"1,48%","0,27%","0,13%","5,01%","3,16%","0,19%","0,64%","0,04%","0,26%","0,14%"
17 La Rioja,2017,"1,50%","0,27%","0,13%","4,99%","3,14%","0,17%","0,67%","0,05%","0,29%","0,14%"
17 La Rioja,2019,"1,43%","0,26%","0,13%","4,89%","3,07%","0,18%","0,62%","0,04%","0,26%","0,14%"
17 La Rioja,2012,"1,66%","0,67%","0,12%","5,47%","3,06%","0,28%","0,61%","0,03%","0,16%","0,16%"
17 La Rioja,2011,"1,73%","0,37%","0,11%","5,43%","2,96%","0,31%","0,58%","0,05%","0,51%","0,16%"
17 La Rioja,2013,"1,39%","0,29%","0,10%","5,21%","3,05%","0,25%","0,59%","0,02%","0,40%","0,14%"
17 La Rioja,2015,"1,34%","0,27%","0,09%","4,98%","2,93%","0,24%","0,66%","0,02%","0,68%","0,13%"
17 La Rioja,2014,"1,36%","0,59%","0,09%","5,15%","3,00%","0,26%","0,59%","0,02%","0,67%","0,13%"
17 La Rioja,2016,"1,41%","0,27%","0,08%","5,08%","3,07%","0,24%","0,72%","0,03%","0,35%","0,12%"
