ccaa;periodo;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;precio_alquiler_periodo_label;precio_alquiler;precio_venta_periodo_label;precio_venta;retrasos_pagos;salario_destinado
Comunidad de Madrid;2010;real;14,30;8,50;13,20;NA;2010;11,01;2010;1713,00;12,60;0,62
Comunidad de Madrid;2011;real;13,80;7,30;12,60;NA;2011;11,00;2011;4803,00;6,60;0,63
Comunidad de Madrid;2012;real;12,20;7,40;13,40;NA;2012;10,54;2012;2333,00;7,60;0,59
Comunidad de Madrid;2013;real;17,30;7,40;14,50;NA;2013;9,91;2013;2504,00;11,10;0,56
Comunidad de Madrid;2014;real;13,90;6,50;14,50;233,50;2014;9,97;2014;2370,00;10,30;0,55
Comunidad de Madrid;2015;real;10,70;7,40;13,50;248,10;2015;10,41;2015;2188,00;9,20;0,59
Comunidad de Madrid;2016;real;12,20;6,20;15,60;272,00;2016;11,12;2016;4278,00;8,70;0,63
Comunidad de Madrid;2017;real;6,70;6,50;15,10;260,40;2017;12,28;2017;4000,00;6,90;0,68
Comunidad de Madrid;2018;real;10,60;6,00;13,50;247,40;2018;13,57;2018;4260,00;8,70;0,76
Comunidad de Madrid;2019;real;7,00;6,10;13,00;254,70;2019;14,16;2019;3720,00;7,20;0,76
Comunidad de Madrid;2020;real;8,50;11,90;10,10;251,40;2020;14,43;2020;3672,00;11,50;0,75
Comunidad de Madrid;2021;proyeccion;NA;NA;NA;255,04;NA;NA;NA;NA;NA;NA
Comunidad de Madrid;2021;real;6,90;9,00;13,40;NA;2021;13,54;2021;3653,00;13,20;0,67
Comunidad de Madrid;2022;proyeccion;NA;NA;NA;254,83;NA;NA;NA;NA;NA;NA
Comunidad de Madrid;2022;real;8,30;8,50;12,20;NA;2022;14,13;2022;3463,00;11,90;0,67
Comunidad de Madrid;2023;proyeccion;NA;NA;NA;254,88;NA;NA;NA;NA;NA;NA
Comunidad de Madrid;2023;real;9,20;9,40;9,10;NA;2023;15,49;2023;3430,00;13,80;0,71
Comunidad de Madrid;2024;proyeccion;8,66;9,31;10,55;254,81;NA;NA;NA;NA;13,00;0,81
Comunidad de Madrid;2024;real;NA;NA;NA;NA;2024;17,90;2024;3906,00;NA;NA
Comunidad de Madrid;2025;proyeccion;8,54;9,35;10,91;254,81;NA;NA;NA;NA;13,70;0,88
Comunidad de Madrid;2025;real;NA;NA;NA;NA;2025;20,15;2025-07;4492,00;NA;NA
Comunidad de Madrid;2026;proyeccion;8,66;9,20;11,15;254,81;NA;NA;NA;NA;12,54;0,92
Comunidad de Madrid;2026;real;NA;NA;NA;NA;2026-03;21,32;NA;NA;NA;NA
Extremadura;2004;real;14,60;10,40;NA;NA;NA;NA;NA;NA;5,70;NA
Extremadura;2005;real;16,30;7,70;NA;NA;NA;NA;NA;NA;6,40;NA
Extremadura;2006;real;10,00;2,70;NA;NA;NA;NA;NA;NA;3,50;NA
Extremadura;2007;real;8,00;4,30;NA;NA;NA;NA;NA;NA;5,40;NA
Extremadura;2008;real;10,80;4,90;3,20;NA;NA;NA;NA;NA;3,90;NA
Extremadura;2009;real;11,10;3,00;3,90;NA;2009;5,34;NA;NA;1,80;0,39
Extremadura;2010;real;12,10;1,50;4,90;NA;2010;4,94;2010;901,00;9,20;0,37
Extremadura;2011;real;7,60;2,80;4,60;NA;2011;4,84;NA;NA;5,20;0,35
Extremadura;2012;real;13,10;3,20;7,00;NA;2012;4,83;2012;1090,00;7,30;0,35
Extremadura;2013;real;21,90;1,50;5,40;NA;2013;4,54;NA;NA;9,20;0,33
Extremadura;2014;real;21,20;3,60;7,50;40,40;2014;4,36;2014;1667,00;7,80;0,32
Extremadura;2015;real;20,80;4,20;5,80;39,80;2015;4,29;2015;644,00;6,30;0,31
Extremadura;2016;real;18,10;2,60;3,60;40,30;2016;4,39;2016;879,00;6,10;0,32
Extremadura;2017;real;12,00;2,80;5,80;41,50;2017;4,64;2017;1162,00;11,30;0,32
Extremadura;2018;real;12,40;1,60;5,20;40,60;2018;4,76;2018;1093,00;9,90;0,33
Extremadura;2019;real;13,20;1,60;6,40;41,90;2019;5,02;2019;891,00;10,10;0,35
Extremadura;2020;real;12,70;4,10;3,70;43,70;2020;5,14;2020;1178,00;13,70;0,35
Extremadura;2021;proyeccion;NA;NA;NA;42,97;NA;NA;NA;NA;NA;NA
Extremadura;2021;real;8,00;2,30;5,60;NA;2021;5,39;2021;1106,00;11,80;0,36
Extremadura;2022;proyeccion;NA;NA;NA;42,54;NA;NA;NA;NA;NA;NA
Extremadura;2022;real;11,00;1,80;4,40;NA;2022;5,65;2022;1214,00;12,40;0,36
Extremadura;2023;proyeccion;NA;NA;NA;42,74;NA;NA;NA;NA;NA;NA
Extremadura;2023;real;11,00;2,20;4,70;NA;2023;6,06;2023;1197,00;13,40;0,37
Extremadura;2024;proyeccion;9,87;2,79;4,95;42,61;NA;NA;NA;NA;12,33;0,39
Extremadura;2024;real;NA;NA;NA;NA;2024;6,81;2024;1296,00;NA;NA
Extremadura;2025;proyeccion;9,45;4,03;4,88;42,57;NA;NA;NA;NA;13,01;0,39
Extremadura;2025;real;NA;NA;NA;NA;2025;7,15;2025-07;1298,00;NA;NA
Extremadura;2026;proyeccion;9,13;4,11;4,92;42,79;NA;NA;NA;NA;12,42;0,40
Extremadura;2026;real;NA;NA;NA;NA;2026-03;7,52;NA;NA;NA;NA
Galicia;2004;real;8,60;15,80;NA;NA;NA;NA;NA;NA;6,60;NA
Galicia;2005;real;8,50;3,70;NA;NA;NA;NA;NA;NA;4,60;NA
Galicia;2006;real;10,80;2,10;NA;NA;NA;NA;NA;NA;6,30;NA
Galicia;2007;real;9,00;3,40;NA;NA;2007;8,83;2007;827,00;5,70;NA
Galicia;2008;real;9,90;2,70;3,70;NA;2008;8,39;2008;1806,50;3,40;0,62
Galicia;2009;real;13,10;1,90;4,50;NA;2009;7,58;NA;NA;6,70;0,55
Galicia;2010;real;13,40;2,50;4,70;NA;2010;6,80;NA;NA;7,00;0,47
Galicia;2011;real;12,10;3,60;5,80;NA;2011;6,36;2011;3537,00;5,60;0,45
Galicia;2012;real;13,00;0,70;6,70;NA;2012;6,17;2012;882,00;7,60;0,45
Galicia;2013;real;17,10;1,30;7,00;NA;2013;5,66;NA;NA;5,90;0,40
Galicia;2014;real;21,50;1,40;4,50;110,50;2014;5,58;2014;1183,00;7,40;0,39
Galicia;2015;real;7,80;2,10;6,40;111,10;2015;5,49;2015;915,50;7,80;0,37
Galicia;2016;real;5,90;0,90;6,60;114,70;2016;5,48;2016;1858,33;6,40;0,36
Galicia;2017;real;5,50;2,50;6,30;113,00;2017;5,63;2017;1611,67;4,50;0,36
Galicia;2018;real;6,20;1,50;4,60;121,80;2018;5,96;2018;1512,33;3,90;0,38
Galicia;2019;real;5,50;2,00;5,10;123,90;2019;6,41;2019;1517,67;5,60;0,41
Galicia;2020;real;6,60;1,80;5,30;110,00;2020;6,85;2020;1432,00;8,50;0,42
Galicia;2021;proyeccion;NA;NA;NA;116,00;NA;NA;NA;NA;NA;NA
Galicia;2021;real;6,90;2,40;5,40;NA;2021;7,12;2021;1516,33;9,00;0,43
Galicia;2022;proyeccion;NA;NA;NA;115,66;NA;NA;NA;NA;NA;NA
Galicia;2022;real;7,00;3,20;4,80;NA;2022;7,39;2022;1508,67;9,40;0,43
Galicia;2023;proyeccion;NA;NA;NA;116,26;NA;NA;NA;NA;NA;NA
Galicia;2023;real;8,60;4,50;4,80;NA;2023;7,92;2023;1556,00;9,20;0,44
Galicia;2024;proyeccion;8,19;4,77;4,94;116,26;NA;NA;NA;NA;9,53;0,47
Galicia;2024;real;NA;NA;NA;NA;2024;8,73;2024;1681,00;NA;NA
Galicia;2025;proyeccion;8,07;5,41;4,97;116,25;NA;NA;NA;NA;9,63;0,48
Galicia;2025;real;NA;NA;NA;NA;2025;9,32;2025-07;1889,33;NA;NA
Galicia;2026;proyeccion;8,00;5,63;4,95;116,25;NA;NA;NA;NA;10,11;0,48
Galicia;2026;real;NA;NA;NA;NA;2026-03;9,62;NA;NA;NA;NA
Islas Baleares;2004;real;9,60;11,70;NA;NA;NA;NA;NA;NA;8,40;NA
Islas Baleares;2005;real;15,80;8,70;NA;NA;NA;NA;NA;NA;12,70;NA
Islas Baleares;2006;real;11,90;10,20;NA;NA;NA;NA;NA;NA;12,30;NA
Islas Baleares;2007;real;7,40;8,30;NA;NA;2007;14,04;NA;NA;10,20;NA
Islas Baleares;2008;real;14,10;3,00;19,40;NA;2008;12,54;NA;NA;8,50;0,90
Islas Baleares;2009;real;16,40;5,90;18,50;NA;2009;10,67;NA;NA;18,60;0,74
Islas Baleares;2010;real;14,80;4,80;20,60;NA;2010;9,75;NA;NA;13,70;0,64
Islas Baleares;2011;real;16,00;4,50;20,10;NA;2011;8,74;NA;NA;17,40;0,57
Islas Baleares;2012;real;8,90;6,50;20,90;NA;2012;8,13;NA;NA;17,70;0,54
Islas Baleares;2013;real;18,80;7,30;19,50;NA;2013;7,60;NA;NA;19,40;0,51
Islas Baleares;2014;real;16,70;10,40;21,80;40,10;2014;7,74;NA;NA;21,30;0,50
Islas Baleares;2015;real;17,90;6,40;20,50;39,70;2015;8,41;NA;NA;21,70;0,54
Islas Baleares;2016;real;14,00;10,50;11,50;43,20;2016;9,96;2016;3333,00;12,60;0,63
Islas Baleares;2017;real;5,90;11,70;16,80;43,50;2017;11,99;2017;6157,00;15,40;0,75
Islas Baleares;2018;real;10,40;7,90;9,70;42,20;2018;12,45;2018;3081,00;10,20;0,74
Islas Baleares;2019;real;6,20;13,80;11,70;43,10;2019;12,42;2019;3618,00;14,00;0,74
Islas Baleares;2020;real;9,00;9,70;10,40;45,40;2020;12,25;2020;4333,00;13,10;0,73
Islas Baleares;2021;proyeccion;NA;NA;NA;43,67;NA;NA;NA;NA;NA;NA
Islas Baleares;2021;real;5,40;6,50;17,80;NA;2021;11,51;2021;3699,00;20,30;0,66
Islas Baleares;2022;proyeccion;NA;NA;NA;43,92;NA;NA;NA;NA;NA;NA
Islas Baleares;2022;real;5,70;9,30;11,80;NA;2022;12,88;2022;3794,00;20,50;0,67
Islas Baleares;2023;proyeccion;NA;NA;NA;43,82;NA;NA;NA;NA;NA;NA
Islas Baleares;2023;real;5,20;10,10;14,50;NA;2023;15,60;2023;3521,00;15,80;0,80
Islas Baleares;2024;proyeccion;5,36;9,06;12,94;43,83;NA;NA;NA;NA;15,96;0,87
Islas Baleares;2024;real;NA;NA;NA;NA;2024;17,88;2024;3923,00;NA;NA
Islas Baleares;2025;proyeccion;5,30;9,15;12,78;43,83;NA;NA;NA;NA;15,69;0,91
Islas Baleares;2025;real;NA;NA;NA;NA;2025;19,11;2025-07;4357,00;NA;NA
Islas Baleares;2026;proyeccion;5,26;9,39;12,56;43,83;NA;NA;NA;NA;15,65;0,91
Islas Baleares;2026;real;NA;NA;NA;NA;2026-03;19,72;NA;NA;NA;NA
La Rioja;2004;real;6,70;15,00;NA;NA;NA;NA;NA;NA;4,90;NA
La Rioja;2005;real;5,10;4,10;NA;NA;NA;NA;NA;NA;4,50;NA
La Rioja;2006;real;9,80;6,60;NA;NA;NA;NA;NA;NA;5,20;NA
La Rioja;2007;real;8,90;1,70;NA;NA;NA;NA;NA;NA;9,80;NA
La Rioja;2008;real;13,20;3,30;12,00;NA;NA;NA;NA;NA;7,30;NA
La Rioja;2009;real;15,30;5,90;7,50;NA;NA;NA;NA;NA;11,70;NA
La Rioja;2010;real;16,40;7,10;8,10;NA;2010;6,41;NA;NA;12,30;0,41
La Rioja;2011;real;8,80;5,10;12,40;NA;2011;5,98;2011;1455,00;10,70;0,39
La Rioja;2012;real;14,40;2,40;11,90;NA;2012;5,97;NA;NA;10,80;0,40
La Rioja;2013;real;14,40;0,50;14,50;NA;2013;5,44;2013;2057,00;11,00;0,37
La Rioja;2014;real;10,90;1,40;9,00;10,50;2014;5,10;2014;2018,00;11,40;0,32
La Rioja;2015;real;8,70;1,00;8,20;10,50;2015;5,10;2015;1638,00;16,20;0,32
La Rioja;2016;real;8,30;0,60;6,60;12,70;2016;5,17;2016;1053,00;12,50;0,32
La Rioja;2017;real;0,60;0,10;4,00;12,20;2017;5,42;2017;1271,00;4,40;0,33
La Rioja;2018;real;7,40;0,00;9,40;10,60;2018;5,91;2018;1311,00;7,90;0,35
La Rioja;2019;real;2,80;2,10;5,80;12,00;2019;6,23;2019;1541,00;4,90;0,37
La Rioja;2020;real;6,00;2,60;4,60;12,90;2020;6,60;2020;1475,00;8,20;0,39
La Rioja;2021;proyeccion;NA;NA;NA;11,86;NA;NA;NA;NA;NA;NA
La Rioja;2021;real;3,10;3,70;8,20;NA;2021;6,85;2021;1462,00;8,00;0,39
La Rioja;2022;proyeccion;NA;NA;NA;12,54;NA;NA;NA;NA;NA;NA
La Rioja;2022;real;3,30;5,00;6,90;NA;2022;7,19;2022;1584,00;7,80;0,39
La Rioja;2023;proyeccion;NA;NA;NA;11,83;NA;NA;NA;NA;NA;NA
La Rioja;2023;real;4,80;5,70;5,50;NA;2023;7,50;2023;1695,00;10,40;0,39
La Rioja;2024;proyeccion;4,83;5,50;7,01;11,97;NA;NA;NA;NA;11,34;0,40
La Rioja;2024;real;NA;NA;NA;NA;2024;8,04;2024;1655,00;NA;NA
La Rioja;2025;proyeccion;4,92;5,72;6,47;11,89;NA;NA;NA;NA;13,01;0,43
La Rioja;2025;real;NA;NA;NA;NA;2025;8,91;2025-07;1826,00;NA;NA
La Rioja;2026;proyeccion;5,23;5,56;6,89;11,88;NA;NA;NA;NA;12,88;0,43
La Rioja;2026;real;NA;NA;NA;NA;2026-03;9,22;NA;NA;NA;NA
País Vasco;2004;real;5,20;16,10;NA;NA;NA;NA;NA;NA;4,10;NA
País Vasco;2005;real;7,90;5,20;NA;NA;NA;NA;NA;NA;5,20;NA
País Vasco;2006;real;5,10;3,40;NA;NA;NA;NA;NA;NA;6,00;NA
País Vasco;2007;real;6,70;4,40;NA;NA;NA;NA;NA;NA;4,70;NA
País Vasco;2008;real;7,10;2,90;4,20;NA;NA;NA;NA;NA;4,80;NA
País Vasco;2009;real;10,30;2,40;5,50;NA;NA;NA;NA;NA;3,80;NA
País Vasco;2010;real;5,70;3,00;8,10;NA;2010;10,37;NA;NA;4,90;0,52
País Vasco;2011;real;6,40;3,00;9,40;NA;2011;11,06;2011;1974,00;5,20;0,55
País Vasco;2012;real;6,40;0,80;7,90;NA;2012;10,86;2012;2519,00;3,90;0,54
País Vasco;2013;real;11,50;1,40;6,40;NA;2013;9,97;2013;1706,00;5,50;0,50
País Vasco;2014;real;11,10;1,00;7,40;80,50;2014;9,80;2014;1903,67;5,70;0,46
País Vasco;2015;real;10,40;0,40;7,50;86,00;2015;9,77;2015;2150,67;6,10;0,47
País Vasco;2016;real;6,00;1,60;7,10;91,90;2016;9,96;2016;2187,67;6,50;0,48
País Vasco;2017;real;5,40;0,70;8,30;95,40;2017;10,49;2017;2732,00;5,90;0,49
País Vasco;2018;real;6,50;3,10;7,40;96,10;2018;11,09;2018;2480,67;5,40;0,52
País Vasco;2019;real;6,20;2,40;6,30;92,80;2019;11,38;2019;2591,00;8,50;0,52
País Vasco;2020;real;5,60;5,10;7,20;93,30;2020;11,96;2020;2764,00;8,20;0,54
País Vasco;2021;proyeccion;NA;NA;NA;94,06;NA;NA;NA;NA;NA;NA
País Vasco;2021;real;4,60;3,70;6,60;NA;2021;12,09;2021;2876,33;8,80;0,52
País Vasco;2022;proyeccion;NA;NA;NA;94,55;NA;NA;NA;NA;NA;NA
País Vasco;2022;real;3,90;3,00;7,30;NA;2022;12,25;2022;2837,67;7,20;0,51
País Vasco;2023;proyeccion;NA;NA;NA;96,19;NA;NA;NA;NA;NA;NA
País Vasco;2023;real;6,30;5,20;5,90;NA;2023;12,87;2023;3051,67;10,40;0,51
País Vasco;2024;proyeccion;5,87;4,49;6,96;96,18;NA;NA;NA;NA;9,57;0,55
País Vasco;2024;real;NA;NA;NA;NA;2024;13,89;2024;3158,33;NA;NA
País Vasco;2025;proyeccion;5,48;4,95;6,45;95,95;NA;NA;NA;NA;9,78;0,58
País Vasco;2025;real;NA;NA;NA;NA;2025;14,74;2025-07;3479,33;NA;NA
País Vasco;2026;proyeccion;5,44;5,09;7,19;95,95;NA;NA;NA;NA;9,73;0,60
País Vasco;2026;real;NA;NA;NA;NA;2026-03;15,22;NA;NA;NA;NA
Principado de Asturias;2004;real;6,80;10,50;NA;NA;NA;NA;NA;NA;4,70;NA
Principado de Asturias;2005;real;4,40;2,30;NA;NA;NA;NA;NA;NA;1,70;NA
Principado de Asturias;2006;real;3,20;2,70;NA;NA;NA;NA;NA;NA;2,80;NA
Principado de Asturias;2007;real;7,20;1,90;NA;NA;NA;NA;NA;NA;5,50;NA
Principado de Asturias;2008;real;4,50;1,90;3,70;NA;2008;9,85;NA;NA;3,50;0,63
Principado de Asturias;2009;real;8,10;1,70;4,80;NA;2009;8,23;NA;NA;5,30;0,51
Principado de Asturias;2010;real;5,80;1,20;3,80;NA;2010;7,60;NA;NA;3,30;0,48
Principado de Asturias;2011;real;3,30;1,80;5,30;NA;2011;7,17;2011;1802,00;2,60;0,45
Principado de Asturias;2012;real;7,00;1,70;5,70;NA;2012;6,69;2012;1867,00;5,10;0,43
Principado de Asturias;2013;real;8,80;1,00;7,60;NA;2013;6,26;2013;2285,00;7,50;0,39
Principado de Asturias;2014;real;5,90;0,90;7,20;49,10;2014;6,02;2014;1665,00;8,40;0,38
Principado de Asturias;2015;real;9,10;1,20;8,70;46,40;2015;6,01;2015;1858,00;6,50;0,36
Principado de Asturias;2016;real;5,20;1,40;6,50;51,40;2016;6,20;2016;1243,00;5,30;0,37
Principado de Asturias;2017;real;10,70;1,70;7,40;54,70;2017;6,47;2017;1606,00;5,80;0,38
Principado de Asturias;2018;real;9,10;2,80;6,80;51,50;2018;6,76;2018;1566,00;4,50;0,39
Principado de Asturias;2019;real;9,40;3,80;11,40;52,40;2019;7,08;2019;1474,00;4,80;0,39
Principado de Asturias;2020;real;9,30;3,30;9,70;51,90;2020;7,28;2020;1516,00;11,70;0,41
Principado de Asturias;2021;proyeccion;NA;NA;NA;52,34;NA;NA;NA;NA;NA;NA
Principado de Asturias;2021;real;6,70;2,90;10,50;NA;2021;7,49;2021;1503,00;10,00;0,41
Principado de Asturias;2022;proyeccion;NA;NA;NA;52,39;NA;NA;NA;NA;NA;NA
Principado de Asturias;2022;real;6,50;3,80;10,40;NA;2022;7,73;2022;1567,00;7,60;0,40
Principado de Asturias;2023;proyeccion;NA;NA;NA;52,57;NA;NA;NA;NA;NA;NA
Principado de Asturias;2023;real;5,60;2,10;6,50;NA;2023;8,16;2023;1649,00;9,00;0,41
Principado de Asturias;2024;proyeccion;6,06;3,43;7,37;53,27;NA;NA;NA;NA;8,35;0,44
Principado de Asturias;2024;real;NA;NA;NA;NA;2024;8,96;2024;1775,00;NA;NA
Principado de Asturias;2025;proyeccion;6,08;3,16;6,61;55,27;NA;NA;NA;NA;9,36;0,47
Principado de Asturias;2025;real;NA;NA;NA;NA;2025;9,86;2025-07;2206,00;NA;NA
Principado de Asturias;2026;proyeccion;6,17;3,46;7,93;55,36;NA;NA;NA;NA;8,93;0,48
Principado de Asturias;2026;real;NA;NA;NA;NA;2026-03;10,52;NA;NA;NA;NA
Región de Murcia;2004;real;21,10;16,20;NA;NA;NA;NA;NA;NA;15,60;NA
Región de Murcia;2005;real;18,30;9,30;NA;NA;NA;NA;NA;NA;8,20;NA
Región de Murcia;2006;real;15,00;11,50;NA;NA;NA;NA;NA;NA;9,10;NA
Región de Murcia;2007;real;16,90;9,00;NA;NA;2007;7,21;NA;NA;13,60;NA
Región de Murcia;2008;real;15,40;7,50;7,90;NA;2008;6,72;2008;2034,00;8,50;0,49
Región de Murcia;2009;real;28,10;7,10;12,80;NA;2009;6,04;2009;2357,00;18,10;0,42
Región de Murcia;2010;real;26,10;4,00;11,50;NA;2010;5,70;2010;1805,00;20,40;0,39
Región de Murcia;2011;real;12,80;9,10;8,90;NA;2011;5,57;NA;NA;11,10;0,38
Región de Murcia;2012;real;27,40;5,90;11,70;NA;2012;5,55;2012;1462,00;14,10;0,38
Región de Murcia;2013;real;26,10;6,30;10,00;NA;2013;5,17;2013;1507,00;24,50;0,36
Región de Murcia;2014;real;24,90;3,40;12,50;51,10;2014;4,98;2014;1501,00;19,50;0,34
Región de Murcia;2015;real;21,50;4,70;12,80;53,40;2015;4,89;2015;1410,00;17,10;0,33
Región de Murcia;2016;real;26,20;4,10;9,70;56,40;2016;5,08;2016;1098,00;14,90;0,35
Región de Murcia;2017;real;17,60;3,50;8,20;53,70;2017;5,31;2017;1397,00;16,90;0,35
Región de Murcia;2018;real;15,60;7,90;8,70;56,10;2018;5,76;2018;1239,00;14,90;0,37
Región de Murcia;2019;real;13,50;4,30;5,70;56,40;2019;6,09;2019;1207,00;11,60;0,39
Región de Murcia;2020;real;11,20;10,30;4,90;55,00;2020;6,39;2020;1187,00;15,50;0,40
Región de Murcia;2021;proyeccion;NA;NA;NA;55,80;NA;NA;NA;NA;NA;NA
Región de Murcia;2021;real;11,80;4,10;5,90;NA;2021;6,64;2021;1261,00;21,30;0,41
Región de Murcia;2022;proyeccion;NA;NA;NA;56,17;NA;NA;NA;NA;NA;NA
Región de Murcia;2022;real;7,30;4,50;8,00;NA;2022;7,06;2022;1197,00;12,30;0,43
Región de Murcia;2023;proyeccion;NA;NA;NA;56,18;NA;NA;NA;NA;NA;NA
Región de Murcia;2023;real;7,80;5,90;6,00;NA;2023;7,52;2023;1295,00;16,60;0,43
Región de Murcia;2024;proyeccion;7,41;5,64;6,98;56,18;NA;NA;NA;NA;17,25;0,45
Región de Murcia;2024;real;NA;NA;NA;NA;2024;8,14;2024;1440,00;NA;NA
Región de Murcia;2025;proyeccion;7,47;5,61;6,50;56,21;NA;NA;NA;NA;14,78;0,47
Región de Murcia;2025;real;NA;NA;NA;NA;2025;8,80;2025-07;1691,00;NA;NA
Región de Murcia;2026;proyeccion;7,54;5,52;7,27;56,33;NA;NA;NA;NA;15,39;0,47
Región de Murcia;2026;real;NA;NA;NA;NA;2026-03;9,12;NA;NA;NA;NA
