ccaa;ccaa_cod;periodo;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;med_ae;med_ap;enf_ae;enf_ap;camas;gasto_farmacia_pct;pct_pib_sanidad;imp_sanidad_eur;pib_regional_eur;espera_quir;espera_ae;reingresos_psiq;poblacion_total
Cantabria;06;2011;real;18,34;152,72;18,72;1,72;18,16;6,62;0,73;14,43;1,71;0,78;3,28;0,67;3,29;19,53;NA;NA;NA;NA;NA;6,72;578290,00
Cantabria;06;2012;real;18,36;149,31;17,89;1,25;11,06;5,54;0,62;10,77;1,69;0,79;3,21;0,66;3,27;13,00;NA;NA;NA;139,00;60,00;6,94;577997,00
Cantabria;06;2013;real;18,41;143,90;17,95;0,93;12,00;6,97;0,63;11,28;1,67;0,79;3,16;0,65;3,16;15,51;NA;NA;NA;101,00;72,00;6,23;588531,00
Cantabria;06;2014;real;18,07;147,89;17,19;1,86;10,10;7,85;0,66;12,06;1,76;0,78;3,23;0,66;3,24;16,04;NA;NA;NA;99,00;67,00;6,37;586237,00
Cantabria;06;2015;real;18,30;148,22;16,91;2,91;11,13;5,30;0,65;11,81;1,72;0,78;3,36;0,71;3,30;14,80;6,36;791173926,00;12443843000,00;101,00;67,00;7,55;583551,00
Cantabria;06;2016;real;18,83;160,67;19,41;2,12;11,47;6,18;0,69;12,99;1,78;0,79;3,52;0,65;3,29;15,31;6,29;807838982,00;12833899000,00;88,59;75,43;6,64;581427,00
Cantabria;06;2017;real;18,91;142,79;16,78;3,08;12,84;5,68;0,67;12,35;1,83;0,83;3,53;0,65;3,27;17,00;6,21;827085351,00;13318023000,00;85,50;77,14;8,59;581107,00
Cantabria;06;2018;real;18,72;137,49;18,51;2,45;10,27;7,76;0,66;12,15;1,89;0,80;3,62;0,77;3,28;16,71;6,16;853389380,00;13843935000,00;86,93;66,63;8,55;580971,00
Cantabria;06;2019;real;18,30;137,20;16,33;3,25;10,22;8,39;0,68;12,74;2,08;0,80;4,31;0,64;3,28;15,90;6,14;876879573,00;14274351000,00;100,51;72,80;7,72;581877,00
Cantabria;06;2020;real;17,77;127,95;14,05;3,59;10,91;6,62;0,63;11,25;2,35;0,80;4,94;0,64;3,48;15,49;7,11;923332337,00;12991241000,00;144,92;66,31;7,24;582327,00
Cantabria;06;2021;real;18,37;120,80;13,76;3,37;9,64;5,74;0,58;9,66;2,25;0,80;4,38;0,65;3,34;15,69;7,02;997231051,00;14206538000,00;146,30;70,30;9,37;583485,00
Cantabria;06;2022;real;17,64;126,49;17,66;5,56;9,70;6,64;0,69;13,11;2,20;0,79;4,12;0,69;3,25;16,06;6,58;1024213022,00;15557155000,00;153,54;91,33;6,81;586319,00
Cantabria;06;2023;real;19,66;120,54;13,89;4,92;7,03;6,99;0,62;10,84;2,26;0,79;4,16;0,70;3,11;15,66;6,46;1080659864,00;16740663000,00;173,01;89,90;6,66;589279,00
Cantabria;06;2024;proyeccion;18,82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,73;NA;NA;NA;NA;NA;NA;NA
Cantabria;06;2024;real;NA;120,07;17,47;4,36;8,10;7,96;0,65;11,88;2,30;0,81;4,07;0,67;3,07;NA;6,52;1153704317,00;17700122000,00;150,80;76,76;5,57;591481,00
Cantabria;06;2025;proyeccion;18,82;NA;NA;NA;NA;NA;0,63;11,24;2,31;0,80;4,03;0,67;3,02;15,69;NA;NA;NA;NA;NA;7,10;NA
Cantabria;06;2025;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,66;1225308481,00;18399077585,32;137,00;61,00;NA;594803,00
Cantabria;06;2026;proyeccion;18,82;NA;NA;NA;NA;NA;0,63;11,08;2,35;0,80;4,03;0,67;2,98;15,66;6,53;NA;NA;141,08;72,88;7,10;597287,72
Castilla y León;07;1990;real;NA;3,87;40,57;8,27;30,47;11,38;0,94;21,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2554531,00
Castilla y León;07;1991;real;NA;5,34;44,25;6,89;33,12;12,55;0,97;22,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2543614,00
Castilla y León;07;1992;real;NA;4,79;39,75;7,48;27,66;13,12;0,92;20,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2535612,00
Castilla y León;07;1993;real;NA;4,95;38,29;8,28;28,71;11,57;0,91;20,46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2527278,00
Castilla y León;07;1994;real;NA;5,41;41,46;6,08;24,66;11,66;0,84;17,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2519786,00
Castilla y León;07;1995;real;NA;5,29;36,37;6,30;25,25;11,94;0,82;17,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2511502,00
Castilla y León;07;1996;real;NA;5,78;38,00;6,75;21,83;11,30;0,80;16,80;1,37;NA;2,34;NA;4,41;NA;NA;NA;NA;NA;NA;NA;2501934,00
Castilla y León;07;1997;real;NA;5,26;36,51;5,72;21,02;11,01;0,75;15,20;1,39;NA;2,41;NA;4,40;NA;NA;NA;NA;NA;NA;9,89;2491799,00
Castilla y León;07;1998;real;NA;5,42;34,91;6,77;19,27;11,38;0,76;15,45;1,41;NA;2,40;NA;4,28;NA;NA;NA;NA;NA;NA;10,01;2480851,00
Castilla y León;07;1999;real;NA;156,74;36,08;6,15;18,90;11,84;1,04;24,76;1,44;NA;2,47;NA;4,33;NA;NA;NA;NA;NA;NA;9,47;2469759,00
Castilla y León;07;2000;real;NA;152,11;35,69;5,38;18,48;11,46;1,00;23,40;1,49;NA;2,54;NA;4,38;NA;NA;NA;NA;NA;NA;10,17;2461528,00
Castilla y León;07;2001;real;NA;148,58;32,95;5,87;18,18;9,08;0,95;21,66;1,49;NA;2,59;NA;4,37;NA;NA;NA;NA;NA;NA;10,14;2456655,00
Castilla y León;07;2002;real;NA;150,88;29,67;5,27;16,61;9,83;0,92;20,61;1,47;NA;2,63;NA;4,21;23,07;NA;NA;NA;NA;NA;10,92;2456598,00
Castilla y León;07;2003;real;NA;153,72;32,15;5,41;14,70;8,44;0,90;19,96;1,48;NA;2,68;NA;4,17;24,45;NA;NA;NA;NA;NA;11,57;2460407,00
Castilla y León;07;2004;real;NA;145,67;29,24;4,39;13,43;8,71;0,83;17,81;1,55;1,07;2,78;0,81;4,12;24,21;NA;NA;NA;NA;NA;10,65;2465737,00
Castilla y León;07;2005;real;NA;146,60;30,91;5,08;16,94;9,30;0,90;20,22;1,56;1,08;2,80;0,80;3,97;21,74;NA;NA;NA;NA;NA;10,75;2473223,00
Castilla y León;07;2006;real;19,33;148,56;27,07;4,58;14,86;8,15;0,83;17,90;1,61;1,09;2,92;0,87;3,98;20,09;NA;NA;NA;NA;NA;11,09;2479986,00
Castilla y León;07;2007;real;19,21;146,76;28,16;4,43;15,17;7,63;0,83;17,67;1,66;1,08;3,01;0,84;3,60;21,78;NA;NA;NA;NA;NA;11,39;2492034,00
Castilla y León;07;2008;real;19,22;142,27;23,71;4,46;13,80;7,62;0,78;16,15;1,67;1,09;3,05;0,86;3,57;19,69;NA;NA;NA;NA;NA;9,99;2506454,00
Castilla y León;07;2009;real;19,35;138,59;25,49;3,71;12,79;6,24;0,73;14,52;1,79;1,08;3,20;0,85;3,59;21,26;NA;NA;NA;NA;NA;12,04;2510617,00
Castilla y León;07;2010;real;19,61;134,93;23,53;5,10;11,90;6,48;0,74;14,94;1,83;1,09;3,23;0,86;3,60;20,94;NA;NA;NA;NA;NA;11,32;2495011,00
Castilla y León;07;2011;real;20,55;137,16;22,82;4,65;10,26;5,97;0,71;13,76;1,85;1,10;3,18;0,87;3,69;21,19;NA;NA;NA;NA;NA;12,68;2483838,00
Castilla y León;07;2012;real;19,65;134,20;20,45;5,20;10,26;7,03;0,72;14,20;1,89;1,10;3,21;0,87;3,62;17,86;NA;NA;NA;97,00;39,00;10,30;2468490,00
Castilla y León;07;2013;real;19,50;138,51;21,60;5,06;10,16;5,99;0,71;13,94;1,80;1,10;3,07;0,88;3,45;16,78;NA;NA;NA;84,00;46,00;11,62;2506329,00
Castilla y León;07;2014;real;19,35;132,08;21,34;5,61;10,64;6,90;0,73;14,62;1,86;1,10;3,14;0,88;3,45;18,48;NA;NA;NA;79,00;46,00;13,70;2485344,00
Castilla y León;07;2015;real;19,51;131,08;22,78;4,03;9,28;6,40;0,68;12,77;1,94;1,10;3,25;0,89;3,48;16,93;6,12;3252486438,00;53183396000,00;80,00;47,00;13,45;2464417,00
Castilla y León;07;2016;real;20,33;128,85;19,91;4,36;9,64;5,27;0,65;11,86;1,96;1,10;3,27;0,90;3,43;17,41;6,01;3285027920,00;54630532000,00;107,04;59,22;13,95;2444111,00
Castilla y León;07;2017;real;20,29;127,84;20,61;4,07;7,96;6,29;0,65;11,72;2,03;1,11;3,42;0,90;3,47;17,48;6,17;3446716392,00;55879293000,00;77,76;70,45;11,86;2423871,00
Castilla y León;07;2018;real;20,27;125,51;19,36;4,15;9,91;5,54;0,64;11,62;2,03;1,11;3,53;0,90;3,52;17,45;6,08;3544930466,00;58326859000,00;65,39;61,86;12,72;2410369,00
Castilla y León;07;2019;real;20,12;117,77;19,27;4,71;8,34;6,28;0,64;11,50;2,09;1,12;3,58;0,89;3,50;17,13;5,94;3544930466,00;59649198000,00;93,67;65,79;11,39;2402729,00
Castilla y León;07;2020;real;18,28;121,61;20,10;5,43;8,01;4,84;0,64;11,58;2,12;1,12;3,87;0,88;3,54;16,00;6,47;3544930466,00;54794589000,00;151,85;113,50;10,74;2391406,00
Castilla y León;07;2021;real;19,92;118,21;21,06;5,82;8,61;4,76;0,66;12,01;2,27;1,11;4,00;0,89;3,60;16,72;7,26;4316967631,00;59465900000,00;143,55;76,88;10,13;2047255,00
Castilla y León;07;2022;real;19,55;116,87;19,06;5,49;8,77;5,64;0,65;11,83;2,17;1,10;4,00;0,89;3,59;16,83;6,59;4316967631,00;65467208000,00;123,48;94,86;12,68;2378252,00
Castilla y León;07;2023;real;19,85;116,03;18,77;5,84;8,90;5,83;0,66;12,17;2,29;1,09;4,24;0,89;3,48;16,51;6,71;4690046743,00;69893920000,00;116,47;89,54;11,03;2383702,00
Castilla y León;07;2024;proyeccion;19,70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,03;NA;NA;NA;NA;NA;NA;NA
Castilla y León;07;2024;real;NA;106,46;17,68;3,54;10,35;7,43;0,62;10,81;2,38;1,09;4,31;0,88;3,44;NA;6,50;4812765002,00;73992645000,00;94,76;88,94;11,71;2390573,00
Castilla y León;07;2025;proyeccion;19,70;NA;NA;NA;NA;NA;0,63;11,29;2,37;1,09;4,42;0,88;3,44;15,87;NA;NA;NA;NA;NA;11,60;NA
Castilla y León;07;2025;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,23;4812765002,00;77233592986,80;87,00;102,00;NA;2408383,00
Castilla y León;07;2026;proyeccion;19,70;NA;NA;NA;NA;NA;0,63;11,29;2,41;1,09;4,53;0,88;3,44;15,73;6,40;NA;NA;89,05;109,17;11,60;2399780,37
Castilla-La Mancha;08;1990;real;NA;2,40;46,35;11,80;43,32;16,04;1,26;31,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1658857,00
Castilla-La Mancha;08;1991;real;NA;3,60;47,33;11,12;40,90;18,29;1,27;32,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1662139,00
Castilla-La Mancha;08;1992;real;NA;2,96;48,67;10,92;37,67;19,39;1,25;31,73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1669966,00
Castilla-La Mancha;08;1993;real;NA;3,18;47,29;10,28;32,70;22,06;1,23;30,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1678591,00
Castilla-La Mancha;08;1994;real;NA;3,67;44,81;11,33;31,19;19,59;1,18;29,44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1687817,00
Castilla-La Mancha;08;1995;real;NA;2,94;42,87;10,59;28,44;18,48;1,11;26,91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1697263,00
Castilla-La Mancha;08;1996;real;NA;2,97;43,35;10,64;27,25;16,55;1,07;25,58;1,10;NA;1,86;NA;3,02;NA;NA;NA;NA;NA;NA;NA;1704208,00
Castilla-La Mancha;08;1997;real;NA;3,78;44,13;9,21;27,61;16,49;1,04;24,65;1,15;NA;1,88;NA;3,04;NA;NA;NA;NA;NA;NA;10,41;1709823,00
Castilla-La Mancha;08;1998;real;NA;3,59;37,96;9,94;27,78;15,84;1,01;23,80;1,14;NA;1,91;NA;2,99;NA;NA;NA;NA;NA;NA;11,43;1716276,00
Castilla-La Mancha;08;1999;real;NA;136,22;41,77;7,40;24,66;14,60;1,17;28,98;1,20;NA;2,01;NA;2,93;NA;NA;NA;NA;NA;NA;12,02;1724184,00
Castilla-La Mancha;08;2000;real;NA;135,53;39,69;8,34;24,23;12,58;1,14;28,06;1,21;NA;2,05;NA;2,86;NA;NA;NA;NA;NA;NA;10,21;1734696,00
Castilla-La Mancha;08;2001;real;NA;138,03;38,72;7,79;26,15;11,81;1,13;27,77;1,24;NA;2,17;NA;2,80;NA;NA;NA;NA;NA;NA;11,35;1750380,00
Castilla-La Mancha;08;2002;real;NA;135,34;31,35;7,51;21,23;14,35;1,08;25,86;1,36;NA;2,31;NA;2,76;25,49;NA;NA;NA;NA;NA;11,41;1775307,00
Castilla-La Mancha;08;2003;real;NA;133,07;30,85;7,22;21,10;11,80;1,02;23,90;1,44;NA;2,40;NA;2,68;27,26;NA;NA;NA;NA;NA;14,06;1806711,00
Castilla-La Mancha;08;2004;real;NA;133,75;31,45;6,74;19,71;10,02;0,96;22,20;1,51;0,79;2,43;0,70;2,64;26,24;NA;NA;NA;NA;NA;13,26;1839900,00
Castilla-La Mancha;08;2005;real;NA;128,85;30,81;8,70;18,58;12,34;1,03;24,37;1,58;0,78;2,53;0,70;2,58;23,69;NA;NA;NA;NA;NA;16,20;1874753,00
Castilla-La Mancha;08;2006;real;17,49;123,54;28,60;6,38;16,90;7,48;0,85;18,40;1,58;0,78;2,65;0,70;2,61;21,01;NA;NA;NA;NA;NA;16,35;1909039,00
Castilla-La Mancha;08;2007;real;17,43;132,85;27,17;7,00;17,11;10,31;0,93;20,91;1,64;0,78;2,87;0,71;2,63;20,75;NA;NA;NA;NA;NA;17,07;1951388,00
Castilla-La Mancha;08;2008;real;17,33;125,16;27,08;6,93;15,51;10,57;0,90;19,97;1,76;0,81;2,84;0,73;2,63;19,76;NA;NA;NA;NA;NA;16,62;2001643,00
Castilla-La Mancha;08;2009;real;17,29;123,29;25,38;6,06;15,03;9,03;0,83;17,80;2,00;0,81;2,86;0,72;2,64;18,98;NA;NA;NA;NA;NA;15,06;2037771,00
Castilla-La Mancha;08;2010;real;17,59;122,87;22,87;6,01;13,68;8,95;0,80;16,79;1,89;0,82;3,14;0,73;2,58;18,75;NA;NA;NA;NA;NA;16,89;2039490,00
Castilla-La Mancha;08;2011;real;18,42;130,49;21,66;5,51;11,81;9,10;0,78;16,11;1,89;0,82;3,02;0,73;2,54;18,32;NA;NA;NA;NA;NA;14,84;2045429,00
Castilla-La Mancha;08;2012;real;17,83;130,20;22,49;6,16;12,15;10,29;0,82;17,56;1,77;0,82;2,86;0,74;2,31;19,57;NA;NA;NA;157,00;67,00;14,37;2043343,00
Castilla-La Mancha;08;2013;real;18,11;125,65;19,96;5,31;11,27;7,97;0,73;14,52;1,72;0,82;2,85;0,76;2,19;18,38;NA;NA;NA;167,00;70,00;12,56;2083577,00
Castilla-La Mancha;08;2014;real;18,26;121,38;21,42;6,13;10,36;8,64;0,75;15,28;1,74;0,82;2,79;0,75;2,21;18,62;NA;NA;NA;110,00;44,00;13,56;2067578,00
Castilla-La Mancha;08;2015;real;18,34;122,14;22,06;5,67;11,53;8,98;0,77;15,63;1,79;0,82;3,03;0,74;2,30;17,83;6,35;2412822220,00;37998035000,00;118,00;42,00;13,72;2054037,00
Castilla-La Mancha;08;2016;real;19,35;123,59;19,86;5,47;9,87;7,60;0,71;13,85;1,84;0,82;3,13;0,75;2,36;18,80;6,72;2630611680,00;39136242000,00;162,28;42,24;13,97;2043290,00
Castilla-La Mancha;08;2017;real;18,98;124,20;18,09;5,94;11,05;9,94;0,77;15,65;1,88;0,84;3,24;0,75;2,35;18,60;6,68;2724969590,00;40768959000,00;163,35;45,71;12,45;2034799,00
Castilla-La Mancha;08;2018;real;19,32;121,19;17,28;4,12;9,98;8,04;0,67;12,36;1,90;0,82;3,36;0,75;2,33;18,26;6,64;2809202270,00;42290925000,00;133,74;41,38;12,11;2030260,00
Castilla-La Mancha;08;2019;real;20,27;115,16;18,58;3,69;10,70;6,95;0,64;11,49;1,95;0,83;3,34;0,75;2,34;17,73;6,47;2809202270,00;43393303000,00;163,00;42,38;12,79;2038700,00
Castilla-La Mancha;08;2020;real;17,86;111,46;20,27;3,54;12,60;6,74;0,65;11,94;1,99;0,83;4,09;0,76;2,34;16,26;7,55;3040499320,00;40254360000,00;285,92;51,36;14,73;2043062,00
Castilla-La Mancha;08;2021;real;19,77;114,88;20,61;3,56;9,99;7,79;0,65;11,97;2,00;0,84;3,95;0,77;2,47;16,15;8,43;3717533530,00;44123986000,00;113,37;68,90;15,25;2379184,00
Castilla-La Mancha;08;2022;real;19,89;111,76;21,19;4,43;9,72;6,07;0,64;11,57;2,06;0,83;3,83;0,76;2,43;16,80;7,34;3673248580,00;50032018000,00;105,52;60,75;15,31;2069351,00
Castilla-La Mancha;08;2023;real;19,93;111,05;20,86;3,58;8,71;7,19;0,63;11,05;2,11;0,84;3,84;0,83;2,42;16,16;7,00;3675941730,00;52544941000,00;102,36;59,91;12,76;2089074,00
Castilla-La Mancha;08;2024;proyeccion;20,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,28;NA;NA;NA;NA;NA;NA;NA
Castilla-La Mancha;08;2024;real;NA;109,87;18,02;4,65;8,20;5,05;0,59;9,98;2,09;0,84;3,82;0,82;2,36;NA;7,04;3909573620,00;55559897000,00;113,21;59,88;13,77;2108763,00
Castilla-La Mancha;08;2025;proyeccion;20,24;NA;NA;NA;NA;NA;0,57;9,05;2,14;0,84;3,93;0,83;2,38;16,23;NA;NA;NA;NA;NA;13,54;NA
Castilla-La Mancha;08;2025;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,62;3834163140,00;57877789156,08;92,00;64,00;NA;2138516,00
Castilla-La Mancha;08;2026;proyeccion;20,40;NA;NA;NA;NA;NA;0,55;8,42;2,18;0,84;4,01;0,83;2,38;16,17;6,85;NA;NA;130,67;61,31;13,54;2145495,77
Cataluña;09;1990;real;NA;5,71;50,40;9,87;37,62;20,29;1,26;31,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6057351,00
Cataluña;09;1991;real;NA;5,74;48,84;10,21;35,17;18,57;1,20;30,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6067168,00
Cataluña;09;1992;real;NA;6,15;49,59;8,63;32,53;16,66;1,11;27,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6081457,00
Cataluña;09;1993;real;NA;6,04;48,65;8,24;30,62;18,42;1,11;26,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6094088,00
Cataluña;09;1994;real;NA;5,90;45,21;7,83;30,09;15,11;1,01;23,85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6102869,00
Cataluña;09;1995;real;NA;5,61;44,54;7,95;28,20;16,70;1,02;24,09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6112236,00
Cataluña;09;1996;real;NA;4,65;43,50;7,22;22,82;14,78;0,91;20,41;1,30;NA;2,42;NA;4,86;NA;NA;NA;NA;NA;NA;NA;6126745,00
Cataluña;09;1997;real;NA;5,76;41,95;7,59;23,76;14,66;0,92;20,74;1,33;NA;2,45;NA;4,73;NA;NA;NA;NA;NA;NA;4,11;6144587,00
Cataluña;09;1998;real;NA;5,86;41,00;7,75;22,41;13,92;0,89;19,86;1,32;NA;2,46;NA;4,66;NA;NA;NA;NA;NA;NA;5,10;6168342,00
Cataluña;09;1999;real;NA;167,73;40,61;7,78;23,46;17,44;1,27;32,27;1,40;NA;2,51;NA;4,69;NA;NA;NA;NA;NA;NA;5,23;6199851,00
Cataluña;09;2000;real;NA;158,48;37,35;7,36;20,24;13,80;1,13;27,65;1,44;NA;2,54;NA;4,65;NA;NA;NA;NA;NA;NA;5,98;6251210,00
Cataluña;09;2001;real;NA;163,48;36,35;7,30;21,24;11,88;1,11;26,98;1,50;NA;2,61;NA;4,57;NA;NA;NA;NA;NA;NA;5,90;6314763,00
Cataluña;09;2002;real;NA;156,48;34,13;6,69;19,02;13,65;1,08;25,90;1,69;NA;2,72;NA;4,61;24,37;NA;NA;NA;NA;NA;6,60;6418387,00
Cataluña;09;2003;real;NA;155,79;33,13;7,39;18,53;13,36;1,08;25,94;1,80;NA;2,68;NA;4,44;24,05;NA;NA;NA;NA;NA;5,08;6565154,00
Cataluña;09;2004;real;NA;154,85;30,22;6,57;16,48;11,51;0,99;22,95;1,90;0,63;2,73;0,61;4,47;24,11;NA;NA;NA;NA;NA;5,87;6710823,00
Cataluña;09;2005;real;NA;150,17;29,14;7,40;17,22;12,83;1,02;24,14;1,90;0,64;2,83;0,63;4,35;22,96;NA;NA;NA;NA;NA;5,21;6860191,00
Cataluña;09;2006;real;18,00;148,85;28,24;5,85;15,99;9,13;0,90;20,12;2,00;0,73;2,90;0,70;4,35;21,53;NA;NA;NA;NA;NA;5,53;6999900,00
Cataluña;09;2007;real;17,95;147,12;25,37;6,23;15,03;10,28;0,90;20,14;2,05;0,72;2,98;0,65;4,26;19,85;NA;NA;NA;NA;NA;6,33;7166031,00
Cataluña;09;2008;real;18,11;141,36;22,95;6,33;15,30;10,10;0,88;19,40;2,13;0,70;3,06;0,64;4,19;19,01;NA;NA;NA;NA;NA;5,08;7270468,00
Cataluña;09;2009;real;18,21;139,16;20,02;5,52;13,61;9,74;0,82;17,29;2,17;0,72;3,16;0,66;4,17;18,37;NA;NA;NA;NA;NA;6,04;7288059,00
Cataluña;09;2010;real;18,52;142,06;22,69;5,23;11,81;8,75;0,79;16,59;1,83;0,72;3,25;0,67;4,11;17,35;NA;NA;NA;NA;NA;5,26;7321095,00
Cataluña;09;2011;real;19,00;137,57;18,44;4,79;11,77;8,22;0,74;14,85;1,83;0,73;3,15;0,68;3,96;17,18;NA;NA;NA;NA;NA;5,85;7303144,00
Cataluña;09;2012;real;18,28;136,73;21,57;4,29;11,92;8,62;0,75;15,22;1,83;0,75;3,17;0,69;3,93;15,67;NA;NA;NA;NA;NA;5,98;7289809,00
Cataluña;09;2013;real;18,05;135,65;19,42;3,87;10,82;8,77;0,72;14,13;1,76;0,73;3,07;0,69;3,76;14,69;NA;NA;NA;NA;NA;5,40;7443579,00
Cataluña;09;2014;real;17,85;129,95;18,21;3,32;9,86;7,63;0,66;12,15;1,84;0,72;3,16;0,68;3,81;15,04;NA;NA;NA;NA;NA;5,35;7399605,00
Cataluña;09;2015;real;17,86;127,65;19,52;3,50;10,46;8,79;0,69;13,24;1,90;0,72;3,26;0,67;3,83;14,22;4,00;8258548090,72;206434270000,00;NA;NA;6,16;7396118,00
Cataluña;09;2016;real;18,44;126,27;16,95;4,26;10,11;8,18;0,68;12,87;1,94;0,73;3,33;0,72;3,85;14,44;3,98;8531977179,82;214502547000,00;173,00;138,00;7,25;7416534,00
Cataluña;09;2017;real;18,27;124,32;17,86;4,75;9,96;8,84;0,71;13,65;2,01;0,75;3,41;0,75;3,89;14,30;3,86;8616575864,15;223139777000,00;148,00;98,00;5,88;7453959,00
Cataluña;09;2018;real;18,30;123,87;17,01;4,24;10,05;8,09;0,67;12,63;2,06;0,76;3,45;0,72;3,88;14,03;3,73;8616575864,15;231101287000,00;151,00;91,00;6,76;7516151,00
Cataluña;09;2019;real;20,27;119,02;15,59;3,58;9,15;7,09;0,61;10,67;2,09;0,77;3,54;0,75;3,84;13,55;3,80;9134162335,42;240165818000,00;155,00;101,00;7,24;7610226,00
Cataluña;09;2020;real;18,53;116,01;15,76;3,96;9,56;5,66;0,60;10,16;2,09;0,77;3,63;0,75;3,83;11,84;4,42;9494241602,78;214857435000,00;190,00;152,00;8,22;7656842,00
Cataluña;09;2021;real;19,80;114,05;16,61;3,76;9,25;5,75;0,59;9,97;2,25;0,73;3,74;0,68;3,79;12,11;4,04;9494241602,78;234820402000,00;156,00;93,00;9,25;7662005,00
Cataluña;09;2022;real;19,74;112,09;17,44;3,24;9,34;5,80;0,58;9,62;2,33;0,76;3,88;0,76;3,79;12,56;4,00;10354756810,75;258787407000,00;154,00;94,00;9,38;7829317,00
Cataluña;09;2023;real;20,02;111,14;15,55;3,67;9,33;6,22;0,59;9,82;2,24;0,76;3,93;0,79;3,65;11,73;4,00;11335301941,00;283274025000,00;138,00;97,00;9,53;7970295,00
Cataluña;09;2024;proyeccion;19,81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,57;NA;NA;NA;NA;NA;NA;NA
Cataluña;09;2024;real;NA;110,10;14,76;3,29;9,30;7,00;0,59;9,71;2,30;0,76;3,93;0,79;3,61;NA;3,89;11747006548,59;302303884000,00;145,00;110,00;11,19;8067989,00
Cataluña;09;2025;proyeccion;19,81;NA;NA;NA;NA;NA;0,57;9,32;2,32;0,76;4,03;0,78;3,57;11,31;NA;NA;NA;NA;NA;11,46;NA
Cataluña;09;2025;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,74;11747006548,59;314476551469,54;142,00;120,00;NA;8161273,00
Cataluña;09;2026;proyeccion;19,81;NA;NA;NA;NA;NA;0,57;9,09;2,34;0,76;4,08;0,79;3,53;11,06;3,93;NA;NA;150,49;109,26;12,19;8289100,10
Ceuta;18;1990;real;NA;7,06;105,01;22,68;85,40;22,53;2,40;69,35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66712,00
Ceuta;18;1991;real;NA;3,11;84,32;19,20;71,17;48,60;2,49;72,46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67851,00
Ceuta;18;1992;real;NA;2,56;94,34;22,75;48,61;21,22;1,95;54,59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68379,00
Ceuta;18;1993;real;NA;2,73;92,10;12,52;40,32;47,02;2,03;57,43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68919,00
Ceuta;18;1994;real;NA;9,23;88,04;20,16;47,79;23,54;1,89;52,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69399,00
Ceuta;18;1995;real;NA;0,00;89,84;18,25;64,70;22,07;1,97;55,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69807,00
Ceuta;18;1996;real;NA;0,00;96,21;29,51;41,65;27,54;2,16;61,76;1,57;NA;2,88;NA;3,73;NA;NA;NA;NA;NA;NA;NA;70164,00
Ceuta;18;1997;real;NA;0,00;57,14;23,28;46,38;19,33;1,69;46,25;1,45;NA;3,04;NA;3,49;NA;NA;NA;NA;NA;NA;11,24;70484,00
Ceuta;18;1998;real;NA;2,36;79,22;16,67;40,29;25,71;1,70;46,53;1,50;NA;2,77;NA;3,04;NA;NA;NA;NA;NA;NA;22,79;70772,00
