ccaa;ccaa_cod;periodo;genero;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;reingresos_psiq;poblacion_total
Cantabria;06;2002;hombres;real;NA;260,59;50,15;4,59;28,55;12,83;1,39;36,20;5,33;261741
Cantabria;06;2002;mujeres;real;NA;100,22;10,63;4,56;12,39;5,11;0,57;9,33;5,19;275504
Cantabria;06;2003;hombres;real;NA;223,22;38,82;8,70;30,67;20,00;1,50;39,95;8,77;264431
Cantabria;06;2003;mujeres;real;NA;90,09;9,74;4,10;14,57;4,73;0,55;8,63;6,25;277936
Cantabria;06;2004;hombres;real;NA;225,17;40,68;9,07;26,94;13,44;1,38;35,83;5,79;267412
Cantabria;06;2004;mujeres;real;NA;90,71;8,54;3,89;11,82;2,32;0,47;6,04;5,37;280696
Cantabria;06;2005;hombres;real;NA;208,19;41,63;8,55;22,71;14,74;1,32;33,88;5,88;270552
Cantabria;06;2005;mujeres;real;NA;83,91;8,26;2,97;12,03;3,45;0,46;5,49;6,25;283596
Cantabria;06;2006;hombres;real;16,91;215,84;37,98;10,36;26,09;14,34;1,39;36,07;7,27;273688
Cantabria;06;2006;mujeres;real;21,58;99,15;6,24;1,80;16,39;0,89;0,44;5,05;7,76;286502
Cantabria;06;2007;hombres;real;16,89;219,71;43,19;8,29;27,72;15,60;1,41;36,76;6,02;277260
Cantabria;06;2007;mujeres;real;21,48;86,52;5,88;3,12;10,51;1,27;0,40;3,63;7,56;289828
Cantabria;06;2008;hombres;real;16,32;215,77;37,69;5,10;23,68;11,31;1,17;29,11;7,90;280573
Cantabria;06;2008;mujeres;real;20,91;85,71;10,68;4,57;14,31;0,40;0,49;6,41;7,64;293185
Cantabria;06;2009;hombres;real;15,52;208,90;31,11;3,94;17,42;10,49;1,02;24,02;11,39;282768
Cantabria;06;2009;mujeres;real;20,37;85,43;6,79;2,11;12,64;1,60;0,40;3,75;8,13;295115
Cantabria;06;2010;hombres;real;15,80;219,84;33,50;0,73;22,91;10,01;1,02;23,95;5,03;282745
Cantabria;06;2010;mujeres;real;20,74;90,65;10,05;0,44;9,40;2,93;0,38;2,98;6,69;296319
Cantabria;06;2011;hombres;real;17,01;209,23;32,44;1,65;27,60;12,03;1,10;26,52;6,80;281718
Cantabria;06;2011;mujeres;real;19,69;101,87;6,26;1,72;9,67;1,95;0,40;3,59;6,63;296572
Cantabria;06;2012;hombres;real;16,77;206,13;30,76;1,50;17,63;9,38;0,93;21,18;9,14;281579
Cantabria;06;2012;mujeres;real;19,73;98,33;6,08;0,94;5,15;2,26;0,33;1,41;4,85;296418
Cantabria;06;2013;hombres;real;17,40;192,33;28,90;1,91;17,01;12,27;0,95;21,74;6,76;287916
Cantabria;06;2013;mujeres;real;19,24;100,25;7,79;0,00;7,57;2,34;0,35;1,87;5,76;300615
Cantabria;06;2014;hombres;real;17,60;206,68;31,09;2,69;14,20;12,79;0,99;23,09;6,69;286749
Cantabria;06;2014;mujeres;real;18,43;94,28;4,50;1,14;6,45;3,48;0,36;2,13;6,08;299488
Cantabria;06;2015;hombres;real;17,88;197,91;30,13;4,59;12,67;8,70;0,93;21,17;7,34;285161
Cantabria;06;2015;mujeres;real;19,05;103,40;4,76;1,43;9,67;2,26;0,39;3,34;7,75;298390
Cantabria;06;2016;hombres;real;18,35;220,20;30,97;2,76;15,10;8,29;0,95;21,73;7,92;283941
Cantabria;06;2016;mujeres;real;20,07;106,32;8,74;1,52;8,17;4,35;0,44;5,03;5,33;297486
Cantabria;06;2017;hombres;real;18,44;185,75;27,51;4,58;16,42;7,07;0,90;20,21;8,83;283604
Cantabria;06;2017;mujeres;real;20,11;103,47;6,63;1,73;9,67;4,48;0,45;5,19;8,33;297503
Cantabria;06;2018;hombres;real;18,17;188,79;32,93;3,25;14,38;12,27;0,97;22,54;7,30;283345
Cantabria;06;2018;mujeres;real;20,01;90,98;5,09;1,70;6,43;3,73;0,37;2,64;9,85;297627
Cantabria;06;2019;hombres;real;16,88;169,23;27,90;4,66;14,36;10,68;0,92;20,68;7,11;283581
Cantabria;06;2019;mujeres;real;19,55;108,92;5,65;1,96;6,30;6,40;0,46;5,54;8,33;298296
Cantabria;06;2020;hombres;real;16,49;165,78;22,60;6,85;15,25;9,00;0,92;20,66;7,16;283778
Cantabria;06;2020;mujeres;real;18,90;93,78;6,14;0,66;6,96;4,49;0,37;2,73;7,32;298549
Cantabria;06;2021;hombres;real;16,95;158,81;24,29;3,72;13,86;8,66;0,82;17,28;9,33;284341
Cantabria;06;2021;mujeres;real;19,64;86,56;4,01;3,03;5,70;3,09;0,37;2,68;9,40;299144
Cantabria;06;2022;hombres;real;16,46;160,49;28,48;7,42;12,74;9,87;0,95;21,57;6,47;284354
Cantabria;06;2022;mujeres;real;18,68;95,68;7,45;3,83;7,02;3,73;0,45;5,34;7,05;301965
Cantabria;06;2023;hombres;real;18,14;154,02;22,29;7,60;7,65;9,44;0,85;18,31;6,59;285492
Cantabria;06;2023;mujeres;real;21,04;90,58;6,11;2,47;6,52;4,82;0,42;4,09;6,72;303787
Cantabria;06;2024;hombres;proyeccion;17,57;147,24;28,81;6,43;10,40;9,55;0,87;19,05;6,10;286394
Cantabria;06;2024;mujeres;proyeccion;20,12;95,86;6,91;2,41;5,95;6,52;0,45;5,29;5,05;305087
Cantabria;06;2025;hombres;proyeccion;17,57;NA;NA;NA;NA;NA;0,83;17,86;7,31;288128
Cantabria;06;2025;mujeres;proyeccion;20,12;NA;NA;NA;NA;NA;0,44;4,80;6,61;306675
Castilla y León;07;1990;hombres;real;NA;7,00;66,78;8,10;37,81;18,67;1,28;32,59;NA;1264360
Castilla y León;07;1990;mujeres;real;NA;0,96;17,34;8,33;23,93;5,30;0,63;11,34;NA;1290171
Castilla y León;07;1991;hombres;real;NA;10,13;71,13;7,26;41,22;21,19;1,36;35,40;NA;1258243
Castilla y León;07;1991;mujeres;real;NA;0,94;20,04;6,64;25,77;5,16;0,62;10,92;NA;1285371
Castilla y León;07;1992;hombres;real;NA;8,92;62,69;7,39;32,33;23,08;1,26;32,08;NA;1253799
Castilla y León;07;1992;mujeres;real;NA;0,92;18,93;7,48;23,24;4,58;0,60;10,28;NA;1281813
Castilla y León;07;1993;hombres;real;NA;9,43;62,59;7,98;35,83;19,95;1,26;31,96;NA;1249161
Castilla y León;07;1993;mujeres;real;NA;0,72;16,12;8,53;22,14;4,17;0,60;10,05;NA;1278117
Castilla y León;07;1994;hombres;real;NA;9,78;67,10;6,23;30,59;20,33;1,20;29,86;NA;1245119
Castilla y León;07;1994;mujeres;real;NA;1,18;17,99;5,90;19,17;4,07;0,51;7,20;NA;1274667
Castilla y León;07;1995;hombres;real;NA;9,43;60,16;7,06;31,48;21,47;1,21;30,19;NA;1240730
Castilla y León;07;1995;mujeres;real;NA;1,33;14,57;5,54;19,71;3,49;0,48;6,13;NA;1270772
Castilla y León;07;1996;hombres;real;NA;10,64;60,54;6,52;27,22;20,01;1,13;27,69;NA;1235576
Castilla y León;07;1996;mujeres;real;NA;1,11;17,00;6,98;16,96;3,58;0,50;6,94;NA;1266358
Castilla y León;07;1997;hombres;real;NA;9,79;61,21;6,53;28,71;19,04;1,13;27,71;9,85;1230199
Castilla y León;07;1997;mujeres;real;NA;0,92;13,80;5,00;13,98;4,00;0,41;3,95;9,92;1261600
Castilla y León;07;1998;hombres;real;NA;10,05;57,77;7,90;24,65;20,74;1,14;27,88;9,50;1224325
Castilla y León;07;1998;mujeres;real;NA;1,02;13,70;5,74;14,33;3,11;0,42;4,17;10,51;1256526
Castilla y León;07;1999;hombres;real;NA;217,29;61,98;7,06;25,62;21,40;1,55;41,62;9,82;1218155
Castilla y León;07;1999;mujeres;real;NA;100,90;12,24;5,22;12,88;3,48;0,58;9,46;9,11;1251604
Castilla y León;07;2000;hombres;real;NA;212,27;59,80;7,25;22,55;20,20;1,49;39,40;9,84;1213573
Castilla y León;07;2000;mujeres;real;NA;96,86;13,32;3,69;14,71;3,74;0,56;8,86;10,50;1247955
Castilla y León;07;2001;hombres;real;NA;205,85;55,64;7,41;24,33;16,28;1,41;36,73;9,86;1210752
Castilla y León;07;2001;mujeres;real;NA;96,30;11,86;4,47;12,47;2,72;0,53;7,91;10,44;1245903
Castilla y León;07;2002;hombres;real;NA;214,90;48,09;7,30;20,68;17,34;1,36;35,24;10,47;1210647
Castilla y León;07;2002;mujeres;real;NA;91,61;12,26;3,35;12,88;3,14;0,51;7,13;11,42;1245951
Castilla y León;07;2003;hombres;real;NA;215,23;53,84;6,57;20,46;15,28;1,34;34,48;11,02;1212941
Castilla y León;07;2003;mujeres;real;NA;96,62;11,92;4,35;9,39;2,32;0,49;6,63;12,14;1247466
Castilla y León;07;2004;hombres;real;NA;209,56;48,24;5,38;18,15;15,66;1,25;31,56;10,35;1215976
Castilla y León;07;2004;mujeres;real;NA;85,95;11,42;3,44;9,04;2,48;0,45;5,09;10,99;1249761
Castilla y León;07;2005;hombres;real;NA;203,51;53,29;6,15;21,75;16,64;1,34;34,47;10,76;1220128
Castilla y León;07;2005;mujeres;real;NA;93,15;9,87;4,08;12,47;2,72;0,50;7,03;10,74;1253095
Castilla y León;07;2006;hombres;real;17,08;204,58;44,97;5,05;19,15;15,31;1,22;30,50;9,89;1223911
Castilla y León;07;2006;mujeres;real;21,42;96,38;9,96;4,08;10,96;1,73;0,48;6,20;12,47;1256075
Castilla y León;07;2007;hombres;real;16,92;202,72;45,93;5,92;20,33;13,50;1,22;30,66;11,48;1230528
Castilla y León;07;2007;mujeres;real;21,37;94,08;11,17;3,02;10,40;2,33;0,46;5,55;11,29;1261506
Castilla y León;07;2008;hombres;real;17,31;195,90;40,52;5,78;18,33;13,53;1,16;28,48;9,96;1238620
Castilla y León;07;2008;mujeres;real;21,00;91,48;7,65;3,20;9,62;2,29;0,43;4,61;10,02;1267834
Castilla y León;07;2009;hombres;real;17,58;192,02;41,66;4,87;15,54;11,47;1,07;25,63;13,57;1241756
Castilla y León;07;2009;mujeres;real;21,02;87,59;9,83;2,61;10,23;1,39;0,41;3,97;10,28;1268861
Castilla y León;07;2010;hombres;real;17,64;185,77;38,95;6,76;17,16;11,86;1,11;27,07;10,94;1231241
Castilla y León;07;2010;mujeres;real;21,49;86,74;8,55;3,55;6,86;1,51;0,40;3,45;11,73;1263770
Castilla y León;07;2011;hombres;real;19,09;183,49;38,78;6,47;12,42;10,81;1,04;24,54;12,43;1225087
Castilla y León;07;2011;mujeres;real;21,81;92,34;7,41;2,88;8,16;1,44;0,39;3,41;12,95;1258751
Castilla y León;07;2012;hombres;real;18,16;181,11;33,59;7,62;13,11;13,06;1,08;25,89;9,35;1216784
Castilla y León;07;2012;mujeres;real;21,04;89,12;7,64;2,90;7,60;1,46;0,38;3,10;11,29;1251706
Castilla y León;07;2013;hombres;real;18,01;184,00;35,83;6,85;11,85;10,20;1,01;23,82;10,70;1241110
Castilla y León;07;2013;mujeres;real;20,91;94,69;7,55;3,32;8,57;2,02;0,42;4,41;12,57;1265219
Castilla y León;07;2014;hombres;real;17,92;177,16;36,36;8,30;13,35;11,53;1,08;25,93;11,36;1229989
Castilla y León;07;2014;mujeres;real;20,70;88,23;6,56;3,03;8,00;2,51;0,40;3,68;16,02;1255355
Castilla y León;07;2015;hombres;real;17,68;174,02;38,95;6,09;11,82;10,97;1,01;23,56;11,20;1218853
Castilla y León;07;2015;mujeres;real;21,28;89,27;6,75;1,99;6,82;2,05;0,36;2,25;15,74;1245564
Castilla y León;07;2016;hombres;real;17,84;169,47;32,42;6,12;12,54;8,35;0,92;20,85;10,60;1208103
Castilla y León;07;2016;mujeres;real;22,80;89,04;7,47;2,61;6,85;2,32;0,38;3,06;17,15;1236008
Castilla y León;07;2017;hombres;real;17,86;165,52;33,52;5,95;10,21;10,88;0,94;21,34;10,57;1197430
Castilla y León;07;2017;mujeres;real;22,71;91,09;7,75;2,24;5,76;1,83;0,36;2,31;13,16;1226441
Castilla y León;07;2018;hombres;real;17,95;161,23;32,45;6,09;12,14;8,87;0,91;20,48;11,70;1190354
Castilla y León;07;2018;mujeres;real;22,53;90,41;6,25;2,21;7,69;2,32;0,38;2,85;13,71;1220015
Castilla y León;07;2019;hombres;real;18,14;156,53;31,49;7,66;10,63;9,30;0,93;21,09;11,10;1186035
Castilla y León;07;2019;mujeres;real;22,10;79,81;7,06;1,82;6,11;3,30;0,35;2,05;11,67;1216694
Castilla y León;07;2020;hombres;real;16,46;158,64;32,97;8,16;10,17;7,26;0,92;20,61;10,30;1180232
Castilla y León;07;2020;mujeres;real;20,18;85,11;7,24;2,75;5,87;2,49;0,37;2,67;11,19;1211174
Castilla y León;07;2021;hombres;real;17,81;154,29;34,85;9,31;12,05;7,22;0,97;22,23;9,90;1027817
Castilla y León;07;2021;mujeres;real;22,09;82,69;7,26;2,37;5,18;2,37;0,35;1,92;10,37;1019438
Castilla y León;07;2022;hombres;real;17,63;149,69;30,99;8,12;10,78;9,14;0,93;20,91;13,21;1171065
Castilla y León;07;2022;mujeres;real;21,50;84,66;7,21;2,87;6,80;2,22;0,38;2,89;12,17;1207187
Castilla y León;07;2023;hombres;real;18,67;145,77;31,68;8,32;11,25;8,95;0,93;21,00;11,97;1170843
Castilla y León;07;2023;mujeres;real;20,79;86,99;5,99;3,41;6,61;2,81;0,40;3,53;10,10;1212859
Castilla y León;07;2024;hombres;proyeccion;17,96;139,85;29,15;5,75;13,93;11,22;0,90;20,14;11,28;1174709
Castilla y León;07;2024;mujeres;proyeccion;21,35;74,16;6,28;1,42;6,84;3,79;0,34;1,73;12,11;1215864
Castilla y León;07;2025;hombres;proyeccion;17,96;NA;NA;NA;NA;NA;0,91;20,42;11,40;1186809
Castilla y León;07;2025;mujeres;proyeccion;21,35;NA;NA;NA;NA;NA;0,36;2,25;11,53;1221574
Castilla-La Mancha;08;1990;hombres;real;NA;4,20;68,28;9,89;53,44;26,86;1,62;43,82;NA;823042
Castilla-La Mancha;08;1990;mujeres;real;NA;0,74;26,40;13,27;34,51;6,83;0,94;21,40;NA;835815
Castilla-La Mancha;08;1991;hombres;real;NA;6,15;71,38;9,54;48,04;30,54;1,64;44,56;NA;824747
Castilla-La Mancha;08;1991;mujeres;real;NA;1,22;25,53;12,39;34,33;7,58;0,92;20,90;NA;837392
Castilla-La Mancha;08;1992;hombres;real;NA;5,45;73,71;10,33;45,33;33,10;1,69;46,17;NA;828815
Castilla-La Mancha;08;1992;mujeres;real;NA;0,64;25,42;11,38;30,65;7,15;0,85;18,56;NA;841151
Castilla-La Mancha;08;1993;hombres;real;NA;5,78;71,00;9,71;36,91;37,37;1,65;44,86;NA;833300
Castilla-La Mancha;08;1993;mujeres;real;NA;0,70;25,52;10,75;28,87;8,32;0,84;18,14;NA;845291
Castilla-La Mancha;08;1994;hombres;real;NA;6,85;70,64;11,17;38,78;34,16;1,65;44,88;NA;838116
Castilla-La Mancha;08;1994;mujeres;real;NA;0,71;20,87;11,40;24,17;6,44;0,75;15,26;NA;849701
Castilla-La Mancha;08;1995;hombres;real;NA;5,07;66,76;8,90;33,93;31,16;1,47;38,91;NA;843052
Castilla-La Mancha;08;1995;mujeres;real;NA;0,92;20,83;12,13;23,30;7,07;0,78;15,96;NA;854211
Castilla-La Mancha;08;1996;hombres;real;NA;5,45;68,05;11,41;34,72;28,67;1,51;40,14;NA;846758
Castilla-La Mancha;08;1996;mujeres;real;NA;0,67;20,47;9,97;20,33;5,53;0,66;12,24;NA;857450
Castilla-La Mancha;08;1997;hombres;real;NA;6,62;69,15;9,65;33,68;27,38;1,44;37,87;9,00;849694
Castilla-La Mancha;08;1997;mujeres;real;NA;1,07;20,76;8,77;22,01;6,55;0,67;12,42;12,03;860129
Castilla-La Mancha;08;1998;hombres;real;NA;5,25;60,17;9,94;35,85;27,54;1,42;37,17;11,49;852956
Castilla-La Mancha;08;1998;mujeres;real;NA;1,98;17,28;9,91;20,35;5,23;0,64;11,52;11,35;863320
Castilla-La Mancha;08;1999;hombres;real;NA;190,46;66,34;8,08;30,26;26,27;1,68;45,83;10,45;857000
Castilla-La Mancha;08;1999;mujeres;real;NA;86,48;18,75;6,71;19,53;4,06;0,70;13,48;13,89;867184
Castilla-La Mancha;08;2000;hombres;real;NA;185,12;59,59;9,09;27,95;21,43;1,55;41,63;8,82;862555
Castilla-La Mancha;08;2000;mujeres;real;NA;89,83;20,96;7,62;20,75;4,59;0,76;15,55;11,78;872141
Castilla-La Mancha;08;2001;hombres;real;NA;189,47;61,54;9,62;32,82;20,44;1,62;43,72;10,11;871139
Castilla-La Mancha;08;2001;mujeres;real;NA;91,16;17,55;6,13;20,03;3,99;0,69;13,18;12,78;879241
Castilla-La Mancha;08;2002;hombres;real;NA;185,79;48,49;8,65;27,72;26,04;1,56;41,78;11,06;884608
Castilla-La Mancha;08;2002;mujeres;real;NA;88,81;15,40;6,42;15,21;3,74;0,63;11,19;11,80;890699
Castilla-La Mancha;08;2003;hombres;real;NA;183,33;49,04;7,93;29,03;21,21;1,47;38,83;13,27;901177
Castilla-La Mancha;08;2003;mujeres;real;NA;87,03;13,86;6,54;13,78;3,34;0,60;10,21;14,90;905534
Castilla-La Mancha;08;2004;hombres;real;NA;187,77;50,07;8,75;24,60;18,05;1,41;36,79;12,02;919060
Castilla-La Mancha;08;2004;mujeres;real;NA;84,09;13,90;4,84;15,13;2,80;0,56;8,74;14,88;920840
Castilla-La Mancha;08;2005;hombres;real;NA;180,77;49,43;8,95;22,29;21,95;1,44;37,85;14,26;938414
Castilla-La Mancha;08;2005;mujeres;real;NA;81,19;13,27;8,46;15,10;3,60;0,65;11,92;18,48;936339
Castilla-La Mancha;08;2006;hombres;real;17,09;171,01;46,75;7,42;21,79;14,26;1,23;30,98;14,46;957400
Castilla-La Mancha;08;2006;mujeres;real;18,11;79,63;11,42;5,34;12,40;1,37;0,50;6,74;18,58;951639
Castilla-La Mancha;08;2007;hombres;real;16,98;183,54;43,48;8,87;21,96;18,50;1,35;34,81;15,26;980776
Castilla-La Mancha;08;2007;mujeres;real;18,12;86,44;11,92;5,16;12,62;2,99;0,54;8,09;18,95;970612
Castilla-La Mancha;08;2008;hombres;real;16,93;176,43;43,58;10,87;20,97;19,00;1,38;36,03;14,81;1008340
Castilla-La Mancha;08;2008;mujeres;real;17,76;78,06;11,41;3,35;10,59;3,06;0,45;5,34;18,61;993303
Castilla-La Mancha;08;2009;hombres;real;17,10;170,29;41,07;7,13;19,79;17,29;1,22;30,70;12,32;1028301
Castilla-La Mancha;08;2009;mujeres;real;17,37;80,11;10,42;5,08;10,66;1,64;0,47;5,96;17,88;1009470
Castilla-La Mancha;08;2010;hombres;real;17,50;173,07;37,73;7,43;16,99;15,87;1,17;28,81;16,82;1026400
Castilla-La Mancha;08;2010;mujeres;real;17,58;75,88;8,62;4,58;10,54;2,74;0,46;5,53;16,97;1013090
Castilla-La Mancha;08;2011;hombres;real;18,60;178,54;34,37;6,85;13,84;15,65;1,11;26,92;13,68;1027897
Castilla-La Mancha;08;2011;mujeres;real;18,13;86,03;9,38;4,19;9,85;3,25;0,47;6,04;16,06;1017532
Castilla-La Mancha;08;2012;hombres;real;17,39;179,03;36,09;9,81;13,86;18,22;1,24;31,20;15,28;1026626
Castilla-La Mancha;08;2012;mujeres;real;18,14;84,71;9,42;2,68;10,47;3,05;0,44;4,78;13,40;1016717
Castilla-La Mancha;08;2013;hombres;real;17,43;171,85;32,36;7,48;16,16;14,44;1,10;26,72;11,55;1049477
Castilla-La Mancha;08;2013;mujeres;real;18,62;81,77;7,90;3,24;6,58;2,05;0,38;2,97;13,72;1034100
Castilla-La Mancha;08;2014;hombres;real;17,29;172,15;34,76;8,84;12,87;14,92;1,13;27,53;12,73;1040531
Castilla-La Mancha;08;2014;mujeres;real;19,03;72,67;8,35;3,54;7,96;2,83;0,40;3,63;14,44;1027047
Castilla-La Mancha;08;2015;hombres;real;17,23;166,90;35,52;8,67;14,73;15,64;1,15;28,21;12,70;1033213
Castilla-La Mancha;08;2015;mujeres;real;19,34;79,13;8,77;2,80;8,40;2,67;0,40;3,53;14,75;1020824
Castilla-La Mancha;08;2016;hombres;real;17,80;171,05;31,85;8,50;12,20;13,93;1,08;25,87;12,75;1026852
Castilla-La Mancha;08;2016;mujeres;real;20,86;77,96;7,95;2,54;7,57;1,66;0,36;2,26;15,07;1016438
Castilla-La Mancha;08;2017;hombres;real;17,51;169,73;30,29;8,51;15,12;17,68;1,16;28,56;12,27;1021888
Castilla-La Mancha;08;2017;mujeres;real;20,42;80,52;6,07;3,42;7,09;2,67;0,39;3,23;12,61;1012911
Castilla-La Mancha;08;2018;hombres;real;17,90;166,84;28,08;6,12;12,62;13,19;0,98;22,64;11,60;1018919
Castilla-La Mancha;08;2018;mujeres;real;20,70;76,75;6,49;2,13;7,40;3,18;0,36;2,37;12,57;1011341
Castilla-La Mancha;08;2019;hombres;real;18,73;152,19;30,76;4,88;14,22;10,62;0,91;20,24;13,22;1023272
Castilla-La Mancha;08;2019;mujeres;real;21,72;79,27;6,51;2,54;7,31;3,48;0,38;3,01;12,34;1015428
Castilla-La Mancha;08;2020;hombres;real;16,25;145,70;34,08;5,37;16,35;9,93;0,93;21,15;14,52;1025615
Castilla-La Mancha;08;2020;mujeres;real;19,47;78,17;6,55;1,75;8,87;3,70;0,38;2,91;14,95;1017447
Castilla-La Mancha;08;2021;hombres;real;17,97;154,13;33,89;5,34;12,69;12,23;0,95;21,73;14,47;1173673
Castilla-La Mancha;08;2021;mujeres;real;21,52;76,86;7,33;1,73;7,39;3,57;0,36;2,41;15,92;1205512
Castilla-La Mancha;08;2022;hombres;real;18,32;147,81;33,94;5,63;13,02;9,35;0,90;20,08;15,41;1037446
Castilla-La Mancha;08;2022;mujeres;real;21,38;76,44;8,57;3,26;6,52;2,98;0,39;3,29;15,21;1031905
Castilla-La Mancha;08;2023;hombres;real;18,77;146,55;35,28;4,85;11,90;10,93;0,90;20,12;13,05;1047677
Castilla-La Mancha;08;2023;mujeres;real;21,19;76,70;6,56;2,32;5,64;3,62;0,36;2,22;12,50;1041397
Castilla-La Mancha;08;2024;hombres;proyeccion;18,04;136,43;29,28;7,01;10,04;7,41;0,83;17,62;12,54;1058635
Castilla-La Mancha;08;2024;mujeres;proyeccion;21,51;83,98;6,90;2,33;6,39;2,75;0,37;2,50;14,95;1050128
Castilla-La Mancha;08;2025;hombres;proyeccion;18,05;NA;NA;NA;NA;NA;0,83;17,79;13,24;1074307
Castilla-La Mancha;08;2025;mujeres;proyeccion;21,60;NA;NA;NA;NA;NA;0,35;2,09;14,04;1064209
Cataluña;09;1990;hombres;real;NA;10,42;82,54;10,06;48,16;36,27;1,83;50,57;NA;2962522
Cataluña;09;1990;mujeres;real;NA;1,49;23,34;9,61;28,78;7,50;0,79;16,34;NA;3094829
Cataluña;09;1991;hombres;real;NA;10,49;80,91;10,59;44,06;32,98;1,73;47,55;NA;2967184
Cataluña;09;1991;mujeres;real;NA;1,44;21,55;9,81;27,70;7,01;0,76;15,55;NA;3099984
Cataluña;09;1992;hombres;real;NA;11,20;80,16;9,68;42,97;29,59;1,64;44,44;NA;2974943
Cataluña;09;1992;mujeres;real;NA;1,57;23,13;7,72;23,79;6,19;0,67;12,37;NA;3106514
Cataluña;09;1993;hombres;real;NA;11,70;79,40;9,69;39,44;32,30;1,65;44,73;NA;2981638
Cataluña;09;1993;mujeres;real;NA;0,83;22,14;6,93;22,97;7,01;0,65;11,69;NA;3112450
Cataluña;09;1994;hombres;real;NA;11,11;76,09;9,21;39,28;27,33;1,53;40,83;NA;2985995
Cataluña;09;1994;mujeres;real;NA;1,11;18,57;6,60;22,36;5,06;0,58;9,48;NA;3116874
Cataluña;09;1995;hombres;real;NA;10,44;72,33;8,89;38,75;29,86;1,54;41,08;NA;2990391
Cataluña;09;1995;mujeres;real;NA;1,16;20,17;7,07;19,10;5,66;0,58;9,45;NA;3121845
Cataluña;09;1996;hombres;real;NA;8,39;72,36;8,44;30,77;26,78;1,39;36,28;NA;2997383
Cataluña;09;1996;mujeres;real;NA;1,19;18,23;6,11;16,06;4,71;0,50;6,78;NA;3129362
Cataluña;09;1997;hombres;real;NA;10,58;69,36;8,96;31,04;25,38;1,37;35,61;4,17;3005801
Cataluña;09;1997;mujeres;real;NA;1,35;18,05;6,40;17,46;5,64;0,53;7,98;4,05;3138786
Cataluña;09;1998;hombres;real;NA;11,15;67,13;9,21;30,24;24,58;1,34;34,73;4,95;3017047
Cataluña;09;1998;mujeres;real;NA;0,95;18,03;6,49;15,66;4,96;0,51;7,06;5,27;3151295
Cataluña;09;1999;hombres;real;NA;241,44;67,03;9,83;31,74;30,76;1,92;53,62;4,99;3032385
Cataluña;09;1999;mujeres;real;NA;102,70;17,25;5,97;16,19;6,21;0,71;13,73;5,51;3167466
Cataluña;09;2000;hombres;real;NA;228,35;61,88;10,14;28,05;24,98;1,74;47,67;5,80;3058798
Cataluña;09;2000;mujeres;real;NA;96,86;15,60;4,94;13,47;4,33;0,60;10,26;6,19;3192412
Cataluña;09;2001;hombres;real;NA;234,64;60,06;9,15;27,94;21,88;1,66;45,12;5,81;3092380
Cataluña;09;2001;mujeres;real;NA;100,64;15,40;5,72;15,35;3,39;0,63;11,19;6,00;3222383
Cataluña;09;2002;hombres;real;NA;221,42;57,19;8,20;25,74;24,69;1,62;43,84;5,94;3147215
Cataluña;09;2002;mujeres;real;NA;99,07;13,61;5,41;13,21;4,26;0,60;10,30;7,37;3271172
Cataluña;09;2003;hombres;real;NA;223,06;55,07;9,92;24,66;24,46;1,64;44,52;4,66;3223759
Cataluña;09;2003;mujeres;real;NA;95,95;13,61;5,16;13,13;3,84;0,58;9,64;5,61;3341395
Cataluña;09;2004;hombres;real;NA;220,87;50,54;9,26;21,86;21,22;1,51;40,27;5,20;3301369
Cataluña;09;2004;mujeres;real;NA;96,18;11,98;4,17;11,62;3,15;0,52;7,64;6,68;3409454
Cataluña;09;2005;hombres;real;NA;215,37;47,87;10,07;23,63;22,60;1,55;41,46;4,71;3383731
Cataluña;09;2005;mujeres;real;NA;91,88;12,30;5,05;11,56;4,44;0,56;8,89;5,86;3476460
Cataluña;09;2006;hombres;real;16,26;213,29;47,81;7,82;22,53;16,96;1,38;35,91;4,73;3460100
Cataluña;09;2006;mujeres;real;19,40;91,21;10,52;4,07;10,16;2,36;0,48;6,08;6,54;3539800
Cataluña;09;2007;hombres;real;16,23;210,15;41,97;8,53;20,70;17,69;1,35;35,06;6,10;3550148
Cataluña;09;2007;mujeres;real;19,35;90,64;10,37;4,17;10,00;3,84;0,50;6,87;6,62;3615883
Cataluña;09;2008;hombres;real;16,49;196,82;38,62;8,58;20,79;18,09;1,32;33,90;4,76;3596661
Cataluña;09;2008;mujeres;real;19,53;91,76;8,65;4,34;10,35;3,10;0,49;6,47;5,49;3673807
Cataluña;09;2009;hombres;real;16,48;195,39;34,18;7,24;19,21;17,32;1,23;30,92;5,49;3598921
Cataluña;09;2009;mujeres;real;19,84;88,79;7,14;3,94;8,60;3,13;0,45;5,12;6,73;3689138
Cataluña;09;2010;hombres;real;16,70;196,50;38,97;7,41;15,99;15,55;1,20;29,99;4,73;3603942
Cataluña;09;2010;mujeres;real;20,27;93,33;7,85;3,28;8,07;2,79;0,43;4,62;5,91;3717153
Cataluña;09;2011;hombres;real;16,79;190,66;31,22;6,63;15,84;14,26;1,10;26,77;5,69;3581269
Cataluña;09;2011;mujeres;real;20,84;89,83;6,71;3,13;8,16;2,92;0,42;4,16;6,05;3721875
Cataluña;09;2012;hombres;real;16,47;189,45;36,07;6,28;15,38;14,78;1,12;27,44;5,95;3561649
