ccaa;ccaa_cod;periodo;genero;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;reingresos_psiq;poblacion_total
Andalucía;01;2017;hombres;real;15,67;176,44;45,22;5,91;20,68;15,55;1,21;30,14;13,80;4152246
Andalucía;01;2017;mujeres;real;16,66;89,51;12,08;3,43;10,67;3,12;0,48;6,31;12,67;4251103
Andalucía;01;2018;hombres;real;15,55;172,05;43,25;6,04;20,60;15,47;1,19;29,54;12,79;4150910
Andalucía;01;2018;mujeres;real;16,64;89,63;11,00;2,82;11,03;3,42;0,47;5,89;13,68;4255313
Andalucía;01;2019;hombres;real;17,42;168,03;40,78;6,15;19,33;14,25;1,14;27,83;12,43;4169754
Andalucía;01;2019;mujeres;real;18,81;87,90;10,37;3,14;9,55;3,90;0,46;5,73;14,08;4278688
Andalucía;01;2020;hombres;real;16,84;165,03;42,35;6,78;20,01;12,31;1,13;27,58;13,88;4185178
Andalucía;01;2020;mujeres;real;18,24;87,42;10,32;3,03;9,76;3,50;0,46;5,44;16,81;4298591
Andalucía;01;2021;hombres;real;16,83;163,54;40,94;8,56;19,37;11,08;1,14;27,84;15,56;4194043
Andalucía;01;2021;mujeres;real;18,24;89,64;10,63;3,43;9,67;3,09;0,46;5,71;16,18;4308722
Andalucía;01;2022;hombres;real;16,94;161,81;39,25;7,52;19,96;11,72;1,11;27,09;13,98;4210988
Andalucía;01;2022;mujeres;real;18,36;88,39;10,62;3,08;9,29;3,55;0,46;5,47;14,37;4332110
Andalucía;01;2023;hombres;real;16,76;155,21;34,63;7,85;19,05;11,98;1,08;25,95;14,13;4226795
Andalucía;01;2023;mujeres;real;17,57;87,20;9,11;2,88;9,53;4,26;0,46;5,43;13,90;4373429
Andalucía;01;2024;hombres;proyeccion;16,81;145,97;35,12;6,89;17,84;11,52;1,02;24,01;12,13;4248210
Andalucía;01;2024;mujeres;proyeccion;17,80;85,58;8,96;2,40;8,47;3,49;0,42;4,12;11,54;4397125
Andalucía;01;2025;hombres;proyeccion;16,82;NA;NA;NA;NA;NA;1,00;23,53;12,66;4286449
Andalucía;01;2025;mujeres;proyeccion;17,80;NA;NA;NA;NA;NA;0,42;4,23;12,30;4421972
Aragón;02;1990;hombres;real;NA;7,31;74,12;7,22;41,27;25,91;1,46;38,41;NA;587767
Aragón;02;1990;mujeres;real;NA;1,61;19,59;9,00;20,71;4,97;0,63;11,13;NA;603219
Aragón;02;1991;hombres;real;NA;7,64;73,68;8,99;41,25;27,26;1,52;40,58;NA;587375
Aragón;02;1991;mujeres;real;NA;0,75;19,57;9,88;23,74;4,21;0,67;12,36;NA;603067
Aragón;02;1992;hombres;real;NA;7,46;70,84;8,90;35,41;27,98;1,46;38,50;NA;588258
Aragón;02;1992;mujeres;real;NA;0,61;15,35;10,61;19,47;5,41;0,64;11,48;NA;604067
Aragón;02;1993;hombres;real;NA;6,38;74,77;7,88;35,82;22,54;1,36;35,37;NA;589103
Aragón;02;1993;mujeres;real;NA;0,17;19,46;9,55;18,02;2,98;0,58;9,49;NA;604881
Aragón;02;1994;hombres;real;NA;8,70;69,10;10,49;34,75;24,32;1,42;37,32;NA;589743
Aragón;02;1994;mujeres;real;NA;1,89;21,65;12,20;19,35;5,18;0,71;13,89;NA;605549
Aragón;02;1995;hombres;real;NA;7,37;67,70;9,94;36,95;31,81;1,55;41,44;NA;590104
Aragón;02;1995;mujeres;real;NA;0,67;22,77;8,05;19,16;5,37;0,61;10,59;NA;606029
Aragón;02;1996;hombres;real;NA;8,89;68,77;9,25;31,39;25,01;1,37;35,54;NA;590051
Aragón;02;1996;mujeres;real;NA;0,16;20,00;6,28;19,12;5,41;0,55;8,57;NA;606047
Aragón;02;1997;hombres;real;NA;8,34;70,40;10,57;35,74;21,93;1,40;36,58;6,53;589892
Aragón;02;1997;mujeres;real;NA;0,68;15,93;5,61;17,75;5,43;0,50;6,85;6,25;605955
Aragón;02;1998;hombres;real;NA;5,48;66,26;7,03;29,75;25,19;1,28;32,57;7,81;589872
Aragón;02;1998;mujeres;real;NA;0,47;15,12;7,51;14,84;2,96;0,47;5,97;5,96;605825
Aragón;02;1999;hombres;real;NA;216,20;66,02;9,02;32,45;29,78;1,83;50,84;8,27;590032
Aragón;02;1999;mujeres;real;NA;97,20;16,21;6,56;15,52;5,07;0,68;12,83;6,53;605778
Aragón;02;2000;hombres;real;NA;202,19;69,67;7,63;28,27;20,62;1,59;42,98;10,40;590874
Aragón;02;2000;mujeres;real;NA;89,68;13,88;6,29;16,29;3,81;0,63;11,24;11,85;606350
Aragón;02;2001;hombres;real;NA;208,94;59,12;7,25;26,17;16,87;1,45;38,36;9,05;593168
