ccaa;genero;periodo;t_mental;antidep_ajustado;hipno_ajustado;suicidios;censo;origen;brecha_rel;n_personas_tm;antidep_anual_total;hipno_anual_total;n_suicidios
Andalucía;total;2010;NA;55,0138205985482;30,2942889248716;NA;8289467,000000000;real;NA;NA;166452866;91660081;NA
Andalucía;total;2011;NA;57,1901203192511;31,2867703604638;NA;8342420,000000000;real;NA;NA;174142961;95267693;NA
Andalucía;total;2012;NA;58,4098719338733;31,9639669166633;NA;8378043,000000000;real;NA;NA;178616553;97745354;NA
Andalucía;total;2013;NA;61,1552922399856;32,6021490679339;NA;8384654,000000000;real;NA;NA;187159577;99775575;NA
Andalucía;total;2014;NA;64,2147568228037;33,5005411113013;NA;8381344,000000000;real;NA;NA;196445178;102484539;NA
Andalucía;hombres;2015;6,46400000000000;31,5005090697728;16,1243938553853;NA;4146834,000000000;real;52,0936782035129;268051;47678994;24405792;NA
Andalucía;mujeres;2015;13,49300000000000;100,0082684297459;51,1919571009000;NA;4240704,000000000;real;52,0936782035129;572198;154798494;79237827;NA
Andalucía;total;2015;10,01783289065278;65,7543887497594;33,6581754781427;NA;8387538,000000000;real;52,0936782035129;840250;201303864;103042867;NA
Andalucía;hombres;2016;5,55600000000000;31,8577723812735;16,2560203332849;NA;4147710,000000000;real;53,1257909390028;230447;48229932;24610219;NA
Andalucía;mujeres;2016;11,85300000000000;104,0710166882854;53,1041700952342;NA;4243648,000000000;real;53,1257909390028;503000;161198878;82254723;NA
Andalucía;total;2016;8,74049665191260;67,9643945347794;34,6800952142596;NA;8391358,000000000;real;53,1257909390028;733446;208164452;106219779;NA
Andalucía;hombres;2017;5,94800000000000;33,3955493011841;16,6511105187754;NA;4145266,000000000;real;52,1634228727682;246560;50528204;25193498;NA
Andalucía;mujeres;2017;12,43400000000000;106,2279409513120;52,9655364854120;NA;4245918,000000000;real;52,1634228727682;527937;164627821;82083874;NA
Andalucía;total;2017;9,22989968757687;69,8117451262480;34,8083235020937;NA;8391184,000000000;real;52,1634228727682;774498;213818168;106610312;NA
Andalucía;hombres;2018;6,06000000000000;35,1097873638044;17,1769162820717;12,16600000000000;4143761,000000000;real;51,8436109345200;251112;53102597;25979618;504
Andalucía;mujeres;2018;12,58400000000000;110,7059103873886;54,1611413065719;3,47800000000000;4250512,000000000;real;51,8436109345200;534884;171753232;84027592;148
Andalucía;total;2018;9,36348325435687;72,9078488755965;35,6690287943218;7,76800000000000;8394273,000000000;real;51,8436109345200;785996;223383061;109286681;652
Andalucía;hombres;2019;6,12700000000000;36,8395131877967;17,6216716193253;11,46400000000000;4155148,000000000;real;51,8128195045222;254586;55871875;26725539;476
Andalucía;mujeres;2019;12,71500000000000;116,0622038622556;55,5167500029110;3,78600000000000;4266998,000000000;real;51,8128195045222;542549;180761575;86464799;162
Andalucía;total;2019;9,46474584577375;76,4508585250262;36,5692108111181;7,57500000000000;8422146,000000000;real;51,8128195045222;797135;235016307;112416800;638
Andalucía;hombres;2020;6,08400000000000;38,5816140276614;18,6140064411585;13,76300000000000;4173410,000000000;real;52,0340586565752;253910;58771166;28354616;574
Andalucía;mujeres;2020;12,68400000000000;122,2892578746586;58,9994247553091;5,04800000000000;4290064,000000000;real;52,0340586565752;544152;191489491;92385627;217
Andalucía;total;2020;9,42948465559178;80,4354359511600;38,8067155982338;9,34700000000000;8463474,000000000;real;52,0340586565752;798062;248478576;119880464;791
Andalucía;hombres;2021;5,23300000000000;43,7959716719747;20,3287402655602;15,79300000000000;4184766,000000000;real;49,0705596107056;218989;66895701;31050923;661
Andalucía;mujeres;2021;10,27500000000000;128,1908844065807;59,5022577197756;4,36800000000000;4303432,000000000;real;49,0705596107056;442178;201356175;93463331;188
Andalucía;total;2021;7,78924387461273;85,9934280392777;39,9154989926679;10,00000000000000;8488198,000000000;real;49,0705596107056;661166;266424174;123665890;849
Andalucía;hombres;2022;5,37939513202870;46,3480461136056;20,2467734157154;15,45100000000000;4207726,000000000;real;49,7406675005378;226350;71182256;31095399;650
Andalucía;mujeres;2022;10,70327611709976;138,0875355332517;60,3224359582134;4,13000000000000;4327892,000000000;real;49,7406675005378;463226;218134198;95290181;179
Andalucía;total;2022;8,07881091237889;92,2177908234286;40,2846046869644;9,71000000000000;8535618,000000000;real;49,7406675005378;689576;287304580;125506709;829
Andalucía;hombres;2023;5,61597746080826;48,6418364163031;20,1178779691162;14,88400000000000;4236916,000000000;real;49,0001823738123;237944;75223352;31111782;631
Andalucía;mujeres;2023;11,01175988896974;142,1111453799543;58,7760432467353;4,21200000000000;4364376,000000000;real;49,0001823738123;480595;226382662;93630075;184
Andalucía;total;2023;8,35384792616273;95,3764908981287;39,4469606079257;9,46800000000000;8601292,000000000;real;49,0001823738123;718539;299431783;123842612;814
Andalucía;hombres;2024;5,82970806587067;50,7845023346062;20,6170634833321;15,26100000000000;4256275,000000000;proyeccion;47,0592518847948;248128;78895775;32029441;650
Andalucía;mujeres;2024;11,01175988896974;147,3740049985869;58,7760432467353;4,48200000000000;4389500,000000000;proyeccion;47,0592518847948;483361;236117841;94169066;197
Andalucía;total;2024;8,35384792616273;100,6043808576764;37,7027380187496;9,78700000000000;8645775,000000000;proyeccion;47,0592518847948;722255;317478037;118978827;846
Andalucía;hombres;2025;5,82970806587067;52,9271682529093;21,1162489975480;15,26100000000000;4275634,000000000;proyeccion;47,0592518847948;249257;82598478;32954154;653
Andalucía;mujeres;2025;11,01175988896974;152,6368646172195;58,7760432467353;4,21485714285714;4414624,000000000;proyeccion;47,0592518847948;486128;245949544;94708058;186
Andalucía;total;2025;8,35384792616273;105,8322708172241;36,4500287324000;9,78700000000000;8690258,000000000;proyeccion;47,0592518847948;725971;335694054;115617456;851
Andalucía;hombres;2026;5,82970806587067;55,0698341712124;21,6154345117639;15,26100000000000;4294993,000000000;proyeccion;47,0592518847948;250386;86331462;33885921;655
Andalucía;mujeres;2026;11,01175988896974;157,8997242358521;58,7760432467353;4,21485714285714;4439748,000000000;proyeccion;47,0592518847948;488894;255877769;95247049;187
Andalucía;total;2026;8,35384792616273;111,0601607767718;35,5503267300038;9,78700000000000;8734741,000000000;proyeccion;47,0592518847948;729687;354079835;113340857;855
Aragón;total;2010;NA;67,3694271595188;30,1199891577955;NA;1344010,000000000;real;NA;NA;33048992;14775772;NA
Aragón;total;2011;NA;70,9249465338047;30,9863222287636;NA;1344431,000000000;real;NA;NA;34804099;15205525;NA
Aragón;total;2012;NA;70,7878963537212;30,8675888687498;NA;1341888,000000000;real;NA;NA;34671141;15118609;NA
Aragón;hombres;2013;6,29200000000000;31,3153161011481;13,5483794103526;NA;664286,000000000;real;56,2782294489612;41797;7592849;3285000;NA
Aragón;mujeres;2013;14,39100000000000;111,9328447417069;48,4270586361779;NA;671527,000000000;real;56,2782294489612;96639;27435564;11869828;NA
Aragón;total;2013;10,36345099875506;71,6240804214275;30,9877190232652;NA;1335813,000000000;real;56,2782294489612;138436;34921878;15108736;NA
Aragón;hombres;2014;6,48500000000000;33,3798660465435;14,4675046375461;NA;660062,000000000;real;55,8212412289665;42805;8041965;3485549;NA
Aragón;mujeres;2014;14,67900000000000;117,7328721792736;51,0277923785031;NA;669098,000000000;real;55,8212412289665;98217;28752813;12462047;NA
Aragón;total;2014;10,60985254747359;75,5563691129086;32,7476485080246;NA;1329161,000000000;real;55,8212412289665;141022;36655701;15887317;NA
Aragón;hombres;2015;6,64800000000000;34,6582362194475;14,9363428196892;NA;656430,000000000;real;55,2262931034483;43639;8304008;3578702;NA
Aragón;mujeres;2015;14,84800000000000;120,1568935598414;51,7829165626048;NA;666813,000000000;real;55,2262931034483;99008;29244595;12603276;NA
Aragón;total;2015;10,78017118851186;77,4075648896444;33,3596296911470;NA;1323244,000000000;real;55,2262931034483;142648;37386620;16112169;NA
Aragón;hombres;2016;6,76600000000000;36,6940885127817;15,9703763174477;NA;652246,000000000;real;55,1979870215865;44131;8735754;3802064;NA
Aragón;mujeres;2016;15,10200000000000;127,1114464325419;55,3227431463699;NA;664894,000000000;real;55,1979870215865;100412;30848208;13426072;NA
Aragón;total;2016;10,97402373627709;81,9027674726618;35,6465597319088;NA;1317140,000000000;real;55,1979870215865;144543;39375255;17137301;NA
Aragón;hombres;2017;7,13300000000000;37,9720529209309;16,4921726258373;NA;650537,000000000;real;54,3107865744299;46403;9016312;3916001;NA
Aragón;mujeres;2017;15,61200000000000;128,2468424110678;55,7006772366531;NA;664834,000000000;real;54,3107865744299;103794;31120944;13516572;NA
Aragón;total;2017;11,41857987518350;83,1094476659994;36,0964249312452;NA;1315372,000000000;real;54,3107865744299;150197;39901742;17330283;NA
Aragón;hombres;2018;7,80100000000000;40,2859744737414;17,3219431162196;14,62200000000000;649735,000000000;real;53,0936203475437;50686;9553951;4107956;95
Aragón;mujeres;2018;16,63100000000000;131,4858602840571;56,5355715526301;3,75400000000000;664950,000000000;real;53,0936203475437;110588;31912506;13721565;25
Aragón;total;2018;12,26709530039515;85,8859173788992;36,9287573344248;9,12000000000000;1314686,000000000;real;53,0936203475437;161274;41213250;17720648;120
Aragón;hombres;2019;8,30700000000000;42,5485698257482;18,0071323799803;12,39000000000000;653280,000000000;real;52,0519480519481;54268;10145587;4293750;81
Aragón;mujeres;2019;17,32500000000000;134,9292133044041;57,1038748387891;4,17600000000000;669272,000000000;real;52,0519480519481;115951;32961086;13949579;28
Aragón;total;2019;12,87052180935041;88,7388915650761;37,5555036093847;8,23100000000000;1322552,000000000;real;52,0519480519481;170219;42837056;18129224;109
Aragón;hombres;2020;8,42000000000000;43,9413096440798;19,0632003669300;10,49900000000000;657586,000000000;real;51,8499456739292;55369;10546744;4575528;69
Aragón;mujeres;2020;17,48700000000000;138,5769045473746;60,1192663353276;4,89700000000000;673482,000000000;real;51,8499456739292;117772;34065104;14778574;33
Aragón;total;2020;13,00764037149117;91,2591070957272;39,5912333511288;7,66300000000000;1331068,000000000;real;51,8499456739292;173141;44337308;19234998;102
Aragón;hombres;2021;8,84000000000000;46,8584096473051;19,5434232613424;13,22000000000000;658254,000000000;real;51,2679162072767;58190;11258328;4695556;87
Aragón;mujeres;2021;18,14000000000000;145,4518960092821;60,6642007116781;4,01100000000000;673294,000000000;real;51,2679162072767;122136;35745139;14908367;27
Aragón;total;2021;13,54252232739638;96,1551528282936;40,1038119865103;8,56300000000000;1331548,000000000;real;51,2679162072767;180325;46732849;19491055;114
Aragón;hombres;2022;8,75332275430056;49,3944100147259;19,6634191730717;13,03500000000000;658680,000000000;real;51,3865165033170;57656;11875315;4727444;86
Aragón;mujeres;2022;18,00595662908589;153,8183880070255;61,2335573804123;4,14800000000000;673840,000000000;real;51,3865165033170;121331;37831879;15060491;28
Aragón;total;2022;13,43227302160262;101,6063990108757;40,4484882767420;8,54100000000000;1332521,000000000;real;51,3865165033170;178988;49418321;19672938;114
Aragón;hombres;2023;8,99059112634913;50,6221746238724;19,4785489372707;12,02100000000000;664505,000000000;real;51,3522526751585;59743;12278121;4724412;80
Aragón;mujeres;2023;18,48100193892877;157,4950657730850;60,6014136854761;3,52400000000000;680062,000000000;real;51,3522526751585;125682;39093839;15042642;24
