"ccaa_id3","ccaa_ine","anio","pib_regional_eur"
"mad","MADRID, COMUNIDAD DE",2018,233735808000
"mad","MADRID, COMUNIDAD DE",2019,243889359000
"mad","MADRID, COMUNIDAD DE",2020,221061932000
"mad","MADRID, COMUNIDAD DE",2021,239837609000
"mad","MADRID, COMUNIDAD DE",2022,267171570000
"mad","MADRID, COMUNIDAD DE",2023,295939562000
"mad","MADRID, COMUNIDAD DE",2024,316193370000
"mur","MURCIA, REGIÓN DE",2015,29168718000
"mur","MURCIA, REGIÓN DE",2016,30009138000
"mur","MURCIA, REGIÓN DE",2017,31192490000
"mur","MURCIA, REGIÓN DE",2018,31715345000
"mur","MURCIA, REGIÓN DE",2019,33000651000
"mur","MURCIA, REGIÓN DE",2020,30440306000
"mur","MURCIA, REGIÓN DE",2021,33603543000
"mur","MURCIA, REGIÓN DE",2022,37380806000
"mur","MURCIA, REGIÓN DE",2023,39838741000
"mur","MURCIA, REGIÓN DE",2024,42488024000
"nav","NAVARRA, COMUNIDAD FORAL DE",2015,18334417000
"nav","NAVARRA, COMUNIDAD FORAL DE",2016,18911331000
"nav","NAVARRA, COMUNIDAD FORAL DE",2017,19698794000
"nav","NAVARRA, COMUNIDAD FORAL DE",2018,20235995000
"nav","NAVARRA, COMUNIDAD FORAL DE",2019,21070268000
"nav","NAVARRA, COMUNIDAD FORAL DE",2020,19160726000
"nav","NAVARRA, COMUNIDAD FORAL DE",2021,20821017000
"nav","NAVARRA, COMUNIDAD FORAL DE",2022,23204474000
"nav","NAVARRA, COMUNIDAD FORAL DE",2023,24975376000
"nav","NAVARRA, COMUNIDAD FORAL DE",2024,26619297000
"pvc","PAÍS VASCO",2015,65073341000
"pvc","PAÍS VASCO",2016,67114993000
"pvc","PAÍS VASCO",2017,69585295000
"pvc","PAÍS VASCO",2018,71915111000
"pvc","PAÍS VASCO",2019,73999981000
"pvc","PAÍS VASCO",2020,66672598000
"pvc","PAÍS VASCO",2021,72513029000
"pvc","PAÍS VASCO",2022,80218167000
"pvc","PAÍS VASCO",2023,86748107000
"pvc","PAÍS VASCO",2024,91612735000
"val","COMUNITAT VALENCIANA",2015,101214206000
"val","COMUNITAT VALENCIANA",2016,104205396000
"val","COMUNITAT VALENCIANA",2017,108666712000
"val","COMUNITAT VALENCIANA",2018,112749574000
"val","COMUNITAT VALENCIANA",2019,116588528000
"val","COMUNITAT VALENCIANA",2020,106067171000
"val","COMUNITAT VALENCIANA",2021,116386906000
"val","COMUNITAT VALENCIANA",2022,127583394000
"val","COMUNITAT VALENCIANA",2023,139655905000
"val","COMUNITAT VALENCIANA",2024,148283453000
