ccaa,ccaa_nombre,anio,filas,n_conceptos,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,gasto_social_estricto,gasto_clasificado,total_extraido,total_hacienda,social_estricto_pct,cobertura_clasif_pct
and,Andalucia,2015,100,12,8388296442.0,6587403880.0,2320441753.0,0.0,253748413.0,1016655555.0,554563795.0,1094401749.0,132779065.0,32430242.0,2588349.0,100523803.0,4045206.0,20487878252.0,20487878252.0,29476048221.0,29626197030.0,69.2,69.2
and,Andalucia,2016,101,12,8657784983.0,6808224868.0,2304635011.0,0.0,263048857.0,555967600.0,651517336.0,1136809504.0,140170311.0,34632142.0,2764143.0,101687931.0,4190854.0,20661433540.0,20661433540.0,31130276355.0,31290485550.0,66.0,66.0
and,Andalucia,2017,110,12,9129970917.0,7019185001.0,2090298945.0,0.0,335604120.0,550008487.0,683769226.0,1164914040.0,143159588.0,36175436.0,3257191.0,116196102.0,116317661.0,21388856714.0,21388856714.0,33066098428.0,33244588900.0,64.3,64.3
and,Andalucia,2018,111,12,9627553896.0,7329745592.0,2125288201.0,0.0,335848665.0,549950970.0,734495734.0,1196024692.0,153480255.0,38267726.0,4917755.0,118724974.0,118244988.0,22332543448.0,22332543448.0,34586557020.0,34769245000.0,64.2,64.2
and,Andalucia,2019,112,12,9613264022.0,7296321233.0,2228419323.0,0.0,338451933.0,530179843.0,862871752.0,1195006504.0,155425426.0,38229327.0,4972084.0,120308062.0,117675286.0,22501124795.0,22501124795.0,34685073827.0,36500755620.0,61.6,61.6
and,Andalucia,2020,97,12,10765885257.0,7887891327.0,2577053563.0,0.0,318299022.0,1145803823.0,705858590.0,1509239704.0,192851292.0,7873415.0,5499362.0,136124125.0,135373478.0,25387752958.0,25387752958.0,38277949185.0,38545964430.0,65.9,65.9
and,Andalucia,2021,94,12,11453591430.0,8500803036.0,2824012606.0,0.0,309672280.0,1245388445.0,433671834.0,1610002176.0,194332129.0,31641238.0,4023798.0,138375113.0,140301532.0,26885815617.0,26885815617.0,39750624019.0,40188042630.0,66.9,66.9
and,Andalucia,2022,104,12,12214500940.0,8744579745.0,2822716779.0,0.0,246777546.0,929484859.0,278322080.0,1762584911.0,203115125.0,32325730.0,3741220.0,158420836.0,161160733.0,27557730504.0,27557730504.0,39923760258.0,40401786880.0,68.2,68.2
and,Andalucia,2023,105,12,13644937026.0,8808586626.0,2459663807.0,0.0,418602732.0,696433298.0,359531438.0,2041969111.0,222481616.0,33167180.0,10579800.0,198628819.0,2327667.0,28896909120.0,28896909120.0,44671748962.0,45603830860.0,63.4,63.4
and,Andalucia,2024,105,12,14055560408.0,9319094156.0,2596558672.0,0.0,448235300.0,781223880.0,362235848.0,2229589384.0,252376683.0,33795836.0,10622729.0,177174289.0,2309609.0,30268776794.0,30268776794.0,45740389738.0,46753227860.0,64.7,64.7
and,Andalucia,2025,107,12,15041542563.0,9693334966.0,2628577595.0,0.0,488873782.0,781206513.0,443415578.0,2616898816.0,265377200.0,33157283.0,10872167.0,146517976.0,2721054.0,32152495493.0,32152495493.0,48384981748.0,48871600760.0,65.8,65.8
and,Andalucia,2026,107,12,15950811279.0,9998482040.0,2480509786.0,0.0,719346413.0,782050538.0,471728406.0,2913064494.0,268836077.0,36381544.0,10709103.0,160831101.0,1971376.0,33794722157.0,33794722157.0,51120358714.0,0.0,,
ara,Aragon,2015,163,9,3060814690.64,879551896.15,648055750.07,3005653.19,74547890.45,152485607.67,57787366.51,0.0,0.0,0.0,0.0,12905535.98,6360382.0,4892509119.47,4895514772.66,7112002360.44,5254454310.0,93.1,93.2
ara,Aragon,2016,158,10,1806281338.66,958476678.66,630995481.22,2384364.71,18502778.26,94381995.21,51572792.27,0.0,0.0,0.0,1058000.0,23325995.03,3359366.65,3587954425.96,3590338790.67,5153247082.28,5129958000.0,69.9,70.0
