ccaa,anio,ok,filas,motor,error
and,2015,True,114,and-ckan-csv+and-transform,
and,2016,True,115,and-ckan-csv+and-transform,
and,2017,True,102,and-resumen-cap-prog+and-transform,
and,2018,True,102,and-resumen-cap-prog+and-transform,
and,2019,True,103,and-resumen-cap-prog+and-transform,
and,2020,True,111,and-ckan-csv+and-transform,
and,2021,True,112,and-ckan-csv+and-transform,
and,2022,True,97,and-resumen-cap-prog+and-transform,
and,2023,True,89,and-resumen-cap-prog+and-transform,
and,2024,True,89,and-resumen-cap-prog+and-transform,
and,2025,True,89,and-resumen-cap-prog+and-transform,
and,2026,True,89,and-resumen-cap-prog+and-transform,
ara,2015,True,162,ara-pdf-program-total+ara-transform,
ara,2016,True,161,ara-pdf-program-total+ara-transform,
ara,2017,True,166,ara-pdf-program-total+ara-transform,
ara,2018,True,159,ara-pdf-program-total+ara-transform,
ara,2019,True,159,ara-pdf-program-total+ara-transform,
ara,2020,True,165,ara-pdf-program-total+ara-transform,
ara,2021,True,186,ara-pdf-program-total+ara-transform,
ara,2022,True,181,ara-pdf-program-total+ara-transform,
ara,2023,True,181,ara-pdf-program-total+ara-transform,
ara,2024,True,197,ara-pdf-program-total+ara-transform,
ara,2025,True,197,ara-pdf-program-total+ara-transform,
ara,2026,True,197,ara-pdf-program-total+ara-transform,
ast,2015,True,107,ast-distribucion-gasto+ast-transform,
ast,2016,True,91,ast-distribucion-gasto+ast-transform,
ast,2017,True,91,ast-distribucion-gasto+ast-transform,
ast,2018,True,90,ast-distribucion-gasto+ast-transform,
ast,2019,True,90,ast-distribucion-gasto+ast-transform,
ast,2020,True,95,ast-distribucion-gasto+ast-transform,
ast,2021,True,96,ast-distribucion-gasto+ast-transform,
ast,2022,True,96,ast-distribucion-gasto+ast-transform,
ast,2023,True,96,ast-distribucion-gasto+ast-transform,
ast,2024,True,104,ast-distribucion-gasto+ast-transform,
ast,2025,True,105,ast-distribucion-gasto+ast-transform,
ast,2026,True,104,ast-distribucion-gasto+ast-transform,
bal,2015,True,131,bal-frameset-secciones+bal-transform,
bal,2016,True,132,bal-frameset-secciones+bal-transform,
bal,2017,True,129,bal-frameset-secciones+bal-transform,
bal,2018,True,82,bal-frameset-secciones+bal-transform,
bal,2019,True,86,bal-frameset-secciones+bal-transform,
bal,2020,True,95,bal-frameset-secciones+bal-transform,
bal,2021,True,89,bal-frameset-secciones+bal-transform,
bal,2022,True,143,bal-frameset-secciones+bal-transform,
bal,2023,True,150,bal-frameset-secciones+bal-transform,
bal,2024,True,145,bal-frameset-secciones+bal-transform,
bal,2025,True,141,bal-frameset-secciones+bal-transform,
bal,2026,True,148,bal-resumen-programas-pdf+bal-transform,
can,2015,True,139,can-tomo3-resumen-programas+can-transform,
can,2016,True,140,can-tomo3-resumen-programas+can-transform,
can,2017,True,141,can-tomo3-resumen-programas+can-transform,
can,2018,True,140,can-tomo3-resumen-programas+can-transform,
can,2019,True,142,can-tomo3-resumen-programas+can-transform,
can,2020,True,144,can-tomo3-resumen-programas+can-transform,
can,2021,True,141,can-tomo3-resumen-programas+can-transform,
can,2022,True,135,can-tomo3-resumen-programas+can-transform,
can,2023,True,135,can-tomo3-resumen-programas+can-transform,
