anio,codigo,denominacion,seccion,n_lineas,importe_eur,en_staging,concepto_origen,concepto_modelo,concepto_memoria,score,margen,evidencia,objetivos
2017,82A,ACCION EXTERIOR,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,19,5920106.0,sí,,direccion,,0,0,,ASEGURAR LA REPRESENTACIÓN INSTITUCIONAL Y FOMENTAR LA INTEGRACIÓN DE ANDALUCÍA EN EL · INFORMACIÓN Y FORMACIÓN SOBRE LA UNIÓN EUROPEA · COOPERACIÓN CON OTRAS REGIONES Y COORDINACIÓN DE LA COOPERACIÓN TERRITORIAL · FOMENTO DE LA PARTICIPACIÓN DE LOS ANDALUCES Y ANDALUZAS EN EL MUNDO · ACUERDOS INSTITUCIONALES · DEFENSA Y PROMOCIÓN DE LOS INTERESES DE ANDALUCÍA EN EL EXTERIOR · APOYO A LA RED DE INFORMACIÓN EUROPEA DE ANDALUCÍA · DIFUSIÓN DE LA RED DE INFORMACIÓN EUROPEA DE ANDALUCÍA · BECAS DE FORMACIÓN · PUBLICACIÓN DE LA REVISTA EUROPA-JUNTA · ACTIVIDADES FORMATIVAS SOBRE LA UNIÓN EUROPEA · 
2017,82A,ACCION EXTERIOR,CONSEJERÍA PRESIDENCIA Y ADMINISTRACIÓN LO,0,5920106.0,sí,,direccion,,0,0,,
2017,11B,ACTIVIDAD LEGISLATIVA,PARLAMENTO DE ANDALUCIA,0,40191255.0,sí,direccion,direccion,,0,0,,
2017,11C,CONTROL EXTERNO DEL SECTOR PUBLICO,PARLAMENTO DE ANDALUCIA,0,10408549.0,sí,direccion,direccion,,0,0,,
2017,01A,ADMON. G. FINANC. Y AMORTIZACION DEUDA PUBLICA,DEUDA PUBLICA,0,4162050097.0,sí,direccion,direccion,,0,0,,
2017,11C,CONTROL EXTERNO DEL SECTOR PUBLICO,CAMARA DE CUENTAS,0,10408549.0,sí,direccion,direccion,,0,0,,
2017,11D,ALTO ASESORAMIENTO DE LA COMUNIDAD AUTONOMA,CONSEJO CONSULTIVO DE ANDALUCIA,1,3762607.0,sí,direccion,direccion,,0,0,,EMISIÓN DE CUANTOS DICTAMENES LE SEAN SOLICITADOS.
2017,11H,AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL DE LA CAA,CONSEJO AUDIOVISUAL DE ANDALUCIA,13,4524158.0,sí,direccion,direccion,igualdad,5,5,VIOLENCIA DE GENERO×1,"PROTECCIÓN DE MENORES Y OTROS COLECTIVOS NECESITADOS DE UNA MAYOR PROTECCIÓN · FOMENTO DE LA IGUALDAD Y REFORZAR LA COMUNICACIÓN CON LA CIUDADANÍA · MEJORAR EL PLURALISMO POLÍTICO · VIGILAR EL CUMPLIMIENTO DE SERVICIO PÚBLICO DE LOS OPERADORES PÚBLICOS EN ANDALUCÍA. · IMPULSAR LA PRESENCIA INSTITUCIONAL DEL CONSEJO AUDIOVISUAL DE ANDALUCÍA Y CONSOLIDAR LA · ALFABETIZACIÓN MEDIÁTICA Y NUEVAS TECNOLOGÍAS. · CONTROL DE LAS EMISIONES SOBRE VIDENCIA, MALAS PRÁCTICAS EN PUBLICIDAD DE ALIMENTOS, · VIGILANCIA DE ESTEREOTIPOS DE GÉNERO Y CO-REGULACIÓN EN VIOLENCIA DE GÉNERO. · OFICINA DE DEFENSA DE LA "
2017,11H,AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL DE LA CAA,CONSEJO AUDIOVISUAL DE ANDALUCIA,0,4524158.0,sí,direccion,direccion,,0,0,,
2017,11I,AUT. MAT. TRANSPARENCIA Y PROTECCION DE DATOS AND.,CONSEJO DE TRANSPARENCIA Y PROTECCIÓN DE D,6,1313509.0,sí,direccion,direccion,,0,0,,"VELAR POR EL CUMPLIMIENTO DE LA NORMATIVA EN MATERIA DE TRANSPARENCIA PÚBLICA Y DE · DEFENSA Y SALVAGUARDA DEL DERECHO DE ACCESO A LA INFORMACIÓN PÚBLICA · RESOLUCIÓN DE CONSULTAS · REMISIÓN DE INFORMES, RECOMENDACIONES O SUGERENCIAS · CRITERIOS DE INTERPRETACIÓN · RESOLUCIÓN DE RECLAMACIONES"
