ccaa_id3,anio,imp_total_hacienda_eur,imp_total_autonomico_eur,imp_total_hacienda_b_eur,imp_total_autonomico_b_eur,ratio_auto_vs_hacienda,n_capitulos,nota
mad,2023,28142467650.0,,28.142,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
mad,2024,30584355910.0,,30.584,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
mad,2025,31596299960.0,,31.596,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
mur,2022,6962801970.0,,6.963,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
mur,2023,7770713390.0,,7.771,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
mur,2024,7819336870.0,,7.819,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
mur,2025,8037477030.0,,8.037,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
nav,2022,5273126610.0,,5.273,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
nav,2023,5748951180.0,,5.749,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
nav,2024,6355410180.0,,6.355,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
nav,2025,6431264950.0,,6.431,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
pvc,2022,13187367280.0,,13.187,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
pvc,2023,14361725450.0,,14.362,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
pvc,2024,15147034380.0,,15.147,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
pvc,2025,15811133330.0,2685801928.0,15.811,2.686,0.1699,9.0,autonómica<50% hacienda — posible falta concepto §1.6 (17.0%)
val,2022,28632359900.0,,28.632,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
val,2023,29120879530.0,,29.121,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
val,2024,30410305550.0,,30.41,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
val,2025,32976869660.0,,32.977,,,9.0,pendiente master run — autonómica todavía no en ced_presupuestos.csv
