source_url,extraction_date,view,field,year,measure,amount_eur,amount_raw,code,label,parent_code,parent_label,level,path_codes,path_labels,area_code,area_label,budget_status,inflation,inflation_index,population
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2011,budget,255716700.0,25571670000,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,3.2,76.21357209940983,637099
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2011,actual,246085045.71,24608504571,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,3.2,76.21357209940983,637099
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2012,budget,247686568.0,24768656800,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,2.6,78.19512497399448,640023
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2012,actual,189976592.32,18997659232,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,2.6,78.19512497399448,640023
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2013,budget,222051090.0,22205109000,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.3,79.2116615986564,639089
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2013,actual,222099795.94,22209979594,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.3,79.2116615986564,639089
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2014,budget,227102565.0,22710256500,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,-0.5,78.81560329066312,637099
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2014,actual,234455795.72,23445579572,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,-0.5,78.81560329066312,637099
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2015,budget,228098246.0,22809824600,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,-0.7,78.26389406762847,637317
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2015,actual,256686456.0,25668645600,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,-0.7,78.26389406762847,637317
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2016,budget,265776172.0,26577617200,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,0.1,78.34215796169609,638922
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2016,actual,285144632.65,28514463265,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,0.1,78.34215796169609,638922
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2017,budget,308721269.0,30872126900,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.6,79.59563248908323,642075
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2017,actual,302282750.0,30228275000,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.6,79.59563248908323,642075
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2018,budget,328553753.0,32855375300,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.7,80.94875824139764,646340
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2018,actual,329633018.0,32963301800,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.7,80.94875824139764,646340
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2019,budget,348775001.0,34877500100,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.2,81.92014334029442,652797
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2019,actual,349293382.0,34929338200,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,1.2,81.92014334029442,652797
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2020,budget,365537055.0,36553705500,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,-0.6,81.42862248025266,659907
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2020,actual,388553783.0,38855378300,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,-0.6,81.42862248025266,659907
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2021,budget,405672153.0,40567215300,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,3.4,84.19719564458124,662032
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2021,actual,394643447.03,39464344703,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,3.4,84.19719564458124,662032
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2022,budget,439736716.0,43973671600,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,8.8,91.6065488613044,664514
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2022,actual,423805572.0,42380557200,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,8.8,91.6065488613044,664514
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2023,budget,526599463.0,52659946300,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,3.7,94.99599116917265,672155
https://presupuesto.navarra.es/es/politicas,2026-06-29,functional,expense,2023,actual,540581555.68,54058155568,23,Servicios sociales y promoción social,,,0,23,Servicios sociales y promoción social,2,Actuaciones de protección y promoción social,,3.7,94.99599116917265,672155
