ccaa,nombre,anio,total_hacienda_b,total_auto_b,ratio,flag
ext,Extremadura,2018,5.434,5.434,1.0,OK
ext,Extremadura,2019,5.798,5.798,1.0,OK
ext,Extremadura,2020,6.006,6.007,1.0,OK
ext,Extremadura,2021,6.424,6.424,1.0,OK
ext,Extremadura,2022,7.0,6.985,0.998,OK
ext,Extremadura,2023,7.781,7.781,1.0,OK
ext,Extremadura,2024,8.127,8.127,1.0,OK
ext,Extremadura,2025,8.098,8.127,1.004,OK
gal,Galicia,2015,9.79,9.549,0.975,OK
gal,Galicia,2016,10.31,10.097,0.979,OK
gal,Galicia,2017,11.029,10.608,0.962,OK
gal,Galicia,2018,10.724,10.521,0.981,OK
gal,Galicia,2019,11.544,11.337,0.982,OK
gal,Galicia,2020,11.822,11.594,0.981,OK
gal,Galicia,2021,13.397,13.183,0.984,OK
gal,Galicia,2022,13.118,11.848,0.903,OK
gal,Galicia,2023,14.167,12.847,0.907,OK
gal,Galicia,2024,14.815,13.486,0.91,OK
gal,Galicia,2025,15.741,14.186,0.901,OK
lar,La Rioja,2015,1.287,1.284,0.998,OK
lar,La Rioja,2016,1.337,1.334,0.998,OK
lar,La Rioja,2017,1.456,1.453,0.998,OK
lar,La Rioja,2018,1.519,1.303,0.858,OK
lar,La Rioja,2019,1.488,1.533,1.03,OK
lar,La Rioja,2020,1.575,1.556,0.988,OK
lar,La Rioja,2021,1.891,1.809,0.957,OK
lar,La Rioja,2022,1.95,1.824,0.935,OK
lar,La Rioja,2023,1.909,1.732,0.907,OK
lar,La Rioja,2024,1.974,1.947,0.987,OK
lar,La Rioja,2025,2.115,2.014,0.952,OK
mad,Madrid,2015,20.853,20.853,1.0,OK
mad,Madrid,2016,20.14,20.14,1.0,OK
mad,Madrid,2017,20.504,20.504,1.0,OK
mad,Madrid,2018,21.634,21.634,1.0,OK
mad,Madrid,2019,22.777,22.777,1.0,OK
mad,Madrid,2020,23.333,22.777,0.976,OK
mad,Madrid,2021,25.879,22.777,0.88,OK
mad,Madrid,2022,25.999,25.901,0.996,OK
mad,Madrid,2023,28.142,25.901,0.92,OK
mad,Madrid,2024,30.584,30.447,0.995,OK
mad,Madrid,2025,31.596,31.453,0.995,OK
mur,Murcia,2015,4.642,4.908,1.057,OK
mur,Murcia,2016,4.916,5.138,1.045,OK
mur,Murcia,2017,5.093,5.32,1.045,OK
mur,Murcia,2018,5.515,5.772,1.046,OK
mur,Murcia,2019,5.8,6.057,1.044,OK
mur,Murcia,2020,6.197,6.465,1.043,OK
mur,Murcia,2021,6.754,7.054,1.045,OK
mur,Murcia,2022,6.963,7.268,1.044,OK
mur,Murcia,2023,7.771,8.157,1.05,OK
mur,Murcia,2024,7.819,8.237,1.053,OK
mur,Murcia,2025,8.037,8.46,1.053,OK
nav,Navarra,2015,3.793,3.458,0.912,OK
nav,Navarra,2016,4.005,3.506,0.875,OK
nav,Navarra,2017,4.062,3.731,0.919,OK
nav,Navarra,2018,4.164,3.89,0.934,OK
nav,Navarra,2019,4.312,4.017,0.931,OK
nav,Navarra,2020,4.574,4.257,0.931,OK
nav,Navarra,2021,4.871,4.481,0.92,OK
nav,Navarra,2022,5.273,4.767,0.904,OK
nav,Navarra,2023,5.749,5.239,0.911,OK
nav,Navarra,2024,6.355,5.836,0.918,OK
nav,Navarra,2025,6.431,5.987,0.931,OK
pvc,País Vasco,2015,10.701,11.631,1.087,OK
pvc,País Vasco,2016,10.995,11.937,1.086,OK
pvc,País Vasco,2017,11.125,12.094,1.087,OK
pvc,País Vasco,2018,11.579,12.546,1.083,OK
pvc,País Vasco,2019,11.22,12.851,1.145,OK
pvc,País Vasco,2020,11.857,12.869,1.085,OK
pvc,País Vasco,2021,12.522,13.578,1.084,OK
pvc,País Vasco,2022,13.187,14.173,1.075,OK
pvc,País Vasco,2023,14.362,15.502,1.079,OK
pvc,País Vasco,2024,15.147,16.351,1.079,OK
pvc,País Vasco,2025,15.811,17.07,1.08,OK
val,C. Valenciana,2015,17.564,17.188,0.979,OK
val,C. Valenciana,2016,17.561,17.156,0.977,OK
val,C. Valenciana,2017,18.138,17.725,0.977,OK
val,C. Valenciana,2018,20.414,19.957,0.978,OK
val,C. Valenciana,2019,22.597,22.096,0.978,OK
val,C. Valenciana,2020,23.531,23.022,0.978,OK
val,C. Valenciana,2021,26.139,25.628,0.98,OK
val,C. Valenciana,2022,28.632,27.967,0.977,OK
val,C. Valenciana,2023,29.121,28.438,0.977,OK
val,C. Valenciana,2024,30.41,29.732,0.978,OK
val,C. Valenciana,2025,32.977,32.291,0.979,OK
