codigo,denominacion,importe_eur,ccaa_id3,anio,capa,capitulo,fuente_path,fecha_captura
06,Inversiones reales,149309660.0,ast,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ast.xlsx,2026-05-30T11:18:47.296489+00:00
07,Transferencias de capital,178793890.0,ast,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ast.xlsx,2026-05-30T11:18:47.296489+00:00
08,Activos financieros,37366070.0,ast,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ast.xlsx,2026-05-30T11:18:47.296489+00:00
09,Pasivos financieros,344887270.0,ast,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ast.xlsx,2026-05-30T11:18:47.296489+00:00
01,Gastos de personal,1260607780.0,bal,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
02,Gastos corrientes en bienes y servicios,544200540.0,bal,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
03,Gastos financieros,191156920.0,bal,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
04,Transferencias corrientes,920937460.0,bal,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
05,Fondo de contingencia,3870000.0,bal,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
06,Inversiones reales,142702520.0,bal,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
07,Transferencias de capital,285736210.0,bal,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
08,Activos financieros,75004010.0,bal,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
09,Pasivos financieros,611376530.0,bal,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_bal.xlsx,2026-05-30T11:18:47.859326+00:00
01,Gastos de personal,2612359600.0,can,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
02,Gastos corrientes en bienes y servicios,1057207090.0000001,can,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
03,Gastos financieros,148829600.0,can,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
04,Transferencias corrientes,1958718360.0,can,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
05,Fondo de contingencia,24287860.0,can,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
06,Inversiones reales,276437010.0,can,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
07,Transferencias de capital,208396510.0,can,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
08,Activos financieros,95963990.0,can,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
09,Pasivos financieros,519211540.0,can,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_can.xlsx,2026-05-30T11:18:48.421260+00:00
01,Gastos de personal,7008376960.0,cat,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
02,Gastos corrientes en bienes y servicios,7220680520.0,cat,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
03,Gastos financieros,1713183290.0,cat,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
04,Transferencias corrientes,9486036220.0,cat,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
05,Fondo de contingencia,200000000.0,cat,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
06,Inversiones reales,558620640.0,cat,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
07,Transferencias de capital,489283430.0,cat,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
08,Activos financieros,652065980.0,cat,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
09,Pasivos financieros,5290152410.0,cat,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cat.xlsx,2026-05-30T11:18:48.980974+00:00
