ccaa;fecha;genero;origen_genero;origen;cobertura_pct_ppd;solicitudes_pct_ppd;limbo_grado_pct_ppd;limbo_pia_pct_ppd;limbo_prestaciones_pct_ppd;pct_mujeres_benef
Andalucía;2025-02-01;hombre;estimado;real;5,1897;7,3666;0,5360;0,2872;0,0357;81,6260
Andalucía;2025-02-01;mujer;estimado;real;23,0549;32,7257;2,3810;1,2759;0,1588;81,6260
Andalucía;2025-03-01;hombre;estimado;real;5,2033;7,3764;0,5072;0,2758;0,0567;81,6304
Andalucía;2025-03-01;mujer;estimado;real;23,1225;32,7792;2,2538;1,2256;0,2517;81,6304
Andalucía;2025-04-01;hombre;estimado;real;5,2170;7,3774;0,4999;0,2766;0,0676;81,6282
Andalucía;2025-04-01;mujer;estimado;real;23,1795;32,7785;2,2211;1,2290;0,3005;81,6282
Andalucía;2025-05-01;hombre;estimado;real;5,2444;7,3988;0,4977;0,2778;0,1000;81,6256
Andalucía;2025-05-01;mujer;estimado;real;23,2974;32,8682;2,2111;1,2342;0,4443;81,6256
Andalucía;2025-06-01;hombre;estimado;real;5,2774;7,4232;0,5071;0,2628;0,1066;81,5979
Andalucía;2025-06-01;mujer;estimado;real;23,4009;32,9157;2,2487;1,1652;0,4727;81,5979
Andalucía;2025-07-01;hombre;estimado;real;5,3142;7,4583;0,5227;0,2472;0,1311;81,5600
Andalucía;2025-07-01;mujer;estimado;real;23,5048;32,9879;2,3117;1,0932;0,5798;81,5600
Andalucía;2025-08-01;hombre;estimado;real;5,3582;7,5324;0,5579;0,2413;0,1291;81,4872
Andalucía;2025-08-01;mujer;estimado;real;23,5851;33,1551;2,4559;1,0622;0,5681;81,4872
Andalucía;2025-09-01;hombre;estimado;real;5,4989;7,5955;0,5251;0,2357;0,1487;81,3671
Andalucía;2025-09-01;mujer;estimado;real;24,0128;33,1685;2,2930;1,0291;0,6493;81,3671
Andalucía;2025-10-01;hombre;estimado;real;5,6875;7,7322;0,3581;0,2326;0,1922;81,3272
Andalucía;2025-10-01;mujer;estimado;real;24,7710;33,6768;1,5599;1,0132;0,8371;81,3272
Andalucía;2025-11-01;hombre;estimado;real;5,9062;7,9229;0,2771;0,2410;0,2156;81,2591
Andalucía;2025-11-01;mujer;estimado;real;25,6088;34,3533;1,2016;1,0448;0,9347;81,2591
Andalucía;2025-12-01;hombre;estimado;real;6,0414;8,1305;0,2615;0,2371;0,2161;81,1753
Andalucía;2025-12-01;mujer;estimado;real;26,0515;35,0600;1,1277;1,0223;0,9317;81,1753
Andalucía;2026-01-01;hombre;estimado;real;5,9191;8,0024;0,3058;0,2304;0,2395;81,1300
Andalucía;2026-01-01;mujer;estimado;real;25,4487;34,4056;1,3146;0,9906;1,0295;81,1300
Andalucía;2026-02-01;hombre;estimado;real;5,9145;8,0982;0,4158;0,3027;0,2698;81,0701
Andalucía;2026-02-01;mujer;estimado;real;25,3298;34,6818;1,7806;1,2964;1,1556;81,0701
Andalucía;2026-03-01;hombre;estimado;real;6,0793;8,2286;0,4353;0,2095;0,2294;81,0036
Andalucía;2026-03-01;mujer;estimado;real;25,9231;35,0880;1,8561;0,8934;0,9782;81,0036
Andalucía;2026-04-01;hombre;estimado;proyeccion;6,1108;8,2286;0,4353;0,2095;0,2168;80,9419
Andalucía;2026-04-01;mujer;estimado;proyeccion;26,0573;35,0879;1,8561;0,8934;0,9243;80,9419
Andalucía;2026-05-01;hombre;estimado;proyeccion;6,1422;8,2286;0,4353;0,2095;0,2294;80,8802
Andalucía;2026-05-01;mujer;estimado;proyeccion;26,1915;35,0879;1,8561;0,8934;0,9781;80,8802
Andalucía;2026-06-01;hombre;estimado;proyeccion;6,1737;8,2286;0,4353;0,2095;0,2069;80,8186
Andalucía;2026-06-01;mujer;estimado;proyeccion;26,3257;35,0879;1,8561;0,8934;0,8821;80,8186
Andalucía;2026-07-01;hombre;estimado;proyeccion;6,2052;8,2286;0,4353;0,2095;0,1934;80,7569
Andalucía;2026-07-01;mujer;estimado;proyeccion;26,4599;35,0879;1,8561;0,8934;0,8248;80,7569
Andalucía;2026-08-01;hombre;estimado;proyeccion;6,2367;8,2286;0,4353;0,2095;0,1567;80,6952
Andalucía;2026-08-01;mujer;estimado;proyeccion;26,5941;35,0879;1,8561;0,8934;0,6682;80,6952
Andalucía;2026-09-01;hombre;estimado;proyeccion;6,2681;8,2286;0,4353;0,2095;0,1334;80,6335
Andalucía;2026-09-01;mujer;estimado;proyeccion;26,7283;35,0879;1,8561;0,8934;0,5690;80,6335
Andalucía;2026-10-01;hombre;estimado;proyeccion;6,2996;8,2286;0,4353;0,2095;0,1251;80,5718
Andalucía;2026-10-01;mujer;estimado;proyeccion;26,8625;35,0879;1,8561;0,8934;0,5334;80,5718
Andalucía;2026-11-01;hombre;estimado;proyeccion;6,3311;8,2286;0,4353;0,2095;0,4652;80,5102
Andalucía;2026-11-01;mujer;estimado;proyeccion;26,9967;35,0879;1,8561;0,8934;1,9838;80,5102
Aragón;2023-01-01;hombre;estimado;real;5,7688;7,9253;0,6382;0,3090;0,0882;69,9288
Aragón;2023-01-01;mujer;estimado;real;13,4150;18,4299;1,4841;0,7186;0,2051;69,9288
Aragón;2023-02-01;hombre;estimado;real;5,8247;7,9361;0,6347;0,2717;0,0872;69,9627
Aragón;2023-02-01;mujer;estimado;real;13,5668;18,4846;1,4783;0,6328;0,2030;69,9627
Aragón;2023-03-01;hombre;estimado;real;5,8732;7,9799;0,6423;0,2608;0,0900;69,9455
Aragón;2023-03-01;mujer;estimado;real;13,6687;18,5716;1,4949;0,6071;0,2094;69,9455
Aragón;2023-04-01;hombre;estimado;real;5,9097;7,9996;0,6382;0,2512;0,0928;69,9885
Aragón;2023-04-01;mujer;estimado;real;13,7817;18,6555;1,4883;0,5858;0,2164;69,9885
Aragón;2023-05-01;hombre;estimado;real;5,9334;8,0764;0,6375;0,3012;0,0930;70,0139
Aragón;2023-05-01;mujer;estimado;real;13,8538;18,8575;1,4884;0,7033;0,2172;70,0139
Aragón;2023-06-01;hombre;estimado;real;6,0184;8,1773;0,7035;0,2411;0,0983;69,9192
Aragón;2023-06-01;mujer;estimado;real;13,9890;19,0071;1,6352;0,5603;0,2285;69,9192
Aragón;2023-07-01;hombre;estimado;real;6,0790;8,1712;0,7353;0,1324;0,0980;69,9201
Aragón;2023-07-01;mujer;estimado;real;14,1304;18,9937;1,7091;0,3077;0,2277;69,9201
Aragón;2023-08-01;hombre;estimado;real;6,1102;8,1960;0,7569;0,0983;0,0934;69,9542
Aragón;2023-08-01;mujer;estimado;real;14,2260;19,0823;1,7622;0,2289;0,2174;69,9542
Aragón;2023-09-01;hombre;estimado;real;6,1448;8,2306;0,7941;0,0555;0,0967;69,9453
Aragón;2023-09-01;mujer;estimado;real;14,3006;19,1548;1,8482;0,1291;0,2249;69,9453
Aragón;2023-10-01;hombre;estimado;real;6,2082;8,3177;0,8164;0,0453;0,1058;69,8080
Aragón;2023-10-01;mujer;estimado;real;14,3542;19,2316;1,8877;0,1047;0,2446;69,8080
Aragón;2023-11-01;hombre;estimado;real;6,2480;8,3915;0,8536;0,0380;0,1065;69,7833
Aragón;2023-11-01;mujer;estimado;real;14,4293;19,3795;1,9712;0,0878;0,2460;69,7833
Aragón;2023-12-01;hombre;estimado;real;6,2791;8,4265;0,8632;0,0290;0,1026;69,7933
Aragón;2023-12-01;mujer;estimado;real;14,5080;19,4697;1,9945;0,0669;0,2370;69,7933
Aragón;2024-01-01;hombre;estimado;real;6,4958;8,7857;0,9570;0,0309;0,1053;69,8423
Aragón;2024-01-01;mujer;estimado;real;15,0436;20,3469;2,2162;0,0715;0,2437;69,8423
Aragón;2024-02-01;hombre;estimado;real;6,4702;8,7539;0,9755;0,0206;0,0999;69,9885
Aragón;2024-02-01;mujer;estimado;real;15,0889;20,4146;2,2749;0,0480;0,2330;69,9885
Aragón;2024-03-01;hombre;estimado;real;6,5049;8,8143;1,0119;0,0188;0,1023;69,9976
Aragón;2024-03-01;mujer;estimado;real;15,1765;20,5644;2,3607;0,0439;0,2387;69,9976
Aragón;2024-04-01;hombre;estimado;real;6,5523;8,9474;1,1006;0,0169;0,0992;69,9714
Aragón;2024-04-01;mujer;estimado;real;15,2679;20,8489;2,5647;0,0394;0,2311;69,9714
Aragón;2024-05-01;hombre;estimado;real;6,5773;9,0348;1,1603;0,0183;0,1052;70,0307
Aragón;2024-05-01;mujer;estimado;real;15,3695;21,1121;2,7114;0,0428;0,2459;70,0307
Aragón;2024-06-01;hombre;estimado;real;6,7349;9,1492;1,1101;0,0161;0,1167;69,9843
Aragón;2024-06-01;mujer;estimado;real;15,7030;21,3322;2,5884;0,0375;0,2720;69,9843
Aragón;2024-07-01;hombre;estimado;real;6,8094;9,1703;1,0648;0,0125;0,1205;70,0233
Aragón;2024-07-01;mujer;estimado;real;15,9062;21,4211;2,4874;0,0293;0,2815;70,0233
Aragón;2024-08-01;hombre;estimado;real;6,8890;9,1948;0,9975;0,0152;0,0997;69,9078
Aragón;2024-08-01;mujer;estimado;real;16,0040;21,3607;2,3172;0,0352;0,2316;69,9078
Aragón;2024-09-01;hombre;estimado;real;7,0856;9,2477;0,8654;0,0123;0,0991;69,7802
Aragón;2024-09-01;mujer;estimado;real;16,3612;21,3538;1,9984;0,0284;0,2289;69,7802
Aragón;2024-10-01;hombre;estimado;real;7,1826;9,3378;0,8548;0,0136;0,1113;69,7262
Aragón;2024-10-01;mujer;estimado;real;16,5429;21,5066;1,9688;0,0314;0,2564;69,7262
Aragón;2024-11-01;hombre;estimado;real;7,2722;9,3749;0,8085;0,0135;0,1175;69,7589
Aragón;2024-11-01;mujer;estimado;real;16,7751;21,6255;1,8650;0,0310;0,2711;69,7589
Aragón;2024-12-01;hombre;estimado;real;7,3441;9,3958;0,7566;0,0140;0,1199;69,7349
Aragón;2024-12-01;mujer;estimado;real;16,9218;21,6491;1,7433;0,0322;0,2763;69,7349
