territorio_cod,territorio,genero,anyo,tasa_paro,tasa_actividad,tasa_empleo,horas_servicios,tasa_paro_juvenil,paro_larga_duracion,temporalidad,parcialidad,brecha_salarial,pct_alquiler_salario
01,Andalucía,Ambos géneros,2010,27.7725,58.61,42.335,128.3,49.9025,42.85,34.425,14.375,23.622,31.46
01,Andalucía,Ambos géneros,2011,30.130000000000003,58.645,40.975,127.15,54.095,48.5,34.075,14.8,22.784,30.3
01,Andalucía,Ambos géneros,2012,34.3525,59.035,38.7575,125.4,61.93,53.6,32.325,16.225,24.43,29.64
01,Andalucía,Ambos géneros,2013,36.2225,58.8075,37.5025,125.92500000000001,65.9625,59.5,31.45,17.4,24.931,27.99
01,Andalucía,Ambos géneros,2014,34.78,58.832499999999996,38.37,125.025,61.475,61.8,34.325,17.85,25.339,27.5
01,Andalucía,Ambos géneros,2015,31.54,58.76,40.2275,125.275,56.815,60.975,35.15,18.200000000000003,24.212,27.61
01,Andalucía,Ambos géneros,2016,28.884999999999998,57.825,41.115,124.5,57.9325,55.25,35.55,16.825,24.346,29.07
01,Andalucía,Ambos géneros,2017,25.505,57.3475,42.72,125.27499999999999,49.15,53.275,35.85,16.525,24.356,30.72
01,Andalucía,Ambos géneros,2018,22.985,56.885,43.81,124.425,46.77,49.475,35.825,15.9,24.443,33.46
01,Andalucía,Ambos géneros,2019,21.1875,56.792500000000004,44.7625,124.5,41.6425,44.6,35.3,15.4,20.94,35.33
01,Andalucía,Ambos géneros,2020,22.2675,55.37,43.0325,115.225,49.5875,39.725,32.15,14.675,21.255,37.03
01,Andalucía,Ambos géneros,2021,21.86,56.995000000000005,44.54,121.6,44.495000000000005,49.425,33.775,14.575,19.78,35.66
01,Andalucía,Ambos géneros,2022,19.115000000000002,56.629999999999995,45.805,125.575,35.275,46.3,28.475,14.375,17.03,36.18
01,Andalucía,Ambos géneros,2023,18.24,57.265,46.82,126.075,39.7025,41.55,22.05,14.0,16.136,38.67
01,Andalucía,Ambos géneros,2024,16.465,56.8025,47.45,125.525,36.875,42.800000000000004,20.4,13.575,16.315,41.43
01,Andalucía,Ambos géneros,2025,15.23,57.15,48.447500000000005,125.05,32.7775,38.725,19.575000000000003,13.15,,
01,Andalucía,Ambos géneros,2026,14.66,57.05,48.68,126.4,32.39,37.8,18.8,13.0,,
01,Andalucía,Hombres,2010,26.6925,67.3625,49.3775,,50.6025,41.725,33.45,5.85,,28.11
01,Andalucía,Hombres,2011,28.6875,66.9625,47.7525,,55.7075,46.775000000000006,33.425,6.975,,27.17
01,Andalucía,Hombres,2012,33.4225,66.17750000000001,44.0625,,63.4225,52.974999999999994,30.775,7.45,,26.25
01,Andalucía,Hombres,2013,34.777499999999996,65.675,42.8325,,65.22749999999999,59.4,30.700000000000003,8.65,,24.69
01,Andalucía,Hombres,2014,32.705,65.8575,44.3225,,61.8375,62.074999999999996,34.6,8.925,,24.35
01,Andalucía,Hombres,2015,29.0825,65.5025,46.4525,,55.0325,59.825,35.650000000000006,9.275,,24.4
01,Andalucía,Hombres,2016,26.2,64.6375,47.7025,,56.317499999999995,52.9,36.175,8.925,,25.73
01,Andalucía,Hombres,2017,22.9375,64.38,49.6125,,48.879999999999995,51.6,35.75,8.225,,27.2
01,Andalucía,Hombres,2018,19.7575,63.957499999999996,51.3225,,46.935,47.775,35.225,7.325,,29.52
01,Andalucía,Hombres,2019,17.8325,63.4375,52.120000000000005,,38.0125,40.825,34.725,6.7,,31.78
01,Andalucía,Hombres,2020,18.8175,62.415,50.665,,47.375,36.225,31.525,6.875,,33.35
01,Andalucía,Hombres,2021,18.7575,63.5775,51.652499999999996,,42.4175,44.9,32.85,6.75,,32.42
01,Andalucía,Hombres,2022,16.115000000000002,62.6725,52.57,,32.6525,43.15,27.35,6.925,,33.28
01,Andalucía,Hombres,2023,15.629999999999999,62.825,53.0025,,40.975,38.675,20.7,6.55,,35.76
01,Andalucía,Hombres,2024,14.1425,62.8925,53.995000000000005,,36.155,39.425000000000004,18.95,6.475,,38.2
01,Andalucía,Hombres,2025,12.682500000000001,62.900000000000006,54.9225,,31.78,35.425,18.125,6.05,,
01,Andalucía,Hombres,2026,12.49,62.76,54.92,,32.47,33.7,16.8,5.7,,
01,Andalucía,Mujeres,2010,29.1725,50.1525,35.5275,,49.085,44.35,35.625,25.825,,36.8
01,Andalucía,Mujeres,2011,31.9675,50.605000000000004,34.425,,52.2175,50.625,34.825,25.225,,35.19
01,Andalucía,Mujeres,2012,35.4875,52.15,33.6375,,60.265,54.325,34.075,27.325,,34.73
01,Andalucía,Mujeres,2013,37.9775,52.195,32.3775,,66.8075,59.725,32.225,28.5,,32.89
01,Andalucía,Mujeres,2014,37.3025,52.0775,32.65,,61.0175,61.6,33.925,29.55,,32.61
01,Andalucía,Mujeres,2015,34.495,52.2875,34.25,,58.855000000000004,62.15,34.625,29.8,,32.19
01,Andalucía,Mujeres,2016,32.1375,51.275,34.795,,59.925,57.525,34.825,27.25,,34.01
01,Andalucía,Mujeres,2017,28.6425,50.6,36.11,,49.485,54.925,35.875,27.425,,35.96
01,Andalucía,Mujeres,2018,26.935,50.1,36.6,,46.542500000000004,51.075,36.6,27.425,,39.07
01,Andalucía,Mujeres,2019,25.2225,50.435,37.714999999999996,,46.15,47.775,35.975,26.925,,40.2
01,Andalucía,Mujeres,2020,26.5025,48.629999999999995,35.7275,,52.365,42.85,32.95,25.2,,42.35
01,Andalucía,Mujeres,2021,25.5775,50.7025,37.7425,,47.16,53.5,34.925,24.825000000000003,,40.42
01,Andalucía,Mujeres,2022,22.6575,50.855000000000004,39.3325,,38.4125,49.0,29.725,23.85,,40.12
01,Andalucía,Mujeres,2023,21.247500000000002,51.96,40.917500000000004,,38.019999999999996,44.025000000000006,23.625,23.2,,42.64
01,Andalucía,Mujeres,2024,19.1875,51.010000000000005,41.22,,37.8225,45.75,22.125,22.375,,45.65
01,Andalucía,Mujeres,2025,18.1825,51.665,42.2725,,34.01,41.4,21.2,21.95,,
01,Andalucía,Mujeres,2026,17.2,51.58,42.71,,32.29,41.2,21.0,22.0,,
02,Aragón,Ambos géneros,2010,14.955,58.805,50.0075,126.80000000000001,31.9075,40.625,23.375,13.0,25.413,29.77
02,Aragón,Ambos géneros,2011,17.0775,59.1125,49.0175,126.60000000000001,39.8425,46.2,23.85,13.600000000000001,25.446,29.87
02,Aragón,Ambos géneros,2012,18.665,60.1225,48.9025,124.67500000000001,42.3225,50.45,21.599999999999998,13.5,29.977,28.97
02,Aragón,Ambos géneros,2013,21.3825,59.0575,46.4275,124.5,50.26,54.125,21.575,15.375,25.577,26.77
02,Aragón,Ambos géneros,2014,20.1725,58.92,47.0325,122.15,51.55,56.8,23.875,15.1,25.296,25.46
02,Aragón,Ambos géneros,2015,16.29,58.7775,49.2025,122.525,41.2375,52.875,22.775,14.6,25.847,25.71
