ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Canarias;2022;hombres;real;17,4;39,8;41,1;12,8;16,1;68,2;78,4;29,5
Canarias;2022;mujeres;real;7,1;52,9;33,3;17,5;12,2;75,7;86,0;28,6
Canarias;2022;total;real;12,3;46,3;37,2;15,2;14,2;71,8;82,1;29,1
Canarias;2023;hombres;real;17,6;33,8;43,3;12,6;15,6;69,5;79,1;30,3
Canarias;2023;mujeres;real;11,7;50,2;33,9;18,5;12,2;77,4;86,6;29,5
Canarias;2023;total;real;14,7;42,0;38,6;15,6;13,9;73,3;82,8;29,9
Canarias;2024;hombres;proyeccion;16,0;39,1;42,6;12,1;13,8;72,4;79,1;32,8
Canarias;2024;mujeres;proyeccion;10,0;51,4;32,9;15,8;14,1;78,7;86,6;31,7
Canarias;2024;total;proyeccion;13,1;45,3;37,7;14,0;14,0;75,4;82,8;32,3
Canarias;2025;hombres;proyeccion;20,5;41,5;41,1;11,8;13,3;74,16;79,1;34,1333
Canarias;2025;mujeres;proyeccion;11,1;45,9;31,5;14,4;15,3;79,9111;86,6;33,2733
Canarias;2025;total;proyeccion;15,9;43,7;36,3;13,1;14,3;76,8778;82,8;33,7333
Canarias;2026;hombres;proyeccion;20,5;41,1582;40,0;11,8;13,3;75,94;79,1;36,0321
Canarias;2026;mujeres;proyeccion;11,1;45,9;29,99;14,4;15,3;81,1222;86,6;35,1012
Canarias;2026;total;proyeccion;15,9;43,7;35,0;13,1;14,3;78,3556;82,8;35,5994
Cantabria;2015;hombres;real;12,6;36,6;40,0;10,0;15,5;69,2;83,4;27,8
Cantabria;2015;mujeres;real;7,8;48,5;35,3;11,4;14,0;75,5;89,2;26,4
Cantabria;2015;total;real;10,3;42,5;37,6;10,7;14,7;72,4;86,2;27,1
Cantabria;2016;hombres;real;8,8;33,4;39,8;8,8;13,3;69,3;75,5;28,6
Cantabria;2016;mujeres;real;8,3;52,0;33,3;9,2;17,9;74,1;82,7;27,4
Cantabria;2016;total;real;8,6;42,7;36,5;9,0;15,6;71,6;79,0;28,0
Cantabria;2017;hombres;real;12,3;41,1;37,4;9,9;12,5;66,1;75,1;28,0
Cantabria;2017;mujeres;proyeccion;9,5;54,1;31,1;11,4;14,0;76,8;88,6;29,2
Cantabria;2017;total;real;8,9;47,6;34,3;10,7;13,2;71,4;81,7;28,6
Cantabria;2018;hombres;real;8,9;40,0;34,4;9,9;10,4;68,6;79,4;30,7
Cantabria;2018;mujeres;real;10,7;60,0;28,2;13,2;12,3;77,3;88,3;29,5
Cantabria;2018;total;real;9,8;49,9;31,3;11,6;11,3;72,9;83,7;30,1
Cantabria;2019;hombres;real;14,4;43,9;34,6;9,5;11,9;67,9;83,2;31,7
Cantabria;2019;mujeres;real;11,1;59,9;28,0;13,1;14,3;76,6;91,4;31,5
Cantabria;2019;total;real;12,8;51,8;31,3;11,3;13,1;72,2;87,3;31,6
Cantabria;2020;hombres;real;11,8;47,9;35,0;10,8;15,5;75,8;85,4;29,1
Cantabria;2020;mujeres;real;6,5;63,1;29,7;13,1;11,8;81,8;89,4;30,2
Cantabria;2020;total;real;9,1;55,4;32,3;11,9;13,7;78,8;87,4;29,6
Cantabria;2021;hombres;real;6,8;46,5;35,0;14,7;8,3;76,2;83,5;33,0
Cantabria;2021;mujeres;real;5,7;57,6;28,4;17,4;7,2;79,8;88,8;32,8
Cantabria;2021;total;real;6,3;52,0;31,7;16,1;7,8;77,9;86,1;32,9
Cantabria;2022;hombres;real;10,1;47,0;32,5;15,0;7,8;74,7;81,8;35,3
Cantabria;2022;mujeres;real;7,7;57,9;27,1;18,1;14,4;79,9;87,5;35,7
Cantabria;2022;total;real;9,0;52,4;29,8;16,5;11,0;77,2;84,6;35,5
Cantabria;2023;hombres;real;8,8;59,2;29,8;16,0;5,3;77,8;85,4;38,0
Cantabria;2023;mujeres;real;5,7;67,3;23,1;20,7;11,7;82,2;91,8;38,1
Cantabria;2023;total;real;7,3;63,2;26,4;18,4;8,4;80,0;88,6;38,1
Cantabria;2024;hombres;proyeccion;7,9;56,8;29,4;14,9;7,1;78,6;88,4778;39,8
Cantabria;2024;mujeres;proyeccion;5,75;67,1;23,4;17,4;8,1;84,1;88,6333;38,8
Cantabria;2024;total;proyeccion;5,5;61,9;26,4;16,1;7,6;81,3;88,6;39,3
Cantabria;2025;hombres;proyeccion;11,7;50,8;30,0;13,6;9,5;78,6;88,4778;41,1333
Cantabria;2025;mujeres;proyeccion;5,8;69,2;23,4;17,9;6,2;84,22;88,6333;40,1778
Cantabria;2025;total;proyeccion;8,9;59,8;26,7;15,8;7,9;81,3;88,6;40,6556
Cantabria;2026;hombres;proyeccion;10,3727;50,8;30,0;13,6;9,5;78,6;88,4778;42,4667
Cantabria;2026;mujeres;proyeccion;5,8;69,2;23,4;17,9;7,1909;85,2036;88,6333;41,5556
Cantabria;2026;total;proyeccion;8,7727;59,8;26,7;15,8;6,5927;81,3;88,6;42,0111
Castilla y León;2015;hombres;real;21,2;36,2;46,1;9,5;14,7;62,6;77,9;21,4
Castilla y León;2015;mujeres;real;11,9;51,0;38,8;12,2;16,2;72,2;89,0;21,1
Castilla y León;2015;total;real;16,7;43,5;42,5;10,8;15,4;67,2;83,2;21,2
Castilla y León;2016;hombres;real;20,0;36,7;45,5;8,6;14,4;63,8;74,3;21,6
Castilla y León;2016;mujeres;real;14,4;49,6;38,1;10,7;15,2;73,0;82,9;21,0
Castilla y León;2016;total;real;17,3;43,0;41,9;9,6;14,8;68,3;78,5;21,3
Castilla y León;2017;hombres;real;21,8;36,1;43,9;8,4;13,4;65,4;76,1;22,7
Castilla y León;2017;mujeres;real;11,4;48,6;36,3;11,2;12,8;73,6;83,6;22,4
Castilla y León;2017;total;real;16,7;42,2;40,2;9,8;13,1;69,4;79,7;22,5
Castilla y León;2018;hombres;real;18,1;36,5;43,8;8,5;12,8;67,2;77,6;23,5
