indicador_id,indicador,modelo,n_series,mae_medio,mape_medio,nmae_medio
1,Tasa de paro,AutoARIMA,60,0.9641643197837083,9.020499537193375,0.08769621811769103
1,Tasa de paro,AutoTheta,60,0.9960162287230597,9.01050333780764,0.08951442484536402
1,Tasa de paro,AutoETS,60,1.030471550139323,9.452339882837423,0.09150858780327319
1,Tasa de paro,Prophet,60,1.2550569142178118,11.572709312902967,0.11414286518245324
1,Tasa de paro,Naive,60,1.2438749999999998,11.629902857697356,0.11455514011138707
1,Tasa de paro,RWD,60,1.2483726803411594,11.619737854322933,0.11528486805647283
1,Tasa de paro,SeasonalNaive,60,1.3668333333333331,12.386422156819176,0.11990180945133007
1,Tasa de paro,WindowAverage,60,1.4349739583333332,13.15128255462503,0.1258880053897574
1,Tasa de paro,HistoricAverage,60,6.673355676823425,67.4608856686709,0.6542626360557968
2,Tasa de actividad,AutoTheta,60,0.82093994793838,1.4248318859768085,0.014274721849663425
2,Tasa de actividad,AutoETS,60,0.8308214491322973,1.4455607333750062,0.014485482474168587
2,Tasa de actividad,AutoARIMA,60,0.8566752748907009,1.4929047289207276,0.014970885132768242
2,Tasa de actividad,Prophet,60,0.8725087774495779,1.535085918970844,0.015364127623029468
2,Tasa de actividad,WindowAverage,60,1.0039427083333328,1.7525379119286835,0.01755359163278796
2,Tasa de actividad,Naive,60,1.0168749999999998,1.7617179033701151,0.017597516035949105
2,Tasa de actividad,RWD,60,1.025253667557128,1.7767404945852763,0.017745595984246805
2,Tasa de actividad,SeasonalNaive,60,1.1680416666666664,2.0605631467897982,0.020624876735880045
2,Tasa de actividad,HistoricAverage,60,1.496527865373547,2.5831672700491164,0.025886851729116225
3,Tasa de empleo,AutoTheta,60,0.8301037883279393,1.6760332124005233,0.016764075913064183
3,Tasa de empleo,AutoETS,60,0.871389544291088,1.7637189151757826,0.01763746405660536
3,Tasa de empleo,AutoARIMA,60,0.9513046605503219,1.918005177481363,0.019172774746731146
3,Tasa de empleo,Prophet,60,0.9560871744239012,1.9546890014969835,0.019485733531599082
3,Tasa de empleo,Naive,60,1.2035833333333337,2.396912194617035,0.023903520058405254
3,Tasa de empleo,RWD,60,1.2040477882912375,2.399221267360985,0.02391194676537355
3,Tasa de empleo,WindowAverage,60,1.2608906250000003,2.5214511453810333,0.02529349330181271
3,Tasa de empleo,SeasonalNaive,60,1.246625,2.5717230240178384,0.025682303412767334
3,Tasa de empleo,HistoricAverage,60,4.044485894676494,7.986861800966224,0.0801769426233233
4,Horas efectivas en el sector servicios,AutoETS,18,1.3870475239626834,1.1385600983572304,0.011303324968134085
4,Horas efectivas en el sector servicios,AutoTheta,18,1.4511073890280797,1.1848267057573088,0.011760083631597562
4,Horas efectivas en el sector servicios,AutoARIMA,18,1.5814019620180648,1.2909456577934313,0.012822758067159715
4,Horas efectivas en el sector servicios,SeasonalNaive,18,1.8541666666666659,1.5111898187695487,0.015138580445548108
4,Horas efectivas en el sector servicios,Prophet,18,2.0288215908384064,1.6532442732181105,0.01653194220831226
4,Horas efectivas en el sector servicios,WindowAverage,18,3.1494791666666675,2.5953700161484146,0.025590544045985594
4,Horas efectivas en el sector servicios,HistoricAverage,18,3.4042144227285203,2.8164686741011953,0.027684364830608064
4,Horas efectivas en el sector servicios,Naive,18,4.844444444444445,3.9931119224829295,0.039479295546954105
4,Horas efectivas en el sector servicios,RWD,18,4.883372561199108,4.02255952879138,0.03979417857053327
6,Tasa de paro juvenil (<25),AutoTheta,60,5.010835274745611,20.47479135774506,0.1876916455542827
6,Tasa de paro juvenil (<25),Prophet,60,5.335428386936311,22.577488389107263,0.19470857360776964
6,Tasa de paro juvenil (<25),AutoETS,60,5.169269010491783,22.01819008752996,0.196439817531659
6,Tasa de paro juvenil (<25),AutoARIMA,60,5.264589740241564,22.092762838143912,0.19915574014267895
6,Tasa de paro juvenil (<25),WindowAverage,60,5.409625,23.078937725662282,0.19984212735064658
6,Tasa de paro juvenil (<25),Naive,60,5.528583333333334,22.266793370489737,0.213582480886527
6,Tasa de paro juvenil (<25),RWD,60,5.543655436710791,22.160113361978414,0.2138735722126546
6,Tasa de paro juvenil (<25),SeasonalNaive,60,6.23875,25.32075966164877,0.223963514272125
6,Tasa de paro juvenil (<25),HistoricAverage,60,14.117796927795728,64.19033650552676,0.5755129578996618
7,Paro de larga duración,Prophet,60,4.665119350490184,14.913927159178993,0.13495655338251142
7,Paro de larga duración,AutoTheta,60,4.8494563318182555,14.908412318412642,0.13693607142055175
7,Paro de larga duración,AutoETS,60,4.936270749975023,15.15722494349597,0.14025908196179118
7,Paro de larga duración,WindowAverage,60,5.199322916666666,16.525034903591674,0.14696793211004705
7,Paro de larga duración,Naive,60,5.549583333333333,16.909627510771358,0.15518426837843746
7,Paro de larga duración,AutoARIMA,60,5.443352634484281,16.93022674754671,0.1559213807022576
7,Paro de larga duración,RWD,60,5.5916371429410825,17.01343369020038,0.15634188580519817
7,Paro de larga duración,SeasonalNaive,60,5.620000000000001,18.13746165475778,0.16276119514387116
7,Paro de larga duración,HistoricAverage,60,12.564264608126177,41.61225871903888,0.3778509904961654
8,Tasa de temporalidad,AutoTheta,60,1.1833995229784569,7.086372772160842,0.06700754529647357
8,Tasa de temporalidad,AutoARIMA,60,1.2052908710330175,7.23028053470364,0.06811747301313124
8,Tasa de temporalidad,AutoETS,60,1.2050168060273856,7.264014845966674,0.06865234850032122
8,Tasa de temporalidad,Naive,60,1.32875,8.01829662046604,0.0752644701997085
