modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
SeasonalNaive,4.550091089906543,0.3425,0.39436658073421993,0.045530076437354614,SeasonalNaive,False,mape,1|Castilla y León|Hombres,trimestral
Naive,2.1396072867566502,0.21249999999999947,0.2582150266735067,0.021415973796926127,Naive,False,mape,1|Castilla y León|Mujeres,trimestral
SeasonalNaive,2.3360642201757638,0.30249999999999977,0.3882975663070782,0.02381889763779526,SeasonalNaive,False,mape,1|Castilla-La Mancha|Ambos géneros,trimestral
AutoETS,3.9523832926122715,0.37360216135136115,0.4175635190617134,0.038269107436759146,AutoETS,False,mape,1|Castilla-La Mancha|Hombres,trimestral
SeasonalNaive,3.74100424735953,0.6124999999999985,0.6899818838201462,0.03742743660250525,SeasonalNaive,False,mape,1|Castilla-La Mancha|Mujeres,trimestral
AutoTheta,6.453121505952826,0.6114788750526852,0.9109885143823441,0.07058919192527391,AutoETS,True,mape,1|Cataluña|Ambos géneros,trimestral
AutoETS,5.226261584824181,0.44563202519710754,0.5278177815996483,0.055203719442193565,AutoETS,False,mape,1|Cataluña|Hombres,trimestral
SeasonalNaive,4.939593913780768,0.4574999999999996,0.5143685449169686,0.04910115374295675,SeasonalNaive,False,mape,1|Cataluña|Mujeres,trimestral
AutoARIMA,7.4709603062305945,1.749668553327088,2.1431187587180753,0.07176655263851879,AutoARIMA,False,mape,1|Ceuta|Ambos géneros,trimestral
SeasonalNaive,10.643078355183455,1.959999999999999,2.2464527593519508,0.10402016717526862,SeasonalNaive,False,mape,1|Ceuta|Hombres,trimestral
AutoARIMA,4.767749938793544,1.4355050975710544,1.9500298440408073,0.04594719044798126,AutoARIMA,False,mape,1|Ceuta|Mujeres,trimestral
Prophet,6.389683441156213,0.5364823037090383,0.6682705421433774,0.06631425262163637,Prophet,False,mape,1|Comunidad Foral de Navarra|Ambos géneros,trimestral
SeasonalNaive,15.229750251124791,0.9199999999999999,1.060848716830067,0.13715989563920983,SeasonalNaive,False,mape,1|Comunidad Foral de Navarra|Hombres,trimestral
Naive,8.276866439522735,0.7924999999999998,0.9092716865711808,0.08186983471074379,AutoETS,True,mape,1|Comunidad Foral de Navarra|Mujeres,trimestral
Prophet,8.66979077756189,0.6314035855382192,0.8878509316508416,0.08234803854427378,Prophet,False,mape,1|Comunidad de Madrid|Ambos géneros,trimestral
Prophet,4.439932211304586,0.32226791259970144,0.4197611339914797,0.04497807572919769,Prophet,False,mape,1|Comunidad de Madrid|Hombres,trimestral
AutoTheta,7.984683286447809,0.6660622766910862,0.929508273040823,0.08140082819322776,AutoTheta,False,mape,1|Comunidad de Madrid|Mujeres,trimestral
AutoETS,6.058655966846687,0.6753281148103629,0.739415556817967,0.05951338310732434,AutoETS,False,mape,1|Comunitat Valenciana|Ambos géneros,trimestral
