modelo,series_evaluadas,mae_medio,mape_medio,nmae_medio,n_series_ganadas,cobertura,error_global,complejidad
AutoTheta,507,1.980901228171578,8.348150483945409,0.07910275228861476,82,1.0,0.07910275228861476,3
AutoETS,507,2.0412958200681715,8.694641249840068,0.08158168944127413,35,1.0,0.08158168944127413,4
AutoARIMA,507,2.1246473761633173,8.928251915091888,0.08389381106668747,41,1.0,0.08389381106668747,5
Naive,507,2.3924082840236687,9.549913786933919,0.09163368936411385,93,1.0,0.09163368936411385,1
RWD,507,2.395485535019829,9.564147248646986,0.09212296795032275,29,1.0,0.09212296795032275,2
Prophet,507,2.2590008150096375,9.919168293828358,0.09256437283669817,89,1.0,0.09256437283669817,6
WindowAverage,507,2.404941307801885,10.259305355104532,0.0949998393648545,56,1.0,0.0949998393648545,2
SeasonalNaive,507,2.500179487179487,10.764572211642909,0.10028876842729283,66,1.0,0.10028876842729283,2
HistoricAverage,507,6.458043661442256,32.232831392018646,0.30550900981407253,16,1.0,0.30550900981407253,1
