indicador_id,indicador,unidad,territorio_cod,territorio,genero,anyo,trimestre,periodo,periodicidad,t_index,valor,origen,fuente,flag_missing,flag_outlier,algoritmo,modelo_mape,modelo_mae,aplico_parsimonia
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2018,3.0,2018T3,trimestral,2018.5,22.85,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2018,4.0,2018T4,trimestral,2018.75,21.26,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2019,1.0,2019T1,trimestral,2019.0,21.08,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2019,2.0,2019T2,trimestral,2019.25,21.04,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2019,3.0,2019T3,trimestral,2019.5,21.83,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2019,4.0,2019T4,trimestral,2019.75,20.8,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2020,1.0,2020T1,trimestral,2020.0,21.21,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2020,2.0,2020T2,trimestral,2020.25,21.32,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2020,3.0,2020T3,trimestral,2020.5,23.8,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2020,4.0,2020T4,trimestral,2020.75,22.74,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2021,1.0,2021T1,trimestral,2021.0,22.75,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2021,2.0,2021T2,trimestral,2021.25,21.77,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2021,3.0,2021T3,trimestral,2021.5,22.61,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2021,4.0,2021T4,trimestral,2021.75,20.31,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2022,1.0,2022T1,trimestral,2022.0,19.55,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2022,2.0,2022T2,trimestral,2022.25,18.76,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2022,3.0,2022T3,trimestral,2022.5,19.1,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2022,4.0,2022T4,trimestral,2022.75,19.05,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2023,1.0,2023T1,trimestral,2023.0,18.38,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2023,2.0,2023T2,trimestral,2023.25,18.2,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2023,3.0,2023T3,trimestral,2023.5,18.77,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2023,4.0,2023T4,trimestral,2023.75,17.61,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2024,1.0,2024T1,trimestral,2024.0,17.77,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2024,2.0,2024T2,trimestral,2024.25,16.27,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2024,3.0,2024T3,trimestral,2024.5,16.06,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2024,4.0,2024T4,trimestral,2024.75,15.76,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2025,1.0,2025T1,trimestral,2025.0,16.14,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2025,2.0,2025T2,trimestral,2025.25,14.85,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2025,3.0,2025T3,trimestral,2025.5,15.27,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2025,4.0,2025T4,trimestral,2025.75,14.66,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2026,1.0,2026T1,trimestral,2026.0,14.66,real,INE · EPA,False,False,AutoTheta,,,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2026,2.0,2026T2,trimestral,2026.25,14.109,proyeccion,INE · EPA,False,False,AutoTheta,1.6440006361695454,0.24458277138767537,False
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2026,3.0,2026T3,trimestral,2026.5,14.402,proyeccion,INE · EPA,False,False,AutoTheta,1.6440006361695454,0.24458277138767537,False
