"algoritmo";"variables_evaluadas";"variables_validas";"cobertura_media";"error_global";"candidato_global"
"ARIMA";4;4;1;0,0188740494898756;TRUE
"Prophet";4;4;1;0,0219759839121727;TRUE
"XGBoost";4;4;1;0,0245228552310391;TRUE
"ETS";4;4;1;0,0256323532173211;TRUE
"RF";4;4;1;0,0295103741251415;TRUE
