"ccaa","ccaa_id3","anio","capa","codigo","denominacion","concepto_python","concepto_final","regla_final","fuente_url"
"La Rioja","lar",2015,"autonomica","3.1.2.2","MAYORES Y DISCAPACIDAD B I R I E S T I N C I E A P I F I C I E F I C I E EN Gastos por AdministraciÓn Pœblica","dependencia","discapacidad","ccaa_keyword:discapacidad","https://www.larioja.org/larioja-client/cm/hacienda/images?idMmedia=623978"
"Comunidad de Madrid","mad",2023,"autonomica","16001","S.G.T. DE MEDIO AMBIENTE, VIVIENDA Y AGRICULTURA","soberania","vivienda","ccaa_keyword:vivienda","https://www.comunidad.madrid/docs/assets/2021/12/22/2022-presupuesto-libro-03-ingresos-gastos.pdf"
"Comunidad de Madrid","mad",2022,"autonomica","16001","S.G.T. DE MEDIO AMBIENTE, VIVIENDA Y AGRICULTURA","soberania","vivienda","ccaa_keyword:vivienda","https://www.comunidad.madrid/docs/assets/2021/12/22/2022-presupuesto-libro-03-ingresos-gastos.pdf"
"País Vasco","pvc",2025,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2025A/Datuak_datos.csv"
"País Vasco","pvc",2024,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2024A/Datuak_datos.csv"
"País Vasco","pvc",2022,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2022A/Datuak_datos.csv"
"País Vasco","pvc",2026,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2026A/Datuak_datos.csv"
"País Vasco","pvc",2023,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2023P/Datuak_datos.csv"
"País Vasco","pvc",2021,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2021A/AdErAu_c.zip"
"País Vasco","pvc",2020,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2020A/AdErAu_c.zip"
"País Vasco","pvc",2019,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2019P/AdErAu_c.zip"
"País Vasco","pvc",2018,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2018A/AdErAu_c.zip"
"País Vasco","pvc",2017,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2017A/AdErAu_c.zip"
"País Vasco","pvc",2016,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2016A/AdErAu_c.zip"
"País Vasco","pvc",2015,"autonomica","4116","Adicciones","salud_mental","sanidad","ccaa_codigo:41*","https://www.euskadi.eus/contenidos/informacion/presupuestos_cae_fich/es_def/adjuntos/2015A/AdErAu_c.zip"
"Comunidad Valenciana","val",2024,"autonomica","412B28","Salud Mental y Atención","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2024/T2_ES.html"
"Comunidad Valenciana","val",2023,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2023/T2_ES.html"
"Comunidad Valenciana","val",2022,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2022/T2_ES.html"
"Comunidad Valenciana","val",2021,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2021/index_cas.html"
"Comunidad Valenciana","val",2020,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2020/index_cas.html"
"Comunidad Valenciana","val",2019,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2019/index_cas.html"
"Comunidad Valenciana","val",2018,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2018/index_cas.html"
"Comunidad Valenciana","val",2017,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2017/index_cas.html"
"Comunidad Valenciana","val",2016,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2016/index_cas.html"
"Comunidad Valenciana","val",2015,"autonomica","412.28","Salud Mental y Atención Sanitaria","sanidad","salud_mental","ccaa_keyword:salud mental","https://hisenda.gva.es/auto/presupuestos/2015/index_c.html"
