year,month,fecha,file_idx,sheet_name,ncol,nrow,col_signature,first_row,second_row,tipo_hoja,periodo
2024,11,2024-11-01,1,52SubtipoVinculadaGI,16,45,...1 | GRADO I | ...3 | ...4 | Prestación económica vinculada al S.A.D. | ...6 | Prestación económica vinculada al S.A.R. | ...8 | Prestación económica vinculada al S.C.D. | ...10 | Prestación económica vinculada al S.P.A.P.D. | ...12 | Prestación económica vinculada al Servicio de Teleasistencia | ...14 | Prestación económica vinculada al Servicio - Subtipo No Informado | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | 5.2.3. SUBTIPO DE P.E. VINCULADA AL SERVICIO. GRADO I | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,6perfcuidador,9,17,6. PERFIL DE CUIDADOR. TOTAL DE CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9,Situación a 30 de noviembre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,61aperfcuidadorCCAA,8,26,6.1. PERFIL DEL CUIDADOR POR CCAA. SEXO | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8,NA | NA | NA | NA | NA | NA | NA | NA,Situación a 30 de noviembre de 2024 | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,62bperfcuidadorCCAA,13,24,...1 | 6.2. PERFIL DEL CUIDADOR POR CCAA. EDAD | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13,NA | Situación a 30 de noviembre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,63cperfcuidadorCCAA,21,24,...1 | 6.3. PERFIL DEL CUIDADOR POR CCAA. PARENTESCO | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21,NA | Situación a 30 de noviembre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,7Intensidad,17,18,Prestación...1 | Ayuda a domicilio | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Prestación...9 | PE Vinculada al Servicio | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,7IntensidadCCAA,17,31,Tipo Prestación...1 | Ayuda a Domicilio | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,7IntenSAD_CCAA,17,31,Tipo Prestación...1 | Ayuda a Domicilio | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,7IntenPE_SAD_CCAA,17,31,Tipo Prestación...1 | PE Vinculada al Servicio...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,8CuantíaPrest,11,36,Prestación...1 | PE Cuidados Familiares | ...3 | ...4 | PE Asistencia Personal | ...6 | ...7 | ...8 | Prestación...9 | PE Vinculada al Servicio | ...11,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,8CuantíaPEC_CCAA,17,31,Tipo Prestación...1 | PE Cuidados Familiares...2 | PE Cuidados Familiares...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,8CuantíaAP_CCAA,17,31,Tipo Prestación...1 | PE Asistencia Personal...2 | PE Asistencia Personal...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
