comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20;6,9;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20 (alquiler imputado);5,4;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini;35,5;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;hombres;5,948;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini (con alquiler imputado);31,6;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;mujeres;12,434;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20;6,9;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;mujeres;12,434;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20 (alquiler imputado);5,4;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;mujeres;12,434;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini;35,5;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;mujeres;12,434;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini (con alquiler imputado);31,6;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;total;9,248;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20;6,9;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;total;9,248;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Distribución de la renta S80/S20 (alquiler imputado);5,4;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;total;9,248;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini;35,5;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2017;total;9,248;;11,5;7,2;1.458;2.204;35,9;8,2;11,2;6,6;Gini (con alquiler imputado);31,6;1,42%;0,64%;0,19%;5,94%;4,52%;0,15%;1,49%;0,19%;0,17%;0,09%
01 Andalucía;2018;hombres;6,06;10,202;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Distribución de la renta S80/S20;6,5;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;hombres;6,06;10,202;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Distribución de la renta S80/S20 (alquiler imputado);5;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;hombres;6,06;10,202;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Gini;34,9;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;hombres;6,06;10,202;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Gini (con alquiler imputado);31;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;mujeres;12,584;18,443;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Distribución de la renta S80/S20;6,5;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;mujeres;12,584;18,443;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Distribución de la renta S80/S20 (alquiler imputado);5;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;mujeres;12,584;18,443;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Gini;34,9;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;mujeres;12,584;18,443;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Gini (con alquiler imputado);31;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;total;9,38;14,861;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Distribución de la renta S80/S20;6,5;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;total;9,38;14,861;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Distribución de la renta S80/S20 (alquiler imputado);5;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;total;9,38;14,861;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Gini;34,9;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
01 Andalucía;2018;total;9,38;14,861;11,5;7,8;1.525;2.204;39,4;7,3;15,7;6,4;Gini (con alquiler imputado);31;1,45%;0,67%;0,17%;6,06%;4,57%;0,15%;1,47%;0,20%;0,16%;0,09%
