comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
03 Principado de Asturias;2016;mujeres;21,068;19,534;12,5;6,3;1.373;1.867;21;6,5;5,3;1,4;Gini (con alquiler imputado);26,7;1,76%;0,44%;0,15%;6,84%;3,32%;0,17%;0,64%;0,12%;0,05%;0,09%
03 Principado de Asturias;2016;total;15,922;15,912;12,5;6,3;1.373;1.867;21;6,5;5,3;1,4;Distribución de la renta S80/S20;5,1;1,76%;0,44%;0,15%;6,84%;3,32%;0,17%;0,64%;0,12%;0,05%;0,09%
03 Principado de Asturias;2016;total;15,922;15,912;12,5;6,3;1.373;1.867;21;6,5;5,3;1,4;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,76%;0,44%;0,15%;6,84%;3,32%;0,17%;0,64%;0,12%;0,05%;0,09%
03 Principado de Asturias;2016;total;15,922;15,912;12,5;6,3;1.373;1.867;21;6,5;5,3;1,4;Gini;29,2;1,76%;0,44%;0,15%;6,84%;3,32%;0,17%;0,64%;0,12%;0,05%;0,09%
03 Principado de Asturias;2016;total;15,922;15,912;12,5;6,3;1.373;1.867;21;6,5;5,3;1,4;Gini (con alquiler imputado);26,7;1,76%;0,44%;0,15%;6,84%;3,32%;0,17%;0,64%;0,12%;0,05%;0,09%
03 Principado de Asturias;2017;hombres;10,663;9,799;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Distribución de la renta S80/S20;5,5;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;hombres;10,663;9,799;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Distribución de la renta S80/S20 (alquiler imputado);4,7;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;hombres;10,663;9,799;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Gini;31,4;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;hombres;10,663;9,799;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Gini (con alquiler imputado);28,6;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;mujeres;21,468;17,973;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Distribución de la renta S80/S20;5,5;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;mujeres;21,468;17,973;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Distribución de la renta S80/S20 (alquiler imputado);4,7;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;mujeres;21,468;17,973;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Gini;31,4;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;mujeres;21,468;17,973;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Gini (con alquiler imputado);28,6;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;total;16,305;14,571;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Distribución de la renta S80/S20;5,5;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;total;16,305;14,571;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Distribución de la renta S80/S20 (alquiler imputado);4,7;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;total;16,305;14,571;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Gini;31,4;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2017;total;16,305;14,571;12,5;6,6;1.36;1.867;25,2;7,4;5,8;1,7;Gini (con alquiler imputado);28,6;1,83%;0,42%;0,14%;7,40%;3,31%;0,16%;0,78%;0,11%;0,05%;0,09%
03 Principado de Asturias;2018;hombres;10,887;10,24;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Distribución de la renta S80/S20;4,8;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;hombres;10,887;10,24;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;hombres;10,887;10,24;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Gini;28,8;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;hombres;10,887;10,24;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Gini (con alquiler imputado);26,6;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;mujeres;21,972;19,193;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Distribución de la renta S80/S20;4,8;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;mujeres;21,972;19,193;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;mujeres;21,972;19,193;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Gini;28,8;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;mujeres;21,972;19,193;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Gini (con alquiler imputado);26,6;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;total;16,675;15,456;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Distribución de la renta S80/S20;4,8;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;total;16,675;15,456;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,3;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;total;16,675;15,456;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Gini;28,8;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2018;total;16,675;15,456;12,5;6,9;1.348;1.867;22,2;6,8;4,5;2,8;Gini (con alquiler imputado);26,6;1,78%;0,41%;0,14%;7,19%;3,25%;0,15%;0,75%;0,10%;0,05%;0,09%
03 Principado de Asturias;2019;hombres;11,274;10,238;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Distribución de la renta S80/S20;7,8;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;hombres;11,274;10,238;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Distribución de la renta S80/S20 (alquiler imputado);6,2;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;hombres;11,274;10,238;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Gini;34,7;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;hombres;11,274;10,238;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Gini (con alquiler imputado);31,7;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;mujeres;22,325;18,826;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Distribución de la renta S80/S20;7,8;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;mujeres;22,325;18,826;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Distribución de la renta S80/S20 (alquiler imputado);6,2;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;mujeres;22,325;18,826;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Gini;34,7;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;mujeres;22,325;18,826;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Gini (con alquiler imputado);31,7;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;total;17,056;15,233;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Distribución de la renta S80/S20;7,8;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;total;17,056;15,233;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Distribución de la renta S80/S20 (alquiler imputado);6,2;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;total;17,056;15,233;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Gini;34,7;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2019;total;17,056;15,233;12,5;7,2;1.337;1.867;18,3;11,4;4,8;3,8;Gini (con alquiler imputado);31,7;1,95%;0,48%;0,15%;7,39%;3,38%;0,16%;0,82%;0,14%;0,05%;0,09%
03 Principado de Asturias;2020;hombres;11,393;9,431;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Distribución de la renta S80/S20;7,3;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;hombres;11,393;9,431;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Distribución de la renta S80/S20 (alquiler imputado);5,7;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;hombres;11,393;9,431;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Gini;34;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;hombres;11,393;9,431;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Gini (con alquiler imputado);31,1;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;mujeres;22,726;18,014;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Distribución de la renta S80/S20;7,3;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;mujeres;22,726;18,014;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Distribución de la renta S80/S20 (alquiler imputado);5,7;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;mujeres;22,726;18,014;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Gini;34;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;mujeres;22,726;18,014;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Gini (con alquiler imputado);31,1;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;total;17,327;14,417;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Distribución de la renta S80/S20;7,3;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;total;17,327;14,417;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Distribución de la renta S80/S20 (alquiler imputado);5,7;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;total;17,327;14,417;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Gini;34;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2020;total;17,327;14,417;12,5;7,3;1.346;1.867;17,7;9,7;11,7;3,3;Gini (con alquiler imputado);31,1;2,20%;0,53%;0,18%;8,52%;3,96%;0,18%;0,91%;0,12%;0,06%;0,11%
03 Principado de Asturias;2021;hombres;11,613;9,713;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Distribución de la renta S80/S20;6;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;hombres;11,613;9,713;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Distribución de la renta S80/S20 (alquiler imputado);5;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;hombres;11,613;9,713;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Gini;31,7;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;hombres;11,613;9,713;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Gini (con alquiler imputado);28,9;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;mujeres;23,197;18,68;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Distribución de la renta S80/S20;6;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;mujeres;23,197;18,68;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Distribución de la renta S80/S20 (alquiler imputado);5;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;mujeres;23,197;18,68;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Gini;31,7;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;mujeres;23,197;18,68;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Gini (con alquiler imputado);28,9;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;total;17,676;14,911;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Distribución de la renta S80/S20;6;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;total;17,676;14,911;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Distribución de la renta S80/S20 (alquiler imputado);5;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;total;17,676;14,911;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Gini;31,7;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2021;total;17,676;14,911;12,5;7,5;1.336;1.867;16,8;10,5;10;2,9;Gini (con alquiler imputado);28,9;2,07%;0,54%;0,17%;8,30%;3,79%;0,21%;0,95%;0,14%;0,06%;0,10%
03 Principado de Asturias;2022;hombres;13,53091995;9,845777838;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Distribución de la renta S80/S20;5,7;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;hombres;13,53091995;9,845777838;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Distribución de la renta S80/S20 (alquiler imputado);4,7;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;hombres;13,53091995;9,845777838;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Gini;31,1;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;hombres;13,53091995;9,845777838;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Gini (con alquiler imputado);28;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;mujeres;26,56315469;18,40690026;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Distribución de la renta S80/S20;5,7;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;mujeres;26,56315469;18,40690026;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Distribución de la renta S80/S20 (alquiler imputado);4,7;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;mujeres;26,56315469;18,40690026;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Gini;31,1;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;mujeres;26,56315469;18,40690026;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Gini (con alquiler imputado);28;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;total;20,35794056;14,79650298;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Distribución de la renta S80/S20;5,7;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;total;20,35794056;14,79650298;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Distribución de la renta S80/S20 (alquiler imputado);4,7;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;total;20,35794056;14,79650298;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Gini;31,1;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2022;total;20,35794056;14,79650298;12,5;7,8;1.343;1.867;15,6;10,4;7,6;3,8;Gini (con alquiler imputado);28;1,97%;0,58%;0,17%;7,78%;3,64%;0,23%;0,87%;0,30%;0,06%;0,09%
03 Principado de Asturias;2023;hombres;13,75264374;9,23194985;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Distribución de la renta S80/S20;5,4;;;;;;;;;;
03 Principado de Asturias;2023;hombres;13,75264374;9,23194985;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Distribución de la renta S80/S20 (alquiler imputado);4,5;;;;;;;;;;
03 Principado de Asturias;2023;hombres;13,75264374;9,23194985;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Gini;30,5;;;;;;;;;;
03 Principado de Asturias;2023;hombres;13,75264374;9,23194985;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Gini (con alquiler imputado);27,8;;;;;;;;;;
03 Principado de Asturias;2023;mujeres;26,8229575;17,97144731;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Distribución de la renta S80/S20;5,4;;;;;;;;;;
03 Principado de Asturias;2023;mujeres;26,8229575;17,97144731;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Distribución de la renta S80/S20 (alquiler imputado);4,5;;;;;;;;;;
03 Principado de Asturias;2023;mujeres;26,8229575;17,97144731;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Gini;30,5;;;;;;;;;;
03 Principado de Asturias;2023;mujeres;26,8229575;17,97144731;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Gini (con alquiler imputado);27,8;;;;;;;;;;
03 Principado de Asturias;2023;total;20,60032884;14,27594448;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Distribución de la renta S80/S20;5,4;;;;;;;;;;
03 Principado de Asturias;2023;total;20,60032884;14,27594448;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Distribución de la renta S80/S20 (alquiler imputado);4,5;;;;;;;;;;
03 Principado de Asturias;2023;total;20,60032884;14,27594448;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Gini;30,5;;;;;;;;;;
03 Principado de Asturias;2023;total;20,60032884;14,27594448;12,5;8,4;1.371;1.867;15;6,5;9;2,1;Gini (con alquiler imputado);27,8;;;;;;;;;;
04 Islas Baleares;2013;hombres;12,92;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Distribución de la renta S80/S20;7,1;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;hombres;12,92;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Distribución de la renta S80/S20 (alquiler imputado);6,4;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;hombres;12,92;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Gini;33,8;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;hombres;12,92;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Gini (con alquiler imputado);31,9;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;mujeres;24,584;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Distribución de la renta S80/S20;7,1;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;mujeres;24,584;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Distribución de la renta S80/S20 (alquiler imputado);6,4;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;mujeres;24,584;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Gini;33,8;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;mujeres;24,584;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Gini (con alquiler imputado);31,9;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;total;18,832;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Distribución de la renta S80/S20;7,1;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;total;18,832;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Distribución de la renta S80/S20 (alquiler imputado);6,4;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;total;18,832;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Gini;33,8;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2013;total;18,832;;19,9;7,6;1.977;4.445;33,5;19,5;19,4;7,3;Gini (con alquiler imputado);31,9;0,37%;0,17%;0,03%;4,52%;2,79%;0,12%;0,22%;0,04%;0,13%;0,14%
04 Islas Baleares;2014;hombres;13,256;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Distribución de la renta S80/S20;8,9;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;hombres;13,256;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Distribución de la renta S80/S20 (alquiler imputado);7,7;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;hombres;13,256;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Gini;34,9;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;hombres;13,256;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Gini (con alquiler imputado);33,1;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;mujeres;24,898;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Distribución de la renta S80/S20;8,9;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;mujeres;24,898;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Distribución de la renta S80/S20 (alquiler imputado);7,7;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;mujeres;24,898;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Gini;34,9;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;mujeres;24,898;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Gini (con alquiler imputado);33,1;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;total;19,156;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Distribución de la renta S80/S20;8,9;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;total;19,156;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Distribución de la renta S80/S20 (alquiler imputado);7,7;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;total;19,156;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Gini;34,9;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2014;total;19,156;;19,9;7,9;1.962;4.445;32,2;21,8;21,3;10,4;Gini (con alquiler imputado);33,1;0,40%;0,16%;0,03%;4,45%;2,76%;0,12%;0,22%;0,06%;0,14%;0,14%
04 Islas Baleares;2015;hombres;14,685;;19,9;8,2;1.977;4.445;37,8;20,5;21,7;6,4;Distribución de la renta S80/S20;9,1;0,34%;0,18%;0,05%;4,66%;2,74%;0,13%;0,21%;0,06%;0,14%;0,12%
