comunidades_autónomas;periodo;género;trastornos
15 Comunidad Foral de Navarra;2018;mujeres;21,069
15 Comunidad Foral de Navarra;2018;total;16,095
15 Comunidad Foral de Navarra;2019;hombres;11,203
15 Comunidad Foral de Navarra;2019;mujeres;21,425
15 Comunidad Foral de Navarra;2019;total;16,371
15 Comunidad Foral de Navarra;2020;hombres;11,406
15 Comunidad Foral de Navarra;2020;mujeres;21,736
15 Comunidad Foral de Navarra;2020;total;16,634
15 Comunidad Foral de Navarra;2021;hombres;11,643
15 Comunidad Foral de Navarra;2021;mujeres;22,264
15 Comunidad Foral de Navarra;2021;total;17,013
15 Comunidad Foral de Navarra;2022;hombres;11,66797
15 Comunidad Foral de Navarra;2022;mujeres;22,36778228
15 Comunidad Foral de Navarra;2022;total;17,08640989
15 Comunidad Foral de Navarra;2023;hombres;11,79548037
15 Comunidad Foral de Navarra;2023;mujeres;22,4650474
15 Comunidad Foral de Navarra;2023;total;17,19907796
16 País Vasco;2013;hombres;8,592
16 País Vasco;2013;mujeres;17,108
16 País Vasco;2013;total;12,937
16 País Vasco;2014;hombres;7,284
16 País Vasco;2014;mujeres;14,724
16 País Vasco;2014;total;11,082
16 País Vasco;2015;hombres;7,929
16 País Vasco;2015;mujeres;15,533
16 País Vasco;2015;total;11,811
16 País Vasco;2016;hombres;8,651
16 País Vasco;2016;mujeres;16,648
16 País Vasco;2016;total;12,735
16 País Vasco;2017;hombres;9,217
16 País Vasco;2017;mujeres;17,409
16 País Vasco;2017;total;13,402
16 País Vasco;2018;hombres;9,865
16 País Vasco;2018;mujeres;18,411
16 País Vasco;2018;total;14,232
16 País Vasco;2019;hombres;11,545
16 País Vasco;2019;mujeres;20,688
16 País Vasco;2019;total;16,22
16 País Vasco;2020;hombres;11,789
16 País Vasco;2020;mujeres;21,252
16 País Vasco;2020;total;16,628
16 País Vasco;2021;hombres;12,645
16 País Vasco;2021;mujeres;22,748
16 País Vasco;2021;total;17,81
16 País Vasco;2022;hombres;13,22258699
16 País Vasco;2022;mujeres;24,00747207
16 País Vasco;2022;total;18,73792615
16 País Vasco;2023;hombres;14,0886117
16 País Vasco;2023;mujeres;25,21046581
16 País Vasco;2023;total;19,77780221
