comunidades_autónomas,periodo,género,hipno,antidep,trastornos,benzodiacepinas
03 Principado de Asturias,2023,total,"40,57100165","149,9719147","20,60032884","14,27594448"
04 Islas Baleares,2010,total,"22,53674644","67,1301478",,
04 Islas Baleares,2011,total,"22,80050558","70,31229849",,
04 Islas Baleares,2012,total,"22,66363464","69,04590304",,
04 Islas Baleares,2013,hombres,,,"12,92",
04 Islas Baleares,2013,mujeres,,,"24,584",
04 Islas Baleares,2013,total,"22,85532321","71,0043299","18,832",
04 Islas Baleares,2014,hombres,,,"13,256",
04 Islas Baleares,2014,mujeres,,,"24,898",
04 Islas Baleares,2014,total,"23,37392635","73,09587945","19,156",
04 Islas Baleares,2015,hombres,,,"14,685",
04 Islas Baleares,2015,mujeres,,,"27,165",
04 Islas Baleares,2015,total,"23,18513885","73,78600962","21,004",
04 Islas Baleares,2016,hombres,,,"15,847",
04 Islas Baleares,2016,mujeres,,,"28,636",
04 Islas Baleares,2016,total,"24,07478115","75,91992556","22,317",
04 Islas Baleares,2017,hombres,,,"15,215","6,202"
04 Islas Baleares,2017,mujeres,,,"26,876","11,138"
04 Islas Baleares,2017,total,"23,73568117","76,67095734","21,108","8,951"
04 Islas Baleares,2018,hombres,,,"16,141","6,071"
04 Islas Baleares,2018,mujeres,,,"28,521","10,622"
04 Islas Baleares,2018,total,"23,53536043","78,59130619","22,39","8,604"
04 Islas Baleares,2019,hombres,,,"17,059","6,113"
04 Islas Baleares,2019,mujeres,,,"29,949","10,844"
04 Islas Baleares,2019,total,"23,80756025","81,62881518","23,559","8,745"
04 Islas Baleares,2020,hombres,,,"17,639","5,911"
04 Islas Baleares,2020,mujeres,,,"31,135","10,584"
04 Islas Baleares,2020,total,"24,7067487","84,59258871","24,442","8,512"
04 Islas Baleares,2021,hombres,,,"17,458","6,014"
04 Islas Baleares,2021,mujeres,,,"30,167","11,256"
04 Islas Baleares,2021,total,"25,39991653","90,14639153","23,857","8,935"
04 Islas Baleares,2022,hombres,,,"17,52394445","6,144377732"
04 Islas Baleares,2022,mujeres,,,"29,86912757","11,16028383"
04 Islas Baleares,2022,total,"25,47727195","96,26147841","23,74607718","8,942050642"
04 Islas Baleares,2023,hombres,,,"17,74030697","6,171155891"
04 Islas Baleares,2023,mujeres,,,"30,29997401","10,83615597"
04 Islas Baleares,2023,total,"24,90392253","97,77878011","24,06453669","8,772191191"
05 Canarias,2010,total,"36,21479055","56,58843949",,
05 Canarias,2011,total,"36,69830783","57,6970849",,
05 Canarias,2012,total,"37,92916633","58,01804126",,
05 Canarias,2013,hombres,,,"11,245",
05 Canarias,2013,mujeres,,,"20,497",
05 Canarias,2013,total,"40,09564756","61,63076803","15,931",
05 Canarias,2014,hombres,,,"12,129","8,905"
05 Canarias,2014,mujeres,,,"22,017","16,103"
05 Canarias,2014,total,"42,04370648","65,00632485","17,138","12,941"
05 Canarias,2015,hombres,,,"13,122","8,503"
05 Canarias,2015,mujeres,,,"23,559","15,455"
05 Canarias,2015,total,"42,89640376","67,25409418","18,409","12,39"
05 Canarias,2016,hombres,,,"14,041","7,959"
05 Canarias,2016,mujeres,,,"24,941","15,206"
05 Canarias,2016,total,"44,77561706","70,51339994","19,564","12,006"
05 Canarias,2017,hombres,,,"15,01","8,119"
05 Canarias,2017,mujeres,,,"26,097","14,54"
05 Canarias,2017,total,"45,41353415","73,32920918","20,63","11,696"
05 Canarias,2018,hombres,,,"15,782","7,841"
05 Canarias,2018,mujeres,,,"27,162","14,546"
05 Canarias,2018,total,"44,532491","76,50923868","21,551","11,57"
05 Canarias,2019,hombres,,,"17,131","8,604"
05 Canarias,2019,mujeres,,,"28,954","15,765"
05 Canarias,2019,total,"43,79676924","80,03008185","23,137","12,581"
05 Canarias,2020,hombres,,,"18,725","8,251"
05 Canarias,2020,mujeres,,,"31,034","15,489"
05 Canarias,2020,total,"44,64356942","85,7440687","24,975","12,264"
05 Canarias,2021,hombres,,,"20,145","8,244"
05 Canarias,2021,mujeres,,,"33,045","14,863"
05 Canarias,2021,total,"46,78883007","92,71506074","26,695","11,912"
05 Canarias,2022,hombres,,,"21,03778897","7,98097482"
05 Canarias,2022,mujeres,,,"34,68438694","14,5323128"
05 Canarias,2022,total,"47,79443224","99,34852698","27,97613027","11,60617595"
05 Canarias,2023,hombres,,,"22,32143276","7,263875266"
05 Canarias,2023,mujeres,,,"36,37687677","13,67288712"
05 Canarias,2023,total,"46,83464604","104,0890206","29,46730036","10,80482066"
06 Cantabria,2010,total,"41,88253137","64,29435653",,
06 Cantabria,2011,total,"43,6025899","67,96839683",,
06 Cantabria,2012,total,"44,93365338","68,91896243",,
06 Cantabria,2013,hombres,,,"5,945",
06 Cantabria,2013,mujeres,,,"12,909",
06 Cantabria,2013,total,"46,16692664","71,59650408","9,529",
06 Cantabria,2014,hombres,,,"6,403",
06 Cantabria,2014,mujeres,,,"13,673",
06 Cantabria,2014,total,"47,50563291","74,25203015","10,141",
06 Cantabria,2015,hombres,,,"6,729",
06 Cantabria,2015,mujeres,,,"14,269",
06 Cantabria,2015,total,"49,42642135","77,06562525","10,607",
06 Cantabria,2016,hombres,,,"6,82","5,087"
06 Cantabria,2016,mujeres,,,"14,496","13,049"
06 Cantabria,2016,total,"52,32395143","80,83493605","10,768","9,666"
06 Cantabria,2017,hombres,,,"7,102","5,649"
06 Cantabria,2017,mujeres,,,"14,888","14,241"
06 Cantabria,2017,total,"53,74306225","82,86329902","11,106","10,579"
06 Cantabria,2018,hombres,,,"7,375","5,64"
06 Cantabria,2018,mujeres,,,"15,286","14,475"
06 Cantabria,2018,total,"56,1431229","87,62528448","11,447","10,709"
06 Cantabria,2019,hombres,,,"7,788","6,085"
06 Cantabria,2019,mujeres,,,"16,28","15,148"
06 Cantabria,2019,total,"58,31022606","92,29257077","12,159","11,284"
06 Cantabria,2020,hombres,,,"8,297","6,334"
06 Cantabria,2020,mujeres,,,"16,993","15,918"
06 Cantabria,2020,total,"61,41568997","98,18111896","12,775","11,815"
06 Cantabria,2021,hombres,,,"8,746","6,767"
06 Cantabria,2021,mujeres,,,"17,792","16,829"
06 Cantabria,2021,total,"63,06720189","104,6798367","13,405","12,506"
06 Cantabria,2022,hombres,,,"9,101427738","7,865326609"
06 Cantabria,2022,mujeres,,,"18,55331448","17,72495686"
06 Cantabria,2022,total,"64,34279479","112,1157398","13,97311263","13,47733356"
06 Cantabria,2023,hombres,,,"9,613740803","7,634118008"
06 Cantabria,2023,mujeres,,,"19,43837542","17,02812564"
06 Cantabria,2023,total,"65,59577855","118,1691388","14,68132949","12,96488608"
08 Castilla-La Mancha,2010,total,"21,43992235","65,91228294",,
08 Castilla-La Mancha,2011,total,"21,57003198","67,69841583",,
08 Castilla-La Mancha,2012,total,"22,23254529","69,07271129",,
08 Castilla-La Mancha,2013,hombres,,,"2,197",
08 Castilla-La Mancha,2013,mujeres,,,"4,261",
08 Castilla-La Mancha,2013,total,"22,84729175","71,88701565","3,233",
08 Castilla-La Mancha,2014,hombres,,,"3,634","4,633"
08 Castilla-La Mancha,2014,mujeres,,,"7,128","9,572"
08 Castilla-La Mancha,2014,total,"23,58322916","75,21316718","5,388","7,398"
08 Castilla-La Mancha,2015,hombres,,,"3,65","4,789"
08 Castilla-La Mancha,2015,mujeres,,,"7,18","9,528"
08 Castilla-La Mancha,2015,total,"23,88141916","77,13249391","5,422","7,438"
08 Castilla-La Mancha,2016,hombres,,,"3,739","4,522"
08 Castilla-La Mancha,2016,mujeres,,,"7,106","9,762"
08 Castilla-La Mancha,2016,total,"25,46923523","81,12108955","5,429","7,45"
08 Castilla-La Mancha,2017,hombres,,,"3,924","6,258"
08 Castilla-La Mancha,2017,mujeres,,,"7,425","11,846"
08 Castilla-La Mancha,2017,total,"25,92920414","83,0580782","5,68","9,376"
08 Castilla-La Mancha,2018,hombres,,,"3,834","6,217"
