comunidades_autónomas,periodo,género,hipno,antidep,trastornos,benzodiacepinas
12 Galicia,2015,mujeres,,,"12,894","12,379"
12 Galicia,2015,total,"32,9161034","105,5989948","9,417","10,143"
12 Galicia,2016,hombres,,,"6,171","6,804"
12 Galicia,2016,mujeres,,,"13,908","12,602"
12 Galicia,2016,total,"35,49691685","111,2676515","10,175","10,142"
12 Galicia,2017,hombres,,,"6,614","6,833"
12 Galicia,2017,mujeres,,,"14,619","12,592"
12 Galicia,2017,total,"36,37356104","114,2575057","10,757","10,141"
12 Galicia,2018,hombres,,,"7,03","7,019"
12 Galicia,2018,mujeres,,,"15,344","12,938"
12 Galicia,2018,total,"37,50411014","118,8332476","11,333","10,414"
12 Galicia,2019,hombres,,,"7,44","6,889"
12 Galicia,2019,mujeres,,,"16,223","12,935"
12 Galicia,2019,total,"39,03949883","124,5565215","11,995","10,352"
12 Galicia,2020,hombres,,,"7,845","6,792"
12 Galicia,2020,mujeres,,,"16,836","12,351"
12 Galicia,2020,total,"41,19496374","130,7070077","12,509","9,97"
12 Galicia,2021,hombres,,,"8,222","7,304"
12 Galicia,2021,mujeres,,,"17,755","13,053"
12 Galicia,2021,total,"42,54446271","139,9101471","13,169","10,59"
12 Galicia,2022,hombres,,,"9,452815845","7,500691761"
12 Galicia,2022,mujeres,,,"19,82942686","13,39576242"
12 Galicia,2022,total,"42,31516072","146,7841167","14,83994082","10,86573156"
12 Galicia,2023,hombres,,,"9,931216328","7,257458558"
12 Galicia,2023,mujeres,,,"20,58732836","13,15044445"
12 Galicia,2023,total,"41,8563232","152,1584385","15,47579101","10,62176091"
17 La Rioja,2010,total,"34,39779999","61,77399674",,
17 La Rioja,2011,total,"35,64893111","65,25546373",,
17 La Rioja,2012,total,"36,16700367","64,14976218",,
17 La Rioja,2013,total,"36,86991549","65,41970459",,
17 La Rioja,2014,total,"38,33700361","67,98277813",,
17 La Rioja,2015,total,"39,45419171","69,84670361",,
17 La Rioja,2016,hombres,,,"5,623",
17 La Rioja,2016,mujeres,,,"11,966",
17 La Rioja,2016,total,"42,63602193","73,24294647","8,836",
17 La Rioja,2017,hombres,,,"5,784",
17 La Rioja,2017,mujeres,,,"12,143",
17 La Rioja,2017,total,"44,01787998","75,39554811","9,003",
17 La Rioja,2018,hombres,,,"6,154","6,37"
17 La Rioja,2018,mujeres,,,"12,701","12,369"
17 La Rioja,2018,total,"46,03912749","77,54400816","9,47","9,705"
17 La Rioja,2019,hombres,,,"6,241","5,66"
17 La Rioja,2019,mujeres,,,"12,882","11,479"
17 La Rioja,2019,total,"46,87188696","79,70439818","9,603","8,889"
17 La Rioja,2020,hombres,,,"6,585","5,258"
17 La Rioja,2020,mujeres,,,"13,291","10,811"
17 La Rioja,2020,total,"47,96859099","82,15616253","9,98","8,339"
17 La Rioja,2021,hombres,,,"6,928","5,466"
17 La Rioja,2021,mujeres,,,"14,036","10,944"
17 La Rioja,2021,total,"48,71169831","86,12567158","10,526","8,502"
17 La Rioja,2022,hombres,,,"7,148453646","4,808988265"
17 La Rioja,2022,mujeres,,,"14,51550587","10,05043996"
17 La Rioja,2022,total,"48,60996878","91,20734902","10,87907471","7,709249395"
17 La Rioja,2023,hombres,,,"7,441102492","4,331608095"
17 La Rioja,2023,mujeres,,,"14,95761059","9,666036878"
17 La Rioja,2023,total,"48,51396374","94,52530212","11,25004461","7,283799237"
13 Comunidad de Madrid,2010,total,"20,72261883","50,528461",,
13 Comunidad de Madrid,2011,total,"21,67381846","53,44300532",,
13 Comunidad de Madrid,2012,total,"21,99124528","53,94803032",,
13 Comunidad de Madrid,2013,hombres,,,"5,183",
13 Comunidad de Madrid,2013,mujeres,,,"11,513",
13 Comunidad de Madrid,2013,total,"22,24028434","54,63780866","8,479",
13 Comunidad de Madrid,2014,hombres,,,"5,238","9,258"
13 Comunidad de Madrid,2014,mujeres,,,"11,528","18,971"
13 Comunidad de Madrid,2014,total,"23,33208696","58,08514043","8,512","14,948"
13 Comunidad de Madrid,2015,hombres,,,"5,554","9,175"
13 Comunidad de Madrid,2015,mujeres,,,"12,122","19,069"
13 Comunidad de Madrid,2015,total,"23,7193102","60,03193436","8,971","14,962"
13 Comunidad de Madrid,2016,hombres,,,"5,847","5,435"
13 Comunidad de Madrid,2016,mujeres,,,"12,616","12,848"
13 Comunidad de Madrid,2016,total,"24,78298184","62,83032582","9,366","9,764"
13 Comunidad de Madrid,2017,hombres,,,"5,772","5,9"
13 Comunidad de Madrid,2017,mujeres,,,"12,384","13,462"
13 Comunidad de Madrid,2017,total,"24,49420656","64,45762783","9,208","10,311"
13 Comunidad de Madrid,2018,hombres,,,"5,615","7,718"
13 Comunidad de Madrid,2018,mujeres,,,"11,819","16,403"
13 Comunidad de Madrid,2018,total,"23,82960227","66,85561859","8,838","12,777"
13 Comunidad de Madrid,2019,hombres,,,"6,045","7,988"
13 Comunidad de Madrid,2019,mujeres,,,"12,676","16,872"
13 Comunidad de Madrid,2019,total,"23,2252677","68,80742646","9,49","13,161"
13 Comunidad de Madrid,2020,hombres,,,"6,31","7,383"
13 Comunidad de Madrid,2020,mujeres,,,"13,107","16,078"
13 Comunidad de Madrid,2020,total,"23,52787076","69,80861245","9,838","12,451"
13 Comunidad de Madrid,2021,hombres,,,"6,523","7,572"
13 Comunidad de Madrid,2021,mujeres,,,"13,45","16,46"
13 Comunidad de Madrid,2021,total,"23,85791139","74,81083106","10,123","12,756"
13 Comunidad de Madrid,2022,hombres,,,"6,46944507","7,309707346"
13 Comunidad de Madrid,2022,mujeres,,,"13,19797809","15,64991298"
13 Comunidad de Madrid,2022,total,"23,67819662","81,06047296","9,969483219","12,1706013"
13 Comunidad de Madrid,2023,hombres,,,"6,962065925","6,706023506"
13 Comunidad de Madrid,2023,mujeres,,,"14,07421626","14,4766124"
13 Comunidad de Madrid,2023,total,"22,90050665","83,48282253","10,66419596","11,22779294"
19 Melilla,2010,total,"17,04703988","33,192427",,
19 Melilla,2011,total,"16,95022508","33,1504645",,
19 Melilla,2012,total,"17,13847311","31,67711389",,
19 Melilla,2013,total,"17,34059723","32,8652261",,
19 Melilla,2014,total,"17,53108634","34,30788599",,
19 Melilla,2015,total,"17,74073419","35,76482344",,
19 Melilla,2016,total,"18,05791935","37,91183943",,
19 Melilla,2017,total,"19,02084416","38,73282947",,
19 Melilla,2018,total,"19,10186098","40,69553168",,
19 Melilla,2019,total,"19,17253612","43,87765129",,
19 Melilla,2020,total,"18,57466933","45,84898643",,
19 Melilla,2021,total,"18,50256947","49,21599412",,
19 Melilla,2022,total,"19,0758245","54,18164856",,
19 Melilla,2023,total,"19,62033431","56,77500585",,
14 Región de Murcia,2010,total,"24,38992468","63,03992839",,
14 Región de Murcia,2011,total,"25,18378482","66,47551185",,
14 Región de Murcia,2012,total,"25,62123303","66,89727736",,
14 Región de Murcia,2013,hombres,,,"8,062",
14 Región de Murcia,2013,mujeres,,,"16,814",
14 Región de Murcia,2013,total,"26,63332144","69,90459547","12,455",
14 Región de Murcia,2014,hombres,,,"8,543",
14 Región de Murcia,2014,mujeres,,,"17,798",
14 Región de Murcia,2014,total,"27,67555906","73,50055385","13,179",
14 Región de Murcia,2015,hombres,,,"8,917",
14 Región de Murcia,2015,mujeres,,,"18,365",
14 Región de Murcia,2015,total,"28,02338939","75,80748716","13,643",
14 Región de Murcia,2016,hombres,,,"9,105",
14 Región de Murcia,2016,mujeres,,,"18,798",
14 Región de Murcia,2016,total,"29,92281287","79,90849862","13,947",
14 Región de Murcia,2017,hombres,,,"9,336",
14 Región de Murcia,2017,mujeres,,,"18,975",
14 Región de Murcia,2017,total,"30,69048302","82,14428384","14,145",
14 Región de Murcia,2018,hombres,,,"9,613","8,6"
14 Región de Murcia,2018,mujeres,,,"19,185","17,842"
14 Región de Murcia,2018,total,"31,42828421","86,0623826","14,388","13,793"
14 Región de Murcia,2019,hombres,,,"9,749","10,028"
14 Región de Murcia,2019,mujeres,,,"19,363","19,941"
14 Región de Murcia,2019,total,"32,50157749","90,56704616","14,54","15,587"
14 Región de Murcia,2020,hombres,,,"9,94","8,58"
14 Región de Murcia,2020,mujeres,,,"19,702","18,36"
14 Región de Murcia,2020,total,"34,64750127","95,53535242","14,811","14,068"
14 Región de Murcia,2021,hombres,,,"10,088","9,531"
14 Región de Murcia,2021,mujeres,,,"19,953","18,974"
14 Región de Murcia,2021,total,"36,67897609","104,1965312","15,007","14,818"
14 Región de Murcia,2022,hombres,,,"9,794512584","9,127298405"
14 Región de Murcia,2022,mujeres,,,"19,37355144","18,44738958"
14 Región de Murcia,2022,total,"37,81481813","112,2215659","14,56897279","14,33376349"
14 Región de Murcia,2023,hombres,,,"10,03930123","8,553789699"
14 Región de Murcia,2023,mujeres,,,"19,64222671","17,92608576"
14 Región de Murcia,2023,total,"38,11464245","117,7746936","14,83120118","13,77925958"
15 Comunidad Foral de Navarra,2010,total,"43,54968241","67,19101501",,
15 Comunidad Foral de Navarra,2011,total,"43,49635589","70,30000153",,
15 Comunidad Foral de Navarra,2012,total,"43,169774","68,82584463",,
15 Comunidad Foral de Navarra,2013,hombres,,,"8,445",
15 Comunidad Foral de Navarra,2013,mujeres,,,"17,527",
15 Comunidad Foral de Navarra,2013,total,"42,68864953","70,06109944","13,023",
15 Comunidad Foral de Navarra,2014,hombres,,,"9,267","4,599"
15 Comunidad Foral de Navarra,2014,mujeres,,,"18,602","8,866"
15 Comunidad Foral de Navarra,2014,total,"43,21148565","72,75171201","13,975","6,989"
15 Comunidad Foral de Navarra,2015,hombres,,,"9,769","4,603"
15 Comunidad Foral de Navarra,2015,mujeres,,,"19,343","9,413"
15 Comunidad Foral de Navarra,2015,total,"43,08692137","74,40273067","14,601","7,295"
15 Comunidad Foral de Navarra,2016,hombres,,,"10,475","4,495"
15 Comunidad Foral de Navarra,2016,mujeres,,,"20,592","9,311"
15 Comunidad Foral de Navarra,2016,total,"44,47004039","77,84845854","15,585","7,187"
15 Comunidad Foral de Navarra,2017,hombres,,,"10,642","4,941"
15 Comunidad Foral de Navarra,2017,mujeres,,,"20,896","9,657"
15 Comunidad Foral de Navarra,2017,total,"42,92682072","77,5603619","15,83","7,578"
15 Comunidad Foral de Navarra,2018,hombres,,,"10,995","4,732"
15 Comunidad Foral de Navarra,2018,mujeres,,,"21,069","9,174"
15 Comunidad Foral de Navarra,2018,total,"42,62748953","79,72690024","16,095","7,21"
15 Comunidad Foral de Navarra,2019,hombres,,,"11,203","5,495"
15 Comunidad Foral de Navarra,2019,mujeres,,,"21,425","10,416"
15 Comunidad Foral de Navarra,2019,total,"42,27317895","81,20479956","16,371","8,235"
15 Comunidad Foral de Navarra,2020,hombres,,,"11,406","4,894"
15 Comunidad Foral de Navarra,2020,mujeres,,,"21,736","9,615"
15 Comunidad Foral de Navarra,2020,total,"43,32822936","83,11028912","16,634","7,519"
15 Comunidad Foral de Navarra,2021,hombres,,,"11,643","5,158"
15 Comunidad Foral de Navarra,2021,mujeres,,,"22,264","10,103"
15 Comunidad Foral de Navarra,2021,total,"42,98776269","88,19571674","17,013","7,909"
15 Comunidad Foral de Navarra,2022,hombres,,,"11,66797","5,100123913"
15 Comunidad Foral de Navarra,2022,mujeres,,,"22,36778228","9,603934055"
15 Comunidad Foral de Navarra,2022,total,"42,06847158","91,75957211","17,08640989","7,605349149"
15 Comunidad Foral de Navarra,2023,hombres,,,"11,79548037","5,08851845"
15 Comunidad Foral de Navarra,2023,mujeres,,,"22,4650474","8,955482032"
15 Comunidad Foral de Navarra,2023,total,"40,692612","93,68334745","17,19907796","7,233709654"
16 País Vasco,2010,total,"37,31751819","56,04409556",,
16 País Vasco,2011,total,"38,66427835","58,78422003",,
16 País Vasco,2012,total,"39,28262208","58,88925399",,
16 País Vasco,2013,hombres,,,"8,592",
16 País Vasco,2013,mujeres,,,"17,108",
16 País Vasco,2013,total,"40,10545382","59,90781612","12,937",
16 País Vasco,2014,hombres,,,"7,284",
16 País Vasco,2014,mujeres,,,"14,724",
16 País Vasco,2014,total,"41,16936364","60,27955325","11,082",
16 País Vasco,2015,hombres,,,"7,929",
16 País Vasco,2015,mujeres,,,"15,533",
16 País Vasco,2015,total,"41,47577398","61,32073365","11,811",
16 País Vasco,2016,hombres,,,"8,651",
16 País Vasco,2016,mujeres,,,"16,648",
16 País Vasco,2016,total,"43,02137766","63,57524103","12,735",
16 País Vasco,2017,hombres,,,"9,217","3,345"
16 País Vasco,2017,mujeres,,,"17,409","6,699"
16 País Vasco,2017,total,"43,02207112","64,39608581","13,402","5,264"
16 País Vasco,2018,hombres,,,"9,865","3,365"
16 País Vasco,2018,mujeres,,,"18,411","6,911"
16 País Vasco,2018,total,"42,96009507","65,69579431","14,232","5,391"
16 País Vasco,2019,hombres,,,"11,545","3,629"
16 País Vasco,2019,mujeres,,,"20,688","7,221"
16 País Vasco,2019,total,"42,42214187","67,25568155","16,22","5,68"
16 País Vasco,2020,hombres,,,"11,789","3,606"
16 País Vasco,2020,mujeres,,,"21,252","7,275"
16 País Vasco,2020,total,"43,46516436","69,74251629","16,628","5,699"
16 País Vasco,2021,hombres,,,"12,645","3,939"
16 País Vasco,2021,mujeres,,,"22,748","7,641"
16 País Vasco,2021,total,"43,65798195","73,27370085","17,81","6,048"
16 País Vasco,2022,hombres,,,"13,22258699","3,87725059"
16 País Vasco,2022,mujeres,,,"24,00747207","7,646107603"
16 País Vasco,2022,total,"43,60919467","77,42314252","18,73792615","6,020743648"
16 País Vasco,2023,hombres,,,"14,0886117","4,200175222"
16 País Vasco,2023,mujeres,,,"25,21046581","8,114179178"
16 País Vasco,2023,total,"43,4422445","80,93355762","19,77780221","6,423128353"
