comunidades_autónomas,periodo,hipno,antidep
09 Cataluña,2020,"28,7552259","85,58799633"
09 Cataluña,2021,"29,21332721","91,58176272"
09 Cataluña,2022,"28,79807496","97,76024221"
09 Cataluña,2023,"27,83986577","101,1832702"
18 Ceuta,2010,"26,24282237","39,86634194"
18 Ceuta,2011,"26,7840121","40,87471926"
18 Ceuta,2012,"27,26053941","42,02169291"
18 Ceuta,2013,"28,11882779","44,33765717"
18 Ceuta,2014,"30,67637255","46,19463064"
18 Ceuta,2015,"32,04417233","48,7840409"
18 Ceuta,2016,"34,68626848","51,70796609"
18 Ceuta,2017,"35,3216185","53,8116431"
18 Ceuta,2018,"35,93640315","54,36088872"
18 Ceuta,2019,"37,27268384","56,58107997"
18 Ceuta,2020,"38,72369498","58,21850765"
18 Ceuta,2021,"40,60459688","61,68976448"
18 Ceuta,2022,"41,30540164","66,56533403"
18 Ceuta,2023,"40,10065478","68,81051789"
10 Comunidad Valenciana,2010,"25,28979067","58,24178303"
10 Comunidad Valenciana,2011,"25,38797184","60,54044189"
10 Comunidad Valenciana,2012,"24,76403254","59,03666821"
10 Comunidad Valenciana,2013,"25,27291342","60,39773215"
10 Comunidad Valenciana,2014,"26,74054553","64,59672203"
10 Comunidad Valenciana,2015,"27,17865941","66,93443522"
10 Comunidad Valenciana,2016,"28,69160037","71,59171188"
10 Comunidad Valenciana,2017,"29,25570631","73,92269479"
10 Comunidad Valenciana,2018,"29,99908946","77,25376951"
10 Comunidad Valenciana,2019,"30,52242256","80,6663968"
10 Comunidad Valenciana,2020,"31,29068186","82,41713223"
10 Comunidad Valenciana,2021,"32,3691615","88,51639312"
10 Comunidad Valenciana,2022,"32,58870361","94,86197667"
10 Comunidad Valenciana,2023,"32,35155178","97,70203805"
00 Media Estatal,2010,"27,89449273","63,99363026"
00 Media Estatal,2011,"28,68047777","66,86433815"
00 Media Estatal,2012,"28,79081659","66,21727949"
00 Media Estatal,2013,"29,54028536","68,28366978"
00 Media Estatal,2014,"30,59620891","71,29769008"
00 Media Estatal,2015,"30,89711516","73,06563156"
00 Media Estatal,2016,"32,07493358","75,96009142"
00 Media Estatal,2017,"32,26457909","77,69440608"
00 Media Estatal,2018,"32,54837327","80,42859191"
00 Media Estatal,2019,"32,93453442","83,63466212"
00 Media Estatal,2020,"34,23248567","86,87148098"
00 Media Estatal,2021,"35,09730274","92,69202932"
00 Media Estatal,2022,"35,20560227","98,81099888"
00 Media Estatal,2023,"34,65611724","102,1552799"
11 Extremadura,2010,"25,40944342","85,47350982"
11 Extremadura,2011,"25,83264288","88,3915254"
11 Extremadura,2012,"26,2851696","90,37097461"
11 Extremadura,2013,"27,10676328","95,09750981"
11 Extremadura,2014,"28,21306473","99,67962427"
11 Extremadura,2015,"28,71476073","102,9785828"
11 Extremadura,2016,"30,23984609","107,9210503"
11 Extremadura,2017,"30,01971085","109,3603499"
11 Extremadura,2018,"30,88347187","112,7639492"
11 Extremadura,2019,"31,87166311","116,8237507"
11 Extremadura,2020,"33,92457674","123,2587282"
11 Extremadura,2021,"35,02998257","129,6710588"
11 Extremadura,2022,"35,70151334","136,2911295"
11 Extremadura,2023,"36,17894372","141,1370621"
12 Galicia,2010,"28,82576687","92,06591637"
12 Galicia,2011,"29,41852539","95,93145352"
12 Galicia,2012,"28,85063008","92,6146179"
12 Galicia,2013,"31,3194597","99,53440044"
12 Galicia,2014,"32,25600496","102,6650554"
12 Galicia,2015,"32,9161034","105,5989948"
12 Galicia,2016,"35,49691685","111,2676515"
12 Galicia,2017,"36,37356104","114,2575057"
12 Galicia,2018,"37,50411014","118,8332476"
12 Galicia,2019,"39,03949883","124,5565215"
12 Galicia,2020,"41,19496374","130,7070077"
12 Galicia,2021,"42,54446271","139,9101471"
12 Galicia,2022,"42,31516072","146,7841167"
12 Galicia,2023,"41,8563232","152,1584385"
17 La Rioja,2010,"34,39779999","61,77399674"
17 La Rioja,2011,"35,64893111","65,25546373"
17 La Rioja,2012,"36,16700367","64,14976218"
17 La Rioja,2013,"36,86991549","65,41970459"
17 La Rioja,2014,"38,33700361","67,98277813"
17 La Rioja,2015,"39,45419171","69,84670361"
17 La Rioja,2016,"42,63602193","73,24294647"
17 La Rioja,2017,"44,01787998","75,39554811"
17 La Rioja,2018,"46,03912749","77,54400816"
17 La Rioja,2019,"46,87188696","79,70439818"
17 La Rioja,2020,"47,96859099","82,15616253"
17 La Rioja,2021,"48,71169831","86,12567158"
17 La Rioja,2022,"48,60996878","91,20734902"
17 La Rioja,2023,"48,51396374","94,52530212"
13 Comunidad de Madrid,2010,"20,72261883","50,528461"
13 Comunidad de Madrid,2011,"21,67381846","53,44300532"
13 Comunidad de Madrid,2012,"21,99124528","53,94803032"
13 Comunidad de Madrid,2013,"22,24028434","54,63780866"
13 Comunidad de Madrid,2014,"23,33208696","58,08514043"
13 Comunidad de Madrid,2015,"23,7193102","60,03193436"
13 Comunidad de Madrid,2016,"24,78298184","62,83032582"
13 Comunidad de Madrid,2017,"24,49420656","64,45762783"
13 Comunidad de Madrid,2018,"23,82960227","66,85561859"
13 Comunidad de Madrid,2019,"23,2252677","68,80742646"
13 Comunidad de Madrid,2020,"23,52787076","69,80861245"
13 Comunidad de Madrid,2021,"23,85791139","74,81083106"
13 Comunidad de Madrid,2022,"23,67819662","81,06047296"
13 Comunidad de Madrid,2023,"22,90050665","83,48282253"
19 Melilla,2010,"17,04703988","33,192427"
19 Melilla,2011,"16,95022508","33,1504645"
19 Melilla,2012,"17,13847311","31,67711389"
19 Melilla,2013,"17,34059723","32,8652261"
19 Melilla,2014,"17,53108634","34,30788599"
19 Melilla,2015,"17,74073419","35,76482344"
19 Melilla,2016,"18,05791935","37,91183943"
19 Melilla,2017,"19,02084416","38,73282947"
19 Melilla,2018,"19,10186098","40,69553168"
19 Melilla,2019,"19,17253612","43,87765129"
19 Melilla,2020,"18,57466933","45,84898643"
19 Melilla,2021,"18,50256947","49,21599412"
19 Melilla,2022,"19,0758245","54,18164856"
19 Melilla,2023,"19,62033431","56,77500585"
14 Región de Murcia,2010,"24,38992468","63,03992839"
14 Región de Murcia,2011,"25,18378482","66,47551185"
14 Región de Murcia,2012,"25,62123303","66,89727736"
14 Región de Murcia,2013,"26,63332144","69,90459547"
14 Región de Murcia,2014,"27,67555906","73,50055385"
14 Región de Murcia,2015,"28,02338939","75,80748716"
14 Región de Murcia,2016,"29,92281287","79,90849862"
14 Región de Murcia,2017,"30,69048302","82,14428384"
14 Región de Murcia,2018,"31,42828421","86,0623826"
14 Región de Murcia,2019,"32,50157749","90,56704616"
14 Región de Murcia,2020,"34,64750127","95,53535242"
14 Región de Murcia,2021,"36,67897609","104,1965312"
14 Región de Murcia,2022,"37,81481813","112,2215659"
14 Región de Murcia,2023,"38,11464245","117,7746936"
15 Comunidad Foral de Navarra,2010,"43,54968241","67,19101501"
15 Comunidad Foral de Navarra,2011,"43,49635589","70,30000153"
15 Comunidad Foral de Navarra,2012,"43,169774","68,82584463"
15 Comunidad Foral de Navarra,2013,"42,68864953","70,06109944"
15 Comunidad Foral de Navarra,2014,"43,21148565","72,75171201"
15 Comunidad Foral de Navarra,2015,"43,08692137","74,40273067"
15 Comunidad Foral de Navarra,2016,"44,47004039","77,84845854"
15 Comunidad Foral de Navarra,2017,"42,92682072","77,5603619"
15 Comunidad Foral de Navarra,2018,"42,62748953","79,72690024"
15 Comunidad Foral de Navarra,2019,"42,27317895","81,20479956"
15 Comunidad Foral de Navarra,2020,"43,32822936","83,11028912"
15 Comunidad Foral de Navarra,2021,"42,98776269","88,19571674"
