comunidades_autónomas;Sexo;periodo;desempleo
17 La Rioja;Hombres;2020;9,4
17 La Rioja;Hombres;2019;10,3
17 La Rioja;Hombres;2018;10
17 La Rioja;Hombres;2017;9,9
17 La Rioja;Hombres;2016;14,3
17 La Rioja;Hombres;2015;14,7
17 La Rioja;Hombres;2014;16,9
17 La Rioja;Hombres;2013;18,6
17 La Rioja;Hombres;2012;17,9
17 La Rioja;Hombres;2011;15,3
17 La Rioja;Hombres;2010;13,3
17 La Rioja;Mujeres;2023;11,5
17 La Rioja;Mujeres;2022;13,1
17 La Rioja;Mujeres;2021;16,6
17 La Rioja;Mujeres;2020;13,2
17 La Rioja;Mujeres;2019;12
17 La Rioja;Mujeres;2018;12,2
17 La Rioja;Mujeres;2017;16,5
17 La Rioja;Mujeres;2016;14,5
17 La Rioja;Mujeres;2015;21,1
17 La Rioja;Mujeres;2014;22,7
17 La Rioja;Mujeres;2013;20,1
17 La Rioja;Mujeres;2012;22,8
17 La Rioja;Mujeres;2011;16,3
17 La Rioja;Mujeres;2010;17
18 Ceuta;Ambos sexos;2023;24
18 Ceuta;Ambos sexos;2022;29,2
18 Ceuta;Ambos sexos;2021;28,5
18 Ceuta;Ambos sexos;2020;23,9
18 Ceuta;Ambos sexos;2019;22,3
18 Ceuta;Ambos sexos;2018;31,4
18 Ceuta;Ambos sexos;2017;23,3
18 Ceuta;Ambos sexos;2016;26,2
18 Ceuta;Ambos sexos;2015;31,8
18 Ceuta;Ambos sexos;2014;31,6
18 Ceuta;Ambos sexos;2013;37,5
18 Ceuta;Ambos sexos;2012;34,7
18 Ceuta;Ambos sexos;2011;25,7
18 Ceuta;Ambos sexos;2010;22,8
18 Ceuta;Hombres;2023;20,5
18 Ceuta;Hombres;2022;23
18 Ceuta;Hombres;2021;26
18 Ceuta;Hombres;2020;22
18 Ceuta;Hombres;2019;17,9
18 Ceuta;Hombres;2018;25,1
18 Ceuta;Hombres;2017;20,6
18 Ceuta;Hombres;2016;20,8
18 Ceuta;Hombres;2015;25,4
18 Ceuta;Hombres;2014;30,2
18 Ceuta;Hombres;2013;30,7
18 Ceuta;Hombres;2012;29,5
18 Ceuta;Hombres;2011;21,9
18 Ceuta;Hombres;2010;21
18 Ceuta;Mujeres;2023;28,6
18 Ceuta;Mujeres;2022;37,2
18 Ceuta;Mujeres;2021;31,4
18 Ceuta;Mujeres;2020;26,5
18 Ceuta;Mujeres;2019;27,8
18 Ceuta;Mujeres;2018;38,8
18 Ceuta;Mujeres;2017;27,2
18 Ceuta;Mujeres;2016;33,9
18 Ceuta;Mujeres;2015;41,4
18 Ceuta;Mujeres;2014;33,8
18 Ceuta;Mujeres;2013;47,6
18 Ceuta;Mujeres;2012;42,2
18 Ceuta;Mujeres;2011;32,5
18 Ceuta;Mujeres;2010;26
19 Melilla;Ambos sexos;2023;26,1
19 Melilla;Ambos sexos;2022;22,1
19 Melilla;Ambos sexos;2021;21,5
19 Melilla;Ambos sexos;2020;23,1
19 Melilla;Ambos sexos;2019;25,9
19 Melilla;Ambos sexos;2018;27,2
19 Melilla;Ambos sexos;2017;29,5
19 Melilla;Ambos sexos;2016;30,7
19 Melilla;Ambos sexos;2015;35,4
19 Melilla;Ambos sexos;2014;24,4
19 Melilla;Ambos sexos;2013;28,9
19 Melilla;Ambos sexos;2012;23,4
19 Melilla;Ambos sexos;2011;21,3
19 Melilla;Ambos sexos;2010;19,8
19 Melilla;Hombres;2023;26,7
19 Melilla;Hombres;2022;18,2
19 Melilla;Hombres;2021;18
19 Melilla;Hombres;2020;21,3
19 Melilla;Hombres;2019;23
19 Melilla;Hombres;2018;23,3
19 Melilla;Hombres;2017;20,4
19 Melilla;Hombres;2016;28,4
19 Melilla;Hombres;2015;29
19 Melilla;Hombres;2014;22,8
19 Melilla;Hombres;2013;28,5
19 Melilla;Hombres;2012;16,6
19 Melilla;Hombres;2011;19,7
19 Melilla;Hombres;2010;13
19 Melilla;Mujeres;2023;25,4
19 Melilla;Mujeres;2022;26,7
19 Melilla;Mujeres;2021;25,6
19 Melilla;Mujeres;2020;25,3
19 Melilla;Mujeres;2019;30
19 Melilla;Mujeres;2018;32,9
19 Melilla;Mujeres;2017;42,1
19 Melilla;Mujeres;2016;34,2
19 Melilla;Mujeres;2015;43,7
19 Melilla;Mujeres;2014;26,7
19 Melilla;Mujeres;2013;29,4
19 Melilla;Mujeres;2012;34,6
19 Melilla;Mujeres;2011;23,5
19 Melilla;Mujeres;2010;30,8
