comunidades_autónomas;periodo;cociente_des
00 Media Estatal;2024;5,4
00 Media Estatal;2023;5,5
00 Media Estatal;2022;5,6
00 Media Estatal;2021;6,2
00 Media Estatal;2020;5,8
00 Media Estatal;2019;5,9
00 Media Estatal;2018;6
00 Media Estatal;2017;6,6
00 Media Estatal;2016;6,6
00 Media Estatal;2015;6,9
00 Media Estatal;2014;6,8
00 Media Estatal;2013;6,3
00 Media Estatal;2012;6,5
00 Media Estatal;2011;6,3
00 Media Estatal;2010;6,2
00 Media Estatal;2009;5,9
00 Media Estatal;2008;5,6
01 Andalucía;2024;5,5
01 Andalucía;2023;5,9
01 Andalucía;2022;6
01 Andalucía;2021;6,8
01 Andalucía;2020;5,3
01 Andalucía;2019;6,1
01 Andalucía;2018;6,5
01 Andalucía;2017;6,9
01 Andalucía;2016;7,2
01 Andalucía;2015;7
01 Andalucía;2014;7,1
01 Andalucía;2013;6,6
01 Andalucía;2012;6,2
01 Andalucía;2011;7,3
01 Andalucía;2010;6,2
01 Andalucía;2009;6
01 Andalucía;2008;6
02 Aragón;2024;4,4
02 Aragón;2023;4,3
02 Aragón;2022;4,4
02 Aragón;2021;4,9
02 Aragón;2020;4,7
02 Aragón;2019;4,7
02 Aragón;2018;4,3
02 Aragón;2017;4,6
02 Aragón;2016;5,1
02 Aragón;2015;5,4
02 Aragón;2014;6
02 Aragón;2013;5,6
02 Aragón;2012;5,3
02 Aragón;2011;5,3
02 Aragón;2010;4,2
02 Aragón;2009;4,4
02 Aragón;2008;4,7
03 Principado de Asturias;2024;4,6
03 Principado de Asturias;2023;5,4
03 Principado de Asturias;2022;5,7
03 Principado de Asturias;2021;6
03 Principado de Asturias;2020;7,3
03 Principado de Asturias;2019;7,8
03 Principado de Asturias;2018;4,8
03 Principado de Asturias;2017;5,5
03 Principado de Asturias;2016;5,1
03 Principado de Asturias;2015;5,2
03 Principado de Asturias;2014;6,3
03 Principado de Asturias;2013;5,1
03 Principado de Asturias;2012;5,2
03 Principado de Asturias;2011;4,9
03 Principado de Asturias;2010;4,7
03 Principado de Asturias;2009;5,1
03 Principado de Asturias;2008;4,9
04 Islas Baleares;2024;4,6
04 Islas Baleares;2023;5,1
04 Islas Baleares;2022;4,9
04 Islas Baleares;2021;5,1
04 Islas Baleares;2020;4,6
04 Islas Baleares;2019;4,8
04 Islas Baleares;2018;5,5
04 Islas Baleares;2017;8,2
04 Islas Baleares;2016;6,1
04 Islas Baleares;2015;9,1
04 Islas Baleares;2014;8,9
04 Islas Baleares;2013;7,1
04 Islas Baleares;2012;6,9
04 Islas Baleares;2011;9,2
04 Islas Baleares;2010;6,9
04 Islas Baleares;2009;6,3
04 Islas Baleares;2008;5,9
05 Canarias;2024;5,7
05 Canarias;2023;5,3
05 Canarias;2022;6,3
