ccaa;solicitudes;periodo
País Vasco;95057;2016-11
Ceuta y Melilla;3988;2016-11
Andalucía;380251;2016-12
Aragón;44970;2016-12
Principado de Asturias;35130;2016-12
Islas Baleares;25179;2016-12
Canarias;42836;2016-12
Cantabria;21185;2016-12
Castilla y León;117100;2016-12
Castilla-La Mancha;84774;2016-12
Cataluña;290547;2016-12
Comunidad Valenciana;100487;2016-12
Extremadura;52992;2016-12
Galicia;79530;2016-12
Comunidad de Madrid;170260;2016-12
Región de Murcia;43069;2016-12
Comunidad Foral de Navarra;18323;2016-12
País Vasco;96637;2016-12
Ceuta y Melilla;4000;2016-12
Andalucía;380156;2017-01
Aragón;44935;2017-01
Principado de Asturias;34991;2017-01
Islas Baleares;25178;2017-01
Canarias;42611;2017-01
Cantabria;22809;2017-01
Castilla y León;117120;2017-01
Castilla-La Mancha;84643;2017-01
Cataluña;291728;2017-01
Comunidad Valenciana;101770;2017-01
Extremadura;52821;2017-01
Galicia;80062;2017-01
Comunidad de Madrid;170142;2017-01
Región de Murcia;42862;2017-01
Comunidad Foral de Navarra;18456;2017-01
País Vasco;96678;2017-01
Ceuta y Melilla;3982;2017-01
Andalucía;379845;2017-02
Aragón;44670;2017-02
Principado de Asturias;34807;2017-02
Islas Baleares;25249;2017-02
Canarias;42206;2017-02
Cantabria;22939;2017-02
Castilla y León;117123;2017-02
Castilla-La Mancha;84350;2017-02
Cataluña;291522;2017-02
Comunidad Valenciana;102698;2017-02
Extremadura;52642;2017-02
Galicia;79432;2017-02
Comunidad de Madrid;168944;2017-02
Región de Murcia;42710;2017-02
Comunidad Foral de Navarra;18700;2017-02
País Vasco;96017;2017-02
Ceuta y Melilla;3980;2017-02
Andalucía;380686;2017-03
Aragón;45190;2017-03
Principado de Asturias;34808;2017-03
Islas Baleares;25337;2017-03
Canarias;42658;2017-03
Cantabria;23154;2017-03
Castilla y León;117614;2017-03
Castilla-La Mancha;84377;2017-03
Cataluña;293418;2017-03
Comunidad Valenciana;103437;2017-03
Extremadura;52984;2017-03
Galicia;79438;2017-03
Comunidad de Madrid;181883;2017-03
Región de Murcia;42800;2017-03
Comunidad Foral de Navarra;19058;2017-03
País Vasco;96932;2017-03
Ceuta y Melilla;4008;2017-03
Andalucía;380987;2017-04
Aragón;45527;2017-04
Principado de Asturias;34808;2017-04
Islas Baleares;25600;2017-04
Canarias;43571;2017-04
Cantabria;23154;2017-04
Castilla y León;117128;2017-04
Castilla-La Mancha;84460;2017-04
Cataluña;294035;2017-04
Comunidad Valenciana;103916;2017-04
Extremadura;53353;2017-04
Galicia;79771;2017-04
Comunidad de Madrid;180724;2017-04
Región de Murcia;42683;2017-04
Comunidad Foral de Navarra;19151;2017-04
País Vasco;97008;2017-04
Ceuta y Melilla;3995;2017-04
Andalucía;381208;2017-05
Aragón;45221;2017-05
Principado de Asturias;35209;2017-05
Islas Baleares;26078;2017-05
Canarias;44980;2017-05
Cantabria;23245;2017-05
Castilla y León;117656;2017-05
Castilla-La Mancha;84570;2017-05
Cataluña;294632;2017-05
Comunidad Valenciana;104516;2017-05
Extremadura;53530;2017-05
Galicia;79681;2017-05
Comunidad de Madrid;180125;2017-05
Región de Murcia;42951;2017-05
Comunidad Foral de Navarra;19233;2017-05
País Vasco;97924;2017-05
Ceuta y Melilla;4040;2017-05
Andalucía;380500;2017-06
Aragón;45071;2017-06
Principado de Asturias;35536;2017-06
Islas Baleares;26325;2017-06
Canarias;45376;2017-06
Cantabria;23227;2017-06
Castilla y León;118121;2017-06
Castilla-La Mancha;84752;2017-06
Cataluña;296611;2017-06
Comunidad Valenciana;103702;2017-06
Extremadura;53519;2017-06
Galicia;79424;2017-06
Comunidad de Madrid;180031;2017-06
Región de Murcia;43704;2017-06
Comunidad Foral de Navarra;19434;2017-06
País Vasco;97597;2017-06
Ceuta y Melilla;4064;2017-06
Andalucía;380813;2017-07
Aragón;45497;2017-07
Principado de Asturias;35807;2017-07
Islas Baleares;26461;2017-07
Canarias;45766;2017-07
Cantabria;23323;2017-07
Castilla y León;118626;2017-07
Castilla-La Mancha;84781;2017-07
Cataluña;298325;2017-07
Comunidad Valenciana;103928;2017-07
Extremadura;53910;2017-07
Galicia;79844;2017-07
Comunidad de Madrid;185392;2017-07
Región de Murcia;44269;2017-07
Comunidad Foral de Navarra;19441;2017-07
País Vasco;97470;2017-07
Ceuta y Melilla;4050;2017-07
Andalucía;380863;2017-08
Aragón;45815;2017-08
Principado de Asturias;35942;2017-08
Islas Baleares;26583;2017-08
Canarias;46188;2017-08
Cantabria;23327;2017-08
Castilla y León;119627;2017-08
Castilla-La Mancha;84668;2017-08
Cataluña;300690;2017-08
Comunidad Valenciana;105415;2017-08
Extremadura;54194;2017-08
Galicia;79477;2017-08
Comunidad de Madrid;185135;2017-08
Región de Murcia;44504;2017-08
Comunidad Foral de Navarra;19478;2017-08
País Vasco;97743;2017-08
Ceuta y Melilla;4091;2017-08
Andalucía;381411;2017-09
Aragón;46133;2017-09
Principado de Asturias;36097;2017-09
Islas Baleares;26953;2017-09
Canarias;46352;2017-09
Cantabria;23789;2017-09
Castilla y León;120232;2017-09
Castilla-La Mancha;84848;2017-09
Cataluña;301722;2017-09
Comunidad Valenciana;107107;2017-09
Extremadura;54248;2017-09
Galicia;79767;2017-09
Comunidad de Madrid;194973;2017-09
Región de Murcia;44465;2017-09
Comunidad Foral de Navarra;19624;2017-09
País Vasco;97613;2017-09
Ceuta y Melilla;4093;2017-09
Andalucía;382224;2017-10
Aragón;46120;2017-10
Principado de Asturias;36463;2017-10
Islas Baleares;27218;2017-10
Canarias;46536;2017-10
Cantabria;23816;2017-10
Castilla y León;121250;2017-10
Castilla-La Mancha;85433;2017-10
Cataluña;302719;2017-10
Comunidad Valenciana;106904;2017-10
Extremadura;54068;2017-10
Galicia;79880;2017-10
Comunidad de Madrid;201003;2017-10
Región de Murcia;44402;2017-10
Comunidad Foral de Navarra;19737;2017-10
País Vasco;98784;2017-10
Ceuta y Melilla;4099;2017-10
Andalucía;383344;2017-11
Aragón;46512;2017-11
Principado de Asturias;36775;2017-11
Islas Baleares;27412;2017-11
Canarias;46972;2017-11
Cantabria;23843;2017-11
Castilla y León;121750;2017-11
Castilla-La Mancha;85858;2017-11
Cataluña;305007;2017-11
Comunidad Valenciana;108092;2017-11
Extremadura;54389;2017-11
Galicia;80181;2017-11
Comunidad de Madrid;204322;2017-11
Región de Murcia;44383;2017-11
Comunidad Foral de Navarra;20017;2017-11
País Vasco;99332;2017-11
Ceuta y Melilla;4121;2017-11
Andalucía;383618;2017-12
Aragón;46842;2017-12
Principado de Asturias;36927;2017-12
Islas Baleares;27549;2017-12
Canarias;47444;2017-12
Cantabria;23912;2017-12
Castilla y León;122121;2017-12
Castilla-La Mancha;85807;2017-12
Cataluña;305482;2017-12
Comunidad Valenciana;108391;2017-12
Extremadura;54542;2017-12
Galicia;80796;2017-12
Comunidad de Madrid;205200;2017-12
Región de Murcia;44344;2017-12
Comunidad Foral de Navarra;19891;2017-12
País Vasco;99245;2017-12
Ceuta y Melilla;4117;2017-12
Andalucía;384308;2018-01
Aragón;46840;2018-01
Principado de Asturias;37055;2018-01
Islas Baleares;27612;2018-01
Canarias;47681;2018-01
Cantabria;23855;2018-01
Castilla y León;122379;2018-01
Castilla-La Mancha;84853;2018-01
Cataluña;305827;2018-01
Comunidad Valenciana;108706;2018-01
Extremadura;54337;2018-01
Galicia;80281;2018-01
Comunidad de Madrid;204975;2018-01
Región de Murcia;44002;2018-01
Comunidad Foral de Navarra;20038;2018-01
País Vasco;98783;2018-01
Ceuta y Melilla;4128;2018-01
Andalucía;383739;2018-02
Aragón;46890;2018-02
Principado de Asturias;37115;2018-02
Islas Baleares;27680;2018-02
Canarias;47806;2018-02
Cantabria;23751;2018-02
Castilla y León;122710;2018-02
Castilla-La Mancha;84966;2018-02
Cataluña;306028;2018-02
Comunidad Valenciana;107972;2018-02
Extremadura;54132;2018-02
Galicia;80832;2018-02
Comunidad de Madrid;206517;2018-02
Región de Murcia;43975;2018-02
Comunidad Foral de Navarra;19795;2018-02
País Vasco;98908;2018-02
Ceuta y Melilla;4132;2018-02
Andalucía;383303;2018-03
Aragón;47196;2018-03
Principado de Asturias;37311;2018-03
Islas Baleares;28012;2018-03
Canarias;47892;2018-03
Cantabria;23768;2018-03
Castilla y León;123481;2018-03
Castilla-La Mancha;85200;2018-03
Cataluña;307516;2018-03
Comunidad Valenciana;107198;2018-03
Extremadura;54056;2018-03
Galicia;81544;2018-03
Comunidad de Madrid;207222;2018-03
Región de Murcia;44093;2018-03
Comunidad Foral de Navarra;19918;2018-03
País Vasco;99386;2018-03
Ceuta y Melilla;4180;2018-03
Andalucía;383789;2018-04
Aragón;47283;2018-04
Principado de Asturias;37487;2018-04
Islas Baleares;28257;2018-04
Canarias;48092;2018-04
Cantabria;23444;2018-04
Castilla y León;124008;2018-04
Castilla-La Mancha;85322;2018-04
Cataluña;308604;2018-04
Comunidad Valenciana;107107;2018-04
Extremadura;54143;2018-04
Galicia;81031;2018-04
Comunidad de Madrid;210172;2018-04
Región de Murcia;43785;2018-04
Comunidad Foral de Navarra;20088;2018-04
País Vasco;99235;2018-04
Ceuta y Melilla;4195;2018-04
Andalucía;384853;2018-05
Aragón;47622;2018-05
Principado de Asturias;37877;2018-05
Islas Baleares;28691;2018-05
Canarias;48254;2018-05
Cantabria;23202;2018-05
Castilla y León;124295;2018-05
Castilla-La Mancha;85534;2018-05
Cataluña;309756;2018-05
Comunidad Valenciana;108597;2018-05
Extremadura;54147;2018-05
Galicia;81361;2018-05
Comunidad de Madrid;211989;2018-05
Región de Murcia;44089;2018-05
Comunidad Foral de Navarra;19997;2018-05
País Vasco;99145;2018-05
Ceuta y Melilla;4224;2018-05
Andalucía;386030;2018-06
Aragón;48031;2018-06
Principado de Asturias;37942;2018-06
Islas Baleares;28689;2018-06
Canarias;48395;2018-06
Cantabria;23833;2018-06
Castilla y León;124596;2018-06
Castilla-La Mancha;85866;2018-06
Cataluña;312153;2018-06
Comunidad Valenciana;110861;2018-06
Extremadura;54309;2018-06
Galicia;80466;2018-06
Comunidad de Madrid;213512;2018-06
Región de Murcia;43824;2018-06
Comunidad Foral de Navarra;19782;2018-06
País Vasco;99799;2018-06
Ceuta y Melilla;4244;2018-06
Andalucía;387324;2018-07
Aragón;48552;2018-07
Principado de Asturias;37984;2018-07
Islas Baleares;28649;2018-07
Canarias;48543;2018-07
Cantabria;23632;2018-07
Castilla y León;125107;2018-07
Castilla-La Mancha;86217;2018-07
Cataluña;314727;2018-07
Comunidad Valenciana;112303;2018-07
Extremadura;55014;2018-07
Galicia;79755;2018-07
Comunidad de Madrid;214972;2018-07
Región de Murcia;43785;2018-07
Comunidad Foral de Navarra;19721;2018-07
País Vasco;100465;2018-07
Ceuta y Melilla;4264;2018-07
Andalucía;388482;2018-08
Aragón;48753;2018-08
Principado de Asturias;38055;2018-08
Islas Baleares;28413;2018-08
Canarias;48728;2018-08
Cantabria;24349;2018-08
Castilla y León;125341;2018-08
Castilla-La Mancha;85891;2018-08
Cataluña;315966;2018-08
Comunidad Valenciana;113149;2018-08
Extremadura;55183;2018-08
Galicia;79941;2018-08
Comunidad de Madrid;213880;2018-08
Región de Murcia;43638;2018-08
Comunidad Foral de Navarra;19574;2018-08
País Vasco;100455;2018-08
Ceuta y Melilla;4279;2018-08
Andalucía;388687;2018-09
Aragón;48835;2018-09
Principado de Asturias;38075;2018-09
Islas Baleares;28140;2018-09
Canarias;48550;2018-09
Cantabria;24471;2018-09
Castilla y León;125834;2018-09
Castilla-La Mancha;85558;2018-09
Cataluña;314138;2018-09
Comunidad Valenciana;112841;2018-09
Extremadura;55093;2018-09
Galicia;79997;2018-09
Comunidad de Madrid;214918;2018-09
Región de Murcia;44000;2018-09
Comunidad Foral de Navarra;19587;2018-09
País Vasco;101443;2018-09
Ceuta y Melilla;4287;2018-09
Andalucía;388465;2018-10
Aragón;49232;2018-10
Principado de Asturias;38424;2018-10
Islas Baleares;28181;2018-10
Canarias;48591;2018-10
Cantabria;24533;2018-10
Castilla y León;126748;2018-10
Castilla-La Mancha;86265;2018-10
Cataluña;316796;2018-10
Comunidad Valenciana;113988;2018-10
Extremadura;54579;2018-10
Galicia;80152;2018-10
Comunidad de Madrid;215007;2018-10
Región de Murcia;44268;2018-10
Comunidad Foral de Navarra;19606;2018-10
País Vasco;102187;2018-10
Ceuta y Melilla;4313;2018-10
Andalucía;388678;2018-11
Aragón;49508;2018-11
Principado de Asturias;38812;2018-11
Islas Baleares;28272;2018-11
Canarias;48667;2018-11
Cantabria;24457;2018-11
Castilla y León;127991;2018-11
Castilla-La Mancha;86555;2018-11
Cataluña;317617;2018-11
Comunidad Valenciana;115034;2018-11
Extremadura;54784;2018-11
Galicia;80145;2018-11
Comunidad de Madrid;214884;2018-11
Región de Murcia;44408;2018-11
Comunidad Foral de Navarra;19773;2018-11
País Vasco;102384;2018-11
Ceuta y Melilla;4358;2018-11
Andalucía;388846;2018-12
Aragón;49707;2018-12
Principado de Asturias;38844;2018-12
Islas Baleares;27993;2018-12
Canarias;48834;2018-12
Cantabria;24752;2018-12
Castilla y León;129374;2018-12
Castilla-La Mancha;86579;2018-12
Cataluña;318602;2018-12
Comunidad Valenciana;116879;2018-12
Extremadura;54680;2018-12
Galicia;80184;2018-12
Comunidad de Madrid;215222;2018-12
Región de Murcia;44249;2018-12
Comunidad Foral de Navarra;20012;2018-12
País Vasco;102813;2018-12
Ceuta y Melilla;4359;2018-12
Andalucía;388912;2019-01
Aragón;49229;2019-01
Principado de Asturias;39032;2019-01
Islas Baleares;27710;2019-01
Canarias;48784;2019-01
Cantabria;24905;2019-01
Castilla y León;131674;2019-01
Castilla-La Mancha;86619;2019-01
Cataluña;318795;2019-01
Comunidad Valenciana;119861;2019-01
Extremadura;54595;2019-01
Galicia;80245;2019-01
Comunidad de Madrid;215433;2019-01
Región de Murcia;45482;2019-01
Comunidad Foral de Navarra;19784;2019-01
País Vasco;102759;2019-01
La Rioja;15336;2019-01
Ceuta y Melilla;4369;2019-01
Andalucía;388474;2019-02
Aragón;49292;2019-02
Principado de Asturias;39117;2019-02
Islas Baleares;27319;2019-02
Canarias;49051;2019-02
Cantabria;24861;2019-02
Castilla y León;133728;2019-02
Castilla-La Mancha;86753;2019-02
Cataluña;318946;2019-02
Comunidad Valenciana;122437;2019-02
Extremadura;54780;2019-02
Galicia;80393;2019-02
Comunidad de Madrid;216035;2019-02
Región de Murcia;45458;2019-02
Comunidad Foral de Navarra;19629;2019-02
País Vasco;102485;2019-02
La Rioja;15268;2019-02
Ceuta y Melilla;4360;2019-02
Andalucía;389013;2019-03
Aragón;49336;2019-03
Principado de Asturias;39267;2019-03
Islas Baleares;29961;2019-03
Canarias;49583;2019-03
Cantabria;24794;2019-03
Castilla y León;136322;2019-03
Castilla-La Mancha;87182;2019-03
Cataluña;319633;2019-03
Comunidad Valenciana;124059;2019-03
Extremadura;54782;2019-03
Galicia;80456;2019-03
Comunidad de Madrid;216327;2019-03
Región de Murcia;44776;2019-03
Comunidad Foral de Navarra;19513;2019-03
País Vasco;102829;2019-03
La Rioja;15308;2019-03
Ceuta y Melilla;4358;2019-03
Andalucía;389589;2019-04
Aragón;49740;2019-04
Principado de Asturias;39372;2019-04
Islas Baleares;30544;2019-04
Canarias;49967;2019-04
Cantabria;24808;2019-04
Castilla y León;138896;2019-04
Castilla-La Mancha;87635;2019-04
Cataluña;320033;2019-04
Comunidad Valenciana;127069;2019-04
Extremadura;54859;2019-04
Galicia;80102;2019-04
Comunidad de Madrid;215220;2019-04
Región de Murcia;44556;2019-04
Comunidad Foral de Navarra;19396;2019-04
País Vasco;103246;2019-04
La Rioja;15211;2019-04
Ceuta y Melilla;4361;2019-04
Andalucía;391641;2019-05
Aragón;51412;2019-05
Principado de Asturias;39671;2019-05
Islas Baleares;30908;2019-05
Canarias;50269;2019-05
Cantabria;24948;2019-05
Castilla y León;140887;2019-05
Castilla-La Mancha;88093;2019-05
Cataluña;323085;2019-05
Comunidad Valenciana;129876;2019-05
Extremadura;54899;2019-05
Galicia;80264;2019-05
Comunidad de Madrid;216423;2019-05
Región de Murcia;45571;2019-05
Comunidad Foral de Navarra;19313;2019-05
País Vasco;103239;2019-05
La Rioja;15244;2019-05
Ceuta y Melilla;4401;2019-05
Andalucía;394077;2019-06
Aragón;51514;2019-06
Principado de Asturias;39871;2019-06
Islas Baleares;31193;2019-06
Canarias;50316;2019-06
Cantabria;25028;2019-06
Castilla y León;142744;2019-06
Castilla-La Mancha;88250;2019-06
Cataluña;327606;2019-06
Comunidad Valenciana;130623;2019-06
Extremadura;55109;2019-06
Galicia;80565;2019-06
Comunidad de Madrid;217775;2019-06
Región de Murcia;45565;2019-06
Comunidad Foral de Navarra;19278;2019-06
País Vasco;104267;2019-06
La Rioja;15384;2019-06
Ceuta y Melilla;4404;2019-06
Andalucía;395208;2019-07
Aragón;51235;2019-07
Principado de Asturias;40091;2019-07
Islas Baleares;31455;2019-07
Canarias;50403;2019-07
Cantabria;25025;2019-07
Castilla y León;144163;2019-07
Castilla-La Mancha;88648;2019-07
Cataluña;329234;2019-07
Comunidad Valenciana;134219;2019-07
Extremadura;55251;2019-07
Galicia;80215;2019-07
Comunidad de Madrid;219297;2019-07
Región de Murcia;45662;2019-07
Comunidad Foral de Navarra;19233;2019-07
País Vasco;104072;2019-07
La Rioja;15334;2019-07
Ceuta y Melilla;4437;2019-07
Andalucía;396603;2019-08
Aragón;50950;2019-08
Principado de Asturias;40188;2019-08
Islas Baleares;31649;2019-08
Canarias;50494;2019-08
Cantabria;25373;2019-08
Castilla y León;145245;2019-08
Castilla-La Mancha;88211;2019-08
Cataluña;331578;2019-08
Comunidad Valenciana;135998;2019-08
Extremadura;55660;2019-08
Galicia;80256;2019-08
Comunidad de Madrid;219379;2019-08
Región de Murcia;45373;2019-08
Comunidad Foral de Navarra;19038;2019-08
País Vasco;104278;2019-08
La Rioja;15375;2019-08
Ceuta y Melilla;4475;2019-08
Andalucía;398010;2019-09
Aragón;50570;2019-09
Principado de Asturias;40323;2019-09
Islas Baleares;31622;2019-09
Canarias;50545;2019-09
Cantabria;25444;2019-09
Castilla y León;145380;2019-09
Castilla-La Mancha;88486;2019-09
Cataluña;331323;2019-09
Comunidad Valenciana;139466;2019-09
Extremadura;56136;2019-09
Galicia;80420;2019-09
Comunidad de Madrid;219463;2019-09
Región de Murcia;47648;2019-09
Comunidad Foral de Navarra;19690;2019-09
País Vasco;104913;2019-09
La Rioja;15342;2019-09
Ceuta y Melilla;4471;2019-09
Andalucía;404880;2019-10
Aragón;50958;2019-10
Principado de Asturias;40645;2019-10
Islas Baleares;32243;2019-10
Canarias;51647;2019-10
Cantabria;25519;2019-10
Castilla y León;146054;2019-10
Castilla-La Mancha;89239;2019-10
Cataluña;332661;2019-10
Comunidad Valenciana;142158;2019-10
Extremadura;56575;2019-10
Galicia;80439;2019-10
Comunidad de Madrid;223227;2019-10
Región de Murcia;49753;2019-10
Comunidad Foral de Navarra;19846;2019-10
País Vasco;105534;2019-10
La Rioja;15414;2019-10
Ceuta y Melilla;4471;2019-10
Andalucía;409668;2019-11
Aragón;51250;2019-11
Principado de Asturias;40762;2019-11
Islas Baleares;32426;2019-11
Canarias;52602;2019-11
Cantabria;25523;2019-11
Castilla y León;146106;2019-11
Castilla-La Mancha;89874;2019-11
Cataluña;334138;2019-11
Comunidad Valenciana;143524;2019-11
Extremadura;57202;2019-11
Galicia;80998;2019-11
Comunidad de Madrid;224492;2019-11
Región de Murcia;50342;2019-11
Comunidad Foral de Navarra;19886;2019-11
País Vasco;105540;2019-11
La Rioja;15427;2019-11
Ceuta y Melilla;4479;2019-11
Andalucía;410355;2019-12
Aragón;51252;2019-12
Principado de Asturias;40697;2019-12
Islas Baleares;32479;2019-12
Canarias;53168;2019-12
Cantabria;25483;2019-12
Castilla y León;146192;2019-12
Castilla-La Mancha;89837;2019-12
Cataluña;334206;2019-12
Comunidad Valenciana;144556;2019-12
Extremadura;56883;2019-12
Galicia;80673;2019-12
Comunidad de Madrid;228990;2019-12
Región de Murcia;53719;2019-12
Comunidad Foral de Navarra;20052;2019-12
País Vasco;106366;2019-12
La Rioja;15375;2019-12
Ceuta y Melilla;4461;2019-12
Andalucía;410337;2020-01
Aragón;50900;2020-01
Principado de Asturias;41041;2020-01
Islas Baleares;32590;2020-01
Canarias;53227;2020-01
Cantabria;25524;2020-01
Castilla y León;146209;2020-01
Castilla-La Mancha;89899;2020-01
Cataluña;335971;2020-01
Comunidad Valenciana;144436;2020-01
Extremadura;56455;2020-01
Galicia;80497;2020-01
Comunidad de Madrid;228711;2020-01
Región de Murcia;53874;2020-01
Comunidad Foral de Navarra;20108;2020-01
País Vasco;106387;2020-01
La Rioja;15454;2020-01
Ceuta y Melilla;4497;2020-01
Andalucía;410004;2020-02
Aragón;50682;2020-02
Principado de Asturias;41105;2020-02
Islas Baleares;32840;2020-02
Canarias;53051;2020-02
Cantabria;26038;2020-02
Castilla y León;146209;2020-02
Castilla-La Mancha;90243;2020-02
Cataluña;337365;2020-02
Comunidad Valenciana;144712;2020-02
Extremadura;56648;2020-02
Galicia;79832;2020-02
Comunidad de Madrid;230431;2020-02
Región de Murcia;53916;2020-02
Comunidad Foral de Navarra;19974;2020-02
País Vasco;106426;2020-02
La Rioja;15413;2020-02
Ceuta y Melilla;4496;2020-02
Andalucía;408257;2020-03
Aragón;50621;2020-03
Principado de Asturias;41095;2020-03
Islas Baleares;32811;2020-03
Canarias;53247;2020-03
Cantabria;25583;2020-03
Castilla y León;146252;2020-03
Castilla-La Mancha;89840;2020-03
Cataluña;336251;2020-03
Comunidad Valenciana;147030;2020-03
Extremadura;56393;2020-03
Galicia;79444;2020-03
Comunidad de Madrid;231363;2020-03
Región de Murcia;53895;2020-03
Comunidad Foral de Navarra;19886;2020-03
País Vasco;107066;2020-03
La Rioja;15329;2020-03
Ceuta y Melilla;4491;2020-03
Andalucía;405335;2020-04
Aragón;50186;2020-04
Principado de Asturias;40708;2020-04
Islas Baleares;32541;2020-04
Canarias;54404;2020-04
Cantabria;25376;2020-04
Castilla y León;145291;2020-04
Castilla-La Mancha;88118;2020-04
Cataluña;334918;2020-04
Comunidad Valenciana;149723;2020-04
Extremadura;55685;2020-04
Galicia;78849;2020-04
Comunidad de Madrid;224229;2020-04
Región de Murcia;53516;2020-04
Comunidad Foral de Navarra;19593;2020-04
País Vasco;106753;2020-04
La Rioja;14895;2020-04
Ceuta y Melilla;4457;2020-04
Andalucía;402285;2020-05
Aragón;49395;2020-05
Principado de Asturias;40132;2020-05
Islas Baleares;32350;2020-05
Canarias;55140;2020-05
Cantabria;25098;2020-05
Castilla y León;141824;2020-05
Castilla-La Mancha;85524;2020-05
Cataluña;327094;2020-05
Comunidad Valenciana;149915;2020-05
Extremadura;55203;2020-05
Galicia;78129;2020-05
Comunidad de Madrid;221502;2020-05
Región de Murcia;52770;2020-05
Comunidad Foral de Navarra;19313;2020-05
País Vasco;105347;2020-05
La Rioja;14634;2020-05
Ceuta y Melilla;4421;2020-05
Andalucía;400988;2020-06
Aragón;48981;2020-06
Principado de Asturias;39898;2020-06
Islas Baleares;32399;2020-06
Canarias;54857;2020-06
Cantabria;25200;2020-06
Castilla y León;141631;2020-06
Castilla-La Mancha;85165;2020-06
Cataluña;321092;2020-06
Comunidad Valenciana;150807;2020-06
Extremadura;54985;2020-06
Galicia;78067;2020-06
Comunidad de Madrid;219927;2020-06
Región de Murcia;52446;2020-06
Comunidad Foral de Navarra;19315;2020-06
País Vasco;105436;2020-06
La Rioja;14668;2020-06
Ceuta y Melilla;4460;2020-06
Andalucía;401186;2020-07
Aragón;48758;2020-07
Principado de Asturias;39736;2020-07
Islas Baleares;32447;2020-07
Canarias;55020;2020-07
Cantabria;25385;2020-07
Castilla y León;141630;2020-07
Castilla-La Mancha;85019;2020-07
Cataluña;320777;2020-07
Comunidad Valenciana;152199;2020-07
Extremadura;54757;2020-07
Galicia;77812;2020-07
Comunidad de Madrid;219093;2020-07
Región de Murcia;52067;2020-07
Comunidad Foral de Navarra;19493;2020-07
País Vasco;105483;2020-07
La Rioja;14710;2020-07
Ceuta y Melilla;4490;2020-07
Andalucía;399802;2020-08
Aragón;48567;2020-08
Principado de Asturias;39575;2020-08
Islas Baleares;32525;2020-08
Canarias;55441;2020-08
Cantabria;25416;2020-08
Castilla y León;141133;2020-08
Castilla-La Mancha;84437;2020-08
Cataluña;321925;2020-08
Comunidad Valenciana;152780;2020-08
Extremadura;54494;2020-08
Galicia;77936;2020-08
Comunidad de Madrid;218015;2020-08
Región de Murcia;51796;2020-08
Comunidad Foral de Navarra;19496;2020-08
País Vasco;105321;2020-08
La Rioja;14687;2020-08
Ceuta y Melilla;4462;2020-08
Andalucía;399077;2020-09
Aragón;48270;2020-09
Principado de Asturias;39439;2020-09
Islas Baleares;32628;2020-09
Canarias;55290;2020-09
Cantabria;25247;2020-09
Castilla y León;141140;2020-09
Castilla-La Mancha;84781;2020-09
Cataluña;320289;2020-09
Comunidad Valenciana;153276;2020-09
Extremadura;54201;2020-09
Galicia;77471;2020-09
Comunidad de Madrid;217587;2020-09
Región de Murcia;52449;2020-09
Comunidad Foral de Navarra;19423;2020-09
País Vasco;105093;2020-09
La Rioja;14620;2020-09
Ceuta y Melilla;4485;2020-09
Andalucía;400152;2020-10
Aragón;48216;2020-10
Principado de Asturias;39532;2020-10
Islas Baleares;32701;2020-10
Canarias;55179;2020-10
Cantabria;25285;2020-10
Castilla y León;141211;2020-10
Castilla-La Mancha;84874;2020-10
Cataluña;320621;2020-10
Comunidad Valenciana;154173;2020-10
Extremadura;53835;2020-10
Galicia;77310;2020-10
Comunidad de Madrid;217143;2020-10
Región de Murcia;52474;2020-10
Comunidad Foral de Navarra;19489;2020-10
País Vasco;105332;2020-10
La Rioja;14614;2020-10
Ceuta y Melilla;4494;2020-10
Andalucía;399372;2020-11
Aragón;48313;2020-11
Principado de Asturias;39505;2020-11
Islas Baleares;32788;2020-11
Canarias;54929;2020-11
Cantabria;25367;2020-11
Castilla y León;141192;2020-11
Castilla-La Mancha;84959;2020-11
Cataluña;321449;2020-11
Comunidad Valenciana;155021;2020-11
Extremadura;53317;2020-11
Galicia;77318;2020-11
Comunidad de Madrid;223291;2020-11
Región de Murcia;52254;2020-11
Comunidad Foral de Navarra;19543;2020-11
País Vasco;105167;2020-11
La Rioja;14647;2020-11
Ceuta y Melilla;4507;2020-11
Andalucía;396745;2020-12
Aragón;47953;2020-12
Principado de Asturias;39355;2020-12
Islas Baleares;32836;2020-12
Canarias;54714;2020-12
Cantabria;25356;2020-12
Castilla y León;140933;2020-12
Castilla-La Mancha;84968;2020-12
Cataluña;321411;2020-12
Comunidad Valenciana;155768;2020-12
Extremadura;52977;2020-12
Galicia;77385;2020-12
Comunidad de Madrid;223671;2020-12
Región de Murcia;52094;2020-12
Comunidad Foral de Navarra;19700;2020-12
País Vasco;105906;2020-12
La Rioja;14687;2020-12
Ceuta y Melilla;4491;2020-12
Andalucía;395570;2021-01
Aragón;47917;2021-01
Principado de Asturias;39142;2021-01
Islas Baleares;32750;2021-01
Canarias;54237;2021-01
Cantabria;25263;2021-01
Castilla y León;140171;2021-01
Castilla-La Mancha;84395;2021-01
Cataluña;322025;2021-01
Comunidad Valenciana;154890;2021-01
Extremadura;52476;2021-01
Galicia;76903;2021-01
Comunidad de Madrid;223313;2021-01
Región de Murcia;52187;2021-01
Comunidad Foral de Navarra;19666;2021-01
País Vasco;105743;2021-01
La Rioja;14777;2021-01
Ceuta y Melilla;4437;2021-01
Andalucía;394328;2021-02
Aragón;47709;2021-02
Principado de Asturias;39022;2021-02
