ccaa;solicitudes;periodo
Región de Murcia;54819;2013-03
Comunidad Foral de Navarra;17416;2013-03
País Vasco;85088;2013-03
Ceuta y Melilla;3906;2013-03
Comunidad Valenciana;105659;2013-05
Extremadura;47359;2013-05
Galicia;84759;2013-05
Comunidad de Madrid;173003;2013-05
Región de Murcia;53774;2013-05
Comunidad Foral de Navarra;17369;2013-05
País Vasco;83441;2013-05
Ceuta y Melilla;3879;2013-05
Andalucía;105240;2013-06
Aragón;47310;2013-06
Principado de Asturias;84407;2013-06
Islas Baleares;174429;2013-06
Canarias;53506;2013-06
Cantabria;17408;2013-06
Castilla y León;83700;2013-06
Castilla-La Mancha;14472;2013-06
Cataluña;3872;2013-06
Comunidad Valenciana;105240;2013-06
Extremadura;47310;2013-06
Galicia;84407;2013-06
Comunidad de Madrid;174429;2013-06
Región de Murcia;53506;2013-06
Comunidad Foral de Navarra;17408;2013-06
País Vasco;83700;2013-06
Ceuta y Melilla;3872;2013-06
Comunidad Valenciana;104212;2013-07
Extremadura;47211;2013-07
Galicia;83669;2013-07
Comunidad de Madrid;173831;2013-07
Región de Murcia;53090;2013-07
Comunidad Foral de Navarra;17313;2013-07
País Vasco;85364;2013-07
Ceuta y Melilla;3863;2013-07
Andalucía;394017;2013-08
Aragón;45871;2013-08
Principado de Asturias;34550;2013-08
Islas Baleares;24073;2013-08
Canarias;39149;2013-08
Cantabria;23129;2013-08
Castilla y León;102633;2013-08
Castilla-La Mancha;87879;2013-08
Cataluña;279155;2013-08
Comunidad Valenciana;103450;2013-08
Extremadura;47106;2013-08
Galicia;82663;2013-08
Comunidad de Madrid;173156;2013-08
Región de Murcia;52707;2013-08
Comunidad Foral de Navarra;17271;2013-08
País Vasco;85140;2013-08
Ceuta y Melilla;3871;2013-08
Andalucía;103301;2013-09
Aragón;46981;2013-09
Principado de Asturias;82612;2013-09
Islas Baleares;173339;2013-09
Canarias;52357;2013-09
Cantabria;17356;2013-09
Castilla y León;84976;2013-09
Castilla-La Mancha;14264;2013-09
Cataluña;3879;2013-09
Comunidad Valenciana;103301;2013-09
Extremadura;46981;2013-09
Galicia;82612;2013-09
Comunidad de Madrid;173339;2013-09
Región de Murcia;52357;2013-09
Comunidad Foral de Navarra;17356;2013-09
País Vasco;84976;2013-09
Ceuta y Melilla;3879;2013-09
Andalucía;390789;2013-10
Aragón;45466;2013-10
Principado de Asturias;34433;2013-10
Islas Baleares;24094;2013-10
Canarias;39378;2013-10
Cantabria;23169;2013-10
Castilla y León;104157;2013-10
Castilla-La Mancha;87983;2013-10
Cataluña;278871;2013-10
Comunidad Valenciana;103086;2013-10
Extremadura;46957;2013-10
Galicia;82223;2013-10
Comunidad de Madrid;173303;2013-10
Región de Murcia;76314;2013-10
Comunidad Foral de Navarra;17369;2013-10
País Vasco;84944;2013-10
Ceuta y Melilla;3893;2013-10
Andalucía;392688;2013-11
Aragón;45476;2013-11
Principado de Asturias;34744;2013-11
Islas Baleares;24180;2013-11
Canarias;40338;2013-11
Cantabria;23403;2013-11
Castilla y León;105834;2013-11
Castilla-La Mancha;88529;2013-11
Cataluña;281106;2013-11
Comunidad Valenciana;103313;2013-11
Extremadura;47109;2013-11
Galicia;82432;2013-11
Comunidad de Madrid;174844;2013-11
Región de Murcia;78548;2013-11
Comunidad Foral de Navarra;17545;2013-11
País Vasco;85554;2013-11
Ceuta y Melilla;3935;2013-11
Andalucía;391027;2013-12
Aragón;45346;2013-12
Principado de Asturias;34589;2013-12
Islas Baleares;24187;2013-12
Canarias;40339;2013-12
Cantabria;23334;2013-12
Castilla y León;106553;2013-12
Castilla-La Mancha;88853;2013-12
Cataluña;280298;2013-12
Comunidad Valenciana;102936;2013-12
Extremadura;47240;2013-12
Galicia;82400;2013-12
Comunidad de Madrid;175555;2013-12
Región de Murcia;78548;2013-12
Comunidad Foral de Navarra;17528;2013-12
País Vasco;87321;2013-12
Ceuta y Melilla;3935;2013-12
Andalucía;390819;2014-01
Aragón;45346;2014-01
Principado de Asturias;34689;2014-01
Islas Baleares;24235;2014-01
Canarias;40390;2014-01
Cantabria;23241;2014-01
Castilla y León;107420;2014-01
Castilla-La Mancha;88880;2014-01
Cataluña;281626;2014-01
Comunidad Valenciana;102021;2014-01
Extremadura;47423;2014-01
Galicia;82938;2014-01
Comunidad de Madrid;176529;2014-01
Región de Murcia;78526;2014-01
Comunidad Foral de Navarra;17613;2014-01
País Vasco;87766;2014-01
Ceuta y Melilla;3937;2014-01
Andalucía;387664;2014-02
Aragón;44937;2014-02
Principado de Asturias;34346;2014-02
Islas Baleares;24258;2014-02
Canarias;40139;2014-02
Cantabria;22890;2014-02
Castilla y León;106085;2014-02
Castilla-La Mancha;88289;2014-02
Cataluña;281140;2014-02
Comunidad Valenciana;102123;2014-02
Extremadura;47242;2014-02
Galicia;81493;2014-02
Comunidad de Madrid;176628;2014-02
Región de Murcia;77740;2014-02
Comunidad Foral de Navarra;17498;2014-02
País Vasco;87708;2014-02
Ceuta y Melilla;3938;2014-02
Andalucía;384433;2014-03
Aragón;44707;2014-03
Principado de Asturias;34157;2014-03
Islas Baleares;24275;2014-03
Canarias;39982;2014-03
Cantabria;22696;2014-03
Castilla y León;107087;2014-03
Castilla-La Mancha;87616;2014-03
Cataluña;278627;2014-03
Comunidad Valenciana;101330;2014-03
Extremadura;47386;2014-03
Galicia;81049;2014-03
Comunidad de Madrid;175011;2014-03
Región de Murcia;76838;2014-03
Comunidad Foral de Navarra;17521;2014-03
País Vasco;87291;2014-03
Ceuta y Melilla;3957;2014-03
Andalucía;382694;2014-04
Aragón;44618;2014-04
Principado de Asturias;34178;2014-04
Islas Baleares;24348;2014-04
Canarias;39953;2014-04
Cantabria;22936;2014-04
Castilla y León;107490;2014-04
Castilla-La Mancha;87293;2014-04
Cataluña;277641;2014-04
Comunidad Valenciana;100656;2014-04
Extremadura;47633;2014-04
Galicia;80761;2014-04
Comunidad de Madrid;175385;2014-04
Región de Murcia;84890;2014-04
Comunidad Foral de Navarra;17330;2014-04
País Vasco;87283;2014-04
Ceuta y Melilla;3959;2014-04
Andalucía;383030;2014-05
Aragón;44620;2014-05
Principado de Asturias;34378;2014-05
Islas Baleares;24467;2014-05
Canarias;40286;2014-05
Cantabria;23194;2014-05
Castilla y León;108387;2014-05
Castilla-La Mancha;87242;2014-05
Cataluña;280186;2014-05
Comunidad Valenciana;100816;2014-05
Extremadura;48021;2014-05
Galicia;81237;2014-05
Comunidad de Madrid;176877;2014-05
Región de Murcia;84933;2014-05
Comunidad Foral de Navarra;17316;2014-05
País Vasco;87282;2014-05
Ceuta y Melilla;3971;2014-05
Andalucía;382172;2014-06
Aragón;44304;2014-06
Principado de Asturias;34069;2014-06
Islas Baleares;24504;2014-06
Canarias;40617;2014-06
Cantabria;22963;2014-06
Castilla y León;108748;2014-06
