horas;grado I;grado II;grado III;total;servicio;fecha
71 o más;2,23863890754421e-03;5,24645741543677e-03;4,73534727601343e-02;0,012417575006095949;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-01-31
Menos de 5;2,94206170052671e-03;1,86207833515812e-03;1,07273441513311e-03;0,002143639251731104;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 5 a 10;4,37178329571106e-01;1,54080988419951e-02;6,19466352400810e-03;0,186416421201980154;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 11 a 15;9,71407072987208e-02;5,38084696593116e-02;1,48520835221950e-02;0,063618277994540659;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 16 a 20;4,06493604213694e-01;1,34421277241886e-02;2,63046565738978e-02;0,177184892740928079;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 21 a 30;5,07373965387509e-02;1,87118893302112e-01;1,49548242830810e-01;0,123544561479265319;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 31 a 45;3,82242287434161e-03;6,92205643775624e-01;2,51261596107938e-02;0,273849143315392562;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 46 a 55;6,47103085026336e-04;3,32856492100153e-02;1,23999033028133e-01;0,038425119133908045;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 56 a 65;4,36418359668924e-04;8,55117518720680e-04;8,84930347807694e-02;0,018574094350970807;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
De 66 a 70;2,70880361173815e-04;5,91389685844209e-04;5,30368960203064e-01;0,108610027296701259;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
71 o más;3,31075996990218e-04;1,42253194703066e-03;3,40404315111957e-02;0,007633823234581991;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-02-28
Menos de 5;5,47062577880436e-04;0,00000000000000e+00;8,65276455827637e-05;0,000305510443633323;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 5 a 10;2,01805306507005e-02;1,12796796570977e-04;0,00000000000000e+00;0,010708945024199643;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 11 a 15;9,42771175880619e-02;5,63983982854887e-04;3,46110582331055e-04;0,050103712755864997;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
