"ccaa","periodo","genero","mort_cancer","mort_cardio","mort_diabetes","mort_epoc","mort_ictus","mort_evitable_idx","mort_evitable_idx_0_100"
"Andalucía",1990,"hombres",0.117940344099156,2.77212562417035,2.18920960972345,4.03675434842598,2.83251670906605,2.389709327097,69.1719133435827
"Andalucía",1990,"mujeres",0.00840765012652577,0.997087902963542,2.16473448402284,0.755005372016907,1.76622687090599,1.13829245600716,27.92687701732
"Andalucía",1990,"total",0.0601796980794147,1.81220025871285,2.19168583319005,2.21223911234423,2.25432259874136,1.70612550021358,46.6418992266256
"Andalucía",1991,"hombres",0.115051226376998,2.89305538210331,1.87830172117987,3.99735071260866,2.97125318267814,2.37100244498939,68.5553593799084
"Andalucía",1991,"mujeres",0.0120470093841623,1.01900515885883,2.04977195129107,0.56080733925396,1.85927042468904,1.10018037669541,26.6707535527918
"Andalucía",1991,"total",0.0605068517253281,1.88505446885476,1.98213953682471,2.10340770816517,2.36545959035158,1.67931363118431,45.7582156695036
"Andalucía",1992,"hombres",0.117263924302787,2.8226558323545,1.63928628626757,3.41503995755438,2.54471349780545,2.10779189965694,59.880289741253
"Andalucía",1992,"mujeres",0.0080961636039525,0.974146845094062,1.67494615374032,0.601328068582122,1.64417065773499,0.980537577751089,22.7274859633619
"Andalucía",1992,"total",0.0598535757467714,1.83586859775804,1.66955866620888,1.86814450959308,2.05949693969309,1.49858445779997,39.8016223921885
"Andalucía",1993,"hombres",0.104422093942972,2.83525115282092,1.64632382152472,3.78144919090606,2.62880735457924,2.19925072275478,62.8946509570665
"Andalucía",1993,"mujeres",0.0100415477175076,0.937027037968356,1.55850468633536,0.647571706398031,1.51568233434055,0.933765462551962,21.1859392294074
"Andalucía",1993,"total",0.0548590093686568,1.82063310525155,1.60660254157745,2.07202467039467,2.03032315951916,1.5168884972223,40.4048991965308
"Andalucía",1994,"hombres",0.10854213897655,2.55637303683551,1.58716471183897,3.4407800602779,2.37514193478356,2.0136003765425,56.775862365987
"Andalucía",1994,"mujeres",0.0110154626059274,0.957544350922565,1.56859161093022,0.575713561949173,1.4473300953592,0.912039016353415,20.4698644477727
"Andalucía",1994,"total",0.0573970426812619,1.70571835530322,1.58647072369415,1.88233054746684,1.8745141378024,1.42128616138958,37.2539733097301
"Andalucía",1995,"hombres",0.113716023402073,2.74751999204839,1.6357918801335,3.55379419531529,2.46791290270143,2.10374699872013,59.746975184027
"Andalucía",1995,"mujeres",0.00912948997514851,0.905832457785869,1.38255664272046,0.50282115773264,1.41068539913467,0.842205029469758,18.1682290835988
"Andalucía",1995,"total",0.0588914005474076,1.76546909322001,1.5017769855389,1.89399240026202,1.90282320945151,1.42459061780397,37.3628837999104
"Andalucía",1996,"hombres",0.0977333797010117,2.76001336677216,1.48529159749922,3.50502750883893,2.42331078774947,2.05427532811216,58.1164546928257
"Andalucía",1996,"mujeres",0.0111511092830943,0.874460014655564,1.2953984957665,0.504366920520551,1.31733494385466,0.800542296816074,16.7950808054746
"Andalucía",1996,"total",0.0520016188615607,1.75570414588641,1.39158050507499,1.87750933209051,1.83087263029304,1.3815336464413,35.943783267563
"Andalucía",1997,"hombres",0.107878920368425,2.54565909150629,1.44641002729107,3.00508313835122,2.24123531770626,1.86925329904466,52.0183745994976
"Andalucía",1997,"mujeres",0.0102267269832509,0.86984284839769,1.18424465456449,0.535504754505824,1.27261441039777,0.774486678969806,15.9363222819167
"Andalucía",1997,"total",0.0565719937679889,1.65322372086504,1.31053274342171,1.66520908762434,1.7221151027808,1.28153052969198,32.6478134925404
"Andalucía",1998,"hombres",0.102772859904352,2.63850555916925,1.73995978447672,3.4288739529908,2.13499526956978,2.00902148522218,56.6249481956546
"Andalucía",1998,"mujeres",0.0112405036040075,0.8591491727721,1.30382545668618,0.436049595159928,1.19165068340996,0.760383082326436,15.4714864871266
"Andalucía",1998,"total",0.0547267624786587,1.69358266997574,1.50622003710451,1.81007323073249,1.63148997939126,1.33921853593653,34.5491334827961
"Andalucía",1999,"hombres",2.28422229933245,2.53710550453152,1.51183062576728,3.4394077177711,2.39452726789471,2.43341868305941,70.6125156049995
"Andalucía",1999,"mujeres",0.960656184079758,0.825291672660184,1.20002397499708,0.491317087366131,1.2628757163257,0.948032927085771,21.6561758920058
"Andalucía",1999,"total",1.5764612712454,1.62589333424727,1.34725410867366,1.84421209741177,1.78968437799706,1.63670103791503,44.3537612483186
"Andalucía",2000,"hombres",2.21528508802731,2.47328947275745,1.35061661950621,2.64802656285725,2.04776604174994,2.14699675697963,61.1724297161858
"Andalucía",2000,"mujeres",0.962202011158792,0.77118958708773,1.21541215512819,0.316767820638905,1.15750600408972,0.884615515620667,19.5660223228615
"Andalucía",2000,"total",1.54542323773566,1.5696076180706,1.28118215046736,1.38417319282192,1.57250878159907,1.47057899613892,38.8785996087911
"Andalucía",2001,"hombres",2.2454970768869,2.31572482966362,1.49408698812064,2.49611814270218,2.04515292281912,2.11931599203849,60.260108504996
"Andalucía",2001,"mujeres",0.959531247629568,0.749182842359421,1.19564526661451,0.386963992348304,1.17418519506926,0.893101708804211,19.8457159678914
"Andalucía",2001,"total",1.55796345903543,1.48520296934666,1.34018143532968,1.35463806417867,1.58095400254245,1.46378798608658,38.6547769460384
"Andalucía",2002,"hombres",2.21549457927101,2.23477324673688,1.47992909873001,2.70936487816272,2.05364669007061,2.13864169859425,60.897058099761
"Andalucía",2002,"mujeres",0.950628760791492,0.700594568560663,1.08800511733769,0.348038089147946,1.15719489911338,0.848892286990234,18.388632200839
"Andalucía",2002,"total",1.5414724288853,1.42325036767522,1.27345952719719,1.43726587154713,1.57649893705668,1.45038942647231,38.2131782343886
"Andalucía",2003,"hombres",2.13896350874484,2.29504181188777,1.31811557746114,2.57924990013459,1.97592422751952,2.06145900514957,58.3532191373599
"Andalucía",2003,"mujeres",0.933773429543788,0.709672718512893,1.13753161029038,0.293963164503845,1.0787746801118,0.830743120592541,17.7904598054865
"Andalucía",2003,"total",1.49721796228083,1.45731101570068,1.22665633765692,1.34554403747646,1.49553402107312,1.4044526748376,36.6991639729108
"Andalucía",2004,"hombres",2.18389813978824,2.03761455679362,1.38032019350898,2.19035947764289,1.85237235323854,1.92891294419445,53.9846771867981
"Andalucía",2004,"mujeres",0.925786265181334,0.659935418751792,0.876529473869276,0.301329893278621,0.989611447738378,0.75063849976388,15.1503180011793
"Andalucía",2004,"total",1.51493877507161,1.31072076184021,1.11496546403521,1.17441392006092,1.39324887439784,1.30165755908116,33.3111736225453
"Andalucía",2005,"hombres",2.04038719103631,2.06649233508998,1.39785318041023,2.57220585920111,1.90499695342569,1.99638710383266,56.2085357823261
"Andalucía",2005,"mujeres",0.882985050291558,0.634557295524049,0.908681094906399,0.357206348913725,1.05968946954254,0.768623851835654,15.7430912941388
"Andalucía",2005,"total",1.42578238928572,1.31190627727348,1.14403786809447,1.38015459697457,1.45476115935951,1.34332845819755,34.6845910564231
"Andalucía",2006,"hombres",1.97490562904976,1.84630776863881,1.28268309716885,1.76863833199109,1.59834880369047,1.6941767261078,46.2480835178618
"Andalucía",2006,"mujeres",0.904568084467145,0.522490924972508,0.839595140760745,0.253034296324195,0.896285190865231,0.683194727477965,12.9274609323832
"Andalucía",2006,"total",1.40721849515605,1.14878266637275,1.05020507273676,0.954316048846788,1.22937135432979,1.15797872748843,28.5757103526628
