ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Castilla-La Mancha;2026-01-01;2868;212
Cataluña;2026-01-01;41965;14350
Comunidad Valenciana;2026-01-01;16788;10511
Extremadura;2026-01-01;3290;922
Galicia;2026-01-01;127;127
Comunidad de Madrid;2026-01-01;148;104
Región de Murcia;2026-01-01;7515;4494
Comunidad Foral de Navarra;2026-01-01;84;82
País Vasco;2026-01-01;182;139
La Rioja;2026-01-01;5;4
Ceuta y Melilla;2026-01-01;121;32
Castilla y León;2026-01-01;NA;NA
Andalucía;2026-02-01;23816;17256
Aragón;2026-02-01;4467;263
Principado de Asturias;2026-02-01;6103;5937
Islas Baleares;2026-02-01;3103;1426
Canarias;2026-02-01;3068;1404
Cantabria;2026-02-01;238;83
Castilla y León;2026-02-01;2616;10
Castilla-La Mancha;2026-02-01;3164;301
Cataluña;2026-02-01;41446;12513
Comunidad Valenciana;2026-02-01;19974;9596
Extremadura;2026-02-01;3544;888
Galicia;2026-02-01;162;162
Comunidad de Madrid;2026-02-01;153;106
Región de Murcia;2026-02-01;6653;3783
Comunidad Foral de Navarra;2026-02-01;81;79
País Vasco;2026-02-01;223;140
La Rioja;2026-02-01;4;3
Ceuta y Melilla;2026-02-01;135;32
Castilla y León;2026-02-01;NA;NA
Andalucía;2026-03-01;24846;16623
Aragón;2026-03-01;4278;243
Principado de Asturias;2026-03-01;6657;5951
Islas Baleares;2026-03-01;3067;1425
Canarias;2026-03-01;3212;1176
Cantabria;2026-03-01;349;61
Castilla y León;2026-03-01;3007;6
Castilla-La Mancha;2026-03-01;3542;427
Cataluña;2026-03-01;41479;12229
Comunidad Valenciana;2026-03-01;17652;8664
Extremadura;2026-03-01;3724;886
Galicia;2026-03-01;23;21
Comunidad de Madrid;2026-03-01;152;114
Región de Murcia;2026-03-01;6163;3439
Comunidad Foral de Navarra;2026-03-01;86;83
País Vasco;2026-03-01;363;138
La Rioja;2026-03-01;5;4
Ceuta y Melilla;2026-03-01;111;33
Castilla y León;2026-03-01;NA;NA
