ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Castilla-La Mancha;2023-09-01;4533;801
Cataluña;2023-09-01;29666;5926
Comunidad Valenciana;2023-09-01;17908;7315
Extremadura;2023-09-01;2803;574
Galicia;2023-09-01;441;438
Comunidad de Madrid;2023-09-01;251;146
Región de Murcia;2023-09-01;8778;3116
Comunidad Foral de Navarra;2023-09-01;70;66
País Vasco;2023-09-01;429;385
La Rioja;2023-09-01;55;40
Ceuta y Melilla;2023-09-01;204;36
Castilla y León;2023-09-01;NA;NA
Andalucía;2023-10-01;33831;29211
Aragón;2023-10-01;5247;1344
Principado de Asturias;2023-10-01;5709;1604
Islas Baleares;2023-10-01;3119;937
Canarias;2023-10-01;9583;8340
Cantabria;2023-10-01;762;643
Castilla y León;2023-10-01;9313;757
Castilla-La Mancha;2023-10-01;3763;551
Cataluña;2023-10-01;28063;5519
Comunidad Valenciana;2023-10-01;17950;7632
Extremadura;2023-10-01;2693;527
Galicia;2023-10-01;454;441
Comunidad de Madrid;2023-10-01;365;201
Región de Murcia;2023-10-01;9298;3450
Comunidad Foral de Navarra;2023-10-01;74;70
País Vasco;2023-10-01;438;383
La Rioja;2023-10-01;62;46
Ceuta y Melilla;2023-10-01;198;35
Castilla y León;2023-10-01;NA;NA
Andalucía;2023-11-01;27995;25801
Aragón;2023-11-01;5481;1598
Principado de Asturias;2023-11-01;5973;1966
Islas Baleares;2023-11-01;3025;1018
Canarias;2023-11-01;10225;8497
Cantabria;2023-11-01;785;689
Castilla y León;2023-11-01;9382;1237
Castilla-La Mancha;2023-11-01;2842;674
Cataluña;2023-11-01;27187;5585
Comunidad Valenciana;2023-11-01;18753;8136
Extremadura;2023-11-01;2528;518
Galicia;2023-11-01;526;503
Comunidad de Madrid;2023-11-01;146;105
Región de Murcia;2023-11-01;8728;3907
Comunidad Foral de Navarra;2023-11-01;76;73
País Vasco;2023-11-01;420;390
La Rioja;2023-11-01;60;53
Ceuta y Melilla;2023-11-01;194;37
