ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Galicia;2024-03-01;73901;6003;10675;25392;8818;6948;15268;17754;136;90994;1,23129592292391
Comunidad de Madrid;2024-03-01;179516;5348;72682;52176;17854;24657;27150;47003;82;246952;1,37565453775708
Región de Murcia;2024-03-01;41734;3839;10073;3379;4096;5158;1463;24758;3;52769;1,26441270906216
Comunidad Foral de Navarra;2024-03-01;16288;2133;3366;1106;739;2528;2813;9880;37;22602;1,38764734774067
País Vasco;2024-03-01;68248;993;24743;5783;7617;13149;1329;35167;6891;95672;1,40182862501465
La Rioja;2024-03-01;9191;1103;3647;3729;1358;1981;937;1220;0;13975;1,52050919377652
Ceuta y Melilla;2024-03-01;3489;638;752;1203;62;208;4;1792;0;4659;1,33533963886500
Andalucía;2024-04-01;286814;647;134688;155997;14739;28739;4863;83383;12;423068;1,47506049216565
Aragón;2024-04-01;40702;4092;6062;5295;1769;4109;8567;20488;0;50382;1,23782615104909
Principado de Asturias;2024-04-01;31506;7639;4121;7412;2271;3772;4674;11561;21;41471;1,31628896083286
Islas Baleares;2024-04-01;29317;4853;14609;2060;1676;2948;712;21989;0;48847;1,66616638810247
Canarias;2024-04-01;41030;1575;2444;795;5585;4766;13901;17480;0;46546;1,13443821593956
Cantabria;2024-04-01;17396;6516;3430;1460;2113;4623;156;9025;0;27323;1,57064842492527
Castilla y León;2024-04-01;124219;13532;28288;21616;8004;8419;54560;33966;2401;170786;1,37487823923876
Castilla-La Mancha;2024-04-01;72434;8978;29051;15527;3633;12272;10574;17662;20;97717;1,34904878924262
Cataluña;2024-04-01;208349;18;29656;33592;13831;37934;23580;115636;97;254344;1,22075939889320
Comunidad Valenciana;2024-04-01;152556;1526;82554;5545;9284;13957;22984;98810;616;235276;1,54222711659981
Extremadura;2024-04-01;35415;1477;6504;917;2332;5240;18922;6482;0;41874;1,18238034731046
Galicia;2024-04-01;74248;6065;11664;25385;8886;6926;15460;17875;135;92396;1,24442409223144
Comunidad de Madrid;2024-04-01;181408;5395;73992;53092;17931;24726;27490;47362;82;250070;1,37849488445934
Región de Murcia;2024-04-01;42280;3798;10671;3520;4077;5177;1465;25118;3;53829;1,27315515610218
Comunidad Foral de Navarra;2024-04-01;16304;2153;3381;1106;733;2523;2814;9907;37;22654;1,38947497546614
País Vasco;2024-04-01;68480;1021;24914;5741;7621;13180;1339;35495;6909;96220;1,40508177570093
La Rioja;2024-04-01;9221;1111;3691;3691;1367;1978;968;1217;0;14023;1,52076781260167
Ceuta y Melilla;2024-04-01;3493;627;749;1202;61;207;3;1801;0;4650;1,33123389636416
Andalucía;2024-05-01;286788;638;134504;155460;14720;29015;4949;83816;12;423114;1,47535461734801
Aragón;2024-05-01;40938;4237;6319;5398;1771;4191;8437;20673;0;51026;1,24642141775368
Principado de Asturias;2024-05-01;31581;7644;4394;7405;2245;3801;4684;11628;22;41823;1,32430891992021
Islas Baleares;2024-05-01;29759;4946;14800;2036;1695;2975;726;22216;0;49394;1,65980039651870
Canarias;2024-05-01;41709;1794;2561;976;5605;4869;14250;17854;0;47909;1,14864897264379
Cantabria;2024-05-01;17670;6615;3517;1451;2141;4693;206;9134;0;27757;1,57085455574420
Castilla y León;2024-05-01;124604;13552;27982;21330;8025;8404;54845;34340;2434;170912;1,37164135982793
Castilla-La Mancha;2024-05-01;72771;9043;29150;15584;3637;12345;10686;17865;22;98332;1,35125255939866
Cataluña;2024-05-01;211192;17;30651;33588;13857;37986;23376;118695;97;258267;1,22290143566044
Comunidad Valenciana;2024-05-01;154633;1552;86640;5664;9331;13984;23088;99407;627;240293;1,55395678800773
Extremadura;2024-05-01;35701;1540;6686;911;2358;5273;19148;6530;0;42446;1,18893028206493
Galicia;2024-05-01;74500;6069;12990;25224;8889;6960;15617;18126;136;94011;1,26189261744966
Comunidad de Madrid;2024-05-01;183203;5448;75278;53366;18075;24694;27736;48056;82;252735;1,37953526961895
Región de Murcia;2024-05-01;42782;3760;11075;3622;4082;5213;1467;25403;3;54625;1,27682202795568
Comunidad Foral de Navarra;2024-05-01;16091;2139;3345;1093;740;2506;2783;9736;38;22380;1,39083959977627
País Vasco;2024-05-01;68945;1042;25115;5720;7658;13187;1376;35792;7001;96891;1,40533758793241
La Rioja;2024-05-01;9275;1109;3726;3720;1367;1984;1002;1218;0;14126;1,52301886792453
Ceuta y Melilla;2024-05-01;3526;625;759;1229;61;207;4;1810;0;4695;1,33153715258083
Andalucía;2024-06-01;286867;631;134516;155162;14740;28955;5008;84303;12;423327;1,47569082536506
Aragón;2024-06-01;41854;4287;8226;5468;1765;4201;8825;21174;0;53946;1,28890906484446
Principado de Asturias;2024-06-01;31659;7690;4601;7362;2250;3831;4659;11731;22;42146;1,33124861808648
Islas Baleares;2024-06-01;30170;5009;14974;2034;1688;2994;722;22268;0;49689;1,64696718594630
Canarias;2024-06-01;42634;1771;2535;968;5595;4843;14870;18262;0;48844;1,14565839470845
Cantabria;2024-06-01;17715;6631;3541;1443;2146;4702;211;9180;0;27854;1,57233982500706
Castilla y León;2024-06-01;124717;13612;27870;21053;8030;8476;54927;34585;2461;171014;1,37121643400659
Castilla-La Mancha;2024-06-01;73499;9615;29596;15580;3657;12452;10809;18053;22;99784;1,35762391325052
Cataluña;2024-06-01;214625;17;31647;33573;13818;38144;23483;121980;91;262753;1,22424228305183
Comunidad Valenciana;2024-06-01;156081;1563;88309;5730;9342;13925;23531;100786;650;243836;1,56224011891262
Extremadura;2024-06-01;35934;1577;6784;930;2358;5294;19400;6538;0;42881;1,19332665442200
Galicia;2024-06-01;75358;6095;14401;25196;8973;6916;15987;18627;134;96329;1,27828498633191
Comunidad de Madrid;2024-06-01;184420;5482;76045;53433;18077;24694;28208;48543;82;254564;1,38034920290641
Región de Murcia;2024-06-01;43145;3731;11469;3782;4075;5204;1518;25608;3;55390;1,28381040676788
Comunidad Foral de Navarra;2024-06-01;16056;2162;3359;1099;747;2506;2772;9715;38;22398;1,39499252615845
País Vasco;2024-06-01;69653;1071;25497;5958;7702;13299;1354;36414;7113;98408;1,41283218238985
La Rioja;2024-06-01;9277;1108;3722;3742;1363;1974;1029;1208;0;14146;1,52484639430850
Ceuta y Melilla;2024-06-01;3579;643;771;1247;62;212;5;1833;0;4773;1,33361274098910
Andalucía;2024-07-01;287223;626;134750;155297;14743;28887;5070;84629;12;424014;1,47625364264004
Aragón;2024-07-01;42372;4262;8617;5481;1752;4152;9109;21454;0;54827;1,29394411403757
Principado de Asturias;2024-07-01;31687;7686;4803;7360;2257;3823;4664;11758;23;42374;1,33726764919368
Islas Baleares;2024-07-01;30585;4781;15486;2044;1699;2990;754;23097;0;50851;1,66261239169528
Canarias;2024-07-01;42857;1892;2579;1047;5624;4879;14848;18560;0;49429;1,15334717782393
Cantabria;2024-07-01;17828;6773;3672;1483;2243;4749;202;9109;0;28231;1,58352030513799
Castilla y León;2024-07-01;124986;13635;27757;20877;8019;8477;54938;34982;2490;171175;1,36955338997968
Castilla-La Mancha;2024-07-01;73974;9645;29836;15576;3685;12433;11006;18209;21;100411;1,35738232351907
Cataluña;2024-07-01;217728;17;32890;33737;13920;38202;23644;124792;88;267290;1,22763264256320
Comunidad Valenciana;2024-07-01;157089;1585;88682;5765;9377;13939;23755;101703;658;245464;1,56257917486266
Extremadura;2024-07-01;36097;1631;6769;935;2365;5318;19485;6607;0;43110;1,19428207330249
Galicia;2024-07-01;75568;6065;15498;24979;8934;6861;16211;18962;134;97644;1,29213423671395
Comunidad de Madrid;2024-07-01;185725;5509;77418;53689;18200;24664;27944;49207;82;256713;1,38222102571006
Región de Murcia;2024-07-01;43686;3687;11863;3795;4080;5194;1565;26120;3;56307;1,28890262326603
Comunidad Foral de Navarra;2024-07-01;16254;2175;3455;1122;748;2492;2849;9848;38;22727;1,39824043312415
País Vasco;2024-07-01;69516;1083;25558;5868;7737;13245;1335;36396;7131;98353;1,41482536394499
La Rioja;2024-07-01;9265;1106;3686;3732;1363;1989;1036;1206;0;14118;1,52379924446843
Ceuta y Melilla;2024-07-01;3640;676;782;1272;68;224;5;1844;0;4871;1,33818681318681
Andalucía;2024-08-01;288363;614;135595;156094;14738;28868;5181;85092;12;426194;1,47797741041673
Aragón;2024-08-01;42703;4248;9021;5367;1750;4094;9212;21801;0;55493;1,29951057302766
Principado de Asturias;2024-08-01;31501;7629;4914;7257;2222;3806;4696;11707;23;42254;1,34135424272245
Islas Baleares;2024-08-01;30856;4539;15868;2064;1697;2986;777;23328;0;51259;1,66123282343791
Canarias;2024-08-01;43050;2368;2837;1413;5776;5056;14817;18829;0;51096;1,18689895470383
Cantabria;2024-08-01;17880;6739;3740;1469;2255;4703;202;9183;0;28291;1,58227069351230
Castilla y León;2024-08-01;125164;13773;27803;20775;8090;8557;54522;35522;2543;171585;1,37088140359848
Castilla-La Mancha;2024-08-01;74540;9615;30280;15563;3717;12417;11075;18304;22;100993;1,35488328414274
Cataluña;2024-08-01;219746;17;33622;33759;13972;38047;23795;126818;84;270114;1,22921008801070
Comunidad Valenciana;2024-08-01;158505;1591;86761;5814;9373;13875;23706;102821;676;244617;1,54327623734267
Extremadura;2024-08-01;36248;1657;6778;938;2367;5283;19676;6659;0;43358;1,19614875303465
Galicia;2024-08-01;75850;6100;16761;24865;8981;6814;16248;19415;134;99318;1,30940013183916
Comunidad de Madrid;2024-08-01;185247;5516;77587;53790;18231;24677;27478;48940;82;256301;1,38356356648151
Región de Murcia;2024-08-01;43612;3662;11851;3774;4068;5185;1592;26096;3;56231;1,28934696872420
Comunidad Foral de Navarra;2024-08-01;16218;2185;3439;1123;764;2519;2818;9795;38;22681;1,39850783080528
País Vasco;2024-08-01;69548;1103;25544;5845;7728;13298;1341;36538;7125;98522;1,41660435957900
La Rioja;2024-08-01;9275;1105;3705;3724;1366;2007;1037;1198;0;14142;1,52474393530997
Ceuta y Melilla;2024-08-01;3640;678;781;1265;68;225;6;1847;0;4870;1,33791208791209
Andalucía;2024-09-01;287571;608;135057;155062;14732;28844;5164;85495;12;424974;1,47780548108119
Aragón;2024-09-01;43736;4250;9661;5437;1751;4036;9539;22499;0;57173;1,30722974208890
Principado de Asturias;2024-09-01;31553;7590;5106;7203;2213;3776;4787;11766;23;42464;1,34579913161981
Islas Baleares;2024-09-01;31513;4446;16172;2180;1692;3010;781;23938;0;52219;1,65706216482087
Canarias;2024-09-01;43406;2980;3169;1814;6005;5347;14920;19143;0;53378;1,22973782426393
Cantabria;2024-09-01;17895;6694;3775;1462;2264;4648;198;9249;0;28290;1,58088851634535
Castilla y León;2024-09-01;125162;14231;27863;20673;8149;9025;53756;35927;2590;172214;1,37592879628002
Castilla-La Mancha;2024-09-01;74900;9705;30394;15545;3758;12408;11216;18404;21;101451;1,35448598130841
Cataluña;2024-09-01;221659;17;34249;33780;14032;37932;23836;128849;84;272779;1,23062451784047
Comunidad Valenciana;2024-09-01;158666;1603;83314;5864;9412;13862;23858;103214;698;241825;1,52411354669557
Extremadura;2024-09-01;36487;1688;6834;938;2393;5252;19813;6785;0;43703;1,19776906843533
Galicia;2024-09-01;76008;6110;17408;24793;8998;6807;16364;19536;133;100149;1,31761130407326
Comunidad de Madrid;2024-09-01;185649;5673;77164;53704;18295;24721;27738;49650;82;257027;1,38447823581059
Región de Murcia;2024-09-01;44052;3641;12070;3804;4109;5238;1495;26385;3;56745;1,28813674748025
Comunidad Foral de Navarra;2024-09-01;16119;2184;3406;1106;767;2520;2793;9713;43;22532;1,39785346485514
País Vasco;2024-09-01;69758;1122;25597;6015;7699;13334;1364;36745;7061;98937;1,41828894177012
La Rioja;2024-09-01;9296;1137;3719;3682;1388;2003;1042;1186;0;14157;1,52291308089501
Ceuta y Melilla;2024-09-01;3641;686;783;1268;65;224;5;1847;0;4878;1,33974182916781
Andalucía;2024-10-01;288014;604;135594;155246;14760;28742;5125;86006;12;426089;1,47940377898297
Aragón;2024-10-01;44256;4345;10295;5519;1799;4031;9687;22777;0;58453;1,32079266088214
Principado de Asturias;2024-10-01;32110;7640;5544;7324;2236;3802;4913;12020;25;43504;1,35484272812208
Islas Baleares;2024-10-01;31705;4337;16466;2240;1709;2989;798;24131;0;52670;1,66125216842769
Canarias;2024-10-01;43828;3700;3558;2250;6304;5717;14979;19511;0;56019;1,27815551702108
Cantabria;2024-10-01;18009;6695;3839;1454;2271;4644;189;9356;0;28448;1,57965461713588
Castilla y León;2024-10-01;125451;14137;27887;20502;8118;8969;53942;36238;2673;172466;1,37476783764179
Castilla-La Mancha;2024-10-01;75728;9884;30817;15557;3769;12483;11412;18679;21;102622;1,35513944643989
Cataluña;2024-10-01;225116;17;35094;33920;14117;38381;24001;131635;84;277249;1,23158282840846
Comunidad Valenciana;2024-10-01;160563;1616;83307;5960;9447;13884;24175;104605;717;243711;1,51785280544086
Extremadura;2024-10-01;36744;1707;6853;950;2393;5314;19928;6876;0;44021;1,19804593947311
Galicia;2024-10-01;76563;6157;18578;24806;9032;6844;16407;19998;133;101955;1,33164844637749
Comunidad de Madrid;2024-10-01;187923;5795;77681;54528;18470;24798;28431;50340;82;260125;1,38421055432278
Región de Murcia;2024-10-01;44249;3601;12352;3850;4181;5323;1417;26386;3;57113;1,29071843431490
Comunidad Foral de Navarra;2024-10-01;16169;2223;3401;1115;778;2552;2790;9701;43;22603;1,39792194940936
País Vasco;2024-10-01;70157;1122;25824;6021;7727;13367;1373;37042;7144;99620;1,41995809398920
La Rioja;2024-10-01;9352;1152;3745;3729;1405;2012;1052;1195;0;14290;1,52801539777588
Ceuta y Melilla;2024-10-01;3664;679;783;1284;66;223;5;1852;0;4892;1,33515283842795
Andalucía;2024-11-01;291702;601;138622;159122;14782;28511;5044;86172;12;432866;1,48393223220958
Aragón;2024-11-01;44856;4501;10548;5589;1806;4130;9727;23180;0;59481;1,32604333868379
Principado de Asturias;2024-11-01;32810;7667;6158;7666;2216;3835;5012;12243;24;44821;1,36607741542213
Islas Baleares;2024-11-01;31849;4277;16553;2304;1764;3007;816;24197;0;52918;1,66152783446890
Canarias;2024-11-01;44273;4505;3948;2759;6574;5979;15091;19915;0;58771;1,32746820861473
Cantabria;2024-11-01;18285;6748;3917;1447;2292;4680;311;9451;0;28846;1,57757724911129
Castilla y León;2024-11-01;125746;14293;28035;20640;8183;9102;53696;36517;2671;173137;1,37687878739682
Castilla-La Mancha;2024-11-01;76774;10230;31237;15629;4294;12537;11738;19001;22;104688;1,36358663089067
Cataluña;2024-11-01;227099;17;35483;33809;14153;38602;24191;133389;85;279729;1,23174914904953
Comunidad Valenciana;2024-11-01;163267;1630;82784;6085;9460;13797;24933;108076;747;247512;1,51599527154906
Extremadura;2024-11-01;37195;1716;6924;941;2420;5388;20227;6968;0;44584;1,19865573329749
Galicia;2024-11-01;77075;6242;20502;24768;9091;6848;16295;20673;135;104554;1,35652286733701
Comunidad de Madrid;2024-11-01;189638;5901;79083;54744;18659;24818;28978;51114;83;263380;1,38885666374883
Región de Murcia;2024-11-01;44420;3579;12623;3892;4185;5357;1397;26386;3;57422;1,29270598829356
Comunidad Foral de Navarra;2024-11-01;16137;2262;3419;1118;803;2538;2851;9604;43;22638;1,40286298568507
País Vasco;2024-11-01;70589;1134;26126;6001;7753;13443;1363;37522;7171;100513;1,42391874088031
La Rioja;2024-11-01;9320;1149;3738;3695;1410;2022;1026;1183;0;14223;1,52607296137339
Ceuta y Melilla;2024-11-01;3690;692;791;1294;66;224;4;1859;0;4930;1,33604336043360
Andalucía;2024-12-01;296663;599;142999;163692;14823;28290;4991;86835;12;442241;1,49071842460974
Aragón;2024-12-01;45264;4504;10563;5649;1787;4113;9837;23465;0;59918;1,32374513962531
Principado de Asturias;2024-12-01;33127;7690;6525;7714;2243;3827;5051;12458;24;45532;1,37446795665167
Islas Baleares;2024-12-01;31849;4256;16606;2305;1763;3000;802;24138;0;52870;1,66002072278564
Canarias;2024-12-01;45025;5422;4381;3335;6903;6309;15351;20464;0;62165;1,38067740144364
Cantabria;2024-12-01;18175;6683;3912;1439;2294;4611;319;9396;0;28654;1,57656121045392
Castilla y León;2024-12-01;126194;14284;32771;21691;8191;9092;52187;36852;2717;177785;1,40882292343535
Castilla-La Mancha;2024-12-01;78035;10564;31893;15619;4279;12485;12015;19651;21;106527;1,36511821618505
Cataluña;2024-12-01;229333;17;36176;33811;14187;38650;24245;135641;85;282812;1,23319365289775
Comunidad Valenciana;2024-12-01;164565;1628;82468;6188;9422;13783;25305;110114;752;249660;1,51709051134810
Extremadura;2024-12-01;37168;1715;6883;939;2422;5358;20304;6927;0;44548;1,19855789926819
Galicia;2024-12-01;77196;6210;21170;24636;9033;6780;16339;21018;135;105321;1,36433234882636
Comunidad de Madrid;2024-12-01;190951;5944;81046;54375;18768;24716;29233;51712;82;265876;1,39237814936816
Región de Murcia;2024-12-01;44630;3552;12962;3861;4188;5312;1370;26724;3;57972;1,29894689670625
Comunidad Foral de Navarra;2024-12-01;16475;2286;3533;1135;831;2571;2994;9759;42;23151;1,40522003034901
País Vasco;2024-12-01;70761;1144;26175;6133;7737;13421;1390;37808;7161;100969;1,42690182445132
La Rioja;2024-12-01;9334;1156;3714;3694;1412;2006;1049;1203;0;14234;1,52496250267838
Ceuta y Melilla;2024-12-01;3679;688;784;1281;66;221;5;1865;0;4910;1,33460179396575
Andalucía;2025-01-01;297499;597;144258;165159;14805;27974;4887;86657;12;444349;1,49361510458859
Aragón;2025-01-01;45476;4539;10534;5608;1792;4093;9919;23661;0;60146;1,32258773858739
Principado de Asturias;2025-01-01;33572;7682;6931;7886;2239;3822;5126;12663;26;46375;1,38135946622185
Islas Baleares;2025-01-01;31871;4135;16836;2345;1752;2975;799;24325;0;53167;1,66819365567444
Canarias;2025-01-01;45615;6178;4746;3884;7196;6653;15554;20867;0;65078;1,42667982023457
Cantabria;2025-01-01;18175;6627;3969;1432;2299;4549;311;9457;0;28644;1,57601100412655
Castilla y León;2025-01-01;126076;14257;32927;24568;8188;9091;49099;37049;2740;177919;1,41120435292998
Castilla-La Mancha;2025-01-01;77526;10650;31628;15539;4268;12417;11890;19738;20;106150;1,36921806877693
Cataluña;2025-01-01;231314;17;36914;33837;14265;38779;23876;137934;86;285708;1,23515221733228
Comunidad Valenciana;2025-01-01;164582;1628;80642;6153;9377;13646;25186;111206;778;248616;1,51059046554301
Extremadura;2025-01-01;36678;1704;6789;926;2429;5341;19933;6857;0;43979;1,19905665521566
Galicia;2025-01-01;77734;6222;22320;24513;9041;6793;16464;21567;136;107056;1,37720945789487
Comunidad de Madrid;2025-01-01;190266;5961;81531;53640;18348;24681;28695;51394;82;264332;1,38927606613898
Región de Murcia;2025-01-01;44845;3528;13127;3914;4171;5263;1350;26994;3;58350;1,30114840004460
Comunidad Foral de Navarra;2025-01-01;16322;2265;3487;1123;816;2613;2923;9656;40;22923;1,40442347751501
País Vasco;2025-01-01;70900;1158;26417;6060;7728;13398;1389;38076;7200;101426;1,43055007052186
La Rioja;2025-01-01;9344;1156;3724;3708;1409;2023;1045;1209;0;14274;1,52761130136986
Ceuta y Melilla;2025-01-01;3693;685;786;1277;67;221;5;1880;0;4921;1,33252098564852
Andalucía;2025-02-01;298289;594;145293;166169;14934;27698;4754;86847;12;446301;1,49620334641908
Aragón;2025-02-01;45544;4560;10519;5568;1783;4078;9897;23827;0;60232;1,32250131740734
Principado de Asturias;2025-02-01;33872;7654;7319;7966;2244;3799;5180;12855;27;47044;1,38887576759565
Islas Baleares;2025-02-01;31979;3769;17059;2433;1781;2996;791;24482;0;53311;1,66706275993621
Canarias;2025-02-01;45948;1695;2462;1693;5420;4660;15728;21197;0;52855;1,15032210324715
Cantabria;2025-02-01;17860;6461;3925;1378;2214;4470;338;9353;0;28139;1,57553191489362
Castilla y León;2025-02-01;126099;14201;32684;24487;8200;9060;49319;36988;2754;177693;1,40915471177408
Castilla-La Mancha;2025-02-01;77301;10940;31563;15414;4276;12447;11814;19873;20;106347;1,37575193076416
Cataluña;2025-02-01;231545;17;36820;33438;14169;38738;23449;139092;86;285809;1,23435617266622
Comunidad Valenciana;2025-02-01;166087;1660;80223;6204;9413;13656;25253;114287;817;251513;1,51434489153275
Extremadura;2025-02-01;36179;1730;6716;930;2438;5273;19555;6787;0;43429;1,20039249288261
Galicia;2025-02-01;77397;6227;23050;24372;9033;6783;16175;21681;136;107457;1,38838714678864
Comunidad de Madrid;2025-02-01;190553;5964;80336;52738;18306;24742;29475;52268;82;263911;1,38497425913001
Región de Murcia;2025-02-01;45098;3511;13518;4066;4167;5236;1374;27087;4;58963;1,30744157168832
Comunidad Foral de Navarra;2025-02-01;16028;2230;3448;1095;804;2623;2813;9472;40;22525;1,40535313201897
País Vasco;2025-02-01;70641;1147;26248;6084;7717;13395;1398;38145;7100;101234;1,43307710819496
La Rioja;2025-02-01;9368;1142;3732;3677;1396;2021;1102;1230;0;14300;1,52647309991460
Ceuta y Melilla;2025-02-01;3702;694;782;1281;69;212;5;1885;0;4928;1,33117233927607
Andalucía;2025-03-01;299148;591;146012;166851;14978;27487;4659;87361;12;447951;1,49742268041237
Aragón;2025-03-01;45732;4616;10534;5547;1772;4100;9922;24003;0;60494;1,32279366745386
Principado de Asturias;2025-03-01;34418;7645;7820;8096;2218;3814;5327;13130;29;48079;1,39691440525307
Islas Baleares;2025-03-01;31794;3639;17051;2390;1774;2987;771;24063;0;52675;1,65675913694408
Canarias;2025-03-01;46130;1696;2497;1691;5439;4661;15826;21342;0;53152;1,15222198135703
Cantabria;2025-03-01;18114;6639;4068;1405;2240;4624;383;9436;0;28795;1,58965441095285
Castilla y León;2025-03-01;126450;14314;32686;24265;8267;9092;49512;37314;2747;178197;1,40922894424674
Castilla-La Mancha;2025-03-01;77506;11777;31714;15407;4287;12546;11783;20034;20;107568;1,38786674580033
Cataluña;2025-03-01;232521;16;36781;32975;14123;38856;23209;140614;88;286662;1,23284348510457
Comunidad Valenciana;2025-03-01;167279;1678;80866;6220;9468;13646;25467;116390;838;254573;1,52184673509526
Extremadura;2025-03-01;36400;1749;6746;908;2444;5256;19697;6897;0;43697;1,20046703296703
Galicia;2025-03-01;78066;6239;24070;24505;9043;6738;16226;22228;136;109185;1,39862424102682
Comunidad de Madrid;2025-03-01;194321;6091;85415;53080;18358;24763;29669;52795;82;270253;1,39075550249330
Región de Murcia;2025-03-01;45626;3476;13937;4089;4145;5242;1482;27493;4;59868;1,31214658308859
Comunidad Foral de Navarra;2025-03-01;15929;2208;3447;1107;796;2633;2782;9411;40;22424;1,40774687676565
País Vasco;2025-03-01;70696;1143;26157;6202;7751;13444;1384;38260;6963;101304;1,43295235939799
La Rioja;2025-03-01;9318;1145;3725;3664;1407;2018;1085;1228;0;14272;1,53165915432496
Ceuta y Melilla;2025-03-01;3725;701;792;1288;67;215;5;1891;0;4959;1,33127516778523
Andalucía;2025-04-01;299894;587;146855;167574;15007;27256;4566;87730;12;449587;1,49915303407204
Aragón;2025-04-01;46129;4702;10544;5601;1771;4142;10045;24199;0;61004;1,32246526046522
Principado de Asturias;2025-04-01;34812;7674;8251;8184;2230;3819;5437;13312;31;48938;1,40577961622429
Islas Baleares;2025-04-01;31451;3592;16863;2319;1763;2933;751;23651;0;51872;1,64929572986551
Canarias;2025-04-01;46446;1708;2490;1660;5431;4673;16091;21481;0;53534;1,15260732894114
Cantabria;2025-04-01;18099;6617;4098;1393;2217;4620;386;9474;0;28805;1,59152439361291
Castilla y León;2025-04-01;126713;14311;32794;24178;8274;9097;49544;37583;2792;178573;1,40927134548152
Castilla-La Mancha;2025-04-01;77705;12136;31866;15385;4292;12593;11858;20219;18;108367;1,39459494241040
Cataluña;2025-04-01;234486;15;37523;32983;14116;38846;23160;142707;89;289439;1,23435514273773
Comunidad Valenciana;2025-04-01;168460;1681;81051;6219;9518;13548;25814;117889;867;256587;1,52313308797341
Extremadura;2025-04-01;36564;1763;6697;891;2430;5277;19806;6961;0;43825;1,19858330598403
Galicia;2025-04-01;79688;6174;27423;23649;8905;6753;16990;24351;146;114391;1,43548589499046
Comunidad de Madrid;2025-04-01;196209;6157;86320;53863;18336;24744;30035;53995;82;273532;1,39408487887915
Región de Murcia;2025-04-01;46181;3444;14378;4028;4178;5315;1467;27993;4;60807;1,31671033541933
Comunidad Foral de Navarra;2025-04-01;15950;2228;3467;1104;789;2618;2793;9442;40;22481;1,40946708463950
País Vasco;2025-04-01;72088;1167;27403;6163;7719;13482;1366;38605;7212;103117;1,43043224947287
La Rioja;2025-04-01;9298;1136;3718;3647;1419;2033;1073;1219;0;14245;1,53204990320499
Ceuta y Melilla;2025-04-01;3726;708;805;1283;69;210;5;1893;0;4973;1,33467525496511
Andalucía;2025-05-01;301429;587;147843;168306;15223;27388;4490;88418;12;452267;1,50040971505728
Aragón;2025-05-01;46529;4735;10603;5648;1771;4140;10118;24493;0;61508;1,32192825979497
Principado de Asturias;2025-05-01;34939;7685;8533;8146;2209;3831;5527;13383;31;49345;1,41231861243882
Islas Baleares;2025-05-01;31159;3570;16698;2259;1747;2879;738;23359;0;51250;1,64478962739497
Canarias;2025-05-01;46750;1703;2483;1646;5416;4706;16272;21703;0;53929;1,15356149732620
Cantabria;2025-05-01;18068;6615;4116;1397;2230;4608;376;9460;0;28802;1,59408899712198
Castilla y León;2025-05-01;126965;14349;32924;24344;8310;9116;49189;38150;2775;179157;1,41107391800890
Castilla-La Mancha;2025-05-01;78096;12501;32136;15352;4289;12656;11990;20430;18;109372;1,40048145871748
Cataluña;2025-05-01;236273;15;38050;33028;14162;39067;23103;144343;91;291859;1,23526175229501
Comunidad Valenciana;2025-05-01;168563;1693;81012;6222;9590;13510;25803;118554;880;257264;1,52621868381555
Extremadura;2025-05-01;36837;1770;6612;886;2434;5231;20022;7096;0;44051;1,19583570866249
Galicia;2025-05-01;81675;6160;30184;23569;8822;6730;17579;26041;146;119231;1,45982246709519
Comunidad de Madrid;2025-05-01;196986;6182;86986;54381;18320;24844;29765;54545;82;275105;1,39657132994223
Región de Murcia;2025-05-01;46549;3414;14768;3966;4170;5331;1439;28402;4;61494;1,32105952866871
Comunidad Foral de Navarra;2025-05-01;17258;2381;4001;1234;810;2703;3019;10408;41;24597;1,42525205701704
País Vasco;2025-05-01;72428;1175;27927;6076;7733;13527;1341;38690;7300;103769;1,43271939029105
La Rioja;2025-05-01;9323;1139;3719;3646;1420;2031;1079;1235;0;14269;1,53051592834924
Ceuta y Melilla;2025-05-01;3733;710;810;1274;66;207;5;1908;0;4980;1,33404768282882
Andalucía;2025-06-01;302871;586;149122;169213;15275;27186;4388;89249;12;455031;1,50239210753093
Aragón;2025-06-01;47035;4809;10704;5888;1775;4177;10197;24671;0;62221;1,32286595088764
Principado de Asturias;2025-06-01;35107;7701;8774;8120;2201;3858;5628;13477;31;49790;1,41823567949412
Islas Baleares;2025-06-01;32958;3608;17773;2492;1812;3083;819;25300;0;54887;1,66536197584805
Canarias;2025-06-01;48365;1706;2496;1638;5482;4727;16982;22722;0;55753;1,15275509149178
Cantabria;2025-06-01;18033;6563;4130;1392;2228;4560;387;9476;0;28736;1,59352298563744
Castilla y León;2025-06-01;127036;14306;32994;24148;8271;9123;49239;38246;2811;179138;1,41013570956264
Castilla-La Mancha;2025-06-01;78705;12882;32561;15361;4302;12676;12081;20741;17;110621;1,40551426211804
Cataluña;2025-06-01;238250;15;38665;32975;14197;39025;23128;146503;89;294597;1,23650367261280
Comunidad Valenciana;2025-06-01;167654;1712;80369;6255;9609;13585;25674;118010;905;256119;1,52766411776635
Extremadura;2025-06-01;36975;1763;6591;905;2438;5137;20191;7159;0;44184;1,19496957403651
