ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Castilla y León;2023-04-01;116770;13061;26118;22099;7852;8450;50000;30970;2106;160656;1,37583283377580
Castilla-La Mancha;2023-04-01;68043;8419;26172;15888;3486;12180;9122;15851;24;91142;1,33947650750261
Cataluña;2023-04-01;192301;180;24747;32981;13050;38716;22342;100411;91;232518;1,20913567792159
Comunidad Valenciana;2023-04-01;140764;1301;42597;4423;8005;13792;21622;96496;351;188587;1,33973885368418
Extremadura;2023-04-01;33170;1256;3621;994;2155;4823;17829;6301;0;36979;1,11483268013265
Galicia;2023-04-01;70490;5673;9002;25996;8506;7019;12689;16476;106;85467;1,21246985387998
Comunidad de Madrid;2023-04-01;167084;4462;66311;47685;15890;23891;24882;42767;84;225972;1,35244547652678
Región de Murcia;2023-04-01;38398;4182;7891;3131;3907;4903;1213;22949;4;48180;1,25475285171103
Comunidad Foral de Navarra;2023-04-01;15398;1818;2885;999;567;2493;2520;9476;32;20790;1,35017534744772
País Vasco;2023-04-01;65806;811;22456;5622;7497;12910;1297;33899;6707;91199;1,38587666778105
La Rioja;2023-04-01;8756;1054;3168;3697;1249;1773;998;1253;0;13192;1,50662402923709
Ceuta y Melilla;2023-04-01;3221;560;743;1110;62;183;4;1655;0;4317;1,34026699782676
Andalucía;2023-05-01;272073;742;123640;147538;14261;27125;4370;77875;11;395562;1,45388186258835
Aragón;2023-05-01;38394;3416;3313;5256;1685;3984;7160;19686;0;44500;1,15903526592697
Principado de Asturias;2023-05-01;29719;7477;2561;7007;2240;3661;3967;11009;18;37940;1,27662438170867
Islas Baleares;2023-05-01;27463;4596;11727;2189;1632;2891;792;20370;0;44197;1,60932891526781
Canarias;2023-05-01;37988;1272;2279;593;5456;4722;12998;15210;0;42530;1,11956407286512
Cantabria;2023-05-01;17805;6938;3295;1507;2045;5127;194;8984;0;28090;1,57764672844707
Castilla y León;2023-05-01;117431;13149;26359;22070;7839;8443;50385;31343;2162;161750;1,37740460355443
Castilla-La Mancha;2023-05-01;68486;8411;26462;15811;3476;12194;9248;16077;23;91702;1,33898899045060
Cataluña;2023-05-01;194624;179;25212;33319;13178;38881;22758;101833;94;235454;1,20978913186452
Comunidad Valenciana;2023-05-01;142054;1321;43079;4491;7999;13907;21998;97180;381;190356;1,34002562405846
Extremadura;2023-05-01;33607;1291;4069;1005;2162;4846;18147;6322;0;37842;1,12601541345553
Galicia;2023-05-01;71475;5716;9157;25930;8571;7026;13253;16910;106;86669;1,21257782441413
Comunidad de Madrid;2023-05-01;168871;4505;67544;48464;16016;23910;24884;43194;84;228601;1,35370193816582
Región de Murcia;2023-05-01;38643;4181;8046;3169;3936;4921;1254;22957;4;48468;1,25425044639391
Comunidad Foral de Navarra;2023-05-01;15455;1848;2924;1007;580;2476;2573;9486;35;20929;1,35418958265933
País Vasco;2023-05-01;66047;854;22673;5564;7538;12916;1323;34011;6733;91612;1,38707284206701
La Rioja;2023-05-01;8872;1045;3245;3758;1238;1847;1020;1252;0;13405;1,51093327321912
Ceuta y Melilla;2023-05-01;3250;575;761;1140;64;181;4;1652;0;4377;1,34676923076923
Andalucía;2023-06-01;272883;735;124306;147945;14282;27347;4498;78063;11;397187;1,45552123071060
Aragón;2023-06-01;38821;3424;3336;5299;1688;3984;7536;19691;0;44958;1,15808454187167
Principado de Asturias;2023-06-01;29810;7517;2581;7029;2250;3677;4040;10969;18;38081;1,27745722911775
Islas Baleares;2023-06-01;27990;4725;12168;2197;1637;2930;794;20781;0;45232;1,61600571632726
Canarias;2023-06-01;38568;1299;2325;631;5528;4786;13206;15464;0;43239;1,12111076540137
Cantabria;2023-06-01;17776;6875;3314;1506;2031;5080;189;9016;0;28011;1,57577632763276
Castilla y León;2023-06-01;118073;13188;26120;22583;7824;8484;50249;31634;2145;162227;1,37395509557647
Castilla-La Mancha;2023-06-01;68992;8432;26772;15850;3478;12202;9323;16311;23;92391;1,33915526437848
Cataluña;2023-06-01;197300;177;25890;33809;13302;38982;23289;103422;98;238969;1,21119614799797
Comunidad Valenciana;2023-06-01;142536;1317;44676;4550;7985;13899;21968;97583;393;192371;1,34963097042151
Extremadura;2023-06-01;34378;1304;4381;997;2177;4950;18439;6334;0;38582;1,12228750945372
Galicia;2023-06-01;72272;5786;9229;25978;8608;7042;13764;17094;127;87628;1,21247509408900
Comunidad de Madrid;2023-06-01;171082;4531;68673;49184;16520;24072;25723;43623;84;232410;1,35847137629908
Región de Murcia;2023-06-01;39144;4190;8185;3263;3969;4945;1294;23276;3;49125;1,25498160637646
Comunidad Foral de Navarra;2023-06-01;15541;1897;2964;1013;585;2471;2609;9540;35;21114;1,35859983270060
País Vasco;2023-06-01;66391;869;22976;5670;7515;13013;1347;34096;6800;92286;1,39003780632917
La Rioja;2023-06-01;8945;1063;3288;3799;1259;1888;1036;1257;0;13590;1,51928451648966
Ceuta y Melilla;2023-06-01;3280;588;761;1149;67;188;3;1664;0;4420;1,34756097560976
Andalucía;2023-07-01;275501;725;126328;149207;14306;27423;4664;78633;11;401297;1,45660814298315
Aragón;2023-07-01;39213;3428;3372;5335;1693;3942;7841;19779;0;45390;1,15752429041389
Principado de Asturias;2023-07-01;29908;7558;2606;7038;2255;3695;4112;10956;18;38238;1,27852079711114
Islas Baleares;2023-07-01;27809;4715;12135;2165;1628;2909;792;20640;0;44984;1,61760581106836
Canarias;2023-07-01;38957;1331;2336;644;5571;4811;13361;15614;0;43668;1,12092820289037
Cantabria;2023-07-01;17653;6773;3321;1498;2022;4986;184;9004;0;27788;1,57412337846258
Castilla y León;2023-07-01;118742;13218;26634;22536;7839;8500;50792;31880;2169;163568;1,37750753734988
Castilla-La Mancha;2023-07-01;69483;8444;27016;15861;3496;12226;9587;16363;21;93014;1,33865837686916
Cataluña;2023-07-01;198202;176;26029;33825;13400;38934;23565;104074;100;240103;1,21140553576654
Comunidad Valenciana;2023-07-01;139356;1362;45400;4788;8891;13936;21065;95201;434;191077;1,37114297195672
Extremadura;2023-07-01;34481;1301;4763;1000;2191;4938;18509;6348;0;39050;1,13250775789565
