ccaa;fecha;pendientes_pia_total
Comunidad Foral de Navarra;2023-09-01;698
País Vasco;2023-09-01;14522
La Rioja;2023-09-01;1600
Ceuta y Melilla;2023-09-01;380
Andalucía;2023-10-01;41604
Aragón;2023-10-01;291
Principado de Asturias;2023-10-01;2005
Islas Baleares;2023-10-01;3972
Canarias;2023-10-01;5791
Cantabria;2023-10-01;1369
Castilla y León;2023-10-01;152
Castilla-La Mancha;2023-10-01;4200
Cataluña;2023-10-01;72010
Comunidad Valenciana;2023-10-01;14894
Extremadura;2023-10-01;5811
Galicia;2023-10-01;1961
Comunidad de Madrid;2023-10-01;11586
Región de Murcia;2023-10-01;6655
Comunidad Foral de Navarra;2023-10-01;679
País Vasco;2023-10-01;14608
La Rioja;2023-10-01;1617
Ceuta y Melilla;2023-10-01;341
Andalucía;2023-11-01;42574
Aragón;2023-11-01;244
Principado de Asturias;2023-11-01;1559
Islas Baleares;2023-11-01;4080
Canarias;2023-11-01;5747
Cantabria;2023-11-01;1461
Castilla y León;2023-11-01;175
Castilla-La Mancha;2023-11-01;3513
Cataluña;2023-11-01;45789
Comunidad Valenciana;2023-11-01;16222
Extremadura;2023-11-01;5672
Galicia;2023-11-01;1839
Comunidad de Madrid;2023-11-01;9262
Región de Murcia;2023-11-01;7049
Comunidad Foral de Navarra;2023-11-01;668
País Vasco;2023-11-01;14788
La Rioja;2023-11-01;1450
Ceuta y Melilla;2023-11-01;319
Andalucía;2023-12-01;35558
Aragón;2023-12-01;186
Principado de Asturias;2023-12-01;1346
Islas Baleares;2023-12-01;4117
Canarias;2023-12-01;5826
Cantabria;2023-12-01;1583
Castilla y León;2023-12-01;157
Castilla-La Mancha;2023-12-01;2478
Cataluña;2023-12-01;48470
Comunidad Valenciana;2023-12-01;15501
Extremadura;2023-12-01;5753
Galicia;2023-12-01;1893
Comunidad de Madrid;2023-12-01;8062
Región de Murcia;2023-12-01;7096
Comunidad Foral de Navarra;2023-12-01;659
País Vasco;2023-12-01;14769
La Rioja;2023-12-01;1466
Ceuta y Melilla;2023-12-01;321
Andalucía;2024-01-01;32315
Aragón;2024-01-01;191
Principado de Asturias;2024-01-01;1168
Islas Baleares;2024-01-01;4154
Canarias;2024-01-01;5879
Cantabria;2024-01-01;1529
Castilla y León;2024-01-01;189
Castilla-La Mancha;2024-01-01;3427
Cataluña;2024-01-01;47109
Comunidad Valenciana;2024-01-01;18104
Extremadura;2024-01-01;5778
Galicia;2024-01-01;1659
Comunidad de Madrid;2024-01-01;12765
Región de Murcia;2024-01-01;6784
Comunidad Foral de Navarra;2024-01-01;655
País Vasco;2024-01-01;14628
La Rioja;2024-01-01;1543
Ceuta y Melilla;2024-01-01;321
Andalucía;2024-02-01;29283
Aragón;2024-02-01;128
Principado de Asturias;2024-02-01;908
Islas Baleares;2024-02-01;4274
Canarias;2024-02-01;5871
Cantabria;2024-02-01;1601
Castilla y León;2024-02-01;169
Castilla-La Mancha;2024-02-01;3236
Cataluña;2024-02-01;47622
Comunidad Valenciana;2024-02-01;14471
Extremadura;2024-02-01;6183
Galicia;2024-02-01;1717
Comunidad de Madrid;2024-02-01;14615
Región de Murcia;2024-02-01;6280
Comunidad Foral de Navarra;2024-02-01;624
País Vasco;2024-02-01;14571
La Rioja;2024-02-01;1592
Ceuta y Melilla;2024-02-01;360
Andalucía;2024-03-01;26786
Aragón;2024-03-01;117
Principado de Asturias;2024-03-01;712
Islas Baleares;2024-03-01;4500
Canarias;2024-03-01;7079
Cantabria;2024-03-01;1813
Castilla y León;2024-03-01;166
Castilla-La Mancha;2024-03-01;3846
Cataluña;2024-03-01;48030
Comunidad Valenciana;2024-03-01;13160
Extremadura;2024-03-01;6443
Galicia;2024-03-01;1577
Comunidad de Madrid;2024-03-01;13587
Región de Murcia;2024-03-01;6042
Comunidad Foral de Navarra;2024-03-01;612
País Vasco;2024-03-01;14517
La Rioja;2024-03-01;1284
Ceuta y Melilla;2024-03-01;350
Andalucía;2024-04-01;24659
Aragón;2024-04-01;105
Principado de Asturias;2024-04-01;719
Islas Baleares;2024-04-01;4894
Canarias;2024-04-01;6561
Cantabria;2024-04-01;1260
Castilla y León;2024-04-01;161
Castilla-La Mancha;2024-04-01;3949
Cataluña;2024-04-01;46508
Comunidad Valenciana;2024-04-01;12457
Extremadura;2024-04-01;5517
Galicia;2024-04-01;1610
Comunidad de Madrid;2024-04-01;13327
Región de Murcia;2024-04-01;6063
Comunidad Foral de Navarra;2024-04-01;594
País Vasco;2024-04-01;14488
La Rioja;2024-04-01;1358
Ceuta y Melilla;2024-04-01;353
Andalucía;2024-05-01;22581
Aragón;2024-05-01;114
Principado de Asturias;2024-05-01;639
Islas Baleares;2024-05-01;4748
Canarias;2024-05-01;6449
Cantabria;2024-05-01;624
Castilla y León;2024-05-01;141
Castilla-La Mancha;2024-05-01;4070
Cataluña;2024-05-01;44869
Comunidad Valenciana;2024-05-01;11798
Extremadura;2024-05-01;4829
Galicia;2024-05-01;1448
Comunidad de Madrid;2024-05-01;12386
Región de Murcia;2024-05-01;6182
Comunidad Foral de Navarra;2024-05-01;588
País Vasco;2024-05-01;14493
La Rioja;2024-05-01;1407
Ceuta y Melilla;2024-05-01;358
Andalucía;2024-06-01;20960
Aragón;2024-06-01;100
Principado de Asturias;2024-06-01;637
Islas Baleares;2024-06-01;4536
Canarias;2024-06-01;6033
Cantabria;2024-06-01;649
Castilla y León;2024-06-01;158
Castilla-La Mancha;2024-06-01;4157
Cataluña;2024-06-01;44260
Comunidad Valenciana;2024-06-01;11449
Extremadura;2024-06-01;4798
Galicia;2024-06-01;1415
Comunidad de Madrid;2024-06-01;13045
Región de Murcia;2024-06-01;6458
Comunidad Foral de Navarra;2024-06-01;576
País Vasco;2024-06-01;14372
La Rioja;2024-06-01;1456
Ceuta y Melilla;2024-06-01;341
Andalucía;2024-07-01;19009
Aragón;2024-07-01;78
Principado de Asturias;2024-07-01;526
Islas Baleares;2024-07-01;4458
Canarias;2024-07-01;6457
Cantabria;2024-07-01;770
Castilla y León;2024-07-01;148
Castilla-La Mancha;2024-07-01;4551
Cataluña;2024-07-01;42790
Comunidad Valenciana;2024-07-01;10606
Extremadura;2024-07-01;4620
Galicia;2024-07-01;1421
Comunidad de Madrid;2024-07-01;12361
Región de Murcia;2024-07-01;6240
Comunidad Foral de Navarra;2024-07-01;580
País Vasco;2024-07-01;14307
La Rioja;2024-07-01;1431
Ceuta y Melilla;2024-07-01;290
Andalucía;2024-08-01;25079
Aragón;2024-08-01;94
Principado de Asturias;2024-08-01;529
Islas Baleares;2024-08-01;4258
Canarias;2024-08-01;6555
Cantabria;2024-08-01;824
Castilla y León;2024-08-01;130
Castilla-La Mancha;2024-08-01;3916
Cataluña;2024-08-01;41485
Comunidad Valenciana;2024-08-01;9918
Extremadura;2024-08-01;4523
Galicia;2024-08-01;1377
Comunidad de Madrid;2024-08-01;13162
Región de Murcia;2024-08-01;6047
Comunidad Foral de Navarra;2024-08-01;577
País Vasco;2024-08-01;14326
La Rioja;2024-08-01;1414
Ceuta y Melilla;2024-08-01;297
Andalucía;2024-09-01;23520
Aragón;2024-09-01;76
Principado de Asturias;2024-09-01;618
Islas Baleares;2024-09-01;3754
Canarias;2024-09-01;6497
Cantabria;2024-09-01;826
Castilla y León;2024-09-01;138
Castilla-La Mancha;2024-09-01;3833
Cataluña;2024-09-01;39915
Comunidad Valenciana;2024-09-01;10095
Extremadura;2024-09-01;4334
Galicia;2024-09-01;1401
Comunidad de Madrid;2024-09-01;13314
Región de Murcia;2024-09-01;6179
Comunidad Foral de Navarra;2024-09-01;555
País Vasco;2024-09-01;14478
La Rioja;2024-09-01;1339
Ceuta y Melilla;2024-09-01;298
Andalucía;2024-10-01;21298
Aragón;2024-10-01;84
Principado de Asturias;2024-10-01;679
Islas Baleares;2024-10-01;3764
Canarias;2024-10-01;7319
Cantabria;2024-10-01;918
Castilla y León;2024-10-01;164
Castilla-La Mancha;2024-10-01;3647
Cataluña;2024-10-01;39287
Comunidad Valenciana;2024-10-01;9655
Extremadura;2024-10-01;4435
Galicia;2024-10-01;1421
Comunidad de Madrid;2024-10-01;13479
Región de Murcia;2024-10-01;6430
Comunidad Foral de Navarra;2024-10-01;403
País Vasco;2024-10-01;14534
La Rioja;2024-10-01;1211
Ceuta y Melilla;2024-10-01;291
Andalucía;2024-11-01;18913
Aragón;2024-11-01;83
Principado de Asturias;2024-11-01;551
Islas Baleares;2024-11-01;3704
Canarias;2024-11-01;7554
Cantabria;2024-11-01;316
Castilla y León;2024-11-01;172
Castilla-La Mancha;2024-11-01;2900
Cataluña;2024-11-01;39714
Comunidad Valenciana;2024-11-01;8282
Extremadura;2024-11-01;4013
Galicia;2024-11-01;1265
Comunidad de Madrid;2024-11-01;13056
Región de Murcia;2024-11-01;6991
Comunidad Foral de Navarra;2024-11-01;381
País Vasco;2024-11-01;14538
La Rioja;2024-11-01;1219
Ceuta y Melilla;2024-11-01;294
Andalucía;2024-12-01;17192
Aragón;2024-12-01;86
Principado de Asturias;2024-12-01;445
Islas Baleares;2024-12-01;3750
Canarias;2024-12-01;7478
Cantabria;2024-12-01;376
Castilla y León;2024-12-01;151
Castilla-La Mancha;2024-12-01;2010
Cataluña;2024-12-01;39755
Comunidad Valenciana;2024-12-01;7989
Extremadura;2024-12-01;3823
Galicia;2024-12-01;1256
Comunidad de Madrid;2024-12-01;10859
Región de Murcia;2024-12-01;6987
Comunidad Foral de Navarra;2024-12-01;458
País Vasco;2024-12-01;14321
La Rioja;2024-12-01;1072
Ceuta y Melilla;2024-12-01;325
Andalucía;2025-01-01;16773
Aragón;2025-01-01;90
Principado de Asturias;2025-01-01;452
Islas Baleares;2025-01-01;3569
Canarias;2025-01-01;7796
Cantabria;2025-01-01;361
Castilla y León;2025-01-01;180
Castilla-La Mancha;2025-01-01;2364
Cataluña;2025-01-01;38072
Comunidad Valenciana;2025-01-01;8366
Extremadura;2025-01-01;4546
Galicia;2025-01-01;1235
Comunidad de Madrid;2025-01-01;15458
Región de Murcia;2025-01-01;7119
Comunidad Foral de Navarra;2025-01-01;453
País Vasco;2025-01-01;14324
La Rioja;2025-01-01;1112
Ceuta y Melilla;2025-01-01;315
Andalucía;2025-02-01;16508
Aragón;2025-02-01;104
Principado de Asturias;2025-02-01;431
Islas Baleares;2025-02-01;3652
Canarias;2025-02-01;10759
Cantabria;2025-02-01;197
Castilla y León;2025-02-01;152
Castilla-La Mancha;2025-02-01;2990
Cataluña;2025-02-01;39332
Comunidad Valenciana;2025-02-01;9267
Extremadura;2025-02-01;5268
Galicia;2025-02-01;1214
Comunidad de Madrid;2025-02-01;16081
Región de Murcia;2025-02-01;6881
Comunidad Foral de Navarra;2025-02-01;451
País Vasco;2025-02-01;14511
La Rioja;2025-02-01;1117
Ceuta y Melilla;2025-02-01;324
Andalucía;2025-03-01;15856
Aragón;2025-03-01;102
Principado de Asturias;2025-03-01;437
Islas Baleares;2025-03-01;3686
Canarias;2025-03-01;11799
Cantabria;2025-03-01;205
Castilla y León;2025-03-01;158
Castilla-La Mancha;2025-03-01;3360
Cataluña;2025-03-01;40652
Comunidad Valenciana;2025-03-01;8781
Extremadura;2025-03-01;5222
Galicia;2025-03-01;1190
Comunidad de Madrid;2025-03-01;14897
Región de Murcia;2025-03-01;6634
Comunidad Foral de Navarra;2025-03-01;430
País Vasco;2025-03-01;14630
La Rioja;2025-03-01;1163
Ceuta y Melilla;2025-03-01;343
Andalucía;2025-04-01;15901
Aragón;2025-04-01;123
Principado de Asturias;2025-04-01;437
Islas Baleares;2025-04-01;3637
Canarias;2025-04-01;12893
Cantabria;2025-04-01;214
Castilla y León;2025-04-01;160
Castilla-La Mancha;2025-04-01;3847
Cataluña;2025-04-01;39591
Comunidad Valenciana;2025-04-01;7323
Extremadura;2025-04-01;4982
Galicia;2025-04-01;1240
Comunidad de Madrid;2025-04-01;14191
Región de Murcia;2025-04-01;6286
Comunidad Foral de Navarra;2025-04-01;429
País Vasco;2025-04-01;13929
La Rioja;2025-04-01;1159
Ceuta y Melilla;2025-04-01;387
Andalucía;2025-05-01;15969
Aragón;2025-05-01;108
Principado de Asturias;2025-05-01;379
Islas Baleares;2025-05-01;3585
Canarias;2025-05-01;13922
Cantabria;2025-05-01;360
Castilla y León;2025-05-01;160
Castilla-La Mancha;2025-05-01;3929
Cataluña;2025-05-01;40105
Comunidad Valenciana;2025-05-01;5698
Extremadura;2025-05-01;4688
Galicia;2025-05-01;1204
Comunidad de Madrid;2025-05-01;14136
Región de Murcia;2025-05-01;6001
Comunidad Foral de Navarra;2025-05-01;374
País Vasco;2025-05-01;13751
La Rioja;2025-05-01;1097
Ceuta y Melilla;2025-05-01;392
Andalucía;2025-06-01;15081
Aragón;2025-06-01;103
Principado de Asturias;2025-06-01;348
Islas Baleares;2025-06-01;3330
Canarias;2025-06-01;13350
Cantabria;2025-06-01;478
Castilla y León;2025-06-01;158
Castilla-La Mancha;2025-06-01;3639
Cataluña;2025-06-01;40354
Comunidad Valenciana;2025-06-01;5240
Extremadura;2025-06-01;4669
Galicia;2025-06-01;1183
Comunidad de Madrid;2025-06-01;14288
Región de Murcia;2025-06-01;5880
Comunidad Foral de Navarra;2025-06-01;371
País Vasco;2025-06-01;13886
La Rioja;2025-06-01;1116
Ceuta y Melilla;2025-06-01;383
Andalucía;2025-07-01;14155
Aragón;2025-07-01;119
Principado de Asturias;2025-07-01;327
Islas Baleares;2025-07-01;3388
Canarias;2025-07-01;11346
Cantabria;2025-07-01;195
Castilla y León;2025-07-01;153
Castilla-La Mancha;2025-07-01;4033
Cataluña;2025-07-01;38790
Comunidad Valenciana;2025-07-01;8635
Extremadura;2025-07-01;4208
Galicia;2025-07-01;1138
Comunidad de Madrid;2025-07-01;13623
Región de Murcia;2025-07-01;6028
