ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Comunidad de Madrid;2025-05-01;212,30;68,18;330,39
Región de Murcia;2025-05-01;328,58;248,20;555,33
Comunidad Foral de Navarra;2025-05-01;131,61;72,32;201,74
País Vasco;2025-05-01;72,39;56,35;129,01
La Rioja;2025-05-01;61,35;175,41;223,35
Castilla y León;2025-05-01;NA;NA;NA
Andalucía;2025-06-01;483,26;118,51;574,23
Aragón;2025-06-01;133,79;27,43;162,75
Principado de Asturias;2025-06-01;309,04;4,66;336,23
Islas Baleares;2025-06-01;127,08;106,88;231,57
Canarias;2025-06-01;356,85;140,78;520,80
Cantabria;2025-06-01;160,52;52,18;209,61
Castilla y León;2025-06-01;109,56;0,12;113,19
Castilla-La Mancha;2025-06-01;109,13;61,34;176,23
Cataluña;2025-06-01;195,46;82,04;269,45
Comunidad Valenciana;2025-06-01;261,77;63,40;311,88
Extremadura;2025-06-01;133,61;131,14;260,46
Galicia;2025-06-01;171,99;161,98;361,07
Comunidad de Madrid;2025-06-01;218,20;69,75;336,29
Región de Murcia;2025-06-01;333,25;250,42;564,23
Comunidad Foral de Navarra;2025-06-01;132,51;72,51;202,12
País Vasco;2025-06-01;73,64;55,71;129,33
La Rioja;2025-06-01;64,03;174,26;222,39
Castilla y León;2025-06-01;NA;NA;NA
Andalucía;2025-07-01;485,71;106,36;569,81
Aragón;2025-07-01;132,31;24,93;158,17
Principado de Asturias;2025-07-01;313,98;4,32;334,04
Islas Baleares;2025-07-01;127,10;102,69;227,18
Canarias;2025-07-01;351,34;138,21;513,20
Cantabria;2025-07-01;159,24;54,00;211,94
Castilla y León;2025-07-01;109,22;0,13;112,69
Castilla-La Mancha;2025-07-01;106,84;61,15;174,24
Cataluña;2025-07-01;197,51;77,77;269,62
Comunidad Valenciana;2025-07-01;260,40;48,71;303,94
Extremadura;2025-07-01;135,84;127,78;258,30
Galicia;2025-07-01;170,76;162,50;358,48
Comunidad de Madrid;2025-07-01;220,45;69,01;342,50
Región de Murcia;2025-07-01;338,23;248,33;564,66
Comunidad Foral de Navarra;2025-07-01;132,33;72,96;202,90
País Vasco;2025-07-01;74,55;55,05;129,94
La Rioja;2025-07-01;66,97;175,61;225,29
Castilla y León;2025-07-01;NA;NA;NA
Andalucía;2025-08-01;489,81;90,88;565,08
Aragón;2025-08-01;131,13;23,35;154,94
Principado de Asturias;2025-08-01;314,40;2,80;331,71
Islas Baleares;2025-08-01;126,61;101,00;225,26
Canarias;2025-08-01;345,27;132,81;500,32
Cantabria;2025-08-01;158,05;54,49;210,96
Castilla y León;2025-08-01;109,60;0,15;113,28
Castilla-La Mancha;2025-08-01;106,35;61,26;172,39
Cataluña;2025-08-01;199,35;76,70;274,08
Comunidad Valenciana;2025-08-01;261,93;45,95;303,71
Extremadura;2025-08-01;137,06;127,02;259,57
Galicia;2025-08-01;164,80;160,36;349,56
Comunidad de Madrid;2025-08-01;221,31;68,80;344,40
Región de Murcia;2025-08-01;340,70;244,84;562,48
Comunidad Foral de Navarra;2025-08-01;131,49;71,95;201,89
País Vasco;2025-08-01;75,53;54,45;130,49
La Rioja;2025-08-01;69,62;169,34;220,39
Castilla y León;2025-08-01;NA;NA;NA
Andalucía;2025-09-01;496,36;80,16;559,37
Aragón;2025-09-01;128,02;22,64;151,69
Principado de Asturias;2025-09-01;310,22;2,34;325,82
Islas Baleares;2025-09-01;125,18;98,02;222,73
Canarias;2025-09-01;334,61;127,75;478,46
Cantabria;2025-09-01;158,14;53,07;210,63
Castilla y León;2025-09-01;109,18;0,14;113,10
Castilla-La Mancha;2025-09-01;106,12;59,74;169,03
Cataluña;2025-09-01;201,43;74,95;275,39
Comunidad Valenciana;2025-09-01;262,64;44,09;304,83
Extremadura;2025-09-01;139,41;123,86;256,80
Galicia;2025-09-01;169,60;158,40;348,57
Comunidad de Madrid;2025-09-01;222,05;67,10;345,89
Región de Murcia;2025-09-01;344,87;243,07;562,90
Comunidad Foral de Navarra;2025-09-01;130,06;71,11;200,34
País Vasco;2025-09-01;76,64;53,09;130,40
La Rioja;2025-09-01;72,16;160,66;212,92
Castilla y León;2025-09-01;NA;NA;NA
Andalucía;2025-10-01;484,91;57,81;534,14
Aragón;2025-10-01;124,45;22,08;148,56
Principado de Asturias;2025-10-01;308,31;1,86;321,18
Islas Baleares;2025-10-01;122,81;96,13;220,73
Canarias;2025-10-01;325,28;118,60;456,07
Cantabria;2025-10-01;156,42;57,96;212,94
Castilla y León;2025-10-01;109,27;0,14;113,20
Castilla-La Mancha;2025-10-01;108,74;58,93;166,79
Cataluña;2025-10-01;204,87;76,15;277,05
Comunidad Valenciana;2025-10-01;262,42;42,46;303,36
Extremadura;2025-10-01;144,16;122,61;257,10
Galicia;2025-10-01;164,75;158,39;339,88
Comunidad de Madrid;2025-10-01;220,85;66,97;346,38
Región de Murcia;2025-10-01;340,21;241,58;563,16
Comunidad Foral de Navarra;2025-10-01;128,99;72,50;201,33
País Vasco;2025-10-01;76,55;52,23;129,54
La Rioja;2025-10-01;76,60;152,82;207,41
Canarias;2025-10-01;NA;NA;NA
Andalucía;2025-11-01;470,73;43,48;512,13
Aragón;2025-11-01;119,88;22,76;145,47
Principado de Asturias;2025-11-01;308,12;5,80;323,43
Islas Baleares;2025-11-01;120,19;93,83;217,07
Canarias;2025-11-01;311,79;113,81;439,23
Cantabria;2025-11-01;149,59;58,15;203,34
Castilla y León;2025-11-01;109,08;0,13;113,53
Castilla-La Mancha;2025-11-01;107,23;57,46;165,88
Cataluña;2025-11-01;207,82;74,58;277,56
Comunidad Valenciana;2025-11-01;262,10;41,33;301,79
Extremadura;2025-11-01;147,74;120,94;258,16
Galicia;2025-11-01;160,92;156,00;329,40
Comunidad de Madrid;2025-11-01;222,49;64,66;346,37
Región de Murcia;2025-11-01;336,81;240,08;564,53
Comunidad Foral de Navarra;2025-11-01;130,50;73,58;201,20
País Vasco;2025-11-01;77,57;50,36;128,51
La Rioja;2025-11-01;79,20;135,45;193,21
Canarias;2025-11-01;NA;NA;NA
Andalucía;2025-12-01;443,09;38,60;495,79
Aragón;2025-12-01;115,74;22,53;140,59
Principado de Asturias;2025-12-01;305,44;11,14;326,85
Islas Baleares;2025-12-01;118,19;93,46;215,45
Canarias;2025-12-01;301,02;110,84;430,49
Cantabria;2025-12-01;148,21;58,90;202,76
Castilla y León;2025-12-01;108,39;0,12;112,74
Castilla-La Mancha;2025-12-01;107,27;56,94;164,53
Cataluña;2025-12-01;208,35;73,12;275,73
Comunidad Valenciana;2025-12-01;259,85;40,38;299,53
Extremadura;2025-12-01;147,85;119,87;258,61
Galicia;2025-12-01;165,66;154,17;323,84
Comunidad de Madrid;2025-12-01;223,26;63,12;347,72
Región de Murcia;2025-12-01;335,62;230,10;558,78
Comunidad Foral de Navarra;2025-12-01;130,58;73,50;200,80
País Vasco;2025-12-01;78,31;50,49;129,14
La Rioja;2025-12-01;78,73;112,56;174,19
Canarias;2025-12-01;NA;NA;NA
Andalucía;2026-01-01;437,75;36,58;488,29
Aragón;2026-01-01;111,04;22,56;136,19
Principado de Asturias;2026-01-01;307,89;20,00;337,33
Islas Baleares;2026-01-01;115,80;91,46;211,33
Canarias;2026-01-01;276,97;104,47;410,84
Cantabria;2026-01-01;147,71;38,02;182,39
Castilla y León;2026-01-01;108,71;0,12;112,40
Castilla-La Mancha;2026-01-01;109,41;57,22;164,52
Cataluña;2026-01-01;207,07;72,31;272,24
Comunidad Valenciana;2026-01-01;257,56;39,78;297,21
Extremadura;2026-01-01;149,05;119,49;258,60
Galicia;2026-01-01;167,38;153,68;322,35
Comunidad de Madrid;2026-01-01;225,35;61,58;347,50
Región de Murcia;2026-01-01;334,56;227,16;556,78
Comunidad Foral de Navarra;2026-01-01;130,90;72,53;199,66
País Vasco;2026-01-01;78,48;51,36;130,43
La Rioja;2026-01-01;78,98;104,36;167,23
Canarias;2026-01-01;NA;NA;NA
Andalucía;2026-02-01;430,37;32,41;476,75
Aragón;2026-02-01;106,54;24,12;134,17
Principado de Asturias;2026-02-01;307,62;39,23;354,67
Islas Baleares;2026-02-01;113,13;90,91;208,27
Canarias;2026-02-01;245,24;100,05;391,42
Cantabria;2026-02-01;147,54;39,83;183,21
Castilla y León;2026-02-01;109,69;0,13;113,62
Castilla-La Mancha;2026-02-01;109,37;57,18;165,71
Cataluña;2026-02-01;208,37;68,61;265,90
Comunidad Valenciana;2026-02-01;257,84;39,01;296,54
Extremadura;2026-02-01;150,73;120,36;259,73
Galicia;2026-02-01;169,42;152,25;316,91
Comunidad de Madrid;2026-02-01;228,17;59,32;349,20
Región de Murcia;2026-02-01;329,76;221,07;553,61
Comunidad Foral de Navarra;2026-02-01;132,18;73,23;201,66
País Vasco;2026-02-01;79,75;49,09;130,18
La Rioja;2026-02-01;76,87;91,68;156,51
Canarias;2026-02-01;NA;NA;NA
Andalucía;2026-03-01;416,33;28,84;464,47
Aragón;2026-03-01;101,13;24,66;129,38
Principado de Asturias;2026-03-01;307,57;61,77;375,03
Islas Baleares;2026-03-01;110,12;91,34;205,75
Canarias;2026-03-01;226,26;96,37;374,48
Cantabria;2026-03-01;133,27;39,77;174,24
Castilla y León;2026-03-01;112,22;0,13;115,90
Castilla-La Mancha;2026-03-01;107,68;56,70;166,42
Cataluña;2026-03-01;209,92;65,96;266,27
Comunidad Valenciana;2026-03-01;256,73;39,09;296,70
Extremadura;2026-03-01;153,26;114,28;260,97
Galicia;2026-03-01;180,87;150,09;316,12
Comunidad de Madrid;2026-03-01;226,08;57,36;349,46
Región de Murcia;2026-03-01;326,81;217,05;553,06
Comunidad Foral de Navarra;2026-03-01;132,78;75,37;204,48
País Vasco;2026-03-01;80,33;48,22;130,50
La Rioja;2026-03-01;76,40;89,11;153,88
Canarias;2026-03-01;NA;NA;NA
