ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Comunidad Foral de Navarra;2023-06-01;97,47;93,18;176,39
País Vasco;2023-06-01;90,83;53,54;148,42
La Rioja;2023-06-01;50,70;180,97;228,02
Castilla y León;2023-06-01;NA;NA;NA
Andalucía;2023-07-01;347,73;191,80;532,13
Aragón;2023-07-01;153,22;42,47;195,81
Principado de Asturias;2023-07-01;164,11;140,73;285,96
Islas Baleares;2023-07-01;128,97;89,46;219,45
Canarias;2023-07-01;457,48;216,96;782,31
Cantabria;2023-07-01;105,87;84,05;180,55
Castilla y León;2023-07-01;123,87;0,01;125,44
Castilla-La Mancha;2023-07-01;126,10;66,40;185,11
Cataluña;2023-07-01;174,19;117,64;279,95
Comunidad Valenciana;2023-07-01;208,77;56,61;276,65
Extremadura;2023-07-01;145,54;169,08;337,53
Galicia;2023-07-01;277,00;86,83;370,47
Comunidad de Madrid;2023-07-01;156,08;59,41;288,42
Región de Murcia;2023-07-01;254,16;243,37;498,05
Comunidad Foral de Navarra;2023-07-01;99,83;90,83;176,42
País Vasco;2023-07-01;91,21;50,56;146,33
La Rioja;2023-07-01;50,61;177,51;224,36
Castilla y León;2023-07-01;NA;NA;NA
Andalucía;2023-08-01;347,53;194,90;538,13
Aragón;2023-08-01;152,85;39,72;193,64
Principado de Asturias;2023-08-01;166,27;142,51;289,62
Islas Baleares;2023-08-01;127,92;91,86;220,08
Canarias;2023-08-01;448,04;207,75;745,33
Cantabria;2023-08-01;108,71;80,53;179,27
Castilla y León;2023-08-01;124,35;0,01;125,44
Castilla-La Mancha;2023-08-01;125,52;65,59;184,72
Cataluña;2023-08-01;174,92;116,18;280,57
Comunidad Valenciana;2023-08-01;207,33;57,86;277,47
Extremadura;2023-08-01;144,21;168,65;336,37
Galicia;2023-08-01;273,36;87,88;370,40
Comunidad de Madrid;2023-08-01;157,86;58,90;289,09
Región de Murcia;2023-08-01;256,30;243,16;497,37
Comunidad Foral de Navarra;2023-08-01;102,59;89,21;176,61
País Vasco;2023-08-01;90,95;50,62;146,18
La Rioja;2023-08-01;51,03;175,44;222,03
Castilla y León;2023-08-01;NA;NA;NA
Andalucía;2023-09-01;348,98;199,77;541,57
Aragón;2023-09-01;152,44;37,52;190,41
Principado de Asturias;2023-09-01;169,54;141,59;291,16
Islas Baleares;2023-09-01;126,09;93,11;220,54
Canarias;2023-09-01;440,38;199,10;716,83
Cantabria;2023-09-01;113,13;76,43;177,73
Castilla y León;2023-09-01;122,99;0,01;125,96
Castilla-La Mancha;2023-09-01;124,36;64,60;184,10
Cataluña;2023-09-01;175,79;115,90;282,33
Comunidad Valenciana;2023-09-01;204,17;60,67;277,62
Extremadura;2023-09-01;142,31;163,92;326,23
Galicia;2023-09-01;272,55;88,95;370,78
Comunidad de Madrid;2023-09-01;161,61;57,12;288,61
Región de Murcia;2023-09-01;262,35;248,22;498,87
Comunidad Foral de Navarra;2023-09-01;104,41;84,02;176,75
País Vasco;2023-09-01;89,34;49,34;144,02
La Rioja;2023-09-01;51,57;169,80;215,94
Castilla y León;2023-09-01;NA;NA;NA
Andalucía;2023-10-01;351,55;203,20;542,22
Aragón;2023-10-01;151,53;38,12;189,36
Principado de Asturias;2023-10-01;172,71;144,93;297,80
Islas Baleares;2023-10-01;123,78;94,05;220,41
Canarias;2023-10-01;434,12;191,51;687,19
Cantabria;2023-10-01;117,09;72,92;177,48
Castilla y León;2023-10-01;120,90;0,00;126,51
Castilla-La Mancha;2023-10-01;126,23;64,76;185,58
Cataluña;2023-10-01;176,21;112,00;280,42
Comunidad Valenciana;2023-10-01;200,80;69,35;280,29
Extremadura;2023-10-01;141,81;161,68;317,17
Galicia;2023-10-01;270,40;89,70;370,79
Comunidad de Madrid;2023-10-01;163,02;54,98;287,84
Región de Murcia;2023-10-01;264,41;254,33;503,99
Comunidad Foral de Navarra;2023-10-01;106,47;81,69;177,07
País Vasco;2023-10-01;87,39;47,70;141,48
La Rioja;2023-10-01;51,61;165,35;211,75
Castilla y León;2023-10-01;NA;NA;NA
Andalucía;2023-11-01;354,29;209,22;549,07
Aragón;2023-11-01;150,40;38,98;187,86
Principado de Asturias;2023-11-01;176,28;143,90;305,17
Islas Baleares;2023-11-01;122,45;94,22;219,47
