ccaa;fecha;solicitudes;resoluciones_grado;grado3;grado2;grado1;ratio_g3;ratio_g2;ratio_g1;total_der_prest
Aragón;2023-04-01;51720;47594;12348;14592;12892;31,0002008435429;36,6338622213296;32,3659369351275;39832
Principado de Asturias;2023-04-01;44486;40550;7771;10824;13501;24,2117397806580;33,7238285144566;42,0644317048853;32096
Islas Baleares;2023-04-01;41078;37754;7961;10410;12593;25,7105025190544;33,6196873788916;40,6698101020540;30964
Canarias;2023-04-01;57756;49176;14614;14905;13780;33,7513568442689;34,4234277927897;31,8252153629414;43299
Cantabria;2023-04-01;23571;22791;5999;8038;4709;32,0014936519791;42,8784807425584;25,1200256054625;18746
Castilla y León;2023-04-01;149821;141778;33428;38587;44924;28,5858439015213;32,9975457289698;38,4166103695089;116939
Castilla-La Mancha;2023-04-01;93138;88695;22088;23648;26350;30,6411785922371;32,8052603834309;36,5535610243320;72086
Cataluña;2023-04-01;363501;335272;50601;96651;114492;19,3322483036860;36,9257748028608;43,7419768934531;261744
Comunidad Valenciana;2023-04-01;191925;175133;43869;56172;49459;29,3438127090301;37,5732441471572;33,0829431438127;149500
Extremadura;2023-04-01;57035;54294;12656;12947;13717;32,1871820956256;32,9272634791455;34,8855544252289;39320
Galicia;2023-04-01;80456;79947;25128;25007;22486;34,6015615317883;34,4349430605472;30,9634954076644;72621
Comunidad de Madrid;2023-04-01;229862;229760;59128;66404;52824;33,1516741797304;37,2311556661957;29,6171701540739;178356
Región de Murcia;2023-04-01;57942;51370;14392;17803;13151;31,7381907996295;39,2603537246946;29,0014554756759;45346
Comunidad Foral de Navarra;2023-04-01;21478;21412;3472;5991;6658;21,5371254884933;37,1627070281000;41,3001674834067;16121
País Vasco;2023-04-01;110499;110006;19181;25753;34975;24,0035540427236;32,2279092467682;43,7685367105082;79909
La Rioja;2023-04-01;14350;14314;2641;4233;3596;25,2244508118434;40,4297994269341;34,3457497612225;10470
Ceuta y Melilla;2023-04-01;5062;4823;1191;1317;1047;33,5021097046413;37,0464135021097;29,4514767932489;3555
Andalucía;2023-05-01;430185;381285;84622;140221;88220;27,0303421356085;44,7900262886384;28,1796315757531;313063
Aragón;2023-05-01;52261;48136;12414;14707;13222;30,7711374959720;36,4548992390254;32,7739632650026;40343
Principado de Asturias;2023-05-01;44731;40919;7887;10934;13640;24,2968485259234;33,6834971196205;42,0196543544561;32461
Islas Baleares;2023-05-01;41490;38451;8053;10596;12900;25,5253732289455;33,5858505816349;40,8887761894196;31549
Canarias;2023-05-01;57804;49685;14726;15049;13945;33,6825251601098;34,4213174748399;31,8961573650503;43720
Cantabria;2023-05-01;23549;22737;5916;8010;4741;31,6922912090856;42,9099480366422;25,3977607542722;18667
Castilla y León;2023-05-01;150745;142502;33665;38786;45125;28,6325440566102;32,9880247669592;38,3794311764306;117576
Castilla-La Mancha;2023-05-01;94029;89439;22268;23917;26663;30,5677575225126;32,8313749176367;36,6008675598506;72848
Cataluña;2023-05-01;365101;337520;50898;97406;115297;19,3087279638545;36,9520601211680;43,7392119149776;263601
Comunidad Valenciana;2023-05-01;195490;177623;44681;56967;50123;29,4397480414572;37,5348386714194;33,0254132871234;151771
Extremadura;2023-05-01;57364;54563;12746;13042;13774;32,2177847429351;32,9659774531116;34,8162378039533;39562
Galicia;2023-05-01;82795;82256;25541;25342;22837;34,6459576776994;34,3760173629951;30,9780249593055;73720
Comunidad de Madrid;2023-05-01;231382;231271;59744;66912;52939;33,2659595200312;37,2571619477157;29,4768785322531;179595
Región de Murcia;2023-05-01;59227;51786;14478;17884;13283;31,7186986526454;39,1806331471136;29,1006682002410;45645
Comunidad Foral de Navarra;2023-05-01;21583;21516;3445;6003;6725;21,3009336548569;37,1174179187535;41,5816484263897;16173
País Vasco;2023-05-01;110818;110384;19218;25848;35028;23,9943066896397;32,2720803056409;43,7336130047195;80094
La Rioja;2023-05-01;14526;14224;2631;4195;3555;25,3443791542241;40,4103650900684;34,2452557557075;10381
Ceuta y Melilla;2023-05-01;5098;4931;1222;1348;1085;33,4336525307798;36,8809849521204;29,6853625170999;3655
Andalucía;2023-06-01;433486;384241;85005;141237;89229;26,9454244605685;44,7702007474538;28,2843747919777;315471
Aragón;2023-06-01;52747;48209;12331;14644;13401;30,5404200515158;36,2690707350902;33,1905092133941;40376
Principado de Asturias;2023-06-01;45417;41658;8094;11153;13910;24,4111349036403;33,6369394094761;41,9519256868836;33157
Islas Baleares;2023-06-01;42037;38540;8026;10618;12986;25,3746443250079;33,5693961429023;41,0559595320898;31630
Canarias;2023-06-01;59043;50306;14897;15276;14093;33,6533682736186;34,5095558668052;31,8370758595762;44266
Cantabria;2023-06-01;23546;22849;5912;8014;4814;31,5474919957311;42,7641408751334;25,6883671291355;18740
Castilla y León;2023-06-01;151767;143181;33831;38988;45412;28,6143228087388;32,9761230134229;38,4095541778383;118231
Castilla-La Mancha;2023-06-01;94471;89970;22390;24061;26900;30,5244645608104;32,8025521124456;36,6729833267440;73351
Cataluña;2023-06-01;368289;341061;51354;98561;116583;19,2699382359342;36,9837672327747;43,7462945312910;266498
Comunidad Valenciana;2023-06-01;197799;179873;45267;57713;50781;29,4398449541821;37,5342251936447;33,0259298521732;153761
Extremadura;2023-06-01;57881;54967;12955;13136;13844;32,4402153499437;32,8934518592713;34,6663327907850;39935
Galicia;2023-06-01;83145;82735;26393;25513;22497;35,4730320013978;34,2902839939250;30,2366840046772;74403
Comunidad de Madrid;2023-06-01;233210;232772;59857;67581;53928;33,0034295292392;37,2622211439851;29,7343493267757;181366
Región de Murcia;2023-06-01;60122;51647;14472;17794;13128;31,8808653125964;39,1990130854298;28,9201216019738;45394
Comunidad Foral de Navarra;2023-06-01;21751;21682;3444;6027;6780;21,1925419974155;37,0869484954772;41,7205095071073;16251
País Vasco;2023-06-01;111374;110944;19373;25955;35201;24,0571719504775;32,2306249922388;43,7122030572837;80529
La Rioja;2023-06-01;14552;14388;2641;4251;3620;25,1236681887367;40,4394977168950;34,4368340943683;10512
Ceuta y Melilla;2023-06-01;5123;4946;1226;1367;1080;33,3787095017697;37,2175333514838;29,4037571467465;3673
Andalucía;2023-07-01;431318;386909;85457;142045;90241;26,8950063416031;44,7043679955184;28,4006256628785;317743
Aragón;2023-07-01;52709;47966;12113;14552;13402;30,2318616317668;36,3191653979584;33,4489729702748;40067
Principado de Asturias;2023-07-01;46011;41870;8136;11203;13964;24,4302315106747;33,6396120469627;41,9301564423626;33303
Islas Baleares;2023-07-01;42419;38623;7964;10641;13100;25,1190663933134;33,5625295694685;41,3184040372181;31705
Canarias;2023-07-01;59710;50587;14914;15383;14209;33,5100885273896;34,5638790275468;31,9260324450636;44506
Cantabria;2023-07-01;23599;22877;5836;7988;4894;31,1785447163158;42,6754995191794;26,1459557645048;18718
Castilla y León;2023-07-01;152778;143867;34102;39192;45611;28,6800386863462;32,9607669988646;38,3591943147891;118905
Castilla-La Mancha;2023-07-01;95149;90878;22592;24308;27249;30,4683812323834;32,7826403592766;36,7489784083400;74149
Cataluña;2023-07-01;370884;343780;51501;99395;117725;19,1723655261502;37,0019469810625;43,8256874927872;268621
Comunidad Valenciana;2023-07-01;200158;182428;45750;58389;51866;29,3259831415660;37,4276465497901;33,2463703086440;156005
Extremadura;2023-07-01;57979;55087;13021;13153;13807;32,5679697856482;32,8981266101398;34,5339036042120;39981
Galicia;2023-07-01;83324;82905;26346;25582;22733;35,2874994977297;34,2642075514660;30,4482929508043;74661
Comunidad de Madrid;2023-07-01;234175;234078;60550;67813;53882;33,2245054734012;37,2097999945129;29,5656945320859;182245
Región de Murcia;2023-07-01;60408;51869;14476;17867;13241;31,7567567567568;39,1957704457704;29,0474727974728;45584
Comunidad Foral de Navarra;2023-07-01;21797;21724;3427;6033;6834;21,0322818215294;37,0258991039646;41,9418190745060;16294
País Vasco;2023-07-01;112012;111558;19531;26126;35364;24,1060959504326;32,2459609237111;43,6479431258563;81021
La Rioja;2023-07-01;14594;14505;2636;4277;3688;24,8655787189888;40,3452504480709;34,7891708329403;10601
Ceuta y Melilla;2023-07-01;5135;4965;1226;1369;1085;33,3152173913044;37,2010869565217;29,4836956521739;3680
Andalucía;2023-08-01;428922;388272;85542;142627;90741;26,8232416669280;44,7232761594180;28,4534821736540;318910
Aragón;2023-08-01;52929;48041;11989;14592;13513;29,9022297600639;36,3944729884771;33,7032972514591;40094
Principado de Asturias;2023-08-01;46391;41692;8123;11130;13830;24,5533960039900;33,6426563491824;41,8039476468277;33083
Islas Baleares;2023-08-01;42593;39205;8108;10760;13284;25,2177158497139;33,4660363274446;41,3162478228415;32152
Canarias;2023-08-01;60701;51370;15100;15666;14453;33,3930427475176;34,6447289856034;31,9622282668790;45219
Cantabria;2023-08-01;23726;22976;5828;7993;4961;31,0297092961346;42,5567032264935;26,4135874773720;18782
Castilla y León;2023-08-01;153863;144558;34359;39429;45794;28,7325851716814;32,9723536987172;38,2950611296014;119582
Castilla-La Mancha;2023-08-01;95553;90767;22411;24269;27338;30,2777702720960;32,7879704936637;36,9342592342403;74018
Cataluña;2023-08-01;374101;342548;50771;98923;117748;18,9839292257761;36,9885807016101;44,0274900726139;267442
Comunidad Valenciana;2023-08-01;201091;181536;45541;58232;51494;29,3307657132552;37,5044278565310;33,1648064302138;155267
Extremadura;2023-08-01;58227;55368;13082;13223;13908;32,5317683336235;32,8824012135379;34,5858304528386;40213
Galicia;2023-08-01;83438;83005;26539;25633;22722;35,4354153870804;34,2257056640051;30,3388789489145;74894
Comunidad de Madrid;2023-08-01;234466;234329;60266;68209;54560;32,9259431256317;37,2655503045866;29,8085065697817;183035
Región de Murcia;2023-08-01;60702;51566;14383;17781;13161;31,7330391616106;39,2300055157198;29,0369553226696;45325
Comunidad Foral de Navarra;2023-08-01;21858;21790;3425;6026;6853;21,0071148184495;36,9602551521099;42,0326300294406;16304
País Vasco;2023-08-01;112122;111679;19490;26104;35471;24,0424350829581;32,2013199284525;43,7562449885894;81065
La Rioja;2023-08-01;14580;14516;2636;4268;3702;24,8538563077503;40,2413728078446;34,9047708844051;10606
Ceuta y Melilla;2023-08-01;5162;4948;1212;1359;1090;33,1057088227260;37,1210051898388;29,7732859874351;3661
Andalucía;2023-09-01;426595;389125;85391;142939;91330;26,7130701370206;44,7159481949571;28,5709816680223;319660
Aragón;2023-09-01;53137;48010;11856;14553;13620;29,6185265682380;36,3561417971970;34,0253316345649;40029
Principado de Asturias;2023-09-01;46555;41448;8092;11045;13718;24,6294323542840;33,6174098310759;41,7531578146401;32855
Islas Baleares;2023-09-01;42939;39600;8193;10853;13422;25,2340766292965;33,4267586546754;41,3391647160281;32468
Canarias;2023-09-01;61055;51719;15126;15780;14596;33,2424948353919;34,6797942947563;32,0777108698519;45502
Cantabria;2023-09-01;23714;22952;5745;7954;5028;30,6776312276392;42,4734340791371;26,8489346932237;18727
Castilla y León;2023-09-01;154644;145333;34494;39709;46179;28,6537854496519;32,9858284461132;38,3603861042349;120382
Castilla-La Mancha;2023-09-01;95991;91458;22442;24416;27732;30,0871430486660;32,7336104035394;37,1792465477946;74590
Cataluña;2023-09-01;375746;346080;50742;99997;119566;18,7721277815801;36,9941362534914;44,2337359649285;270305
Comunidad Valenciana;2023-09-01;202495;184587;46201;59173;52575;29,2505808837030;37,4633584258210;33,2860606904760;157949
Extremadura;2023-09-01;58313;55510;13019;13274;14004;32,3076159515597;32,9404174007991;34,7519666476413;40297
Galicia;2023-09-01;83392;82951;26551;25656;22719;35,4362971465179;34,2417852280917;30,3219176253904;74926
Comunidad de Madrid;2023-09-01;237354;237103;61197;69046;55067;33,0241217419459;37,2597269440397;29,7161513140144;185310
Región de Murcia;2023-09-01;61577;52799;14657;18143;13667;31,5428153313104;39,0449135945940;29,4122710740956;46467
Comunidad Foral de Navarra;2023-09-01;21979;21909;3443;6156;6841;20,9428223844282;37,4452554744526;41,6119221411192;16440
País Vasco;2023-09-01;112659;112230;19465;26244;35751;23,8951632703167;32,2170390375644;43,8877976921188;81460
La Rioja;2023-09-01;14579;14524;2595;4289;3718;24,4765138653084;40,4546312016601;35,0688549330315;10602
Ceuta y Melilla;2023-09-01;5170;4966;1217;1372;1088;33,0976339407125;37,3130269241229;29,5893391351645;3677
Andalucía;2023-10-01;425463;391632;85841;143691;92215;26,6796582407917;44,6596238659568;28,6607178932515;321747
Aragón;2023-10-01;53455;48208;11883;14614;13692;29,5677921819403;36,3631839558088;34,0690238622509;40189
Principado de Asturias;2023-10-01;46790;41081;8044;10939;13546;24,7287036183098;33,6284546097329;41,6428417719573;32529
Islas Baleares;2023-10-01;43293;40174;8345;10978;13603;25,3447123853490;33,3414323027395;41,3138553119116;32926
Canarias;2023-10-01;61680;52097;15169;15922;14712;33,1179180403030;34,7619151583957;32,1201668013012;45803
Cantabria;2023-10-01;23695;22933;5670;7930;5081;30,3516942347840;42,4495476687543;27,1987580964616;18681
Castilla y León;2023-10-01;155442;146129;34505;39961;46690;28,4798111525636;32,9830961735283;38,5370926739080;121156
Castilla-La Mancha;2023-10-01;95726;91963;22590;24587;27845;30,1111673908987;32,7730532377169;37,1157793713844;75022
Cataluña;2023-10-01;377760;349697;50842;101087;121420;18,5996656289213;36,9809291418663;44,4194052292125;273349
Comunidad Valenciana;2023-10-01;203398;185448;46264;59360;53070;29,1529610445259;37,4053209321083;33,4417180233657;158694
Extremadura;2023-10-01;58538;55845;13101;13362;14107;32,2923342371210;32,9356667488292;34,7719990140498;40570
Galicia;2023-10-01;83578;83124;26600;25706;22867;35,3850451624918;34,1957883814667;30,4191664560414;75173
Comunidad de Madrid;2023-10-01;238875;238510;61520;69368;55633;32,9828812841450;37,1904504050482;29,8266683108068;186521
Región de Murcia;2023-10-01;62109;52811;14612;18127;13699;31,4656100607261;39,0348421551316;29,4995477841423;46438
Comunidad Foral de Navarra;2023-10-01;22032;21958;3532;6154;6878;21,3233518473799;37,1528616276262;41,5237865249940;16564
País Vasco;2023-10-01;113402;112964;19611;26320;35924;23,9582188015393;32,1544194001588;43,8873617983019;81855
La Rioja;2023-10-01;14651;14589;2600;4303;3765;24,3719535058118;40,3355830521185;35,2924634420697;10668
Ceuta y Melilla;2023-10-01;5184;4986;1219;1360;1112;33,0262801408832;36,8463830940125;30,1273367651043;3691
Andalucía;2023-11-01;422976;394981;86416;144590;93431;26,6356796542934;44,5664335448793;28,7978868008273;324437
Aragón;2023-11-01;53885;48404;11908;14660;13797;29,5008051529791;36,3185928403320;34,1806020066890;40365
Principado de Asturias;2023-11-01;47113;41140;7987;10896;13525;24,6451493458405;33,6213280671439;41,7335225870155;32408
Islas Baleares;2023-11-01;43539;40514;8372;11056;13770;25,2183866497982;33,3032110368094;41,4784023133924;33198
Canarias;2023-11-01;62675;52450;15280;16043;14767;33,1525276632675;34,8079843783901;32,0394879583424;46090
Cantabria;2023-11-01;23808;23023;5662;7940;5141;30,2086112148535;42,3624819932775;27,4289067918690;18743
Castilla y León;2023-11-01;156261;146879;34708;40220;46996;28,4669138151635;32,9877628686723;38,5453233161642;121924
Castilla-La Mancha;2023-11-01;95196;92354;22702;24691;27946;30,1331315785981;32,7731984762208;37,0936699451811;75339
Cataluña;2023-11-01;351972;324785;48116;95247;104690;19,3974674767086;38,3978423965846;42,2046901267068;248053
Comunidad Valenciana;2023-11-01;206145;187392;46628;59791;53972;29,0714566278657;37,2782762125057;33,6502671596287;160391
Extremadura;2023-11-01;58608;56080;13170;13402;14180;32,3174322732627;32,8867294856694;34,7958382410679;40752
Galicia;2023-11-01;83723;83197;26594;25753;22974;35,3075503511637;34,1909958710054;30,5014537778309;75321
Comunidad de Madrid;2023-11-01;237594;237448;61086;69276;55445;32,8760488033282;37,2838482941977;29,8401029024741;185807
Región de Murcia;2023-11-01;62443;53715;14778;18391;14130;31,2437895092920;38,8824288039916;29,8737816867164;47299
Comunidad Foral de Navarra;2023-11-01;22127;22051;3618;6333;6781;21,6232369113077;37,8496294525460;40,5271336361463;16732
País Vasco;2023-11-01;113565;113145;19621;26368;35968;23,9406029991337;32,1729687519065;43,8864282489598;81957
La Rioja;2023-11-01;14582;14522;2611;4272;3711;24,6460260524825;40,3247121011894;35,0292618463281;10594
Ceuta y Melilla;2023-11-01;5197;5003;1218;1353;1127;32,9367225527312;36,5873445105462;30,4759329367226;3698
Andalucía;2023-12-01;420976;392545;85375;143653;93130;26,5009715729549;44,5908529355161;28,9081754915290;322158
Aragón;2023-12-01;54128;48583;11944;14697;13879;29,4768015794669;36,2709772951629;34,2522211253702;40520
Principado de Asturias;2023-12-01;46871;41209;8017;10952;13591;24,6222358722359;33,6363636363636;41,7414004914005;32560
Islas Baleares;2023-12-01;43584;40725;8395;11090;13865;25,1724137931034;33,2533733133433;41,5742128935532;33350
Canarias;2023-12-01;63120;52927;15362;16224;14937;33,0202265546074;34,8730735335211;32,1066999118715;46523
Cantabria;2023-12-01;23876;23077;5624;7921;5204;29,9962664675449;42,2475865379487;27,7561469945064;18749
Castilla y León;2023-12-01;156550;150140;34977;40457;47312;28,4954295863002;32,9599335212553;38,5446368924446;122746
Castilla-La Mancha;2023-12-01;94676;91940;22559;24534;27742;30,1449856350638;32,7841250751654;37,0708892897708;74835
Cataluña;2023-12-01;352939;327571;49481;96688;104021;19,7773691994085;38,6458291698309;41,5768016307606;250190
Comunidad Valenciana;2023-12-01;205653;189030;46861;60220;54710;28,9639102298645;37,2208590094628;33,8152307606727;161791
Extremadura;2023-12-01;58876;56464;13245;13474;14327;32,2686741704429;32,8265848072894;34,9047410222677;41046
Galicia;2023-12-01;83919;83386;26416;25890;23278;34,9491955969517;34,2532811176969;30,7975232853514;75584
Comunidad de Madrid;2023-12-01;237216;237020;61476;69327;55054;33,0770431030308;37,3012584944339;29,6216984025353;185857
Región de Murcia;2023-12-01;62760;54056;14781;18474;14325;31,0655737704918;38,8272383354351;30,1071878940731;47580
Comunidad Foral de Navarra;2023-12-01;22108;22030;3585;6427;6789;21,3380155943099;38,2536753764657;40,4083090292244;16801
País Vasco;2023-12-01;114252;113823;19751;26446;36246;23,9571582790534;32,0779205026503;43,9649212182963;82443
La Rioja;2023-12-01;14631;14615;2601;4306;3739;24,4317114409168;40,4471162878076;35,1211722712756;10646
Ceuta y Melilla;2023-12-01;5237;5044;1229;1350;1149;32,9667381974249;36,2124463519313;30,8208154506438;3728
Andalucía;2024-01-01;417819;388688;83914;142250;92357;26,3448877781999;44,6595357919886;28,9955764298115;318521
Aragón;2024-01-01;54342;48423;11824;14659;13886;29,2898015804206;36,3125170303946;34,3976813891848;40369
Principado de Asturias;2024-01-01;47031;41059;7982;10902;13494;24,6525418494039;33,6710111804312;41,6764469701649;32378
Islas Baleares;2024-01-01;43746;40777;8303;11087;13954;24,9010316698656;33,2503598848369;41,8486084452975;33344
Canarias;2024-01-01;63642;53252;15464;16369;14995;33,0229777056462;34,9555821303494;32,0214401640044;46828
Cantabria;2024-01-01;23735;22940;5540;7862;5203;29,7769416823435;42,2574576726686;27,9656006449879;18605
Castilla y León;2024-01-01;157332;149948;34765;40422;47897;28,2449384160411;32,8409866432680;38,9140749406909;123084
Castilla-La Mancha;2024-01-01;95728;92434;22544;24645;28290;29,8679102796804;32,6514659706673;37,4806237496522;75479
Cataluña;2024-01-01;354657;327118;49066;96500;104100;19,6526559483470;38,6516385891551;41,6957054624979;249666
Comunidad Valenciana;2024-01-01;204614;189273;46887;60353;54865;28,9238456555936;37,2308071928688;33,8453471515376;162105
Extremadura;2024-01-01;58759;56108;13048;13355;14306;32,0518804195632;32,8060134122676;35,1421061681692;40709
Galicia;2024-01-01;83638;83134;26293;25833;23284;34,8667285505901;34,2567298766742;30,8765415727357;75410
Comunidad de Madrid;2024-01-01;242904;242621;61977;70588;56638;32,7568801763186;37,3080765104147;29,9350433132667;189203
Región de Murcia;2024-01-01;63686;54004;14718;18432;14383;30,9637514989586;38,7772705278438;30,2589779731976;47533
Comunidad Foral de Navarra;2024-01-01;22108;22027;3566;6434;6871;21,1368620710094;38,1364471578448;40,7266907711458;16871
País Vasco;2024-01-01;113902;113489;19578;26320;36232;23,8378180932668;32,0467551442835;44,1154267624498;82130
La Rioja;2024-01-01;14653;14641;2604;4312;3777;24,3523800617226;40,3254465538203;35,3221733844571;10693
Ceuta y Melilla;2024-01-01;5305;5050;1225;1354;1157;32,7890792291221;36,2419700214133;30,9689507494647;3736
Andalucía;2024-02-01;414034;385584;82526;141122;91992;26,1456089215562;44,7097959700925;29,1445951083513;315640
Aragón;2024-02-01;54409;48346;11831;14618;13894;29,3260292987631;36,2342909550604;34,4396797461765;40343
Principado de Asturias;2024-02-01;46861;40734;7878;10809;13411;24,5435852701103;33,6749953268116;41,7814194030781;32098
Islas Baleares;2024-02-01;43797;40919;8284;11074;14055;24,7927453386406;33,1427887349235;42,0644659264358;33413
