ccaa;fecha;solicitudes;resoluciones_grado;grado3;grado2;grado1;ratio_g3;ratio_g2;ratio_g1;total_der_prest
Canarias;2024-02-01;64073;52710;15178;16239;14910;32,7627517430440;35,0529928551385;32,1842554018175;46327
Cantabria;2024-02-01;23718;22898;5440;7822;5273;29,3498786080388;42,2012408956029;28,4488804963582;18535
Castilla y León;2024-02-01;157973;150463;34663;40502;48327;28,0690247141515;32,7972662196741;39,1337090661743;123492
Castilla-La Mancha;2024-02-01;96147;92224;22549;24717;28040;29,9431652192388;32,8220858895706;37,2347488911906;75306
Cataluña;2024-02-01;357537;328658;48739;96810;105218;19,4359704426819;38,6055581476032;41,9584714097150;250767
Comunidad Valenciana;2024-02-01;204692;189689;46618;60653;55102;28,7104383117883;37,3541167558646;33,9354449323471;162373
Extremadura;2024-02-01;58544;56066;12998;13346;14315;31,9683218967510;32,8242209596891;35,2074571435599;40659
Galicia;2024-02-01;83028;82521;25979;25775;23236;34,6432857714362;34,3712494999333;30,9854647286305;74990
Comunidad de Madrid;2024-02-01;245045;244285;62127;71456;57860;32,4519569793620;37,3249478957183;30,2230951249197;191443
Región de Murcia;2024-02-01;64044;53958;14611;18356;14478;30,7956581304669;38,6890083254294;30,5153335441037;47445
Comunidad Foral de Navarra;2024-02-01;22014;21931;3476;6377;7037;20,5802249851983;37,7560686796921;41,6637063351095;16890
País Vasco;2024-02-01;114310;113889;19453;26393;36474;23,6309523809524;32,0614674441205;44,3075801749271;82320
La Rioja;2024-02-01;14771;14755;2586;4354;3821;24,0312238639532;40,4609237059753;35,5078524300716;10761
Ceuta y Melilla;2024-02-01;5355;5140;1245;1379;1189;32,6514555468135;36,1657487542617;31,1827956989247;3813
Andalucía;2024-03-01;416723;383563;81640;140333;91861;26,0137524933564;44,7156777149703;29,2705697916733;313834
Aragón;2024-03-01;54801;48510;11941;14623;13996;29,4403353057199;36,0527613412229;34,5069033530572;40560
Principado de Asturias;2024-03-01;47098;40614;7853;10803;13411;24,4893504225528;33,6888389933577;41,8218105840896;32067
Islas Baleares;2024-03-01;44131;41369;8327;11167;14253;24,6747859068954;33,0903487717427;42,2348653213619;33747
Canarias;2024-03-01;64728;53771;15367;16553;15267;32,5661728866001;35,0795770021404;32,3542501112595;47187
Cantabria;2024-03-01;23904;23074;5401;7853;5414;28,9318620098564;42,0666380972788;29,0014998928648;18668
Castilla y León;2024-03-01;158793;150999;34581;40721;48732;27,8802586387603;32,8305142138446;39,2892271473951;124034
Castilla-La Mancha;2024-03-01;96674;92825;22758;24794;28324;29,9936738889768;32,6769993146713;37,3293267963519;75876
Cataluña;2024-03-01;360948;332274;48628;97551;107532;19,1666896587062;38,4496533457359;42,3836569955579;253711
Comunidad Valenciana;2024-03-01;205341;191238;47253;61186;55389;28,8430549112484;37,3477061308201;33,8092389579315;163828
Extremadura;2024-03-01;58858;56595;13202;13495;14398;32,1255627205256;32,8385448351381;35,0358924443363;41095
Galicia;2024-03-01;83380;82870;26052;25926;23500;34,5160179125043;34,3490818516654;31,1349002358303;75478
Comunidad de Madrid;2024-03-01;247073;246606;62840;71920;58343;32,5422184015784;37,2443721744354;30,2134094239862;193103
Región de Murcia;2024-03-01;64254;54480;14625;18427;14724;30,6116041527127;38,5695746818486;30,8188211654387;47776
Comunidad Foral de Navarra;2024-03-01;21946;21863;3443;6377;7080;20,3727810650888;37,7337278106509;41,8934911242604;16900
País Vasco;2024-03-01;114555;114343;19603;26529;36633;23,6851326043617;32,0534042167583;44,2614631788800;82765
La Rioja;2024-03-01;14489;14476;2522;4291;3662;24,0763723150358;40,9642004773270;34,9594272076372;10475
Ceuta y Melilla;2024-03-01;5373;5165;1265;1382;1192;32,9512893982808;35,9989580619953;31,0497525397239;3839
Andalucía;2024-04-01;413406;380959;80463;139380;91630;25,8330577610258;44,7486620028060;29,4182802361681;311473
Aragón;2024-04-01;55580;48743;12011;14683;14113;29,4336755948734;35,9815717891538;34,5847526159727;40807
Principado de Asturias;2024-04-01;47521;40802;7880;10843;13502;24,4530643910008;33,6477889837083;41,8991466252909;32225
Islas Baleares;2024-04-01;44482;41928;8434;11260;14517;24,6528894215311;32,9133904299787;42,4337201484903;34211
Canarias;2024-04-01;66429;54153;15474;16739;15378;32,5145510705806;35,1726166712193;32,3128322582001;47591
Cantabria;2024-04-01;23979;23068;5415;7918;5323;29,0255145797599;42,4421097770154;28,5323756432247;18656
Castilla y León;2024-04-01;159389;151668;34751;40821;48808;27,9393793214343;32,8195851423058;39,2410355362599;124380
Castilla-La Mancha;2024-04-01;97526;93270;22844;25000;28539;29,9071782988361;32,7297958969928;37,3630258041711;76383
Cataluña;2024-04-01;363527;333820;49147;97973;107737;19,2841475808002;38,4423421762008;42,2735102429990;254857
Comunidad Valenciana;2024-04-01;206158;192584;47538;61707;55768;28,8086393193264;37,3952355268979;33,7961251537758;165013
Extremadura;2024-04-01;59007;56445;13118;13472;14342;32,0482751881169;32,9131242060002;35,0386006058829;40932
Galicia;2024-04-01;83666;83144;26068;26077;23713;34,3642068074560;34,3760710801761;31,2597221123678;75858
Comunidad de Madrid;2024-04-01;249077;248586;63399;72442;58894;32,5565512106196;37,2002978406553;30,2431509487252;194735
Región de Murcia;2024-04-01;64774;55143;14684;18559;15100;30,3746147322260;38,3902529838860;31,2351322838880;48343
Comunidad Foral de Navarra;2024-04-01;21879;21795;3426;6381;7091;20,2745887087229;37,7618653095041;41,9635459817730;16898
País Vasco;2024-04-01;114752;114559;19692;26562;36714;23,7344518368528;32,0147526757304;44,2507954874168;82968
La Rioja;2024-04-01;14621;14609;2531;4336;3712;23,9247565932508;40,9868607618868;35,0883826448625;10579
Ceuta y Melilla;2024-04-01;5405;5185;1250;1389;1207;32,5013000520021;36,1154446177847;31,3832553302132;3846
Andalucía;2024-05-01;409871;378522;79578;138495;91296;25,7226806822920;44,7669288131649;29,5103905045431;309369
Aragón;2024-05-01;56234;49012;11991;14755;14306;29,2092955276235;35,9422196238917;34,8484848484849;41052
Principado de Asturias;2024-05-01;47942;40830;7862;10840;13518;24,4009931719429;33,6436995654873;41,9553072625698;32220
Islas Baleares;2024-05-01;44957;42312;8509;11303;14695;24,6587648882835;32,7556727620483;42,5855623496682;34507
Canarias;2024-05-01;67784;54756;15680;16934;15544;32,5594916732422;35,1634204078242;32,2770879189335;48158
Cantabria;2024-05-01;23669;22789;5342;7840;5112;29,2008308735104;42,8555810648300;27,9435880616596;18294
Castilla y León;2024-05-01;159928;152468;34823;40950;48972;27,9153473085094;32,8269670127059;39,2576856787847;124745
Castilla-La Mancha;2024-05-01;97887;93791;22938;25222;28681;29,8512512851212;32,8236228055335;37,3251259093453;76841
Cataluña;2024-05-01;365710;335382;49021;98205;108835;19,1442664052706;38,3521895173416;42,5035440773878;256061
Comunidad Valenciana;2024-05-01;207616;194038;47893;62241;56297;28,7764899567989;37,3974800367720;33,8260300064291;166431
Extremadura;2024-05-01;58687;56113;13136;13406;13988;32,4105600789539;33,0767332839872;34,5127066370590;40530
Galicia;2024-05-01;83637;83153;25972;26123;23853;34,1970822141465;34,3959024595776;31,4070153262759;75948
Comunidad de Madrid;2024-05-01;249829;249317;63350;72779;59460;32,3893470491694;37,2101703061011;30,4004826447295;195589
Región de Murcia;2024-05-01;65560;55940;14803;18761;15400;30,2324156523160;38,3159055632710;31,4516787844130;48964
Comunidad Foral de Navarra;2024-05-01;21596;21512;3375;6331;6973;20,2350260807003;37,9579111457521;41,8070627735476;16679
País Vasco;2024-05-01;115512;115341;19649;26665;37124;23,5492221769458;31,9578609266761;44,4929168963781;83438
La Rioja;2024-05-01;14777;14758;2523;4373;3786;23,6191724396180;40,9380265867815;35,4428009736004;10682
Ceuta y Melilla;2024-05-01;5438;5230;1262;1402;1220;32,4922760041195;36,0968074150360;31,4109165808445;3884
Andalucía;2024-06-01;407182;376734;78852;137863;91112;25,6156867331326;44,7858699854139;29,5984432814535;307827
Aragón;2024-06-01;56858;49959;12278;15064;14612;29,2653858988416;35,9059922772560;34,8286218239024;41954
Principado de Asturias;2024-06-01;48519;40816;7902;10862;13532;24,4674263066634;33,6326480059450;41,8999256873916;32296
Islas Baleares;2024-06-01;45142;42594;8527;11327;14852;24,5692387483432;32,6370080101423;42,7937532415144;34706
Canarias;2024-06-01;69464;55189;15898;17134;15635;32,6668995417840;35,2066081739166;32,1264922842994;48667
Cantabria;2024-06-01;23700;22833;5340;7881;5143;29,0786321062949;42,9154868220431;28,0058810716619;18364
Castilla y León;2024-06-01;159961;153002;34931;40996;48948;27,9727727727728;32,8296296296296;39,1975975975976;124875
Castilla-La Mancha;2024-06-01;98240;94727;23183;25471;29002;29,8534562686721;32,7997836612754;37,3467600700525;77656
Cataluña;2024-06-01;368778;338778;49490;98952;110443;19,1165961720455;38,2223767309809;42,6610270969736;258885
Comunidad Valenciana;2024-06-01;209122;195278;47970;62679;56881;28,6336775502895;37,4135975646153;33,9527248850952;167530
Extremadura;2024-06-01;58675;56394;13208;13449;14075;32,4265933418443;33,0182657370127;34,5551409211431;40732
Galicia;2024-06-01;84146;83897;26096;26427;24250;33,9911166686205;34,4222578250166;31,5866255063629;76773
Comunidad de Madrid;2024-06-01;252067;251691;63927;73342;60196;32,3738384017421;37,1417719595878;30,4843896386701;197465
Región de Murcia;2024-06-01;65939;56723;14927;18920;15756;30,0929379271415;38,1428542628470;31,7642078100115;49603
Comunidad Foral de Navarra;2024-06-01;21613;21529;3342;6307;6983;20,0937950937951;37,9208754208754;41,9853294853295;16632
País Vasco;2024-06-01;116241;116085;19866;26875;37284;23,6429634037489;31,9845284141625;44,3725081820887;84025
La Rioja;2024-06-01;14873;14845;2524;4386;3823;23,5162582688903;40,8646231249418;35,6191186061679;10733
Ceuta y Melilla;2024-06-01;5474;5270;1270;1413;1237;32,3979591836735;36,0459183673469;31,5561224489796;3920
Andalucía;2024-07-01;411417;374894;77975;137277;90980;25,4627210742182;44,8277776326445;29,7095012931372;306232
Aragón;2024-07-01;57063;50437;12482;15196;14772;29,4040047114252;35,7974087161366;34,7985865724382;42450
Principado de Asturias;2024-07-01;49263;41301;7884;10825;13504;24,4745910036321;33,6044454102381;41,9209635861298;32213
Islas Baleares;2024-07-01;45432;43076;8601;11394;15048;24,5441314955911;32,5143395257255;42,9415289786833;35043
Canarias;2024-07-01;71366;55884;16108;17378;15828;32,6641521677414;35,2394857444134;32,0963620878452;49314
Cantabria;2024-07-01;24038;23141;5509;7992;5097;29,6214646736208;42,9723626196365;27,4061727067427;18598
Castilla y León;2024-07-01;159998;153594;34890;41092;49152;27,8821103776751;32,8383972381607;39,2794923841642;125134
Castilla-La Mancha;2024-07-01;98427;95703;23365;25747;29413;29,7548551416746;32,7882839859917;37,4568608723336;78525
Cataluña;2024-07-01;371456;341024;49554;99569;111395;19,0213344183511;38,2196239799169;42,7590416017319;260518
Comunidad Valenciana;2024-07-01;213107;195460;47841;62785;57069;28,5285786696085;37,4399952294344;34,0314261009571;167695
Extremadura;2024-07-01;58552;56412;13161;13458;14098;32,3231082840091;33,0525333398826;34,6243583761083;40717
Galicia;2024-07-01;84329;84084;25971;26518;24500;33,7333904843549;34,4438815934744;31,8227279221707;76989
Comunidad de Madrid;2024-07-01;253141;252333;63927;73550;60609;32,2723463546137;37,1303373282312;30,5973163171552;198086
Región de Murcia;2024-07-01;65981;57229;14958;19040;15928;29,9603413051316;38,1364419340624;31,9032167608060;49926
Comunidad Foral de Navarra;2024-07-01;21790;21713;3325;6384;7125;19,7516930022573;37,9232505643341;42,3250564334086;16834
País Vasco;2024-07-01;116122;115847;19729;26793;37301;23,5364995287690;31,9637808238789;44,4997196473522;83823
La Rioja;2024-07-01;14871;14817;2521;4385;3790;23,5695587135378;40,9966342557966;35,4338070306657;10696
Ceuta y Melilla;2024-07-01;5498;5290;1261;1423;1246;32,0865139949109;36,2086513994911;31,7048346055980;3930
Andalucía;2024-08-01;415660;386023;78725;139163;95554;25,1162894570606;44,3983256870490;30,4853848558904;313442
Aragón;2024-08-01;56996;50813;12522;15348;14927;29,2590602145010;35,8623267986074;34,8786129868916;42797
Principado de Asturias;2024-08-01;49643;41120;7802;10758;13470;24,3584139868873;33,5872619419294;42,0543240711833;32030
Islas Baleares;2024-08-01;45609;43210;8589;11380;15145;24,4603292134192;32,4087258643276;43,1309449222532;35114
Canarias;2024-08-01;72563;56213;16142;17503;15960;32,5410744884588;35,2847495212176;32,1741759903236;49605
Cantabria;2024-08-01;24208;23300;5477;8008;5219;29,2825064157399;42,8143712574850;27,9031223267750;18704
Castilla y León;2024-08-01;160193;154017;34891;41149;49254;27,8473031430076;32,8419557201462;39,3107411368461;125294
Castilla-La Mancha;2024-08-01;98324;95643;23204;25770;29482;29,5758131946569;32,8464362190272;37,5777505863159;78456
Cataluña;2024-08-01;374354;342169;49335;99667;112229;18,8855840233357;38,1528225976243;42,9615933790400;261231
Comunidad Valenciana;2024-08-01;213093;196336;47816;63056;57551;28,3904217357487;37,4390671107865;34,1705111534648;168423
Extremadura;2024-08-01;58261;56463;13163;13509;14099;32,2852027176179;33,1338451350224;34,5809521473596;40771
Galicia;2024-08-01;84471;84246;25863;26620;24744;33,4895826589146;34,4698097815531;32,0406075595323;77227
Comunidad de Madrid;2024-08-01;252940;252326;63827;73757;60825;32,1694076377584;37,1742209274781;30,6563714347635;198409
Región de Murcia;2024-08-01;65755;56975;14824;18976;15859;29,8515878289937;38,2126100002014;31,9358021708049;49659
Comunidad Foral de Navarra;2024-08-01;21678;21604;3311;6374;7110;19,7142006549568;37,9517713605240;42,3340279845192;16795
País Vasco;2024-08-01;116059;115872;19659;26806;37409;23,4387295228557;31,9598445286978;44,6014259484465;83874
La Rioja;2024-08-01;14876;14846;2510;4421;3758;23,4820843858172;41,3602769201983;35,1576386939845;10689
Ceuta y Melilla;2024-08-01;5523;5298;1253;1430;1254;31,8262636525273;36,3220726441453;31,8516637033274;3937
Andalucía;2024-09-01;412788;383373;77811;138126;95154;25,0122954376694;44,4005130331639;30,5871915291667;311091
Aragón;2024-09-01;57082;51740;12828;15725;15259;29,2796494111202;35,8919930612618;34,8283575276180;43812
Principado de Asturias;2024-09-01;50027;41245;7787;10782;13602;24,2050293742812;33,5146560566970;42,2803145690218;32171
Islas Baleares;2024-09-01;45845;43453;8581;11429;15257;24,3315280573908;32,4070660957836;43,2614058468256;35267
Canarias;2024-09-01;73643;56541;16201;17639;16063;32,4649820652065;35,3465723503597;32,1884455844338;49903
Cantabria;2024-09-01;24265;23356;5443;8004;5274;29,0743015864537;42,7541263821377;28,1715720314086;18721
Castilla y León;2024-09-01;160316;154327;34934;41200;49166;27,8802873104549;32,8810853950519;39,2386272944932;125300
Castilla-La Mancha;2024-09-01;98535;95924;23209;25865;29659;29,4781095601590;32,8515362046410;37,6703542352000;78733
Cataluña;2024-09-01;375869;342826;49011;99687;112876;18,7369539786064;38,1104391109208;43,1526069104728;261574
Comunidad Valenciana;2024-09-01;213180;196819;47541;63270;57950;28,1706081381362;37,4908894827596;34,3385023791042;168761
Extremadura;2024-09-01;58482;56581;13074;13537;14210;32,0276328360403;33,1618529678352;34,8105141961245;40821
Galicia;2024-09-01;84538;84355;25880;26652;24877;33,4328049709982;34,4301050265473;32,1370900024545;77409
Comunidad de Madrid;2024-09-01;253523;253264;63923;74047;60993;32,1280841161422;37,2164673833828;30,6554485004750;198963
Región de Murcia;2024-09-01;66558;57634;14912;19117;16202;29,6868467679322;38,0581712488304;32,2549819832374;50231
Comunidad Foral de Navarra;2024-09-01;21482;21406;3287;6354;7033;19,7133261364999;38,1072328175603;42,1794410459398;16674
País Vasco;2024-09-01;116519;116315;19692;26905;37639;23,3771784035329;31,9400256422432;44,6827959542238;84236
La Rioja;2024-09-01;14863;14836;2479;4400;3756;23,3098260460743;41,3728255759285;35,3173483779972;10635
Ceuta y Melilla;2024-09-01;5557;5312;1246;1433;1260;31,6323940086316;36,3797918253364;31,9878141660320;3939
Andalucía;2024-10-01;412895;381205;77126;137346;94840;24,9346937719843;44,4037088764742;30,6615973515415;309312
Aragón;2024-10-01;57535;52268;13021;15885;15434;29,3662607126748;35,8254397834912;34,8082995038340;44340
Principado de Asturias;2024-10-01;50749;41922;7903;10949;13937;24,1025953825978;33,3922961968953;42,5051084205069;32789
Islas Baleares;2024-10-01;46046;43774;8588;11458;15423;24,2126927739716;32,3042656968057;43,4830415292227;35469
Canarias;2024-10-01;74817;57782;16751;18049;16347;32,7506989657262;35,2884822179209;31,9608188163529;51147
Cantabria;2024-10-01;24593;23650;5459;8031;5437;28,8423944629365;42,4314471390078;28,7261583980557;18927
Castilla y León;2024-10-01;160404;155075;35137;41344;49134;27,9719778688851;32,9132667276997;39,1147554034152;125615
Castilla-La Mancha;2024-10-01;99393;96594;23508;26088;29779;29,6163779527559;32,8667716535433;37,5168503937008;79375
Cataluña;2024-10-01;378335;346284;49352;100637;114414;18,6654463073414;38,0619735782120;43,2725801144465;264403
Comunidad Valenciana;2024-10-01;215210;198444;47986;63767;58465;28,1909081295750;37,4619605447132;34,3471313257117;170218
Extremadura;2024-10-01;59181;56901;13320;13666;14193;32,3465844240997;33,1868185240050;34,4665970518954;41179
Galicia;2024-10-01;84886;84833;26032;26764;25188;33,3812064013131;34,3198604842019;32,2989331144850;77984
Comunidad de Madrid;2024-10-01;256574;256185;64668;74994;61740;32,1089164953675;37,2359758095749;30,6551076950576;201402
Región de Murcia;2024-10-01;66926;58347;15019;19227;16433;29,6355492413031;37,9387912152963;32,4256595434006;50679
Comunidad Foral de Navarra;2024-10-01;21325;21250;3289;6320;6963;19,8467294231233;38,1366159787594;42,0166545981173;16572
País Vasco;2024-10-01;117049;116890;19768;26994;37929;23,3413231630279;31,8735166664699;44,7851601705022;84691
La Rioja;2024-10-01;14815;14787;2469;4387;3707;23,3740414654928;41,5317618100918;35,0941967244154;10563
Ceuta y Melilla;2024-10-01;5588;5333;1245;1458;1252;31,4791403286979;36,8647281921618;31,6561314791403;3955
Andalucía;2024-11-01;421232;385264;76848;137546;96221;24,7405952706727;44,2818279864141;30,9775767429133;310615
Aragón;2024-11-01;57826;52839;13231;16016;15692;29,4421326687287;35,6394223280447;34,9184450032266;44939
Principado de Asturias;2024-11-01;51212;42501;7943;11098;14320;23,8092383321843;33,2663888972153;42,9243727706004;33361
Islas Baleares;2024-11-01;46224;43954;8607;11447;15499;24,2089275166653;32,1970016594943;43,5940708238405;35553
Canarias;2024-11-01;75587;58487;17145;18280;16402;33,0812124954174;35,2711906921103;31,6475968124723;51827
Cantabria;2024-11-01;23597;23385;5392;7940;5269;28,9876888339337;42,6858771033815;28,3264340626848;18601
Castilla y León;2024-11-01;160569;155773;35112;41418;49388;27,8848139265236;32,8928350196159;39,2223510538605;125918
Castilla-La Mancha;2024-11-01;99090;96855;23726;26233;29715;29,7788488088963;32,9254210909456;37,2957301001581;79674
Cataluña;2024-11-01;380731;349423;49592;101250;115971;18,5868004932293;37,9479260755660;43,4652734312046;266813
Comunidad Valenciana;2024-11-01;216542;200058;48217;64272;59060;28,1068382794420;37,4656803595474;34,4274813610106;171549
Extremadura;2024-11-01;59493;56967;13333;13707;14168;32,3553678897301;33,2629586488061;34,3816734614638;41208
Galicia;2024-11-01;85172;85120;25967;26890;25483;33,1465407199387;34,3247383201430;32,5287209599183;78340
Comunidad de Madrid;2024-11-01;257624;257527;64764;75546;62384;31,9516117891995;37,2709601665565;30,7774280442440;202694
Región de Murcia;2024-11-01;67041;59207;15073;19398;16940;29,3186283091167;37,7312248351520;32,9501468557313;51411
Comunidad Foral de Navarra;2024-11-01;21196;21123;3287;6331;6900;19,8995035718610;38,3278847318077;41,7726116963313;16518
País Vasco;2024-11-01;117632;117475;19949;27074;38104;23,4343980170804;31,8042454215466;44,7613565613730;85127
La Rioja;2024-11-01;14780;14750;2491;4396;3652;23,6360185975899;41,7117373564854;34,6522440459247;10539
Ceuta y Melilla;2024-11-01;5608;5377;1250;1475;1259;31,3755020080321;37,0230923694779;31,6014056224900;3984
Andalucía;2024-12-01;423377;391278;76789;138248;98818;24,4663937168438;44,0483662837935;31,4852399993628;313855
Aragón;2024-12-01;57909;53246;13356;16179;15815;29,4509371554576;35,6758544652701;34,8732083792723;45350
Principado de Asturias;2024-12-01;51282;42684;7915;11181;14476;23,5761944477541;33,3045394972000;43,1192660550459;33572
Islas Baleares;2024-12-01;46233;44039;8577;11482;15540;24,0933734093654;32,2537149919942;43,6529115986404;35599
Canarias;2024-12-01;75761;59260;17324;18556;16623;32,9962097403958;35,3427423194865;31,6610479401177;52503
Cantabria;2024-12-01;23556;23374;5336;7925;5290;28,7639480351464;42,7200689989758;28,5159829658778;18551
Castilla y León;2024-12-01;160725;156506;35163;41339;49843;27,8309390953342;32,7191420317385;39,4499188729273;126345
Castilla-La Mancha;2024-12-01;98880;97222;23889;26396;29760;29,8444624898495;32,9764507464551;37,1790867636954;80045
Cataluña;2024-12-01;382242;352224;49806;101997;117285;18,5091865858009;37,9047003210846;43,5861130931145;269088
Comunidad Valenciana;2024-12-01;218328;201299;48307;64643;59604;27,9952942267348;37,4624755149113;34,5422302583539;172554
Extremadura;2024-12-01;59450;56727;13200;13612;14179;32,2021907247932;33,2072894049913;34,5905198702154;40991
Galicia;2024-12-01;85251;85199;25794;26936;25722;32,8787029011370;34,3343700606740;32,7869270381890;78452
Comunidad de Madrid;2024-12-01;256424;256322;64576;75323;61911;31,9984143501313;37,3237203310044;30,6778653188643;201810
Región de Murcia;2024-12-01;66811;59427;15096;19409;17112;29,2461785845748;37,6019528449929;33,1518685704322;51617
Comunidad Foral de Navarra;2024-12-01;21514;21443;3531;6723;6679;20,8527726923758;39,7035374712101;39,4436898364141;16933
País Vasco;2024-12-01;117575;117423;19873;27063;38146;23,3574669142709;31,8081380315460;44,8343950541830;85082
La Rioja;2024-12-01;14722;14692;2456;4375;3575;23,6017682106477;42,0430520853354;34,3551797040169;10406
Ceuta y Melilla;2024-12-01;5608;5404;1256;1483;1265;31,3686313686314;37,0379620379620;31,5934065934066;4004
Andalucía;2025-01-01;424865;392432;76160;138046;100066;24,2337847469708;43,9256440281030;31,8405712249262;314272
Aragón;2025-01-01;57851;53437;13380;16240;15946;29,3639994732915;35,6406092261774;34,9953913005311;45566
Principado de Asturias;2025-01-01;51635;43162;7975;11323;14726;23,4393369386316;33,2794498001411;43,2812132612274;34024
Islas Baleares;2025-01-01;46118;43922;8447;11428;15565;23,8346501128668;32,2460496613995;43,9193002257336;35440
Canarias;2025-01-01;75170;59230;17662;18938;16811;33,0680945872573;35,4571155754433;31,4747898372994;53411
Cantabria;2025-01-01;23612;23418;5281;7908;5347;28,4905049633146;42,6629261976694;28,8465688390160;18536
Castilla y León;2025-01-01;160337;156720;34883;41479;49894;27,6287859586871;32,8530921302750;39,5181219110379;126256
Castilla-La Mancha;2025-01-01;100119;96965;23866;26318;29706;29,8735761672299;32,9427963449743;37,1836274877957;79890
Cataluña;2025-01-01;385490;352792;49486;101812;118088;18,3699227131328;37,7940947191020;43,8359825677652;269386
Comunidad Valenciana;2025-01-01;219001;201840;47978;64779;60191;27,7412863982237;37,4557670513680;34,8029465504082;172948
Extremadura;2025-01-01;59500;56996;13264;13658;14302;32,1754317873084;33,1311857170580;34,6933824956336;41224
Galicia;2025-01-01;85714;85665;26127;26942;25900;33,0851346730996;34,1171852245818;32,7976801023186;78969
Comunidad de Madrid;2025-01-01;261049;260965;65167;76627;63930;31,6769069238397;37,2474772024654;31,0756158736949;205724
Región de Murcia;2025-01-01;66933;59850;15088;19487;17389;29,0354861057655;37,5009622046032;33,4635516896313;51964
Comunidad Foral de Navarra;2025-01-01;21298;21230;3478;6686;6611;20,7332339791356;39,8569299552906;39,4098360655738;16775
País Vasco;2025-01-01;117857;117706;19846;27140;38238;23,2868675490472;31,8454895334648;44,8676429174880;85224
La Rioja;2025-01-01;14780;14749;2448;4404;3604;23,4123947972456;42,1193573068095;34,4682478959449;10456
Ceuta y Melilla;2025-01-01;5678;5416;1236;1493;1279;30,8383233532934;37,2504990019960;31,9111776447106;4008
Andalucía;2025-02-01;423413;392607;75562;137882;101353;24,0034053691744;43,8002903458419;32,1963042849837;314797
Aragón;2025-02-01;57888;53485;13398;16230;16020;29,3506834910620;35,5546792849632;35,0946372239748;45648
Principado de Asturias;2025-02-01;51675;43328;8034;11395;14874;23,4206920677492;33,2186689210856;43,3606390111652;34303
Islas Baleares;2025-02-01;46508;44238;8505;11446;15680;23,8696640565799;32,1237124975443;44,0066234458758;35631
Canarias;2025-02-01;76187;63901;19228;20133;17346;33,9076304512670;35,5035533532015;30,5888161955314;56707
Cantabria;2025-02-01;23198;22822;5157;7745;5155;28,5595613889350;42,8919532591239;28,5484853519411;18057
Castilla y León;2025-02-01;160402;157228;34743;41519;49989;27,5189899485945;32,8860761498919;39,5949339015136;126251
Castilla-La Mancha;2025-02-01;100632;97418;23806;26381;30104;29,6496494003064;32,8567336314157;37,4936169682779;80291
Cataluña;2025-02-01;386600;354986;49438;102227;119212;18,2510881322519;37,7392691147643;44,0096427529838;270877
Comunidad Valenciana;2025-02-01;219504;204737;48185;65612;61557;27,4787002292505;37,4168824207033;35,1044173500462;175354
Extremadura;2025-02-01;59616;57282;13310;13704;14433;32,1133013245832;33,0639129490675;34,8227857263493;41447
Galicia;2025-02-01;85269;85220;25942;26823;25846;33,0004706720434;34,1211789698643;32,8783503580924;78611
Comunidad de Madrid;2025-02-01;262487;262142;65365;77004;64265;31,6332258969966;37,2658904149366;31,1008836880668;206634
Región de Murcia;2025-02-01;67463;59971;14995;19465;17519;28,8481886915870;37,4478154639374;33,7039958444757;51979
Comunidad Foral de Navarra;2025-02-01;20949;20881;3367;6550;6562;20,4320650524910;39,7475574974210;39,8203774500880;16479
País Vasco;2025-02-01;117866;117718;19685;27099;38368;23,1174840285607;31,8242671927847;45,0582487786546;85152
La Rioja;2025-02-01;14827;14794;2430;4411;3644;23,1759656652361;42,0696232713400;34,7544110634239;10485
Ceuta y Melilla;2025-02-01;5676;5454;1242;1493;1291;30,8494783904620;37,0839542970690;32,0665673124690;4026
Andalucía;2025-03-01;424082;394924;75089;137707;102208;23,8374750796815;43,7159528132976;32,4465721070209;315004
Aragón;2025-03-01;58385;53675;13390;16365;16079;29,2141205218833;35,7049352009425;35,0809442771741;45834
Principado de Asturias;2025-03-01;51790;43925;8184;11496;15175;23,4801319753264;32,9823554726725;43,5375125520011;34855
Islas Baleares;2025-03-01;46932;44108;8446;11441;15593;23,8049605411499;32,2463359639233;43,9487034949267;35480
Canarias;2025-03-01;76190;65199;19647;20553;17729;33,9156553712303;35,4796388682698;30,6047057604999;57929
Cantabria;2025-03-01;23289;22977;5287;7906;5126;28,8607456738905;43,1573775861128;27,9818767399967;18319
Castilla y León;2025-03-01;160539;157559;34940;41670;49998;27,5969922911664;32,9126121572097;39,4903955516239;126608
Castilla-La Mancha;2025-03-01;101607;98062;23913;26502;30451;29,5711423836965;32,7727351420869;37,6561224742166;80866
Cataluña;2025-03-01;392480;357984;49579;102907;120687;18,1493046530953;37,6709996961632;44,1796956507415;273173
Comunidad Valenciana;2025-03-01;220547;205673;47889;65888;62283;27,2003862319664;37,4236055890037;35,3760081790299;176060
Extremadura;2025-03-01;60140;57458;13340;13785;14497;32,0503579837586;33,1195041084042;34,8301379078372;41622
Galicia;2025-03-01;85856;85801;25826;27106;26324;32,5855455738367;34,2005652568891;33,2138891692743;79256
Comunidad de Madrid;2025-03-01;265363;265236;66085;78167;64966;31,5866703629707;37,3615080920380;31,0518215449913;209218
Región de Murcia;2025-03-01;68449;60474;15130;19495;17635;28,9513968618446;37,3038652889399;33,7447378492155;52260
Comunidad Foral de Navarra;2025-03-01;20777;20708;3380;6493;6486;20,6614096216150;39,6906901399841;39,6479002384009;16359
