ccaa;fecha;personas_con_pia;personas_prest_efectiva;pendientes_prest_efectiva
Canarias;2025-10-01;61080;45575;15505
Cantabria;2025-10-01;18238;18237;1
Castilla y León;2025-10-01;127957;122523;5434
Castilla-La Mancha;2025-10-01;80382;78826;1556
Cataluña;2025-10-01;243496;243496;0
Comunidad Valenciana;2025-10-01;177368;174763;2605
Extremadura;2025-10-01;37527;37305;222
Galicia;2025-10-01;90424;89715;709
Comunidad de Madrid;2025-10-01;206319;206319;0
Región de Murcia;2025-10-01;48582;48261;321
Comunidad Foral de Navarra;2025-10-01;17455;17455;0
País Vasco;2025-10-01;74226;74226;0
La Rioja;2025-10-01;9325;9325;0
Ceuta y Melilla;2025-10-01;3893;3817;76
Andalucía;2025-11-01;332828;320680;12148
Aragón;2025-11-01;48921;48304;617
Principado de Asturias;2025-11-01;33860;32954;906
Islas Baleares;2025-11-01;34163;34163;0
Canarias;2025-11-01;63684;46827;16857
Cantabria;2025-11-01;18310;18309;1
Castilla y León;2025-11-01;128107;122879;5228
Castilla-La Mancha;2025-11-01;81366;79767;1599
Cataluña;2025-11-01;245776;245776;0
Comunidad Valenciana;2025-11-01;178555;176107;2448
Extremadura;2025-11-01;37544;37327;217
Galicia;2025-11-01;92589;91361;1228
Comunidad de Madrid;2025-11-01;208749;208749;0
Región de Murcia;2025-11-01;49151;48621;530
Comunidad Foral de Navarra;2025-11-01;17626;17626;0
País Vasco;2025-11-01;74626;74626;0
La Rioja;2025-11-01;9412;9372;40
Ceuta y Melilla;2025-11-01;3897;3829;68
Andalucía;2025-12-01;338932;326811;12121
Aragón;2025-12-01;49312;48724;588
Principado de Asturias;2025-12-01;33772;32835;937
Islas Baleares;2025-12-01;34208;34208;0
Canarias;2025-12-01;65832;48708;17124
Cantabria;2025-12-01;18132;18131;1
Castilla y León;2025-12-01;129176;124105;5071
Castilla-La Mancha;2025-12-01;82425;80900;1525
Cataluña;2025-12-01;248373;248373;0
Comunidad Valenciana;2025-12-01;179408;176873;2535
Extremadura;2025-12-01;37664;37455;209
Galicia;2025-12-01;93660;92878;782
Comunidad de Madrid;2025-12-01;209961;209961;0
Región de Murcia;2025-12-01;50287;49885;402
Comunidad Foral de Navarra;2025-12-01;17562;17562;0
País Vasco;2025-12-01;74802;74802;0
La Rioja;2025-12-01;9620;9402;218
Ceuta y Melilla;2025-12-01;3916;3849;67
Andalucía;2026-01-01;340135;326375;13760
Aragón;2026-01-01;49186;48633;553
Principado de Asturias;2026-01-01;33656;32709;947
Islas Baleares;2026-01-01;34177;34177;0
Canarias;2026-01-01;67552;50313;17239
Cantabria;2026-01-01;18030;18029;1
Castilla y León;2026-01-01;128699;125174;3525
Castilla-La Mancha;2026-01-01;81799;80278;1521
Cataluña;2026-01-01;249207;249207;0
Comunidad Valenciana;2026-01-01;179130;176666;2464
Extremadura;2026-01-01;37151;36952;199
Galicia;2026-01-01;92849;92065;784
Comunidad de Madrid;2026-01-01;208264;208264;0
Región de Murcia;2026-01-01;50018;49857;161
Comunidad Foral de Navarra;2026-01-01;17320;17320;0
País Vasco;2026-01-01;74273;74273;0
La Rioja;2026-01-01;9594;9463;131
Ceuta y Melilla;2026-01-01;3910;3850;60
Andalucía;2026-02-01;338796;323339;15457
Aragón;2026-02-01;49233;48585;648
Principado de Asturias;2026-02-01;33640;32723;917
Islas Baleares;2026-02-01;34144;34144;0
Canarias;2026-02-01;69284;52380;16904
Cantabria;2026-02-01;17725;17724;1
Castilla y León;2026-02-01;127280;123843;3437
Castilla-La Mancha;2026-02-01;81293;79799;1494
Cataluña;2026-02-01;249212;249212;0
Comunidad Valenciana;2026-02-01;179593;177374;2219
Extremadura;2026-02-01;36368;36174;194
Galicia;2026-02-01;92497;91724;773
Comunidad de Madrid;2026-02-01;211239;211239;0
Región de Murcia;2026-02-01;49930;49717;213
Comunidad Foral de Navarra;2026-02-01;17243;17243;0
País Vasco;2026-02-01;73844;73844;0
La Rioja;2026-02-01;9483;9321;162
Ceuta y Melilla;2026-02-01;3934;3864;70
Andalucía;2026-03-01;347017;333922;13095
Aragón;2026-03-01;49822;49157;665
Principado de Asturias;2026-03-01;33854;32971;883
Islas Baleares;2026-03-01;34248;34248;0
Canarias;2026-03-01;71093;55032;16061
Cantabria;2026-03-01;18907;18906;1
Castilla y León;2026-03-01;127186;123885;3301
Castilla-La Mancha;2026-03-01;81518;80020;1498
Cataluña;2026-03-01;250944;250944;0
Comunidad Valenciana;2026-03-01;180393;178140;2253
Extremadura;2026-03-01;37186;37000;186
Galicia;2026-03-01;93892;93057;835
Comunidad de Madrid;2026-03-01;213333;213333;0
Región de Murcia;2026-03-01;50387;50125;262
Comunidad Foral de Navarra;2026-03-01;17234;17234;0
País Vasco;2026-03-01;74024;74024;0
La Rioja;2026-03-01;9560;9530;30
Ceuta y Melilla;2026-03-01;4013;3918;95
