ccaa;fecha;personas_con_pia;personas_prest_efectiva;pendientes_prest_efectiva
Extremadura;2023-08-01;34303;34043;260
Galicia;2023-08-01;72822;71034;1788
Comunidad de Madrid;2023-08-01;172160;172160;0
Región de Murcia;2023-08-01;39370;39046;324
Comunidad Foral de Navarra;2023-08-01;15602;15602;0
País Vasco;2023-08-01;66844;66844;0
La Rioja;2023-08-01;9014;9014;0
Ceuta y Melilla;2023-08-01;3282;3200;82
Andalucía;2023-09-01;279070;278419;651
Aragón;2023-09-01;39671;39047;624
Principado de Asturias;2023-09-01;30221;29295;926
Islas Baleares;2023-09-01;28700;28700;0
Canarias;2023-09-01;39639;33306;6333
Cantabria;2023-09-01;17466;17466;0
Castilla y León;2023-09-01;120214;110726;9488
Castilla-La Mancha;2023-09-01;69984;67933;2051
Cataluña;2023-09-01;199875;199875;0
Comunidad Valenciana;2023-09-01;140566;139205;1361
Extremadura;2023-09-01;34508;34237;271
Galicia;2023-09-01;73023;71303;1720
Comunidad de Madrid;2023-09-01;173387;173387;0
Región de Murcia;2023-09-01;39648;39410;238
Comunidad Foral de Navarra;2023-09-01;15742;15742;0
País Vasco;2023-09-01;66938;66938;0
La Rioja;2023-09-01;9002;9002;0
Ceuta y Melilla;2023-09-01;3297;3217;80
Andalucía;2023-10-01;280143;279437;706
Aragón;2023-10-01;39898;39218;680
Principado de Asturias;2023-10-01;30524;29616;908
Islas Baleares;2023-10-01;28954;28954;0
Canarias;2023-10-01;40012;33677;6335
Cantabria;2023-10-01;17312;17312;0
Castilla y León;2023-10-01;121004;111642;9362
Castilla-La Mancha;2023-10-01;70822;68708;2114
Cataluña;2023-10-01;201339;201339;0
Comunidad Valenciana;2023-10-01;143800;142202;1598
Extremadura;2023-10-01;34759;34488;271
Galicia;2023-10-01;73212;71533;1679
Comunidad de Madrid;2023-10-01;174935;174935;0
Región de Murcia;2023-10-01;39783;39677;106
Comunidad Foral de Navarra;2023-10-01;15885;15885;0
País Vasco;2023-10-01;67247;67247;0
La Rioja;2023-10-01;9051;9051;0
Ceuta y Melilla;2023-10-01;3350;3269;81
Andalucía;2023-11-01;281863;281229;634
Aragón;2023-11-01;40121;39437;684
Principado de Asturias;2023-11-01;30849;29939;910
Islas Baleares;2023-11-01;29118;29118;0
Canarias;2023-11-01;40343;33950;6393
Cantabria;2023-11-01;17282;17282;0
