ccaa;periodo;genero;origen;capa;es_prorroga;estimado;pib_regional_eur;pib_origen;imp_dependencia;imp_discapacidad;imp_diversidad;imp_educacion;imp_empleo;imp_idi;imp_igualdad;imp_salud_mental;imp_sanidad;imp_soberania;imp_total;imp_turismo;imp_vivienda;imp_direccion;pib_dependencia;pib_discapacidad;pib_diversidad;pib_educacion;pib_empleo;pib_idi;pib_igualdad;pib_salud_mental;pib_sanidad;pib_soberania;pib_total;pib_turismo;pib_vivienda;pib_direccion;pibreg_dependencia;pibreg_discapacidad;pibreg_diversidad;pibreg_educacion;pibreg_empleo;pibreg_idi;pibreg_igualdad;pibreg_salud_mental;pibreg_sanidad;pibreg_soberania;pibreg_total;pibreg_turismo;pibreg_vivienda;pibreg_direccion;pc_dependencia;pc_discapacidad;pc_diversidad;pc_educacion;pc_empleo;pc_idi;pc_igualdad;pc_salud_mental;pc_sanidad;pc_soberania;pc_total;pc_turismo;pc_vivienda;pc_direccion;var_dependencia;var_discapacidad;var_diversidad;var_educacion;var_empleo;var_idi;var_igualdad;var_salud_mental;var_sanidad;var_soberania;var_total;var_turismo;var_vivienda;var_direccion
Andalucía;2020;total;real;autonomica;FALSE;FALSE;150452909000,00;real;1509239704,00;192851292,00;5499362,00;7887891327,00;1145803823,00;705858590,00;135373478,00;7873415,00;10765885257,00;2577053563,00;NA;136124125,00;318299022,00;NA;0,1337;0,0171;0,0005;0,6985;0,1015;0,0625;0,0120;0,0007;0,9534;0,2282;NA;0,0121;0,0282;NA;1,0031;0,1282;0,0037;5,2428;0,7616;0,4692;0,0900;0,0052;7,1557;1,7129;NA;0,0905;0,2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,30;24,08;10,60;8,11;116,12;-18,20;15,04;-79,40;11,99;15,64;NA;13,15;-5,95;NA
Andalucía;2020;total;real;hacienda;FALSE;FALSE;150452909000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38545964430;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,4135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,6200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,60;NA;NA;NA
Andalucía;2021;total;real;autonomica;FALSE;FALSE;166296356000,00;real;1610002176,00;194332129,00;4023798,00;8500803036,00;1245388445,00;433671834,00;140301532,00;31641238,00;11453591430,00;2824012606,00;NA;138375113,00;309672280,00;NA;0,1317;0,0159;0,0003;0,6955;0,1019;0,0355;0,0115;0,0026;0,9371;0,2310;NA;0,0113;0,0253;NA;0,9682;0,1169;0,0024;5,1118;0,7489;0,2608;0,0844;0,0190;6,8875;1,6982;NA;0,0832;0,1862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,68;0,77;-26,83;7,77;8,69;-38,56;3,64;301,87;6,39;9,58;NA;1,65;-2,71;NA
Andalucía;2021;total;real;hacienda;FALSE;FALSE;166296356000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40188042630;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,2879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,1665;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,26;NA;NA;NA
Andalucía;2022;total;real;autonomica;FALSE;FALSE;184364390000,00;real;1762584911,00;203115125,00;3741220,00;8744579745,00;929484859,00;278322080,00;161160733,00;32325730,00;12214500940,00;2822716779,00;NA;158420836,00;246777546,00;NA;0,1283;0,0148;0,0003;0,6366;0,0677;0,0203;0,0117;0,0024;0,8892;0,2055;NA;0,0115;0,0180;NA;0,9560;0,1102;0,0020;4,7431;0,5042;0,1510;0,0874;0,0175;6,6252;1,5311;NA;0,0859;0,1339;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,48;4,52;-7,02;2,87;-25,37;-35,82;14,87;2,16;6,64;-0,05;NA;14,49;-20,31;NA
Andalucía;2022;total;real;hacienda;FALSE;FALSE;184364390000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40401786880;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,9412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,9141;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,53;NA;NA;NA
Andalucía;2023;total;real;autonomica;FALSE;FALSE;199406067000,00;real;2041969111,00;222481616,00;10579800,00;8808586626,00;696433298,00;359531438,00;2327667,00;33167180,00;13644937026,00;2459663807,00;NA;198628819,00;418602732,00;NA;0,1363;0,0148;0,0007;0,5879;0,0465;0,0240;0,0002;0,0022;0,9107;0,1642;NA;0,0133;0,0279;NA;1,0240;0,1116;0,0053;4,4174;0,3493;0,1803;0,0012;0,0166;6,8428;1,2335;NA;0,0996;0,2099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,85;9,53;182,79;0,73;-25,07;29,18;-98,56;2,60;11,71;-12,86;NA;25,38;69,63;NA
Andalucía;2023;total;real;hacienda;FALSE;FALSE;199406067000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45603830860;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,0437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,8698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,88;NA;NA;NA
Andalucía;2024;total;real;autonomica;FALSE;FALSE;212359142000,00;real;2229589384,00;252376683,00;10622729,00;9319094156,00;781223880,00;362235848,00;2309609,00;33795836,00;14055560408,00;2596558672,00;NA;177174289,00;448235300,00;NA;0,1401;0,0159;0,0007;0,5855;0,0491;0,0228;0,0001;0,0021;0,8831;0,1631;NA;0,0111;0,0282;NA;1,0499;0,1188;0,0050;4,3884;0,3679;0,1706;0,0011;0,0159;6,6188;1,2227;NA;0,0834;0,2111;NA;258,31;29,24;1,23;1079,65;90,51;41,97;0,27;3,92;1628,39;300,82;NA;20,53;51,93;NA;9,19;13,44;0,41;5,80;12,17;0,75;-0,78;1,90;3,01;5,57;NA;-10,80;7,08;NA
Andalucía;2024;total;real;hacienda;FALSE;FALSE;212359142000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46753227860;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,9375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,0161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5416,54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,52;NA;NA;NA
