ccaa_id3,anio,capitulo,codigo,denominacion,importe_eur,capa,fuente_path
and,2024,1,01,Gastos de personal,15591588170.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,2,02,Gastos corrientes en bienes y servicios,6869217170.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,3,03,Gastos financieros,746530050.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,4,04,Transferencias corrientes,13973829440.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,5,05,Fondo de contingencia,16010000.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,6,06,Inversiones reales,3530667920.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,7,07,Transferencias de capital,2270544950.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,8,08,Activos financieros,218949740.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
and,2024,9,09,Pasivos financieros,3535890420.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_and.xlsx
ara,2024,1,01,Gastos de personal,2937308220.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,2,02,Gastos corrientes en bienes y servicios,1341021950.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,3,03,Gastos financieros,223976290.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,4,04,Transferencias corrientes,1927424070.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,5,05,Fondo de contingencia,40000000.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,6,06,Inversiones reales,414141530.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,7,07,Transferencias de capital,639667140.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,8,08,Activos financieros,2250000.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ara,2024,9,09,Pasivos financieros,1020511720.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ara.xlsx
ast,2024,1,01,Gastos de personal,2223152840.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,2,02,Gastos corrientes en bienes y servicios,1235656540.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,3,03,Gastos financieros,86545050.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,4,04,Transferencias corrientes,1222303780.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,5,05,Fondo de contingencia,2000000.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,6,06,Inversiones reales,505014030.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,7,07,Transferencias de capital,488392840.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,8,08,Activos financieros,18514360.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
ast,2024,9,09,Pasivos financieros,567016000.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_ast.xlsx
bal,2024,1,01,Gastos de personal,2111592500.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_bal.xlsx
bal,2024,2,02,Gastos corrientes en bienes y servicios,971798340.0,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_bal.xlsx
bal,2024,3,03,Gastos financieros,132415489.99999999,hacienda,fuentes/raw/hacienda/2024/per_ccaa/SGCIEF_2024_bal.xlsx
