"ccaa","periodo","genero","avs_65","mort_cancer","mort_cardio","mort_diabetes","mort_ictus","mort_epoc","mort_evitable_idx","mort_evitable_idx_0_100","med_ae","med_ap","enf_ae","enf_ap","camas","gasto_farmacia_pct","pct_pib_sanidad","imp_sanidad_eur","pib_regional_eur","origen_pib","espera_quir","espera_ae","reingresos_psiq","poblacion_total"
"Andalucía",1990,"total",NA,6.33376979056384,64.9854710151461,17.2067629965151,46.1674268631855,25.9388252780534,1.70612550021358,46.6418992266256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6917330
"Andalucía",1990,"hombres",NA,12.4129401174158,99.4083785904656,17.1873223496528,58.008560122482,47.331531727277,2.389709327097,69.1719133435827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3405402
"Andalucía",1990,"mujeres",NA,0.884885137023224,35.7555555497012,16.9951699522321,36.1714645152704,8.85254777363821,1.13829245600716,27.92687701732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3511928
"Andalucía",1991,"total",NA,6.36820193205821,67.598021774228,15.5616305583919,48.4434582239252,24.6627612386764,1.67931363118431,45.7582156695036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6960261
"Andalucía",1991,"hombres",NA,12.108867363082,103.744917690511,14.7464075657443,60.8498154079138,46.8695183675627,2.37100244498939,68.5553593799084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426453
"Andalucía",1991,"mujeres",NA,1.26791902484048,36.5415079801054,16.092607630462,38.0769510977002,6.57554760079434,1.10018037669541,26.6707535527918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3533808
"Andalucía",1992,"total",NA,6.29944619233311,65.8342172580645,13.1075813162602,42.1774924278014,21.9042660253579,1.49858445779997,39.8016223921885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7003060
"Andalucía",1992,"hombres",NA,12.3417485460269,101.220391012135,12.8699151055732,52.114490784632,40.0418400896578,2.10779189965694,59.880289741253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3447924
"Andalucía",1992,"mujeres",NA,0.852101922919377,34.932889597599,13.14987808147,33.6718128248178,7.0506590443619,0.980537577751089,22.7274859633619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3555136
"Andalucía",1993,"total",NA,5.77377998508623,65.2878727512023,12.613317449009,41.5800276446977,24.2947905573512,1.5168884972223,40.4048991965308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7044291
"Andalucía",1993,"hombres",NA,10.9901765078754,101.672058993729,12.9251662731519,53.8366919391672,44.3380416309565,2.19925072275478,62.8946509570665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3468353
"Andalucía",1993,"mujeres",NA,1.05684896424249,33.6017739339423,12.235704753221,31.0404346554298,7.5928724221271,0.933765462551962,21.1859392294074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3575938
"Andalucía",1994,"total",NA,6.04090194208923,61.1670317370398,12.4552640392725,38.3891349043468,22.070599382246,1.42128616138958,37.2539733097301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7082318
"Andalucía",1994,"hombres",NA,11.423801427944,91.6714944115341,12.4607124887489,48.641747913554,40.3436465370074,2.0136003765425,56.775862365987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3487474
"Andalucía",1994,"mujeres",NA,1.15935118501989,34.3375244338575,12.3148964504246,29.6406141524243,6.75032522943737,0.912039016353415,20.4698644477727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3594844
"Andalucía",1995,"total",NA,6.19817954584847,63.3096922009463,11.7903397797562,38.9688908787821,22.2073363020413,1.42459061780397,37.3628837999104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7112623
"Andalucía",1995,"hombres",NA,11.9683404322939,98.5260210334663,12.8424807820712,50.5416520704685,41.668753703917,2.10374699872013,59.746975184027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502621
"Andalucía",1995,"mujeres",NA,0.960857060657647,32.4831368095229,10.8543497066469,28.8901486539131,5.89565119057801,0.842205029469758,18.1682290835988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3610002
"Andalucía",1996,"total",NA,5.473046444519,62.9595213526301,10.9251953810114,37.4953781246994,22.0140699308966,1.3815336464413,35.943783267563,1.26,NA,2.46,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,7137487
"Andalucía",1996,"hombres",NA,10.2862052757908,98.9740332424314,11.6609142203951,49.6282225191089,41.0969572137269,2.05427532811216,58.1164546928257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3514843
"Andalucía",1996,"mujeres",NA,1.17362767449141,31.3581215227649,10.17007755635,26.978376878573,5.91377548403852,0.800542296816074,16.7950808054746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3622644
"Andalucía",1997,"total",NA,5.95406751038886,59.2845750227051,10.2888954127189,35.2680770276667,19.5248186935561,1.28153052969198,32.6478134925404,1.26,NA,2.34,NA,3.02,NA,NA,NA,NA,NA,NA,NA,11.1845449923742,7162605
"Andalucía",1997,"hombres",NA,11.3539992501541,91.2872925109424,11.3556578951625,45.8994057333069,35.2350367719147,1.86925329904466,52.0183745994976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2188813449725,3527014
"Andalucía",1997,"mujeres",NA,1.0763386406057,31.1925500178605,9.29741698942403,26.0625221740129,6.27887111532638,0.774486678969806,15.9363222819167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.126335982461,3635591
"Andalucía",1998,"total",NA,5.75986131511117,60.7318462638526,11.8252218482137,33.4121187196633,21.2233718364645,1.33921853593653,34.5491334827961,1.27,NA,2.33,NA,3.01,NA,NA,NA,NA,NA,NA,NA,11.3119936771389,7189460
"Andalucía",1998,"hombres",NA,10.8165985560951,94.6167652908744,13.6602952766188,43.7236613855276,40.2040456977769,2.00902148522218,56.6249481956546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4290281329923,3539767
"Andalucía",1998,"mujeres",NA,1.1830362137051,30.8090749885027,10.2362370018006,24.4044245502001,5.11274491003545,0.760383082326436,15.4714864871266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1226073460942,3649693
