"ccaa","genero","variable","periodo","valor","li_95","ls_95","imputado"
"Andalucía","hombres","avs_65",2024,16.8090953323706,16.4404747540334,17.4847529705112,TRUE
"Andalucía","mujeres","avs_65",2024,17.8027050328676,16.9193384513366,19.444573960953,TRUE
"Andalucía","total","avs_65",2024,17.2997340395967,16.5006627473597,18.1611514828207,TRUE
"Aragón","hombres","avs_65",2024,18.3698135206023,17.7351937277661,19.0452950373295,TRUE
"Aragón","mujeres","avs_65",2024,20.7954222803083,20.1206995765345,21.8094454844352,TRUE
"Aragón","total","avs_65",2024,19.7226465818972,19.138310673706,20.503486692924,TRUE
"Canarias","hombres","avs_65",2024,17.547463078506,16.6562138703315,18.1642545010728,TRUE
"Canarias","mujeres","avs_65",2024,18.4910302440435,17.1883897116754,18.9973319056422,TRUE
"Canarias","total","avs_65",2024,18.028211432729,17.4393293328856,18.5418847374396,TRUE
"Cantabria","hombres","avs_65",2024,17.5735063640194,16.868147562557,18.1528935047478,TRUE
"Cantabria","mujeres","avs_65",2024,20.1159865699277,19.3334552339168,20.754400544406,TRUE
"Cantabria","total","avs_65",2024,18.8150013584042,18.2406865591073,19.2716227648726,TRUE
"Castilla y León","hombres","avs_65",2024,17.9599383902948,17.6644788638601,19.3546268692468,TRUE
"Castilla y León","mujeres","avs_65",2024,21.3489312237243,20.0793510624639,21.6385805490116,TRUE
"Castilla y León","total","avs_65",2024,19.6962165069248,19.5590045834835,20.5750918340228,TRUE
"Castilla-La Mancha","hombres","avs_65",2024,18.042173995027,17.5467770968363,19.6511167244011,TRUE
"Castilla-La Mancha","mujeres","avs_65",2024,21.5076195832813,20.5056245798638,22.298402787242,TRUE
"Castilla-La Mancha","total","avs_65",2024,20.0730326154725,19.8598450598305,20.3972140480388,TRUE
"Cataluña","hombres","avs_65",2024,18.2355628252592,17.7611335446004,19.5301960859793,TRUE
"Cataluña","mujeres","avs_65",2024,21.2481325963852,20.6996386022138,22.2684806240264,TRUE
"Cataluña","total","avs_65",2024,19.810123305394,19.337321604971,20.8522919343247,TRUE
"Ceuta","hombres","avs_65",2024,15.24648353915,14.3344951630554,16.2787178232696,TRUE
"Ceuta","mujeres","avs_65",2024,15.8366301609872,14.5816249088863,18.8405852669749,TRUE
"Ceuta","total","avs_65",2024,15.0850217848817,14.1740309150669,16.4160401168075,TRUE
"Comunidad Foral de Navarra","hombres","avs_65",2024,17.886705098622,17.1831906164159,18.7344063208462,TRUE
"Comunidad Foral de Navarra","mujeres","avs_65",2024,21.103109284704,20.6509399571521,21.7301855499596,TRUE
"Comunidad Foral de Navarra","total","avs_65",2024,19.4607986340872,19.0840846274888,20.4707218287009,TRUE
"Comunidad Valenciana","hombres","avs_65",2024,17.6683167955128,17.215709334764,18.1021042913118,TRUE
"Comunidad Valenciana","mujeres","avs_65",2024,20.0035827762709,19.20605076704,22.0624921668698,TRUE
"Comunidad Valenciana","total","avs_65",2024,18.9267998786986,18.3821866844193,20.2067803129415,TRUE
"Comunidad de Madrid","hombres","avs_65",2024,19.1309672555952,18.2043883327303,21.0015431290516,TRUE
"Comunidad de Madrid","mujeres","avs_65",2024,20.5945846000561,20.3822786758203,22.1800135012838,TRUE
"Comunidad de Madrid","total","avs_65",2024,19.5553315349711,19.1344684161034,21.1603080579496,TRUE
"Extremadura","hombres","avs_65",2024,17.9301078261408,17.4761937706374,18.459150343685,TRUE
"Extremadura","mujeres","avs_65",2024,20.4712447908277,19.8287809728132,21.51515662304,TRUE
"Extremadura","total","avs_65",2024,19.3452618270974,18.8387435756505,19.85202212841,TRUE
"Galicia","hombres","avs_65",2024,17.4583496670224,16.8701032626892,19.095634859431,TRUE
"Galicia","mujeres","avs_65",2024,19.6298168550131,18.3561873633665,21.7709981423167,TRUE
"Galicia","total","avs_65",2024,18.5471043139896,17.6075337568899,20.4034490148285,TRUE
"Islas Baleares","hombres","avs_65",2024,17.997877993761,17.0682586081686,19.1765370087594,TRUE
"Islas Baleares","mujeres","avs_65",2024,19.9704391946064,19.1620781642865,20.9792695240027,TRUE
"Islas Baleares","total","avs_65",2024,19.1900302394153,18.4688946406871,19.8083626117495,TRUE
"La Rioja","hombres","avs_65",2024,18.150824720742,17.6399320191661,18.775810503297,TRUE
