ccaa;ccaa_cod;periodo;origen;tasa_paro;tasa_actividad;tasa_empleo;horas_servicios;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;brecha_salarial;pct_alquiler_salario;brecha_salarial_origen;pct_alquiler_salario_origen
Cantabria;06;2012;real;17.792;56.88;46.758;125.825;41.648;50.2;19.6;13.25;28.048;32.57;real;real
Cantabria;06;2013;real;20.447;56.142;44.665;124.625;52.542;56.1;20.325;14.2;28.772;29.49;real;real
Cantabria;06;2014;real;19.418;56.49;45.525;125.725;49.205;61.225;21.825;13.85;28.425;27.26;real;real
Cantabria;06;2015;real;17.648;56.085;46.19;126.325;39.742;58.85;23.15;13.1;28.916;26.4;real;real
Cantabria;06;2016;real;14.907;56.122;47.765;129.1;32.18;55.35;22.975;12.625;27.74;28.02;real;real
Cantabria;06;2017;real;13.565;55.785;48.22;128.575;35.655;54.175;24.45;14.625;24.704;29.11;real;real
Cantabria;06;2018;real;10.675;54.815;48.962;126.85;33.045;49.725;25.25;15.075;22.561;30.18;real;real
Cantabria;06;2019;real;10.28;55.055;49.392;126.65;31.505;40.55;24.675;14.775;20.14;30.18;real;real
Cantabria;06;2020;real;12.165;53.812;47.28;117.925;42.312;31.5;26.825;13.95;18.63;31.46;real;real
Cantabria;06;2021;real;11.265;55.22;49.01;123.075;26.985;42.475;23.925;12.775;20.933;31.89;real;real
Cantabria;06;2022;real;9.575;54.702;49.468;125.575;27.232;39.275;18.0;11.525;18.895;33.21;real;real
Cantabria;06;2023;real;8.142;54.812;50.352;124.575;20.175;37.075;16.0;12.925;18.592;34.58;real;real
Cantabria;06;2024;real;7.848;55.878;51.495;122.3;22.438;35.4;16.075;13.65;20.596;38.16;real;real
Cantabria;06;2025;real;7.338;55.485;51.412;121.975;20.125;31.0;16.3;13.375;19.361;37.84;proyeccion;proyeccion
Cantabria;06;2026;proyeccion;7.563;55.541;51.164;123.323;17.806;32.384;15.8;13.4;19.361;37.553;proyeccion;proyeccion
Castilla y León;07;2010;real;15.798;55.142;46.432;125.6;34.01;38.3;21.75;13.175;25.197;24.18;real;real
Castilla y León;07;2011;real;16.868;55.298;45.972;124.425;38.658;47.275;21.6;13.125;22.522;25.56;real;real
Castilla y León;07;2012;real;19.8;55.442;44.46;123.775;48.145;49.3;20.3;13.325;25.227;26.18;real;real
Castilla y León;07;2013;real;21.748;54.982;43.03;122.0;49.752;57.5;20.8;15.775;25.448;24.89;real;real
Castilla y León;07;2014;real;20.765;55.012;43.59;122.025;50.482;62.9;21.725;15.8;22.798;24.18;real;real
Castilla y León;07;2015;real;18.26;54.805;44.798;122.15;48.15;60.625;23.375;15.8;23.252;23.62;real;real
Castilla y León;07;2016;real;15.825;55.1;46.38;121.325;39.07;57.1;25.15;15.05;23.658;24.05;real;real
Castilla y León;07;2017;real;14.078;54.768;47.058;121.075;36.2;51.575;25.25;15.2;24.153;25.09;real;real
Castilla y León;07;2018;real;12.105;54.543;47.94;121.45;28.34;49.4;25.2;15.5;22.892;26.36;real;real
Castilla y León;07;2019;real;11.64;54.83;48.452;121.575;29.728;45.4;25.05;15.1;21.291;27.76;real;real
Castilla y León;07;2020;real;12.067;53.778;47.287;113.3;34.598;41.225;22.875;14.95;20.489;27.99;real;real
Castilla y León;07;2021;real;11.62;53.492;47.28;119.55;30.36;46.8;23.825;14.425;20.82;27.99;real;real
Castilla y León;07;2022;real;9.93;54.29;48.9;120.525;27.812;44.675;20.875;14.35;17.986;28.18;real;real
Castilla y León;07;2023;real;9.682;54.0;48.77;121.075;28.265;41.7;17.25;13.325;15.556;28.62;real;real
Castilla y León;07;2024;real;9.41;54.287;49.182;121.25;27.995;35.55;16.45;13.775;17.347;29.89;real;real
Castilla y León;07;2025;real;8.55;54.5;49.84;122.3;24.712;31.375;15.75;14.775;17.347;30.298;proyeccion;proyeccion
Castilla y León;07;2026;proyeccion;9.04;54.187;49.562;123.448;20.75;30.492;15.75;14.541;17.347;30.706;proyeccion;proyeccion
Castilla-La Mancha;08;2010;real;21.222;58.288;45.918;128.425;42.902;40.175;26.85;11.675;19.647;23.9;real;real
Castilla-La Mancha;08;2011;real;23.075;59.14;45.49;125.775;47.712;48.0;26.5;12.35;20.945;23.88;real;real
Castilla-La Mancha;08;2012;real;28.585;59.188;42.27;128.4;54.608;51.75;23.1;13.45;23.161;23.7;real;real
Castilla-La Mancha;08;2013;real;29.968;59.528;41.69;128.6;61.433;63.625;23.175;14.725;25.028;21.92;real;real
Castilla-La Mancha;08;2014;real;28.995;59.15;41.995;126.925;61.43;64.65;24.375;13.9;20.081;20.79;real;real
Castilla-La Mancha;08;2015;real;26.345;58.602;43.168;124.2;57.27;63.825;27.375;14.25;20.505;20.76;real;real
Castilla-La Mancha;08;2016;real;23.548;58.49;44.718;122.5;50.968;60.95;28.4;13.2;20.365;21.16;real;real
Castilla-La Mancha;08;2017;real;20.765;58.888;46.66;122.725;44.452;56.9;28.05;12.65;20.87;21.68;real;real
Castilla-La Mancha;08;2018;real;18.165;58.765;48.092;122.55;43.308;51.45;28.45;13.6;20.331;22.24;real;real
Castilla-La Mancha;08;2019;real;16.205;58.478;49.002;121.6;39.078;48.25;27.7;14.325;15.13;23.27;real;real
Castilla-La Mancha;08;2020;real;17.67;57.262;47.138;116.675;39.412;46.05;24.825;13.1;13.599;23.6;real;real
Castilla-La Mancha;08;2021;real;15.678;58.502;49.34;120.85;34.705;52.175;26.55;13.075;15.033;24.17;real;real
Castilla-La Mancha;08;2022;real;14.638;58.72;50.122;123.575;33.745;46.825;22.75;13.15;17.435;24.74;real;real
Castilla-La Mancha;08;2023;real;13.215;58.58;50.835;125.425;29.71;40.675;19.375;12.975;15.535;25.0;real;real
Castilla-La Mancha;08;2024;real;13.34;58.162;50.405;123.925;28.855;36.65;17.6;13.7;15.188;26.04;real;real
Castilla-La Mancha;08;2025;real;12.775;58.817;51.308;125.425;27.742;42.5;16.975;14.4;14.427;26.193;proyeccion;proyeccion
Castilla-La Mancha;08;2026;proyeccion;12.7;59.064;52.326;125.566;27.612;38.1;16.288;14.766;13.857;26.346;proyeccion;proyeccion
Cataluña;09;2010;real;17.658;63.788;52.522;128.3;39.115;44.15;18.175;12.275;23.763;38.28;real;real
Cataluña;09;2011;real;19.16;64.09;51.81;126.975;43.83;49.35;20.2;13.35;25.782;38.4;real;real
Cataluña;09;2012;real;22.515;63.432;49.152;126.45;50.402;53.4;18.4;13.85;24.807;37.12;real;real
Cataluña;09;2013;real;23.12;63.148;48.548;125.625;50.248;57.4;18.6;15.275;25.082;34.75;real;real
Cataluña;09;2014;real;20.325;62.618;49.89;125.325;47.095;60.5;18.35;15.275;25.951;35.15;real;real
Cataluña;09;2015;real;18.592;62.3;50.715;125.675;42.27;59.575;19.625;13.9;23.87;37.93;real;real
Cataluña;09;2016;real;15.712;62.008;52.265;125.2;34.332;56.9;21.15;14.175;23.438;42.51;real;real
Cataluña;09;2017;real;13.412;61.728;53.45;125.35;30.418;50.35;21.575;14.3;23.026;47.88;real;real
Cataluña;09;2018;real;11.49;61.272;54.232;125.6;27.718;45.275;21.875;14.125;22.173;49.93;real;real
Cataluña;09;2019;real;11.032;61.555;54.768;124.575;26.237;39.725;21.625;14.625;20.636;50.17;real;real
Cataluña;09;2020;real;12.635;60.338;52.718;112.7;33.968;32.3;19.625;13.85;19.687;49.24;real;real
Cataluña;09;2021;real;11.698;61.18;54.03;121.325;28.855;45.075;20.7;13.05;19.853;44.44;real;real
Cataluña;09;2022;real;9.972;60.94;54.862;125.475;24.408;37.975;17.675;12.65;19.51;45.77;real;real
Cataluña;09;2023;real;9.345;61.502;55.758;125.225;22.385;35.95;14.1;12.425;16.749;49.19;real;real
Cataluña;09;2024;real;8.898;61.592;56.112;124.5;22.028;32.9;12.225;13.775;15.703;51.83;real;real
Cataluña;09;2025;real;8.36;61.798;56.632;124.525;19.042;33.675;11.7;13.125;15.127;52.942;proyeccion;proyeccion
Cataluña;09;2026;proyeccion;9.568;61.842;55.829;124.331;16.665;32.8;11.6;12.9;14.552;54.07;proyeccion;proyeccion
Ceuta;18;2010;real;23.92;56.625;43.08;;62.433;56.35;27.95;11.825;;;;
Ceuta;18;2011;real;27.745;57.525;41.592;;63.6;51.475;31.575;11.475;;;;
Ceuta;18;2012;real;37.02;59.498;37.468;;69.75;54.175;19.45;11.5;;;;
Ceuta;18;2013;real;34.79;60.332;39.31;;73.63;69.375;14.3;11.65;;;;
Ceuta;18;2014;real;31.842;58.912;40.148;;66.998;79.5;13.5;9.575;;;;
