ccaa;ccaa_cod;periodo;genero;origen;tasa_paro;tasa_actividad;tasa_empleo;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;pct_alquiler_salario;pct_alquiler_salario_origen
Aragón;02;2023;hombre;real;6.413;63.382;59.315;16.93;33.4;13.25;5.575;27.48;real
Aragón;02;2023;mujer;real;11.02;53.965;48.015;29.608;45.45;20.325;21.375;33.99;real
Aragón;02;2024;hombre;real;6.672;63.86;59.598;21.385;36.775;12.325;4.625;28.19;real
Aragón;02;2024;mujer;real;9.845;53.78;48.49;25.947;35.75;20.3;22.35;35.39;real
Aragón;02;2025;hombre;real;6.398;63.387;59.33;23.788;32.3;12.45;5.025;27.593;proyeccion
Aragón;02;2025;mujer;real;9.945;53.79;48.445;24.292;32.5;18.8;22.575;35.39;proyeccion
Aragón;02;2026;hombre;proyeccion;6.525;63.35;59.212;22.885;23.2;12.056;5.292;27.593;proyeccion
Aragón;02;2026;mujer;proyeccion;9.948;53.836;48.968;21.53;34.709;19.7;22.285;35.39;proyeccion
Canarias;05;2010;hombre;real;29.152;69.425;49.188;55.875;48.225;27.45;6.225;34.26;real
Canarias;05;2010;mujer;real;27.91;54.54;39.322;47.18;48.55;31.35;20.2;40.85;real
Canarias;05;2011;hombre;real;29.405;69.215;48.862;48.358;51.55;28.6;7.225;32.59;real
Canarias;05;2011;mujer;real;29.128;56.452;40.008;53.57;50.725;32.5;19.825;38.56;real
Canarias;05;2012;hombre;real;31.942;68.928;46.91;62.712;56.4;26.95;8.875;30.86;real
Canarias;05;2012;mujer;real;33.325;57.135;38.098;61.732;51.2;28.55;20.85;37.2;real
Canarias;05;2013;hombre;real;34.34;67.918;44.59;67.8;63.175;27.7;9.925;29.71;real
Canarias;05;2013;mujer;real;33.012;56.692;37.978;62.455;60.875;30.2;23.275;34.87;real
Canarias;05;2014;hombre;real;31.815;66.815;45.555;57.58;68.525;28.225;11.1;30.0;real
Canarias;05;2014;mujer;real;33.125;55.95;37.422;57.312;66.075;33.6;23.025;34.02;real
Canarias;05;2015;hombre;real;27.888;68.042;49.07;55.745;66.275;27.9;9.675;30.15;real
Canarias;05;2015;mujer;real;30.548;55.96;38.86;50.868;64.5;33.5;24.325;35.19;real
Canarias;05;2016;hombre;real;24.378;66.345;50.17;52.25;61.7;29.7;8.95;32.32;real
Canarias;05;2016;mujer;real;28.002;56.02;40.335;50.228;61.375;35.3;22.875;37.53;real
Canarias;05;2017;hombre;real;21.248;64.822;51.058;49.122;52.575;28.8;7.775;36.25;real
Canarias;05;2017;mujer;real;25.978;55.962;41.425;41.635;53.225;34.825;21.275;40.8;real
Canarias;05;2018;hombre;real;18.898;65.472;53.098;41.795;50.725;29.325;7.25;39.67;real
Canarias;05;2018;mujer;real;21.432;55.48;43.598;35.49;56.975;33.975;21.05;46.51;real
Canarias;05;2019;hombre;real;19.31;65.15;52.572;40.782;43.925;28.725;7.35;42.78;real
Canarias;05;2019;mujer;real;21.865;55.192;43.128;44.578;51.325;33.6;19.5;48.34;real
Canarias;05;2020;hombre;real;21.488;61.318;48.168;55.113;39.525;23.125;6.075;42.0;real
Canarias;05;2020;mujer;real;23.93;53.078;40.375;48.722;42.675;30.525;19.15;46.59;real
Canarias;05;2021;hombre;real;22.53;61.56;47.738;58.19;52.375;27.025;7.325;40.24;real
Canarias;05;2021;mujer;real;24.612;54.275;40.935;55.52;57.525;31.7;18.425;44.88;real
Canarias;05;2022;hombre;real;16.15;64.15;53.8;42.448;50.275;21.975;6.075;44.32;real
Canarias;05;2022;mujer;real;19.332;54.375;43.852;44.595;53.05;28.925;17.575;46.31;real
Canarias;05;2023;hombre;real;14.04;64.848;55.745;32.68;47.15;15.7;6.95;48.34;real
Canarias;05;2023;mujer;real;18.392;54.952;44.842;32.998;44.425;22.75;16.675;50.75;real
Canarias;05;2024;hombre;real;12.245;63.835;56.018;27.26;41.175;14.425;6.025;51.03;real
Canarias;05;2024;mujer;real;15.442;55.5;46.925;29.305;48.1;18.625;17.35;54.44;real
Canarias;05;2025;hombre;real;12.062;64.075;56.348;29.388;40.5;14.775;5.925;52.409;proyeccion
Canarias;05;2025;mujer;real;15.12;56.05;47.58;29.938;47.525;18.65;14.45;55.582;proyeccion
Canarias;05;2026;hombre;proyeccion;10.34;64.63;58.126;16.45;43.817;14.785;7.0;53.802;proyeccion
Canarias;05;2026;mujer;proyeccion;14.462;55.928;48.792;18.61;48.25;19.094;14.8;56.749;proyeccion
Cantabria;06;2010;hombre;real;12.665;64.095;55.978;32.73;40.175;20.5;3.725;33.83;real
Cantabria;06;2010;mujer;real;15.0;48.575;41.29;39.795;43.65;23.375;18.475;45.24;real
Cantabria;06;2011;hombre;real;16.1;64.293;53.942;41.122;42.0;18.9;3.225;30.14;real
Cantabria;06;2011;mujer;real;14.305;49.005;41.998;40.14;46.075;22.8;21.125;40.73;real
Cantabria;06;2012;hombre;real;18.123;63.818;52.25;38.228;50.975;17.15;4.625;28.21;real
Cantabria;06;2012;mujer;real;17.38;50.32;41.56;45.41;49.35;22.35;23.5;39.21;real
Cantabria;06;2013;hombre;real;20.122;62.83;50.19;56.158;55.125;17.75;6.1;25.46;real
Cantabria;06;2013;mujer;real;20.84;49.83;39.45;48.305;57.1;23.2;23.95;35.75;real
Cantabria;06;2014;hombre;real;20.048;63.102;50.455;53.852;63.1;21.125;5.775;23.41;real
Cantabria;06;2014;mujer;real;18.67;50.25;40.868;43.02;58.8;22.65;23.3;32.71;real
Cantabria;06;2015;hombre;real;16.47;62.262;52.01;49.8;60.1;22.475;5.575;22.84;real
Cantabria;06;2015;mujer;real;19.02;50.262;40.7;27.97;57.4;23.9;22.225;32.13;real
Cantabria;06;2016;hombre;real;14.35;61.932;53.04;34.418;54.925;22.55;6.0;24.52;real
Cantabria;06;2016;mujer;real;15.54;50.658;42.798;29.552;55.7;23.45;20.325;33.94;real
Cantabria;06;2017;hombre;real;13.238;60.915;52.853;39.24;56.55;22.725;6.575;25.82;real
Cantabria;06;2017;mujer;real;13.93;50.97;43.87;32.207;51.65;26.325;23.7;34.29;real
Cantabria;06;2018;hombre;real;9.218;60.762;55.168;30.528;51.275;23.225;6.2;26.85;real
